tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
114,-0.13235205100314418,0.09126657928652993,-0.3112345464047428,0.04653044439845447,49,0.019423980565728066,0.14010940123859764,-0.2551904458619233,0.29403840699337946,EUR_USD,14,20,adx_cross,long,163
109,0.18134360770772948,0.09111165991911124,0.0027647542662714297,0.3599224611491875,48,0.005424881571412465,0.142484626981329,-0.27384498731199236,0.2846947504548173,EUR_USD,14,20,adx_cross,short,157
207,-0.04792693123044028,0.06675769844929642,-0.17877202019106128,0.08291815773018071,90,0.00527487618640657,0.10497810838170636,-0.2004822162417379,0.21103196861455104,EUR_USD,14,20,di_cross_with_adx,long,297
200,-0.0454968164979157,0.06836778121793378,-0.17949766768506592,0.08850403468923451,87,-0.040578864359092054,0.10531247617383355,-0.2469913176598058,0.1658335889416217,EUR_USD,14,20,di_cross_with_adx,short,287
109,-0.21032148962777147,0.09036025310962191,-0.3874275857226304,-0.03321539353291253,48,0.04470393227228786,0.1359872847090838,-0.2218311457575164,0.3112390103020921,EUR_USD,14,25,adx_cross,long,157
104,0.09565655792290717,0.09494860674776663,-0.09044271130271542,0.28175582714852976,45,0.027205141884809513,0.14800057788838644,-0.2628759907764279,0.3172862745460469,EUR_USD,14,25,adx_cross,short,149
100,0.014365959604479226,0.09680332519354509,-0.17536855777486915,0.2041004769838276,43,-0.02723585601896373,0.1527137983258875,-0.3265549007377032,0.27208318869977577,EUR_USD,14,25,di_cross_with_adx,long,143
100,-0.06116435935483251,0.09588311386784658,-0.24909526253581182,0.12676654382614677,44,-0.015084364899577157,0.1509362569116174,-0.3109194284463473,0.280750698647193,EUR_USD,14,25,di_cross_with_adx,short,144
87,-0.1185828562401894,0.10200650012891958,-0.31851559649287176,0.08134988401249298,38,-0.08879399569678782,0.1568867590236278,-0.3962920433830983,0.2187040519895227,EUR_USD,14,30,adx_cross,long,125
81,-0.031953163102811835,0.10607647050032677,-0.23986304528345231,0.17595671907782862,36,0.06448232711548857,0.16055156364466747,-0.25019873762805966,0.3791633918590368,EUR_USD,14,30,adx_cross,short,117
45,0.002331554794634341,0.1422569820138747,-0.2764921299525601,0.28115523954182875,20,-0.2919595894258419,0.2176394581385508,-0.7185329273774015,0.13461374852571767,EUR_USD,14,30,di_cross_with_adx,long,65
46,-0.06473531723094857,0.14170164824669912,-0.34247054779447883,0.21299991333258173,20,0.26681439722093026,0.2157562655690439,-0.1560678832943958,0.6896966777362563,EUR_USD,14,30,di_cross_with_adx,short,66
84,-0.1464197566097162,0.104253209117896,-0.3507560464807924,0.057916533261359954,36,0.0411445342606671,0.1616811135897939,-0.2757504483753289,0.35803951689666313,EUR_USD,20,20,adx_cross,long,120
78,0.15023279916366566,0.10742394221925605,-0.06031812758607619,0.3607837259134075,34,0.053418257890705735,0.1729712993647037,-0.2856054888641135,0.39244200464552503,EUR_USD,20,20,adx_cross,short,112
103,0.07641990185828722,0.09691299527332946,-0.11352956887743852,0.26636937259401294,45,-0.1354558614959142,0.14681211763024354,-0.42320761205119156,0.15229588905936314,EUR_USD,20,20,di_cross_with_adx,long,148
108,-0.20200945462066533,0.09051833380902972,-0.37942538888636357,-0.024593520354967063,47,0.07155492673685877,0.1441605771343993,-0.21099980444656385,0.3541096579202814,EUR_USD,20,20,di_cross_with_adx,short,155
61,-0.23104940420001596,0.12034291953314691,-0.46692152648498386,0.004822718084951966,27,-0.028255525551556703,0.18619951778369093,-0.3932065804075909,0.3366955293044775,EUR_USD,20,25,adx_cross,long,88
58,-0.19561872359361676,0.12195194875952722,-0.4346445431622901,0.0434070959750566,25,-0.12865696916144148,0.19421555470610458,-0.5093194563854064,0.25200551806252347,EUR_USD,20,25,adx_cross,short,83
49,0.09503527203247561,0.14059677579539692,-0.18053440852650235,0.37060495259145354,22,-0.09090909090909091,0.21731429260625335,-0.5168451044173474,0.33502692259916567,EUR_USD,20,25,di_cross_with_adx,long,71
39,-0.29970062283997134,0.14919562141188358,-0.5921240408072632,-0.007277204872679521,18,0.35795099613932213,0.21404342271366134,-0.06157411237945409,0.7774761046580984,EUR_USD,20,25,di_cross_with_adx,short,57
40,-0.02068084243607341,0.15535001623646433,-0.3251668742595435,0.28380518938739663,18,-0.11209104010597211,0.22343897011432742,-0.5500314215300539,0.32584934131810966,EUR_USD,20,30,adx_cross,long,58
36,-0.2691601959925711,0.154760659020001,-0.572491087671773,0.034170695686630836,16,0.4243246860652903,0.2186843903317215,-0.004296718984883818,0.8529460911154644,EUR_USD,20,30,adx_cross,short,52
17,0.08852182766986232,0.24338255652624963,-0.3885079831215869,0.5655516384613115,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,EUR_USD,20,30,di_cross_with_adx,long,25
19,-0.045768072507906335,0.22592174506528145,-0.48857469283585797,0.39703854782004533,9,0.20937325013999122,0.3252955571028513,-0.4282060417815974,0.8469525420615798,EUR_USD,20,30,di_cross_with_adx,short,28
112,-0.15500275632314528,0.09237099875033182,-0.3360499138737957,0.026044401227505093,48,0.11229293128596907,0.13508579963042852,-0.15247523598967083,0.37706109856160896,GBP_USD,14,20,adx_cross,long,160
111,0.11121918242898335,0.09437332199165911,-0.0737525286746685,0.29619089353263517,48,-0.15909343798916945,0.13974037951956525,-0.4329845818475173,0.11479770586917845,GBP_USD,14,20,adx_cross,short,159
214,0.009151106862964872,0.06750148620219178,-0.123151806093331,0.14145401981926076,92,-0.11668618132596141,0.10244028643670436,-0.31746914274190197,0.08409678008997913,GBP_USD,14,20,di_cross_with_adx,long,306
214,0.0441346768350538,0.06722797675971347,-0.08763215761398459,0.1759015112840922,92,-0.02378768037187241,0.1037059236344339,-0.22705129069536284,0.17947592995161804,GBP_USD,14,20,di_cross_with_adx,short,306
98,0.07346847792070188,0.10076031069657555,-0.12402173104458619,0.27095868688598995,43,0.09741379270137733,0.15025796984307,-0.19709182819103982,0.3919194135937945,GBP_USD,14,25,adx_cross,long,141
116,-0.06324519288620245,0.092408740632932,-0.24436632452674917,0.11787593875434427,51,-0.07932419377988399,0.13794730901440572,-0.34970091944811915,0.1910525318883512,GBP_USD,14,25,adx_cross,short,167
107,0.11027271107870529,0.09483982594835272,-0.07561334778006604,0.2961587699374766,46,-0.1343390433489043,0.14426358025695582,-0.41709566065253767,0.14841757395472907,GBP_USD,14,25,di_cross_with_adx,long,153
104,0.08644008950636388,0.09655082519154366,-0.1027995278690617,0.27567970688178944,45,0.10692296457306087,0.1466421701666793,-0.18049568895363055,0.3943416180997523,GBP_USD,14,25,di_cross_with_adx,short,149
81,-0.024480171117648383,0.10996148525459701,-0.24000468221665852,0.19104433998136175,35,0.24958477927102918,0.16182821495564442,-0.06759852204203387,0.5667680805840922,GBP_USD,14,30,adx_cross,long,116
89,-0.011235955056179775,0.10659362899443976,-0.2201594678852817,0.19768755777292216,39,0.06086869885276728,0.16011823135890169,-0.25296303461068,0.3747004323162146,GBP_USD,14,30,adx_cross,short,128
44,0.049065029229855,0.14885910494637264,-0.24269881646503538,0.3408288749247454,20,-0.21763488642648668,0.22047616743654708,-0.6497681746021189,0.21449840174914556,GBP_USD,14,30,di_cross_with_adx,long,64
41,-0.055588819613248866,0.15607851613003104,-0.3615027112281097,0.25032507200161197,18,0.15071075761370373,0.2334288341721738,-0.30680975736375693,0.6082312725911644,GBP_USD,14,30,di_cross_with_adx,short,59
73,-0.07691761909519704,0.11681036833355349,-0.30586594102896186,0.1520307028385678,32,0.13531147062552087,0.17140942537610368,-0.20065100311164233,0.4712739443626841,GBP_USD,20,20,adx_cross,long,105
72,0.08333333333333333,0.11826537094843613,-0.1484667937256015,0.31513346039226814,31,0.007722910327361806,0.1780274158166667,-0.3412108246733049,0.35665664532802854,GBP_USD,20,20,adx_cross,short,103
112,0.026909746148121656,0.09445667375783756,-0.15822533441723996,0.2120448267134833,49,-0.17146536209444427,0.1409407581896678,-0.4477092481461932,0.10477852395730461,GBP_USD,20,20,di_cross_with_adx,long,161
112,0.035219220721074924,0.09373780605333132,-0.14850687914345445,0.21894532058560429,48,0.11409891721833017,0.14243906910866516,-0.16508165823465354,0.39327949267131385,GBP_USD,20,20,di_cross_with_adx,short,160
