tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
44.0,-0.11628444430749303,0.14973303358166468,-0.4097611901275558,0.17719230151256976,20.0,0.3,0.2188486619609662,-0.12894337744349377,0.7289433774434937,EUR_USD,14,20,adx_cross,long,64
40.0,0.006537645613391496,0.15206113699207172,-0.29150218289106905,0.304577474117852,18.0,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,EUR_USD,14,20,adx_cross,short,58
50.0,-0.10140857462411215,0.13639523350119936,-0.3687432322864629,0.1659260830382386,22.0,0.09090909090909091,0.21731429260625335,-0.33502692259916567,0.5168451044173474,EUR_USD,14,20,di_cross_with_adx,long,72
53.0,-0.09382247032681272,0.1342584648103836,-0.35696906135516454,0.16932412070153907,24.0,0.1490822119831381,0.20323756690349046,-0.24926341914770322,0.5474278431139794,EUR_USD,14,20,di_cross_with_adx,short,77
45.0,-0.15555555555555556,0.1489205454059161,-0.4474398245511511,0.13632871344004,20.0,-0.02214338150986108,0.21902178791953777,-0.4514260858321551,0.407139322812433,EUR_USD,14,25,adx_cross,long,65
42.0,0.16296936053457908,0.14840825889407336,-0.12791082689780467,0.45384954796696286,18.0,-0.16888686445048032,0.2321270441283642,-0.6238558709420742,0.2860821420411135,EUR_USD,14,25,adx_cross,short,60
25.0,-0.0714469691580344,0.19661682784349524,-0.45681595173128503,0.31392201341521625,11.0,0.2727272727272727,0.30424000964875475,-0.32358314618428663,0.869037691638832,EUR_USD,14,25,di_cross_with_adx,long,36
24.0,-0.18663457418079968,0.19534891067250307,-0.5695184390989056,0.19624929073730632,11.0,0.05254300796321037,0.3060553195010877,-0.5473254182589216,0.6524114341853422,EUR_USD,14,25,di_cross_with_adx,short,35
39.0,0.03517227400247767,0.15248642899505518,-0.2637011268278305,0.33404567483278585,17.0,-0.2373389606582028,0.23220039134288842,-0.6924517276902641,0.21777380637385846,EUR_USD,14,30,adx_cross,long,56
39.0,-0.004885673104214098,0.15831593375185946,-0.31518490325785864,0.3054135570494304,18.0,-0.20915124147567374,0.22455531589494554,-0.6492796606297669,0.2309771776784195,EUR_USD,14,30,adx_cross,short,57
10.0,-0.4786174228950861,0.2588817094694146,-0.9860255734551386,0.028790727664966542,5.0,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,14,30,di_cross_with_adx,long,15
11.0,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,6.0,0.5963288479325524,0.3266192646249896,-0.043844910732427245,1.236502606597532,EUR_USD,14,30,di_cross_with_adx,short,17
35.0,0.11497836119740726,0.16787822437672428,-0.21406295858097232,0.4440196809757868,16.0,0.27540809699317526,0.24271565371977705,-0.20031458429758775,0.7511307782839383,EUR_USD,20,20,adx_cross,long,51
33.0,0.26913166226884305,0.1568815123557895,-0.03835610194850436,0.5766194264861905,15.0,-0.2,0.26186146828319085,-0.7132484778350541,0.313248477835054,EUR_USD,20,20,adx_cross,short,48
29.0,0.2876275041288253,0.17424762587792508,-0.05389784259190783,0.6291528508495585,13.0,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,EUR_USD,20,20,di_cross_with_adx,long,42
23.0,-0.20469601369484264,0.2063113137492861,-0.6090661886434434,0.1996741612537581,10.0,0.05447220682007374,0.3193327380304981,-0.5714199597197026,0.68036437335985,EUR_USD,20,20,di_cross_with_adx,short,33
25.0,-0.34615311459819376,0.18899709613439677,-0.7165874230216114,0.024281193825223923,12.0,-0.2299101659478714,0.2704684763609978,-0.760028379615427,0.30020804771968423,EUR_USD,20,25,adx_cross,long,37
22.0,0.009060684132164532,0.20143693324641646,-0.3857557050308117,0.4038770732951408,10.0,0.25004280220271624,0.30955807446246525,-0.35669102374371564,0.8567766281491481,EUR_USD,20,25,adx_cross,short,32
11.0,0.34938171540559165,0.27730101965505105,-0.19412828311830838,0.8928917139294916,5.0,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,20,25,di_cross_with_adx,long,16
7.0,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,20,25,di_cross_with_adx,short,10
18.0,0.21682429051626712,0.22427330216959115,-0.22275138173613152,0.6563999627686657,8.0,-0.06507127668343189,0.332458492519686,-0.7166899220220165,0.5865473686551527,EUR_USD,20,30,adx_cross,long,26
18.0,-0.4025539159594042,0.19633640164344665,-0.7873732631805597,-0.0177345687382488,8.0,0.10095625506321301,0.3360193588229013,-0.5576416882296735,0.7595541983560996,EUR_USD,20,30,adx_cross,short,26
4.0,0.16967297977544604,0.4990059454043758,-0.8083786732171305,1.1477246327680226,2.0,0.0,1.0,-1.96,1.96,EUR_USD,20,30,di_cross_with_adx,long,6
4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,20,30,di_cross_with_adx,short,7
51.0,-0.09766793590126842,0.1369819986231645,-0.3661526532026709,0.170816781400134,23.0,-0.094619793495399,0.20513705009835834,-0.49668841168818134,0.3074488246973833,GBP_USD,14,20,adx_cross,long,74
43.0,0.28346484154245427,0.14615895511548055,-0.00300671048388762,0.5699363935687962,19.0,-0.1725729857824793,0.22912340628584707,-0.6216548621027396,0.27650889053778094,GBP_USD,14,20,adx_cross,short,62
56.0,-0.19258685524417227,0.13024713101679028,-0.44787123203708123,0.06269752154873667,24.0,-0.3333333333333333,0.19658927487319622,-0.718648312084798,0.05198164541813127,GBP_USD,14,20,di_cross_with_adx,long,80
46.0,0.17391304347826086,0.1467995044881229,-0.11381398531846004,0.46164007227498177,21.0,0.1775944613146343,0.21497975225138563,-0.24376585309808152,0.5989547757273501,GBP_USD,14,20,di_cross_with_adx,short,67
39.0,-0.23076923076923078,0.157842823397716,-0.5401411646287542,0.07860270309029255,18.0,0.5693262788529605,0.1957999477820993,0.18555838120004586,0.9530941765058751,GBP_USD,14,25,adx_cross,long,57
51.0,0.04941962809962712,0.14023266374768248,-0.2254363928458305,0.32427564904508477,23.0,-0.21739130434782608,0.20810192223064325,-0.6252710719198868,0.19048846322423466,GBP_USD,14,25,adx_cross,short,74
28.0,-0.3137451390597731,0.17657419451298814,-0.6598305603052299,0.03234028218568369,13.0,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,GBP_USD,14,25,di_cross_with_adx,long,41
17.0,0.17647058823529413,0.24607647839237515,-0.30583930941376114,0.6587804858843495,8.0,0.341185460950915,0.3311753669334481,-0.3079182582386433,0.9902891801404734,GBP_USD,14,25,di_cross_with_adx,short,25
36.0,0.1111111111111111,0.16798421022632323,-0.2181379409324824,0.4403601631547046,16.0,0.4523196998269794,0.22157329339608595,0.01803604477065096,0.8866033548833079,GBP_USD,14,30,adx_cross,long,52
35.0,-0.1598168429662727,0.16720947380797369,-0.4875474116299011,0.16791372569735574,15.0,-0.2812413421831811,0.24747625546656143,-0.7662948028976415,0.20381211853127934,GBP_USD,14,30,adx_cross,short,50
11.0,-0.6363636363636364,0.24393468845452249,-1.1144756257345003,-0.15825164699277228,5.0,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,GBP_USD,14,30,di_cross_with_adx,long,16
6.0,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,3.0,-0.09017210413089334,0.5843495030345504,-1.235497130078612,1.0551529218168252,GBP_USD,14,30,di_cross_with_adx,short,9
33.0,-0.15151515151515152,0.17473579688895144,-0.4939973134174963,0.1909670103871933,15.0,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,GBP_USD,20,20,adx_cross,long,48
29.0,0.26954235786366043,0.17868791453262525,-0.08068595462028505,0.6197706703476059,13.0,-0.0015408059805031699,0.27735437801871177,-0.5451553868971782,0.5420737749361718,GBP_USD,20,20,adx_cross,short,42
27.0,-0.3333333333333333,0.1849000654084097,-0.6957374615338163,0.029070794867149696,12.0,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,GBP_USD,20,20,di_cross_with_adx,long,39
