tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
60,-0.17258255987018822,0.12632794175908385,-0.42018532571799255,0.0750202059776161,26,-0.15384615384615385,0.19761896274869428,-0.5411793208335947,0.23348701314128695,EUR_USD,14,20,adx_cross,long,86
59,0.15366676469922913,0.12642450021219875,-0.09412525571668043,0.40145878511513866,26,0.167393717203591,0.18927993534077542,-0.20359495606432879,0.5383823904715108,EUR_USD,14,20,adx_cross,short,85
115,-0.04070624639567454,0.08924428927130774,-0.21562505336743773,0.13421256057608863,50,-0.08,0.14239926622145274,-0.35910256179404737,0.19910256179404734,EUR_USD,14,20,di_cross_with_adx,long,165
100,-0.12915383889348928,0.09536092950471982,-0.3160612607227401,0.05775358293576158,43,-0.12522489604419107,0.15196085559488945,-0.4230681730101744,0.17261838092179227,EUR_USD,14,20,di_cross_with_adx,short,143
55,-0.3574798116579617,0.12060415881441582,-0.5938639629342167,-0.12109566038170672,24,-0.007901753546287416,0.1983523349810962,-0.39667233010923597,0.38086882301666114,EUR_USD,14,25,adx_cross,long,79
50,0.033457547919686075,0.13590248633091306,-0.23291132528890351,0.2998264211282757,22,0.06374555993553056,0.21356857990443298,-0.3548488566771581,0.4823399765482192,EUR_USD,14,25,adx_cross,short,72
46,0.09182028652975471,0.14182515777580795,-0.18615702271082885,0.36979759577033827,21,-0.3333333333333333,0.21081851067789195,-0.7465376142620015,0.07987094759533492,EUR_USD,14,25,di_cross_with_adx,long,67
51,-0.1757834016059411,0.13370786449429503,-0.4378508160147594,0.08628401280287715,22,-0.09090909090909091,0.21731429260625335,-0.5168451044173474,0.33502692259916567,EUR_USD,14,25,di_cross_with_adx,short,73
42,-0.10160879217916799,0.1515317942097245,-0.398611108830228,0.19539352447189204,18,0.29411623962547695,0.22216196494195173,-0.1413212116607484,0.7295536909117023,EUR_USD,14,30,adx_cross,long,60
44,-0.0990271252175777,0.1431891816798483,-0.3796779213100804,0.18162367087492495,19,0.025404403494031818,0.23081802933102083,-0.42699893399476896,0.47780774098283263,EUR_USD,14,30,adx_cross,short,63
22,-0.12574068750906287,0.2044935818696903,-0.5265481079736558,0.27506673295553014,10,-0.4,0.3055050463303893,-0.998789890807563,0.19878989080756293,EUR_USD,14,30,di_cross_with_adx,long,32
19,-0.05964508340757835,0.2234271636372251,-0.4975623241365395,0.3782721573213828,9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,EUR_USD,14,30,di_cross_with_adx,short,28
48,-0.2658504267127846,0.13272187957216697,-0.5259853106742318,-0.005715542751337344,21,0.18816350295070633,0.21413637798534763,-0.231543797900575,0.6078708038019877,EUR_USD,20,20,adx_cross,long,69
40,0.23182163428341934,0.1504624253467259,-0.06308471939616345,0.5267279879630021,18,0.4298136023259223,0.21555014303464048,0.007335321978026943,0.8522918826738177,EUR_USD,20,20,adx_cross,short,58
49,-0.21603886078248094,0.13599033217437398,-0.482579911844254,0.050502190279292064,22,-0.39917092505717305,0.19485928512225795,-0.7810951238967987,-0.01724672621754747,EUR_USD,20,20,di_cross_with_adx,long,71
53,-0.28640152653802314,0.129109807950887,-0.5394567501217616,-0.033346302954284646,24,0.22844515276610852,0.19954881632807459,-0.16267052723691763,0.6195608327691347,EUR_USD,20,20,di_cross_with_adx,short,77
36,-0.22550212013179033,0.15985610025071775,-0.5388200766231972,0.08781583635961648,16,-0.15264951045464759,0.24034598539344015,-0.6237276418257902,0.3184286209164951,EUR_USD,20,25,adx_cross,long,52
31,-0.30713385683623895,0.16697955582183396,-0.6344137862470336,0.02014607257455564,14,-0.387654558719432,0.24672140419429214,-0.8712285109402447,0.09591939350138062,EUR_USD,20,25,adx_cross,short,45
25,-0.13804804372616153,0.19273815348318044,-0.5158148245531952,0.2397187371008721,11,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,EUR_USD,20,25,di_cross_with_adx,long,36
19,-0.2905839554001705,0.22047933019824453,-0.7227234425887298,0.14155553178838876,9,0.7202981851540672,0.222470917012209,0.28425518781013753,1.1563411824979968,EUR_USD,20,25,di_cross_with_adx,short,28
17,0.015157976633923062,0.2310144925704866,-0.43763042880423064,0.4679463820720767,8,-0.4694312540470534,0.322040900608027,-1.1006314192387863,0.16176891114467945,EUR_USD,20,30,adx_cross,long,25
18,-0.4345075803073674,0.20228038573523624,-0.8309771363484304,-0.03803802426630437,9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,EUR_USD,20,30,adx_cross,short,27
8,-0.4779145498499824,0.2976942395120052,-1.0613952592935125,0.10556615959354776,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,20,30,di_cross_with_adx,long,12
8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,4,0.37067091659665113,0.47288087014190733,-0.5561755888814872,1.2975174220747894,EUR_USD,20,30,di_cross_with_adx,short,12
56,-0.14285714285714285,0.13345696185626107,-0.40443278809541455,0.11871850238112885,24,0.29340785470476055,0.18248752814316202,-0.06426770045583702,0.6510834098653582,GBP_USD,14,20,adx_cross,long,80
56,0.16336085215336138,0.13182966494036608,-0.0950252911297561,0.42174699543647887,24,-0.4388666418537542,0.1802087285145411,-0.7920757497422547,-0.08565753396525366,GBP_USD,14,20,adx_cross,short,80
121,0.11149911104532079,0.09015390908612526,-0.06520255076348472,0.28820077285412626,52,-0.24364110681447715,0.13181778471400982,-0.5020039648539364,0.014721751224982094,GBP_USD,14,20,di_cross_with_adx,long,173
110,0.027136608339919942,0.09509706158490261,-0.15925363236648918,0.21352684904632904,48,0.25,0.14123317071650804,-0.02681701460435576,0.5268170146043558,GBP_USD,14,20,di_cross_with_adx,short,158
51,0.08164835618843626,0.13697058114365201,-0.18681398285312167,0.35011069522999416,23,-0.37154533214099283,0.194400671635748,-0.7525706485470589,0.009479984265073238,GBP_USD,14,25,adx_cross,long,74
65,0.015384615384615385,0.12498520622516864,-0.22958638881671514,0.2603556195859459,29,-0.06476418679172183,0.18361375504537897,-0.4246471466806646,0.2951187730972209,GBP_USD,14,25,adx_cross,short,94
58,0.06896551724137931,0.13213787041210448,-0.19002470876634545,0.32795574324910404,26,-0.15461066959493427,0.18983125837032486,-0.526679936000771,0.21745859681090243,GBP_USD,14,25,di_cross_with_adx,long,84
51,0.15656915524296455,0.13757247436307363,-0.11307289450865976,0.42621120499458887,22,0.2727272727272727,0.20994555243259116,-0.13876601004060596,0.6842205554951514,GBP_USD,14,25,di_cross_with_adx,short,73
41,-0.17694362026855337,0.15180636606262274,-0.4744840977512939,0.12059685721418717,18,0.08281808840143445,0.23100637079993377,-0.36995439836643573,0.5355905751693046,GBP_USD,14,30,adx_cross,long,59
42,-0.09523809523809523,0.15546387747761883,-0.39994729509422816,0.2094711046180377,19,0.3231500949875632,0.21653481030587418,-0.10125813321195021,0.7475583231870766,GBP_USD,14,30,adx_cross,short,61
24,0.0,0.2085144140570748,-0.4086882515518666,0.4086882515518666,11,-0.4761890263627611,0.27112907511887996,-1.0076020135957657,0.05522396087024356,GBP_USD,14,30,di_cross_with_adx,long,35
16,0.0,0.2581988897471611,-0.5060698239044358,0.5060698239044358,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,GBP_USD,14,30,di_cross_with_adx,short,24
35,0.04973062877390906,0.16898297647632102,-0.28147600511968013,0.3809372626674982,16,0.505040859664758,0.20279411545824771,0.10756439336659246,0.9025173259629236,GBP_USD,20,20,adx_cross,long,51
37,0.13513513513513514,0.16513786288129156,-0.18853507611219633,0.4588053463824666,16,0.011792210968066874,0.2554083556002814,-0.4888081660084847,0.5123925879446185,GBP_USD,20,20,adx_cross,short,53
