tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
57,-0.008910036010117337,0.130151346448076,-0.2640066750483463,0.2461866030281116,25,0.05876135794378566,0.19593575532614405,-0.32527272249545663,0.442795438383028,EUR_USD,10,1,long,82,895,590
65,-0.14816513373964543,0.12083393592269177,-0.38499964814812127,0.08866938066883043,29,-0.014215988248116073,0.18623869883179564,-0.3792438379584355,0.35081186146220333,EUR_USD,10,1,short,94,910,620
28,-0.10623540713478298,0.1809384760209342,-0.46087482013581405,0.2484040058662481,12,-0.20296950736013053,0.27611267545980034,-0.7441503512613392,0.33821133654107816,EUR_USD,10,2,long,40,300,206
36,0.19470159220366878,0.15892168894988054,-0.11678491813809705,0.5061881025454347,16,-0.07058972166314245,0.24443758624348785,-0.5496873907003786,0.4085079473740937,EUR_USD,10,2,short,52,311,219
9,0.0759902944990558,0.31215078077014996,-0.5358252358104381,0.6878058248085497,4,0.5,0.5,-0.48,1.48,EUR_USD,10,3,long,13,94,79
2,1.0,0.0,1.0,1.0,2,0.480018219945677,0.5199817800543229,-0.5391460689607959,1.49918250885215,EUR_USD,10,3,short,4,78,57
44,-0.05151193300858952,0.14881491380590664,-0.3431891640681665,0.24016529805098746,20,0.06540316709137228,0.22366181906752744,-0.3729739982809815,0.503780332463726,EUR_USD,20,1,long,64,610,424
46,-0.057189862892977235,0.14415501308348833,-0.33973368853661434,0.2253539627506599,20,-0.22110134562023376,0.21978659978597734,-0.6518830812007493,0.20968038996028182,EUR_USD,20,1,short,66,633,451
21,-0.1892662571320916,0.2030378357993916,-0.5872204152988991,0.20868790103471596,10,-0.04356340883215663,0.3080192166744815,-0.6472810735141403,0.5601542558498271,EUR_USD,20,2,long,31,201,153
25,0.2916733950680901,0.18699696657560289,-0.07484065942009155,0.6581874495562717,12,0.0008344840353525599,0.2775085506040482,-0.5430822751485819,0.544751243219287,EUR_USD,20,2,short,37,209,157
9,-0.09810981708853928,0.3106981495635028,-0.7070781902330047,0.5108585560559261,4,1.0,0.0,1.0,1.0,EUR_USD,20,3,long,13,70,63
2,0.0,1.0,-1.96,1.96,1,-0.03996356010864597,,,,EUR_USD,20,3,short,3,49,40
28,0.1181451193509802,0.1879437306180243,-0.2502245926603474,0.48651483136230783,13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,EUR_USD,55,1,long,41,352,280
35,-0.16087810551648435,0.16207833947216158,-0.47855165088192103,0.15679543984895233,15,0.06666666666666737,0.2666666666666669,-0.4559999999999997,0.5893333333333344,EUR_USD,55,1,short,50,372,301
14,0.07100151959312191,0.26486860152881014,-0.44814093940334593,0.5901439785895898,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,EUR_USD,55,2,long,21,117,101
16,0.3130785824582548,0.2200294718429226,-0.11817918235387348,0.7443363472703831,7,0.1789468293836801,0.3402748545643335,-0.48799188556241346,0.8458855443297737,EUR_USD,55,2,short,23,119,103
5,-0.41286892021716,0.3969783685090708,-1.1909465224949387,0.3652086820606188,3,0.7271187490963156,0.2728812509036844,0.19227149732509408,1.261966000867537,EUR_USD,55,3,long,8,38,35
0,,,,,1,-1.0,,,,EUR_USD,55,3,short,1,27,24
23,0.2212631738841013,0.20710599727998527,-0.18466458078466982,0.6271909285528724,10,-0.46919366581725547,0.27675653283762985,-1.01163647017901,0.07324913854449905,EUR_USD,100,1,long,33,263,214
25,-0.1521087063679655,0.19669852459931464,-0.5376378145826222,0.2334204018466912,11,0.09090909090909192,0.31491832864888714,-0.5263308332427268,0.7081490150609107,EUR_USD,100,1,short,36,266,227
10,0.2904968274969378,0.301204009138591,-0.2998630304147006,0.8808566854085762,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,100,2,long,15,86,76
10,0.07174224426298241,0.3167259695315039,-0.5490406560187653,0.69252514454473,5,-0.1494744388628479,0.38571321951076404,-0.9054723491039454,0.6065234713782497,EUR_USD,100,2,short,15,86,78
4,-0.26608615027145005,0.47617686404526277,-1.199392803800165,0.6672205032572649,3,0.7271187490963156,0.2728812509036844,0.19227149732509408,1.261966000867537,EUR_USD,100,3,long,7,27,26
0,,,,,1,-1.0,,,,EUR_USD,100,3,short,1,20,18
65,0.09484293848501642,0.12284158959838061,-0.1459265771278096,0.3356124540978424,28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704,0.3048101234920275,GBP_USD,10,1,long,93,909,598
67,0.1603663099725068,0.11911294855917882,-0.07309506920348369,0.3938276891484973,29,-0.06292197557231147,0.18541625697820865,-0.42633783924960045,0.30049388810497746,GBP_USD,10,1,short,96,880,611
32,0.17100561510974996,0.17473245735690696,-0.17147000130978765,0.5134812315292876,15,-0.2402377853442782,0.25158020963863925,-0.7333349962360112,0.2528594255474547,GBP_USD,10,2,long,47,319,218
29,-0.15138078179342165,0.18398826395625492,-0.5119977791476813,0.20923621556083796,13,-0.07692307692307693,0.2878197989826109,-0.6410498829289943,0.48720372908284043,GBP_USD,10,2,short,42,274,204
9,-0.1111111111111111,0.35136418446315326,-0.7997849126588914,0.5775626904366693,4,0.8429223797440828,0.15707762025591723,0.535050244042485,1.1507945154456807,GBP_USD,10,3,long,13,87,67
6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,10,3,short,9,84,62
47,-0.007341117764831239,0.1460496071707075,-0.29359834781941796,0.27891611228975544,21,-0.14285714285714285,0.22131333406899525,-0.5766312776323735,0.29091699191808784,GBP_USD,20,1,long,68,644,435
47,0.20192553258485946,0.141814950618972,-0.07603177062832567,0.4798828357980446,21,-0.08689225198081107,0.2175193559226206,-0.5132301895891473,0.33944568562752525,GBP_USD,20,1,short,68,594,440
23,0.13043478260869565,0.21137931948017294,-0.2838686835724433,0.5447382487898346,10,-0.06035667801641731,0.3183417103954949,-0.6843064303915873,0.5635930743587527,GBP_USD,20,2,long,33,223,162
22,-0.15409284872769216,0.21131290248389542,-0.5682661375961272,0.26008044014074283,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,GBP_USD,20,2,short,32,191,150
8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,4,0.8429223797440828,0.15707762025591723,0.535050244042485,1.1507945154456807,GBP_USD,20,3,long,12,63,48
5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,20,3,short,8,52,42
32,-0.10453226671709587,0.17611792585512595,-0.4497234013931427,0.24065886795895097,14,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,GBP_USD,55,1,long,46,383,295
27,-0.00470268926644726,0.19250753835466752,-0.38201746444159557,0.3726120859087011,12,-0.3333333333333333,0.2842676218074806,-0.8904978720759953,0.22383120540932872,GBP_USD,55,1,short,39,348,295
16,0.25,0.25,-0.24,0.74,7,0.6280618885479753,0.2843508541549906,0.0707342144041937,1.185389562691757,GBP_USD,55,2,long,23,129,108
18,-0.18833570400051264,0.23230633379537724,-0.643656118239452,0.26698471023842674,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,GBP_USD,55,2,short,26,123,114
4,-0.5,0.5,-1.48,0.48,3,0.7905631729921104,0.20943682700788968,0.3800669920566467,1.2010593539275742,GBP_USD,55,3,long,7,33,27
4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,GBP_USD,55,3,short,7,30,29
22,-0.1520469334066849,0.2112140002937856,-0.5660263739825047,0.26193250716913485,10,0.2,0.3265986323710904,-0.4401333194473371,0.840133319447337,GBP_USD,100,1,long,32,281,226
20,-0.3563486305097038,0.20822833566731666,-0.7644761684176444,0.05177890739823687,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,GBP_USD,100,1,short,29,253,231
14,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,6,0.5660722033059712,0.3283561512370037,-0.07750585311855596,1.2096502597304983,GBP_USD,100,2,long,20,98,84
14,0.043568380570769456,0.2685487905921714,-0.4827872489898865,0.5699240101314255,7,-0.7142857142857143,0.2857142857142857,-1.2742857142857142,-0.15428571428571436,GBP_USD,100,2,short,21,89,85
3,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,2,0.6858447594881656,0.31415524051183447,0.07010048808497005,1.3015890308913611,GBP_USD,100,3,long,5,26,23
4,-0.5,0.5,-1.48,0.48,2,0.0,1.0,-1.96,1.96,GBP_USD,100,3,short,6,22,22
