tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
277,-0.0009815994251824013,0.05792950271880905,-0.11452342475404813,0.11256022590368332,120,-0.18576356973335578,0.08575719279983139,-0.3538476676210253,-0.017679471845686245,EUR_USD,10,1,long,397,895,399
303,-0.05826386632847719,0.05551720787936777,-0.167077593772038,0.05054986111508364,130,-0.033972890015358394,0.0847147896154193,-0.2000138776615802,0.13206809763086344,EUR_USD,10,1,short,433,910,435
95,-0.018133880137748824,0.09734336673744598,-0.20892687894314294,0.17265911866764527,42,-0.23288522795533245,0.14235188047139236,-0.5118949136792614,0.04612445776859658,EUR_USD,10,2,long,137,300,137
99,-0.04143893035704976,0.0968415955770826,-0.23124845768813168,0.14837059697403215,43,0.0661412680304388,0.14560556098643312,-0.2192456315029701,0.3515281675638477,EUR_USD,10,2,short,142,311,143
35,0.23313487537011365,0.1541408825070155,-0.0689812543436367,0.535251005083864,15,-0.25151581953423746,0.24667175991457363,-0.7349924689668017,0.23196082989832684,EUR_USD,10,3,long,50,94,50
22,0.02320289121165997,0.21181184890838814,-0.39194833264878076,0.4383541150721007,10,0.3926742599951363,0.2656606787992009,-0.1280206704512975,0.9133691904415701,EUR_USD,10,3,short,32,78,32
209,-0.06035990320000104,0.06672250730450789,-0.1911360175168365,0.07041621111683444,90,-0.3324350690086678,0.09462486355092004,-0.517899801568471,-0.14697033644886456,EUR_USD,20,1,long,299,610,300
219,-0.08146984786693244,0.06474459558255016,-0.20836925520873073,0.04542955947486586,95,-0.07139407200971783,0.09806955157856927,-0.2636103931037136,0.12082224908427792,EUR_USD,20,1,short,314,633,316
74,0.026055172827274983,0.10906201764854705,-0.18770638176387722,0.2398167274184272,33,-0.3873084719431503,0.14829313198918193,-0.677963010641947,-0.09665393324435373,EUR_USD,20,2,long,107,201,107
70,-0.12230862398321461,0.11451614288921047,-0.34676026404606713,0.1021430160796379,31,0.0811603936921167,0.17356102779559282,-0.2590192207872452,0.4213400081714786,EUR_USD,20,2,short,101,209,102
28,0.2988446472000266,0.1766633219946985,-0.047415463909582456,0.6451047583096357,13,-0.29021056100104325,0.26106139253755273,-0.8018908903746466,0.22146976837256005,EUR_USD,20,3,long,41,70,41
19,0.07949808456086944,0.22697510672016769,-0.36537312461065924,0.5243692937323982,9,0.3742204356337206,0.29630021225627357,-0.20652798038857562,0.9549688516560169,EUR_USD,20,3,short,28,49,28
149,-0.05055617077925304,0.07903171247472587,-0.20545832722971574,0.10434598567120967,65,-0.2853200861051607,0.11338162027520009,-0.5075480618445529,-0.0630921103657685,EUR_USD,55,1,long,214,352,215
164,-0.08889616681006912,0.07461688229269697,-0.2351452561037552,0.05735292248361695,71,-0.10362488855443974,0.11471694766997174,-0.32847010598758436,0.12122032887870487,EUR_USD,55,1,short,235,372,235
56,0.044623992075585164,0.12881471879329642,-0.20785285675927584,0.29710084091044614,25,-0.32414035142455544,0.17740359379682216,-0.6718513952663269,0.023570692417215988,EUR_USD,55,2,long,81,117,81
53,-0.13017155740582795,0.13082715917569543,-0.38659278939019104,0.12624967457853511,23,-0.0048101798396992,0.20028545875774156,-0.3973696790048727,0.38774931932547424,EUR_USD,55,2,short,76,119,76
19,0.10873849147979685,0.22800753428710677,-0.3381562757229324,0.5556332586825261,9,-0.19697081033484024,0.3201038592370398,-0.8243743744394383,0.43043275376975787,EUR_USD,55,3,long,28,38,28
14,-0.24925259952453432,0.25537470883953584,-0.7497870288500246,0.25128182980095587,7,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,EUR_USD,55,3,short,21,27,21
