tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
115,0.03304253781105611,0.09023289233741273,-0.14381393117027286,0.20989900679238505,50,-0.2578141203126425,0.13160647479399576,-0.5157628109088741,0.00013457028358915268,EUR_USD,10,1,long,165,895,242
134,-0.02191989538289638,0.08414592139369444,-0.18684590131453746,0.1430061105487447,58,-0.07718130253559281,0.12590223459900435,-0.32394968234964133,0.16958707727845568,EUR_USD,10,1,short,192,910,282
36,0.12553388342146063,0.15640823303374665,-0.18102625332468278,0.432094020167604,16,0.12586569105603118,0.2366153139694521,-0.3379003243240949,0.5896317064361573,EUR_USD,10,2,long,52,300,88
35,-0.08295634969751417,0.1622377920695508,-0.4009424221538337,0.23502972275880538,16,-0.03226006655913007,0.25070803142533776,-0.5236478081527921,0.45912767503453195,EUR_USD,10,2,short,51,311,97
13,0.2791733693656772,0.24177719442316856,-0.19470993170373313,0.7530566704350876,6,-0.47557342606707187,0.33897495951932466,-1.1399643467249483,0.18881749459080444,EUR_USD,10,3,long,19,94,37
7,-0.039899414069714645,0.3800646077974762,-0.784826045352768,0.7050272172133387,4,0.7229813898858164,0.16063781425564044,0.4081312739447611,1.0378315058268717,EUR_USD,10,3,short,11,78,19
89,0.017687794398247213,0.10251341995659634,-0.1832385087166816,0.21861409751317604,39,-0.38337984255102797,0.14232998269312444,-0.6623466086295519,-0.10441307647250408,EUR_USD,20,1,long,128,610,179
98,-0.13201291817661343,0.096512842941649,-0.3211780903422454,0.0571522539890186,42,-0.11010781405977545,0.14737888057918677,-0.3989704199949815,0.17875479187543064,EUR_USD,20,1,short,140,633,205
29,0.2655345463674398,0.17288621643450972,-0.07332243784419923,0.6043915305790788,13,0.0779885428381922,0.26080791169896417,-0.4331949640917775,0.589172049768162,EUR_USD,20,2,long,42,201,71
27,0.012298654079721812,0.18925955859713575,-0.35865008077066424,0.38324738893010785,12,0.26700252519311446,0.27383140562755504,-0.2697070298368934,0.8037120802231223,EUR_USD,20,2,short,39,209,70
10,0.4,0.3055050463303893,-0.19878989080756293,0.998789890807563,5,-0.7706881112804862,0.20424744460769298,-1.1710131027115644,-0.37036311984940795,EUR_USD,20,3,long,15,70,31
6,-0.21321598308133374,0.4002182682097435,-0.997643788772431,0.5712118226097636,3,0.8030806310522203,0.19691936894777973,0.417118667914572,1.1890425941898686,EUR_USD,20,3,short,9,49,15
75,0.09894209356424245,0.11135216201218684,-0.11930814397964375,0.31719233110812867,33,-0.38149510026336636,0.15553278078263796,-0.6863393505973368,-0.07665084992939597,EUR_USD,55,1,long,108,352,152
81,-0.17311104210503095,0.10573202481462356,-0.38034581074169316,0.03412372653163123,36,-0.11725665473602895,0.1594815055295432,-0.42984040557393366,0.19532709610187574,EUR_USD,55,1,short,117,372,169
24,0.17722691434753338,0.19634195769119364,-0.20760332272720614,0.5620571514222729,11,0.17396095047390062,0.29150652033664287,-0.39739182938591944,0.7453137303337206,EUR_USD,55,2,long,35,117,62
22,-0.030360742720341373,0.20873184198202,-0.4394751530051006,0.3787536675644178,10,0.14092418931566608,0.3156806166535987,-0.47780981932538735,0.7596581979567195,EUR_USD,55,2,short,32,119,56
8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,4,-0.7133601391006078,0.25308273428043154,-1.2094022982902537,-0.21731797991096197,EUR_USD,55,3,long,12,38,26
4,-0.8198239746220006,0.1801760253779994,-1.1729689843628794,-0.4666789648811218,2,1.0,0.0,1.0,1.0,EUR_USD,55,3,short,6,27,12
