tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
139,0.004891578446981485,0.08202035131347098,-0.1558683101274216,0.16565146702138459,60,0.06299918822979782,0.1295038229455836,-0.190828304743546,0.31682668120314167,EUR_USD,7,1.5,long,199,521,317
148,-0.030512037672489098,0.08007479312934737,-0.18745863220600995,0.12643455686103172,64,-0.12707115743422248,0.12143688844406811,-0.365087458784596,0.11094514391615101,EUR_USD,7,1.5,short,212,521,319
99,0.020974455280022165,0.0942347343237924,-0.1637256239946109,0.20567453455465526,43,-0.06342935665285152,0.15042556516295436,-0.3582634643722421,0.23140475106653904,EUR_USD,7,2.0,long,142,380,214
98,-0.19664633834361328,0.09688358221463811,-0.386538159484304,-0.006754517202922583,43,-0.1032117085354573,0.1489676276459553,-0.3951882587215297,0.18876484165061508,EUR_USD,7,2.0,short,141,379,224
77,-0.004274301958628487,0.1104498451125985,-0.22075599837932156,0.21220739446206457,34,-0.08671075732872742,0.17030969982220984,-0.42051776898025867,0.24709625432280385,EUR_USD,7,2.5,long,111,291,164
64,-0.0545241313249893,0.12001022216971638,-0.2897441667776334,0.1806959041276548,28,0.0,0.19245008972987526,-0.3772021758705555,0.3772021758705555,EUR_USD,7,2.5,short,92,290,163
64,-0.14927017888036265,0.1173250675483531,-0.37922731127513476,0.08068695351440944,28,-0.14725016344327377,0.18954836281423465,-0.5187649545591737,0.22426462767262614,EUR_USD,7,3.0,long,92,229,128
50,-0.0562169629534303,0.1382587236400411,-0.32720406128791085,0.21477013538105022,22,-0.19261398640349317,0.212005427805326,-0.6081446249019321,0.2229166520949458,EUR_USD,7,3.0,short,72,228,127
140,-0.010541750536936397,0.0814361810135611,-0.17015666532351614,0.14907316424964334,61,0.04557297202930933,0.12854974306513076,-0.20638452437834698,0.2975304684369656,EUR_USD,10,1.5,long,201,518,315
151,-0.08413236302328272,0.07932731022704792,-0.23961389106829664,0.07134916502173119,65,-0.06516367697488785,0.12125089523989153,-0.30281543164507524,0.17248807769529956,EUR_USD,10,1.5,short,216,518,323
101,0.0327127486262622,0.09288702307552235,-0.1493458166017616,0.214771313854286,44,-0.17562414400165036,0.14663557845060324,-0.46302987776483273,0.11178158976153199,EUR_USD,10,2.0,long,145,379,218
98,-0.1762381750783071,0.09728761975014064,-0.36692190978858275,0.01444555963196853,43,-0.1032117085354573,0.1489676276459553,-0.3951882587215297,0.18876484165061508,EUR_USD,10,2.0,short,141,378,230
77,-0.00627028973933706,0.11066788585313612,-0.22317934601148384,0.21063876653280975,34,-0.14553428674049212,0.16908994593930537,-0.47695058078153063,0.18588200730054638,EUR_USD,10,2.5,long,111,289,162
67,-0.0651851355547448,0.1176484782673865,-0.2957761529588223,0.16540588184933275,29,0.034482758620689655,0.18886984741557453,-0.3357021423138364,0.4046676595552157,EUR_USD,10,2.5,short,96,288,163
62,-0.13029052463424584,0.11883033542734515,-0.36319798207184234,0.10261693280335066,27,-0.1897409102374691,0.1916976096223498,-0.5654682250972747,0.18598640462233648,EUR_USD,10,3.0,long,89,228,128
48,0.047058247049808065,0.1399698516153223,-0.22728266211622364,0.32139915621583975,21,-0.14285714285714285,0.2213133340689953,-0.5766312776323737,0.29091699191808795,EUR_USD,10,3.0,short,69,227,127
140,-0.016415242629436666,0.0811837529398255,-0.17553539839149462,0.1427049131326213,61,0.07835985727521097,0.1282860615365819,-0.17308082333648953,0.32980053788691144,EUR_USD,14,1.5,long,201,515,313
