tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
142,0.0794213503740365,0.08105945290844802,-0.0794551773265216,0.2382978780745946,62,0.012748705166657357,0.12642753163940512,-0.23504925684657668,0.2605466671798914,EUR_USD,7,1.5,long,204,521,206
149,-0.011875135922894601,0.07958462952804736,-0.16786100979786742,0.1441107379520782,64,0.029552680379072965,0.12146213254968513,-0.2085130994183099,0.26761846017645585,EUR_USD,7,1.5,short,213,521,215
90,0.0827431676212147,0.1012978028155382,-0.11580052589724016,0.28128686113966955,39,0.02912341280658173,0.1552094318245861,-0.27508707356960704,0.33333389918277045,EUR_USD,7,2.0,long,129,380,129
102,-0.072839455326761,0.09556103935407496,-0.26013909246074796,0.11446018180722592,44,-0.005814635219063931,0.14463074571556375,-0.2892908968215689,0.277661626383441,EUR_USD,7,2.0,short,146,379,147
70,0.038801848100146676,0.11398595389447728,-0.18461062153302882,0.26221431773332216,30,0.09423786231023748,0.18182806950111216,-0.2621451539119424,0.4506208785324173,EUR_USD,7,2.5,long,100,291,100
64,-0.01472228384187163,0.12133721345994754,-0.2525432222233688,0.22309865453962555,28,-0.04796121926272653,0.18322383433883668,-0.4070799345668464,0.31115749604139337,EUR_USD,7,2.5,short,92,290,93
46,0.11899947981335963,0.13834548255197573,-0.15215766598851282,0.39015662561523207,20,-0.2286959496323761,0.2184605726035407,-0.6568786719353159,0.1994867726705637,EUR_USD,7,3.0,long,66,229,66
46,-0.0847183346416521,0.14266579717021463,-0.3643432970952728,0.19490662781196857,21,-0.0006184894929688323,0.21142828887403148,-0.41501793568607054,0.4137809567001329,EUR_USD,7,3.0,short,67,228,67
144,0.08914045307045243,0.07989885950518093,-0.0674613115597022,0.24574221770060706,62,0.012748705166657371,0.12642753163940512,-0.23504925684657665,0.2605466671798914,EUR_USD,10,1.5,long,206,518,209
149,-0.0337712314291541,0.07980715658908329,-0.19019325834375733,0.12265079548544915,64,0.10421999606369534,0.1227425567952229,-0.13635541525494155,0.3447954073823322,EUR_USD,10,1.5,short,213,518,215
93,0.06307002369509383,0.09944567071393212,-0.1318434909042131,0.2579835382944008,41,0.027702758523333842,0.15162322077780896,-0.26947875420117173,0.32488427124783936,EUR_USD,10,2.0,long,134,379,134
105,-0.043648341146809905,0.0943139536487943,-0.22850369029844672,0.1412070080048269,45,-0.003115626686638547,0.1448869875974795,-0.2870941223776984,0.28086286900442126,EUR_USD,10,2.0,short,150,378,151
65,0.07675625522603038,0.1184871694793532,-0.15547859695350189,0.3089911074055627,29,0.06300468514852152,0.18541248080646183,-0.3004037772321437,0.42641314752918674,EUR_USD,10,2.5,long,94,289,94
63,-0.05885847781199592,0.12245471660324396,-0.2988697223543541,0.18115276673036224,28,-0.04796121926272653,0.18322383433883668,-0.4070799345668464,0.31115749604139337,EUR_USD,10,2.5,short,91,288,92
45,0.13467066476673753,0.1381654968624394,-0.13613370908364367,0.40547503861711875,20,-0.32869594963237614,0.21163974155906834,-0.7435098430881502,0.08611794382339782,EUR_USD,10,3.0,long,65,228,65
44,-0.03824572420212524,0.15018479685079067,-0.3326079260296749,0.25611647762542444,19,0.016884100853950132,0.2250767106188347,-0.42426625195896583,0.4580344536668661,EUR_USD,10,3.0,short,63,227,63
144,0.10494928028121336,0.07987367626862889,-0.05160312520529925,0.261501685767726,62,0.045006769682786406,0.12630668416229815,-0.20255433127531797,0.2925678706408908,EUR_USD,14,1.5,long,206,515,209
149,-0.025550355035039725,0.07954294024160274,-0.18145451790858108,0.13035380783850165,65,0.11957615759687792,0.12150629566218613,-0.11857618190100688,0.35772849709476273,EUR_USD,14,1.5,short,214,515,216
93,0.08457540003917986,0.0992719935428583,-0.1099977073048224,0.27914850738318214,41,0.024465829265408176,0.1511355482535878,-0.2717598453116239,0.3206915038424403,EUR_USD,14,2.0,long,134,381,134
105,-0.06269596019442895,0.09421064098391059,-0.2473488165228937,0.1219568961340358,46,0.018691234763070996,0.14337040256018294,-0.26231475425488754,0.29969722378102953,EUR_USD,14,2.0,short,151,380,152
66,0.09074479681351477,0.11751365044614574,-0.13958195806093088,0.3210715516879604,29,0.04413370506944996,0.18295054114443304,-0.3144493555736388,0.4027167657125387,EUR_USD,14,2.5,long,95,284,95
62,-0.043833661269332955,0.12348239928937428,-0.28585916387650656,0.19819184133784062,27,-0.08677459775393863,0.18582517252657907,-0.4509919359060336,0.2774427403981563,EUR_USD,14,2.5,short,89,283,90
46,0.11000391118485195,0.13736144328860872,-0.15922451766082116,0.3792323400305251,20,-0.32869594963237614,0.21163974155906834,-0.7435098430881502,0.08611794382339782,EUR_USD,14,3.0,long,66,225,66
46,-0.03638373842114285,0.14693678024441018,-0.3243798277001868,0.2516123508579011,20,-0.06714570696781715,0.213701050556444,-0.48599976605844736,0.3517083521228131,EUR_USD,14,3.0,short,66,224,66
144,0.09857896292737885,0.08023154923128371,-0.058674873565937216,0.2558327994206949,62,0.015342385997030935,0.12611314399148818,-0.2318393762262859,0.26252414822034775,EUR_USD,21,1.5,long,206,516,208
151,-0.029980335075535065,0.07877782952769351,-0.18438488094981434,0.1244242107987442,66,0.10261288248177372,0.12084761197027567,-0.1342484369799666,0.3394742019435141,EUR_USD,21,1.5,short,217,516,218
93,0.08664647643913773,0.09938765460276389,-0.1081533265822795,0.28144627946055495,41,0.004291783672551488,0.15312737587363986,-0.2958378730397826,0.3044214403848856,EUR_USD,21,2.0,long,134,378,134
105,-0.06239949884312157,0.09423702608684853,-0.2471040699733447,0.12230507228710155,46,0.018691234763071,0.14337040256018294,-0.26231475425488754,0.29969722378102953,EUR_USD,21,2.0,short,151,378,152
66,0.061985102953628045,0.11776053868418532,-0.16882555286737516,0.29279575877463127,29,0.04413370506944996,0.18295054114443304,-0.3144493555736388,0.4027167657125387,EUR_USD,21,2.5,long,95,284,95
66,-0.041177075737858226,0.11990165809652804,-0.2761843256070532,0.19383017413133674,29,-0.14762242973037865,0.17844953407521102,-0.4973835165177922,0.20213865705703493,EUR_USD,21,2.5,short,95,283,96
47,0.055215493667354225,0.13743706577399195,-0.21416115524967,0.32459214258437846,21,-0.29394591098537504,0.2082546165805943,-0.7021249594833399,0.11423313751258979,EUR_USD,21,3.0,long,68,230,68
49,-0.061272689809838896,0.1392996400228841,-0.33429998425469176,0.21175460463501394,22,-0.06104155178892463,0.20471757643941463,-0.4622880016101773,0.34020489803232806,EUR_USD,21,3.0,short,71,229,71
