tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
18,0.06576440368873006,0.23539646882448473,-0.39561267520726,0.5271414825847202,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,EUR_USD,7,1.5,long,26,521,206
23,-0.09303676884666112,0.19642912580172656,-0.47803785541804517,0.2919643177247229,10,0.17674320161000895,0.29608313898594785,-0.40357975080244884,0.7570661540224668,EUR_USD,7,1.5,short,33,521,215
10,0.2,0.32659863237109044,-0.4401333194473372,0.8401333194473373,5,0.6,0.4000000000000001,-0.18400000000000016,1.3840000000000001,EUR_USD,7,2.0,long,15,380,129
15,-0.6,0.21380899352993954,-1.0190656273186813,-0.1809343726813185,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,EUR_USD,7,2.0,short,22,379,147
11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,7,2.5,long,16,291,100
6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,3,0.1926576958651047,0.6086463021405655,-1.0002890563304037,1.3856044480606131,EUR_USD,7,2.5,short,9,290,93
7,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,3,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,7,3.0,long,10,229,66
2,1.0,0.0,1.0,1.0,2,-1.0,0.0,-1.0,-1.0,EUR_USD,7,3.0,short,4,228,67
18,0.28798662591095225,0.225360380434719,-0.153719719741097,0.7296929715630015,9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,EUR_USD,10,1.5,long,27,518,209
21,-0.11516812291257354,0.21417321073988344,-0.5349476159627451,0.304611370137598,9,0.051394309955776936,0.31538910869940573,-0.5667683430950582,0.6695569630066122,EUR_USD,10,1.5,short,30,518,215
13,0.38461538461538464,0.2664693550105965,-0.1376645512053845,0.9068953204361538,6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,EUR_USD,10,2.0,long,19,379,134
15,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,EUR_USD,10,2.0,short,22,378,151
9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,5,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,10,2.5,long,14,289,94
7,-0.7142857142857143,0.2857142857142857,-1.2742857142857142,-0.15428571428571436,4,0.39449327189882855,0.47535540420569256,-0.5372033203443288,1.3261898641419858,EUR_USD,10,2.5,short,11,288,92
7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,10,3.0,long,11,228,65
2,0.0,1.0,-1.96,1.96,2,-1.0,0.0,-1.0,-1.0,EUR_USD,10,3.0,short,4,227,63
19,0.15789473684210525,0.23274559932318592,-0.29828663783133913,0.6140761115155496,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,EUR_USD,14,1.5,long,28,515,209
22,-0.14282959088345087,0.21101398633472157,-0.5564170040995051,0.27075782233260337,10,0.25985328670692437,0.2956011926880881,-0.3195250509617283,0.8392316243755771,EUR_USD,14,1.5,short,32,515,216
13,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,6,0.5268284344611993,0.33469500245755934,-0.12917377035561695,1.1828306392780155,EUR_USD,14,2.0,long,19,381,134
