pair,entry_ts,exit_ts,r
USD_JPY,2016-01-06 10:00:00,2016-01-07 06:00:00,-1.0
USD_JPY,2016-01-07 02:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
USD_CHF,2016-01-07 18:00:00,2016-01-08 10:00:00,-1.0
USD_JPY,2016-01-07 22:00:00,2016-01-10 22:00:00,-1.0
USD_JPY,2016-01-11 06:00:00,2016-01-15 10:00:00,-1.0
USD_JPY,2016-01-11 18:00:00,2016-01-15 10:00:00,-1.0
USD_JPY,2016-01-12 06:00:00,2016-01-15 14:00:00,-1.0
USD_JPY,2016-01-12 22:00:00,2016-01-15 10:00:00,-1.0
USD_JPY,2016-01-14 02:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-14 14:00:00,2016-01-15 10:00:00,-1.0
USD_CHF,2016-01-15 10:00:00,2016-01-21 10:00:00,-1.0
USD_JPY,2016-01-15 18:00:00,2016-01-22 06:00:00,1.0
USD_JPY,2016-01-18 06:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-18 22:00:00,2016-01-20 06:00:00,-1.0
USD_CHF,2016-01-19 14:00:00,2016-01-21 10:00:00,-1.0
USD_JPY,2016-01-19 18:00:00,2016-01-20 06:00:00,-1.0
USD_JPY,2016-01-20 10:00:00,2016-01-22 02:00:00,1.0
USD_JPY,2016-01-20 18:00:00,2016-01-22 02:00:00,1.0
USD_JPY,2016-01-21 06:00:00,2016-01-22 02:00:00,1.0
USD_JPY,2016-01-22 02:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-22 14:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-25 14:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-26 06:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-27 02:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-27 10:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-27 22:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-28 06:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-28 18:00:00,2016-01-29 02:00:00,1.0
USD_JPY,2016-01-29 02:00:00,2016-02-03 10:00:00,-1.0
USD_JPY,2016-01-29 18:00:00,2016-02-02 18:00:00,-1.0
USD_JPY,2016-02-02 06:00:00,2016-02-02 22:00:00,-1.0
USD_CHF,2016-02-03 14:00:00,2016-02-04 10:00:00,1.0
USD_JPY,2016-02-03 18:00:00,2016-02-04 14:00:00,-1.0
USD_CHF,2016-02-04 06:00:00,2016-02-05 06:00:00,1.0
USD_JPY,2016-02-05 10:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-07 22:00:00,2016-02-08 14:00:00,-1.0
USD_CHF,2016-02-08 14:00:00,2016-02-09 10:00:00,1.0
USD_JPY,2016-02-08 18:00:00,2016-02-09 02:00:00,-1.0
USD_JPY,2016-02-09 06:00:00,2016-02-10 14:00:00,-1.0
USD_CHF,2016-02-09 10:00:00,2016-02-15 06:00:00,-1.0
USD_JPY,2016-02-09 14:00:00,2016-02-10 18:00:00,-1.0
USD_JPY,2016-02-10 02:00:00,2016-02-10 18:00:00,-1.0
USD_CHF,2016-02-11 06:00:00,2016-02-12 06:00:00,-1.0
USD_JPY,2016-02-11 10:00:00,2016-02-14 22:00:00,1.0
USD_JPY,2016-02-11 18:00:00,2016-02-14 22:00:00,1.0
USD_JPY,2016-02-12 06:00:00,2016-02-14 22:00:00,1.0
USD_JPY,2016-02-15 02:00:00,2016-02-18 22:00:00,-1.0
USD_JPY,2016-02-15 14:00:00,2016-02-17 06:00:00,-1.0
USD_JPY,2016-02-16 02:00:00,2016-02-17 06:00:00,-1.0
USD_JPY,2016-02-16 14:00:00,2016-02-18 22:00:00,-1.0
USD_JPY,2016-02-17 06:00:00,2016-02-18 22:00:00,-1.0
USD_JPY,2016-02-18 10:00:00,2016-02-18 22:00:00,-1.0
USD_JPY,2016-02-19 02:00:00,2016-02-23 06:00:00,-1.0
USD_CHF,2016-02-19 10:00:00,2016-02-29 10:00:00,-1.0
USD_JPY,2016-02-19 18:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-23 02:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-23 10:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-24 06:00:00,2016-02-25 22:00:00,1.0
USD_CHF,2016-02-24 14:00:00,2016-02-26 10:00:00,-1.0
USD_JPY,2016-02-24 18:00:00,2016-02-26 10:00:00,1.0
USD_JPY,2016-02-25 02:00:00,2016-02-26 14:00:00,1.0
USD_JPY,2016-02-25 10:00:00,2016-02-26 14:00:00,1.0
USD_CHF,2016-02-25 14:00:00,2016-02-26 14:00:00,-1.0
USD_JPY,2016-02-25 18:00:00,2016-03-01 18:00:00,1.0
USD_JPY,2016-02-26 06:00:00,2016-03-01 18:00:00,1.0
USD_JPY,2016-02-29 06:00:00,2016-03-01 14:00:00,1.0
USD_CHF,2016-02-29 14:00:00,2016-03-10 10:00:00,-1.0
USD_JPY,2016-03-01 02:00:00,2016-03-01 14:00:00,1.0
USD_JPY,2016-03-01 14:00:00,2016-03-07 22:00:00,-1.0
USD_JPY,2016-03-01 22:00:00,2016-03-07 22:00:00,-1.0
USD_JPY,2016-03-02 06:00:00,2016-03-02 18:00:00,-1.0
USD_JPY,2016-03-02 22:00:00,2016-03-08 14:00:00,-1.0
USD_CHF,2016-03-03 10:00:00,2016-03-09 10:00:00,-1.0
USD_JPY,2016-03-04 02:00:00,2016-03-08 14:00:00,-1.0
USD_JPY,2016-03-04 14:00:00,2016-03-07 22:00:00,-1.0
USD_JPY,2016-03-07 10:00:00,2016-03-09 10:00:00,-1.0
USD_CHF,2016-03-07 14:00:00,2016-03-10 10:00:00,-1.0
USD_JPY,2016-03-08 02:00:00,2016-03-10 10:00:00,1.0
USD_JPY,2016-03-08 10:00:00,2016-03-10 10:00:00,1.0
USD_JPY,2016-03-09 02:00:00,2016-03-10 02:00:00,1.0
USD_JPY,2016-03-09 10:00:00,2016-03-10 10:00:00,1.0
USD_CHF,2016-03-09 14:00:00,2016-03-10 10:00:00,-1.0
USD_JPY,2016-03-10 10:00:00,2016-03-10 14:00:00,-1.0
USD_CHF,2016-03-10 14:00:00,2016-03-17 05:00:00,1.0
USD_JPY,2016-03-10 18:00:00,2016-03-17 01:00:00,-1.0
USD_JPY,2016-03-11 14:00:00,2016-03-16 17:00:00,-1.0
USD_JPY,2016-03-14 09:00:00,2016-03-16 17:00:00,-1.0
USD_JPY,2016-03-14 17:00:00,2016-03-15 09:00:00,-1.0
USD_JPY,2016-03-15 13:00:00,2016-03-17 05:00:00,-1.0
USD_CHF,2016-03-16 17:00:00,2016-03-17 13:00:00,1.0
USD_JPY,2016-03-16 21:00:00,2016-03-17 05:00:00,-1.0
USD_CHF,2016-03-17 05:00:00,2016-03-30 09:00:00,1.0
USD_JPY,2016-03-17 17:00:00,2016-03-23 05:00:00,1.0
USD_JPY,2016-03-18 01:00:00,2016-03-23 05:00:00,1.0
USD_JPY,2016-03-21 09:00:00,2016-03-23 09:00:00,1.0
USD_JPY,2016-03-22 01:00:00,2016-03-24 21:00:00,1.0
USD_JPY,2016-03-22 09:00:00,2016-03-23 09:00:00,1.0
USD_JPY,2016-03-23 01:00:00,2016-03-28 01:00:00,1.0
USD_JPY,2016-03-23 21:00:00,2016-03-28 01:00:00,1.0
USD_JPY,2016-03-24 13:00:00,2016-04-03 21:00:00,-1.0
USD_JPY,2016-03-27 21:00:00,2016-03-30 05:00:00,-1.0
USD_JPY,2016-03-28 13:00:00,2016-03-30 05:00:00,-1.0
USD_JPY,2016-03-29 01:00:00,2016-03-29 21:00:00,-1.0
USD_CHF,2016-03-29 13:00:00,2016-03-30 13:00:00,1.0
USD_JPY,2016-03-30 09:00:00,2016-04-03 21:00:00,-1.0
USD_JPY,2016-03-30 21:00:00,2016-04-03 21:00:00,-1.0
USD_JPY,2016-03-31 05:00:00,2016-04-04 13:00:00,-1.0
USD_CHF,2016-03-31 05:00:00,2016-04-07 05:00:00,1.0
USD_JPY,2016-03-31 13:00:00,2016-04-04 01:00:00,-1.0
USD_JPY,2016-04-01 05:00:00,2016-04-04 13:00:00,-1.0
USD_JPY,2016-04-04 01:00:00,2016-04-05 05:00:00,-1.0
USD_JPY,2016-04-04 17:00:00,2016-04-05 13:00:00,-1.0
USD_JPY,2016-04-05 09:00:00,2016-04-06 17:00:00,-1.0
USD_JPY,2016-04-05 17:00:00,2016-04-07 01:00:00,-1.0
USD_JPY,2016-04-06 01:00:00,2016-04-07 01:00:00,-1.0
USD_CHF,2016-04-06 09:00:00,2016-04-14 01:00:00,-1.0
USD_JPY,2016-04-06 17:00:00,2016-04-07 05:00:00,-1.0
USD_JPY,2016-04-07 17:00:00,2016-04-13 09:00:00,1.0
USD_CHF,2016-04-08 13:00:00,2016-04-13 09:00:00,-1.0
USD_JPY,2016-04-10 21:00:00,2016-04-13 05:00:00,1.0
USD_JPY,2016-04-11 05:00:00,2016-04-13 09:00:00,1.0
USD_JPY,2016-04-11 21:00:00,2016-04-13 05:00:00,1.0
USD_CHF,2016-04-12 05:00:00,2016-04-13 09:00:00,-1.0
USD_JPY,2016-04-12 21:00:00,2016-04-20 17:00:00,1.0
USD_JPY,2016-04-13 13:00:00,2016-04-17 21:00:00,-1.0
USD_JPY,2016-04-14 09:00:00,2016-04-17 21:00:00,-1.0
USD_JPY,2016-04-14 17:00:00,2016-04-17 21:00:00,-1.0
USD_JPY,2016-04-15 17:00:00,2016-04-20 21:00:00,1.0
USD_JPY,2016-04-18 01:00:00,2016-04-18 21:00:00,1.0
USD_JPY,2016-04-18 21:00:00,2016-04-22 05:00:00,1.0
