pair,entry_ts,exit_ts,r
GBP_JPY,2016-01-11 10:00:00,2016-01-12 06:00:00,-1.0
GBP_JPY,2016-01-13 02:00:00,2016-01-13 22:00:00,-1.0
GBP_JPY,2016-01-14 18:00:00,2016-01-15 06:00:00,-1.0
GBP_JPY,2016-01-18 02:00:00,2016-01-19 22:00:00,-1.0
GBP_JPY,2016-01-19 06:00:00,2016-01-19 14:00:00,-1.0
GBP_JPY,2016-01-20 10:00:00,2016-01-21 14:00:00,1.0
GBP_JPY,2016-01-20 22:00:00,2016-01-21 22:00:00,1.0
GBP_JPY,2016-01-21 18:00:00,2016-01-22 06:00:00,1.0
GBP_JPY,2016-01-22 10:00:00,2016-01-26 06:00:00,-1.0
GBP_JPY,2016-01-26 10:00:00,2016-01-26 14:00:00,1.0
GBP_JPY,2016-01-28 10:00:00,2016-01-29 02:00:00,1.0
GBP_JPY,2016-02-03 10:00:00,2016-02-03 14:00:00,-1.0
GBP_JPY,2016-02-03 22:00:00,2016-02-04 14:00:00,-1.0
GBP_JPY,2016-02-09 10:00:00,2016-02-09 14:00:00,-1.0
GBP_JPY,2016-02-12 10:00:00,2016-02-15 02:00:00,1.0
GBP_JPY,2016-02-17 10:00:00,2016-02-18 22:00:00,-1.0
GBP_JPY,2016-02-24 22:00:00,2016-02-25 22:00:00,1.0
GBP_JPY,2016-02-25 14:00:00,2016-03-01 14:00:00,1.0
GBP_JPY,2016-03-01 10:00:00,2016-03-02 06:00:00,1.0
GBP_JPY,2016-03-02 14:00:00,2016-03-04 14:00:00,1.0
GBP_JPY,2016-03-04 18:00:00,2016-03-07 06:00:00,-1.0
GBP_JPY,2016-03-09 18:00:00,2016-03-10 14:00:00,1.0
GBP_JPY,2016-03-10 14:00:00,2016-03-11 14:00:00,1.0
GBP_JPY,2016-03-11 02:00:00,2016-03-11 14:00:00,1.0
GBP_JPY,2016-03-16 09:00:00,2016-03-17 09:00:00,-1.0
GBP_JPY,2016-03-16 21:00:00,2016-03-17 01:00:00,-1.0
GBP_JPY,2016-03-17 13:00:00,2016-03-22 05:00:00,-1.0
GBP_JPY,2016-03-18 13:00:00,2016-03-22 05:00:00,-1.0
GBP_JPY,2016-03-22 17:00:00,2016-03-28 05:00:00,1.0
GBP_JPY,2016-03-24 17:00:00,2016-03-28 09:00:00,1.0
GBP_JPY,2016-03-28 01:00:00,2016-03-29 05:00:00,1.0
GBP_JPY,2016-03-28 09:00:00,2016-04-01 13:00:00,-1.0
GBP_JPY,2016-03-29 09:00:00,2016-04-01 09:00:00,-1.0
GBP_JPY,2016-03-30 13:00:00,2016-04-01 01:00:00,-1.0
GBP_JPY,2016-03-31 09:00:00,2016-04-01 09:00:00,-1.0
GBP_JPY,2016-03-31 17:00:00,2016-04-01 09:00:00,-1.0
GBP_JPY,2016-04-08 01:00:00,2016-04-12 05:00:00,1.0
GBP_JPY,2016-04-11 09:00:00,2016-04-13 09:00:00,1.0
GBP_JPY,2016-04-12 17:00:00,2016-04-17 21:00:00,-1.0
GBP_JPY,2016-04-15 01:00:00,2016-04-17 21:00:00,-1.0
GBP_JPY,2016-04-18 09:00:00,2016-04-18 13:00:00,1.0
GBP_JPY,2016-04-19 01:00:00,2016-04-19 13:00:00,1.0
GBP_JPY,2016-04-19 09:00:00,2016-04-21 09:00:00,1.0
GBP_JPY,2016-04-22 05:00:00,2016-04-22 09:00:00,1.0
GBP_JPY,2016-04-26 09:00:00,2016-04-28 01:00:00,-1.0
GBP_JPY,2016-04-27 09:00:00,2016-04-28 01:00:00,-1.0
GBP_JPY,2016-05-02 13:00:00,2016-05-03 09:00:00,-1.0
GBP_JPY,2016-05-06 17:00:00,2016-05-09 09:00:00,1.0
GBP_JPY,2016-05-09 09:00:00,2016-05-10 05:00:00,1.0
GBP_JPY,2016-05-10 09:00:00,2016-05-13 17:00:00,-1.0
GBP_JPY,2016-05-12 05:00:00,2016-05-17 05:00:00,1.0
GBP_JPY,2016-05-17 01:00:00,2016-05-18 13:00:00,1.0
GBP_JPY,2016-05-18 05:00:00,2016-05-18 13:00:00,1.0
GBP_JPY,2016-05-24 09:00:00,2016-05-25 05:00:00,1.0
GBP_JPY,2016-05-25 09:00:00,2016-05-31 01:00:00,1.0
GBP_JPY,2016-05-30 01:00:00,2016-05-31 01:00:00,1.0
GBP_JPY,2016-05-31 13:00:00,2016-05-31 17:00:00,-1.0
GBP_JPY,2016-06-06 05:00:00,2016-06-07 01:00:00,1.0
GBP_JPY,2016-06-06 17:00:00,2016-06-07 01:00:00,1.0
GBP_JPY,2016-06-13 13:00:00,2016-06-16 01:00:00,-1.0
GBP_JPY,2016-06-15 21:00:00,2016-06-16 01:00:00,-1.0
GBP_JPY,2016-06-16 17:00:00,2016-06-19 21:00:00,1.0
GBP_JPY,2016-06-21 09:00:00,2016-06-23 09:00:00,1.0
GBP_JPY,2016-06-22 13:00:00,2016-06-22 21:00:00,1.0
GBP_JPY,2016-06-23 21:00:00,2016-06-24 01:00:00,-1.0
GBP_JPY,2016-06-29 09:00:00,2016-06-30 13:00:00,-1.0
GBP_JPY,2016-06-30 09:00:00,2016-06-30 13:00:00,-1.0
GBP_JPY,2016-07-06 13:00:00,2016-07-07 17:00:00,-1.0
GBP_JPY,2016-07-11 05:00:00,2016-07-11 09:00:00,1.0
GBP_JPY,2016-07-12 05:00:00,2016-07-12 09:00:00,1.0
GBP_JPY,2016-07-13 01:00:00,2016-07-13 05:00:00,-1.0
GBP_JPY,2016-07-14 05:00:00,2016-07-14 09:00:00,1.0
GBP_JPY,2016-07-20 09:00:00,2016-07-20 21:00:00,1.0
GBP_JPY,2016-07-20 21:00:00,2016-07-21 05:00:00,-1.0
GBP_JPY,2016-07-26 17:00:00,2016-07-27 01:00:00,1.0
GBP_JPY,2016-07-27 01:00:00,2016-07-28 21:00:00,-1.0
GBP_JPY,2016-08-03 09:00:00,2016-08-04 09:00:00,-1.0
GBP_JPY,2016-08-05 17:00:00,2016-08-10 13:00:00,-1.0
GBP_JPY,2016-08-11 13:00:00,2016-08-12 13:00:00,-1.0
GBP_JPY,2016-08-12 01:00:00,2016-08-12 13:00:00,-1.0
GBP_JPY,2016-08-17 01:00:00,2016-08-17 21:00:00,-1.0
GBP_JPY,2016-08-18 09:00:00,2016-08-19 13:00:00,-1.0
GBP_JPY,2016-08-24 09:00:00,2016-08-28 21:00:00,1.0
GBP_JPY,2016-08-26 17:00:00,2016-08-30 13:00:00,1.0
GBP_JPY,2016-08-29 05:00:00,2016-08-31 05:00:00,1.0
GBP_JPY,2016-08-30 09:00:00,2016-08-31 05:00:00,1.0
GBP_JPY,2016-08-31 09:00:00,2016-09-01 05:00:00,1.0
GBP_JPY,2016-08-31 17:00:00,2016-09-01 05:00:00,1.0
GBP_JPY,2016-09-01 05:00:00,2016-09-01 09:00:00,1.0
GBP_JPY,2016-09-02 13:00:00,2016-09-06 21:00:00,-1.0
GBP_JPY,2016-09-08 17:00:00,2016-09-13 13:00:00,-1.0
GBP_JPY,2016-09-14 05:00:00,2016-09-15 09:00:00,-1.0
GBP_JPY,2016-09-21 01:00:00,2016-09-21 09:00:00,-1.0
GBP_JPY,2016-09-27 05:00:00,2016-09-29 05:00:00,1.0
GBP_JPY,2016-09-27 17:00:00,2016-09-29 01:00:00,1.0
GBP_JPY,2016-09-29 01:00:00,2016-09-29 17:00:00,-1.0
GBP_JPY,2016-09-29 13:00:00,2016-09-29 17:00:00,-1.0
GBP_JPY,2016-10-04 01:00:00,2016-10-06 21:00:00,-1.0
GBP_JPY,2016-10-05 17:00:00,2016-10-06 21:00:00,-1.0
GBP_JPY,2016-10-07 05:00:00,2016-10-07 09:00:00,-1.0
GBP_JPY,2016-10-12 01:00:00,2016-10-13 05:00:00,-1.0
GBP_JPY,2016-10-12 17:00:00,2016-10-13 01:00:00,-1.0
GBP_JPY,2016-10-13 17:00:00,2016-10-27 05:00:00,0.9999999999999888
GBP_JPY,2016-10-18 01:00:00,2016-10-27 05:00:00,0.9999999999999888
GBP_JPY,2016-10-20 17:00:00,2016-10-21 09:00:00,-1.0
GBP_JPY,2016-10-24 09:00:00,2016-11-01 05:00:00,1.0
GBP_JPY,2016-10-26 09:00:00,2016-11-01 05:00:00,1.0
GBP_JPY,2016-10-27 17:00:00,2016-11-02 01:00:00,-1.0
GBP_JPY,2016-10-31 17:00:00,2016-11-01 17:00:00,-1.0
GBP_JPY,2016-11-08 10:00:00,2016-11-09 02:00:00,-1.0
GBP_JPY,2016-11-08 18:00:00,2016-11-09 02:00:00,-1.0
GBP_JPY,2016-11-09 10:00:00,2016-11-09 14:00:00,0.999999999999989
GBP_JPY,2016-11-10 10:00:00,2016-11-10 14:00:00,1.0
GBP_JPY,2016-11-15 14:00:00,2016-11-15 18:00:00,1.0
GBP_JPY,2016-11-18 18:00:00,2016-11-21 10:00:00,1.0
GBP_JPY,2016-11-21 14:00:00,2016-11-23 06:00:00,-1.0
GBP_JPY,2016-11-23 14:00:00,2016-11-24 06:00:00,1.0
GBP_JPY,2016-11-24 10:00:00,2016-11-27 22:00:00,-1.0
