tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1582,-0.0018723521725552323,0.0242427920269724,-0.04938822454542113,0.045643520200310664,679,-0.018729803752807958,0.03732788216513134,-0.09189245279646538,0.05443284529084946,EUR_USD,14,0.5,close_breakout,long,2261
1582,-0.015755498866963584,0.024301844930423627,-0.06338711493059389,0.03187611719666672,679,0.015665312568388514,0.03749980385085743,-0.05783430297929204,0.08916492811606908,EUR_USD,14,0.5,close_breakout,short,2261
2691,-0.002623063888305611,0.018592883491320857,-0.03906511553129449,0.03381898775468327,1154,0.008554539918095495,0.028726396279081502,-0.04774919678890425,0.06485827662509525,EUR_USD,14,0.5,range_expansion,long,3845
2681,-0.001577840958236539,0.018598050560010654,-0.038030020055857414,0.03487433813938434,1149,0.00991141219516494,0.028791608238810728,-0.046520139952904084,0.06634296434323396,EUR_USD,14,0.5,range_expansion,short,3830
610,-0.002698142854315053,0.03892385893118678,-0.07898890635944114,0.07359262065081104,262,0.04091022954216949,0.05995839669703011,-0.07660822798400951,0.1584286870683485,EUR_USD,14,1.0,close_breakout,long,872
650,-0.03595903683653616,0.038123973045447804,-0.11068202400561386,0.03876395033254154,279,0.06355776030585873,0.05814187455177089,-0.050400313815612205,0.17751583442732966,EUR_USD,14,1.0,close_breakout,short,929
1654,-0.002498277411638853,0.02372632512196075,-0.049001874650681926,0.044005319827404216,709,-0.006924769619588256,0.03656502942117615,-0.0785922272850935,0.064742688045917,EUR_USD,14,1.0,range_expansion,long,2363
1688,-0.013740227517451506,0.023536066419892754,-0.059870917700441305,0.03239046266553829,724,0.025983149116960157,0.03629861115895732,-0.04516212875459619,0.09712842698851651,EUR_USD,14,1.0,range_expansion,short,2412
255,-0.03843499579106263,0.060595803334399255,-0.15720277032648516,0.0803327787443599,110,0.02032445069947246,0.09261762571257938,-0.16120609569718314,0.20185499709612803,EUR_USD,14,1.5,close_breakout,long,365
263,-0.16075377304345423,0.059080466510595744,-0.27655148740422186,-0.04495605868268657,113,-0.0363826175771104,0.09230018520161805,-0.21729098057228177,0.14452574541806099,EUR_USD,14,1.5,close_breakout,short,376
807,0.026993024441182983,0.033845849671240505,-0.03934484091444841,0.09333088979681438,347,-0.006323022006557193,0.05219056573026647,-0.10861653083787946,0.09597048682476507,EUR_USD,14,1.5,range_expansion,long,1154
821,-0.01763209679307825,0.033729272025113416,-0.08374146996230053,0.04847727637614404,352,-0.021817804920805182,0.05223402136896735,-0.12419648680398118,0.08056087696237083,EUR_USD,14,1.5,range_expansion,short,1173
1571,-0.005052284036113986,0.024320756571717672,-0.05272096691668062,0.04261639884445265,674,-0.013794433481419129,0.037448457792373935,-0.08719341075447204,0.05960454379163379,EUR_USD,20,0.5,close_breakout,long,2245
1574,-0.007276479399203605,0.02434069636664576,-0.054984244277829296,0.04043128547942209,675,0.0009433292354604396,0.03761032253011394,-0.0727729029235629,0.07465956139448376,EUR_USD,20,0.5,close_breakout,short,2249
2691,-0.002623063888305611,0.018592883491320857,-0.03906511553129449,0.03381898775468327,1154,0.008554539918095495,0.028726396279081502,-0.04774919678890425,0.06485827662509525,EUR_USD,20,0.5,range_expansion,long,3845
2681,-0.001577840958236539,0.018598050560010654,-0.038030020055857414,0.03487433813938434,1149,0.00991141219516494,0.028791608238810728,-0.046520139952904084,0.06634296434323396,EUR_USD,20,0.5,range_expansion,short,3830
597,-0.00931021827613452,0.03949123295917338,-0.08671303487611434,0.06809259832384532,257,0.05967269353053841,0.0605384238789918,-0.05898261727228551,0.17832800433336232,EUR_USD,20,1.0,close_breakout,long,854
646,-0.04546961910796982,0.038219342305044944,-0.12037953002585791,0.02944029180991827,277,0.05399725420898579,0.05850201397264105,-0.06066669317739067,0.16866120159536224,EUR_USD,20,1.0,close_breakout,short,923
1654,-0.002498277411638853,0.02372632512196075,-0.049001874650681926,0.044005319827404216,709,-0.006924769619588256,0.03656502942117615,-0.0785922272850935,0.064742688045917,EUR_USD,20,1.0,range_expansion,long,2363
1688,-0.013740227517451506,0.023536066419892754,-0.059870917700441305,0.03239046266553829,724,0.025983149116960157,0.03629861115895732,-0.04516212875459619,0.09712842698851651,EUR_USD,20,1.0,range_expansion,short,2412
251,-0.023111250704067627,0.06107515399886498,-0.14281855254184297,0.09659605113370773,108,-0.001139966821035635,0.09432904984995912,-0.1860249045269555,0.1837449708848842,EUR_USD,20,1.5,close_breakout,long,359
251,-0.18437546737222496,0.06011679367959798,-0.302204382984237,-0.06654655176021293,108,-0.028807738761235883,0.09435454005864087,-0.213742637276172,0.15612715975370023,EUR_USD,20,1.5,close_breakout,short,359
807,0.026993024441182983,0.033845849671240505,-0.03934484091444841,0.09333088979681438,347,-0.006323022006557193,0.05219056573026647,-0.10861653083787946,0.09597048682476507,EUR_USD,20,1.5,range_expansion,long,1154
821,-0.01763209679307825,0.033729272025113416,-0.08374146996230053,0.04847727637614404,352,-0.021817804920805182,0.05223402136896735,-0.12419648680398118,0.08056087696237083,EUR_USD,20,1.5,range_expansion,short,1173
1598,-0.004435035825621595,0.02472083479927256,-0.05288787203219581,0.04401780038095262,685,-0.06681050899570039,0.03717099072141226,-0.13966565080966842,0.0060446328182676284,GBP_USD,14,0.5,close_breakout,long,2283
1557,0.007949375763483231,0.025134521555237124,-0.04131428648478153,0.05721303801174799,668,0.010671115611220302,0.037723925698847194,-0.06326777875852019,0.0846100099809608,GBP_USD,14,0.5,close_breakout,short,2225
2652,-0.016298867902559692,0.019220286236451008,-0.05397062892600367,0.021372893120884282,1137,-0.007161729733753109,0.028949615374388064,-0.06390297586755371,0.0495795164000475,GBP_USD,14,0.5,range_expansion,long,3789
2620,0.005295265285131224,0.01933680766850174,-0.03260487774513219,0.04319540831539464,1124,0.017111351196436173,0.02897633000591412,-0.03968225561515551,0.07390495800802785,GBP_USD,14,0.5,range_expansion,short,3744
641,-0.0027823411599373297,0.039187746495978226,-0.07959032429205466,0.07402564197217999,275,-0.0020202718160531497,0.058186316857450765,-0.11606545285665665,0.11202490922455036,GBP_USD,14,1.0,close_breakout,long,916
647,0.003668965654606348,0.03898396940094459,-0.07273961437124504,0.08007754568045775,278,0.01398213438785297,0.058783682262416766,-0.1012338828464839,0.12919815162218984,GBP_USD,14,1.0,close_breakout,short,925
1707,-0.0040553549322657695,0.02396635217011873,-0.051029405185698484,0.04291869532116695,732,-0.0005220528010536204,0.03580473839859787,-0.07069934006230545,0.06965523446019821,GBP_USD,14,1.0,range_expansion,long,2439
1673,0.038425959996432536,0.02422150822124298,-0.009048196117203706,0.08590011611006879,717,-0.02766473389872159,0.036441446321154966,-0.09908996868818533,0.04376050089074214,GBP_USD,14,1.0,range_expansion,short,2390
235,0.019445326871310002,0.06482696930020344,-0.10761553295708873,0.14650618669970875,102,-0.14920421520527014,0.09493905297964608,-0.33528475904537647,0.03687632863483617,GBP_USD,14,1.5,close_breakout,long,337
260,0.0089744548769599,0.0616645684032136,-0.11188809919333875,0.12983700894725855,112,0.12896252109273426,0.0917458407314353,-0.050859326740878924,0.3087843689263474,GBP_USD,14,1.5,close_breakout,short,372
807,-0.019299359666504007,0.03483099405265182,-0.08756810800970156,0.04896938867669355,347,0.05859166545580198,0.051654078936003954,-0.04265032925876577,0.15983366017036973,GBP_USD,14,1.5,range_expansion,long,1154
