tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
225,0.04792034644137301,0.06403852286051609,-0.07759515836523852,0.17343585124798455,97,-0.12419827325885638,0.10049772450870985,-0.32117381329592765,0.07277726677821492,EUR_USD,14,0.5,close_breakout,long,322
233,-0.016985085686645304,0.06365438703251669,-0.141747684270378,0.10777751289708741,101,0.013192068518419404,0.09903918220943758,-0.18092472861207826,0.20730886564891704,EUR_USD,14,0.5,close_breakout,short,334
760,0.018497141852690496,0.03514793606438477,-0.050392812833503664,0.08738709653888466,327,-0.012333487320886898,0.05411671463821899,-0.11840224801179611,0.09373527337002233,EUR_USD,14,0.5,range_expansion,long,1087
743,-0.04898189115480677,0.03527341827179142,-0.11811779096751795,0.020154008657904406,319,-0.04073017898114392,0.05471713132645972,-0.14797575638100496,0.06651539841871713,EUR_USD,14,0.5,range_expansion,short,1062
42,-0.055686495566760134,0.15395384963710446,-0.35743604085548486,0.24606304972196458,18,0.0,0.24253562503633302,-0.4753698250712127,0.4753698250712127,EUR_USD,14,1.0,close_breakout,long,60
48,-0.04281061337995443,0.14284047947963324,-0.3227779531600356,0.23715672640012672,21,0.03446287706056546,0.22092246946460484,-0.39854516309006005,0.46747091721119094,EUR_USD,14,1.0,close_breakout,short,69
323,0.11431743105756803,0.053610582879561254,0.009240688613627979,0.21939417350150808,139,-0.014071267315619796,0.08371582072145071,-0.1781542759296632,0.1500117412984236,EUR_USD,14,1.0,range_expansion,long,462
327,-0.03752535737693711,0.05321515474222264,-0.14182706067169348,0.06677634591781925,141,0.0014331060869524255,0.08290290972407716,-0.16105659697223879,0.16392280914614366,EUR_USD,14,1.0,range_expansion,short,468
8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,14,1.5,close_breakout,long,12
10,0.07311528327039447,0.3165582332400577,-0.5473388538801186,0.6935694204209076,5,-0.25525591634562506,0.4581480835754087,-1.1532261601534262,0.6427143274621759,EUR_USD,14,1.5,close_breakout,short,15
96,0.11902602303223853,0.0984955504701182,-0.07402525588919312,0.31207730195367017,42,-0.23809523809523808,0.15168248750118007,-0.535392913597551,0.05920243740707487,EUR_USD,14,1.5,range_expansion,long,138
81,-0.08031028999860845,0.1079436465778411,-0.291879837291177,0.1312592572939601,35,-0.26503655947794647,0.1641510321632937,-0.5867725825180021,0.05669946356210914,EUR_USD,14,1.5,range_expansion,short,116
219,0.027402402953366267,0.06504530746081055,-0.10008639966982241,0.15489120557655495,94,-0.13880034580967093,0.10187812735820845,-0.3384814754317595,0.06088078381241763,EUR_USD,20,0.5,close_breakout,long,313
228,-0.014806565828899257,0.06420969059343469,-0.14065755939203123,0.11104442773423272,98,0.003391825717962856,0.10053764669941441,-0.1936619618128894,0.20044561324881507,EUR_USD,20,0.5,close_breakout,short,326
760,0.018497141852690496,0.03514793606438477,-0.050392812833503664,0.08738709653888466,327,-0.012333487320886898,0.05411671463821899,-0.11840224801179611,0.09373527337002233,EUR_USD,20,0.5,range_expansion,long,1087
743,-0.04898189115480677,0.03527341827179142,-0.11811779096751795,0.020154008657904406,319,-0.04073017898114392,0.05471713132645972,-0.14797575638100496,0.06651539841871713,EUR_USD,20,0.5,range_expansion,short,1062
40,-0.00847082034509814,0.1579959627729201,-0.31814290738002154,0.3012012666898252,18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,EUR_USD,20,1.0,close_breakout,long,58
46,0.042284577342656234,0.14585380944024373,-0.24358888916022148,0.32815804384553393,21,0.1297009722986607,0.21914608118408813,-0.299825346822152,0.5592272914194735,EUR_USD,20,1.0,close_breakout,short,67
323,0.11431743105756803,0.053610582879561254,0.009240688613627979,0.21939417350150808,139,-0.014071267315619796,0.08371582072145071,-0.1781542759296632,0.1500117412984236,EUR_USD,20,1.0,range_expansion,long,462
327,-0.03752535737693711,0.05321515474222264,-0.14182706067169348,0.06677634591781925,141,0.0014331060869524255,0.08290290972407716,-0.16105659697223879,0.16392280914614366,EUR_USD,20,1.0,range_expansion,short,468
