tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
2724,0.012869029910268514,0.01856320082120231,-0.023514843699288013,0.049252903519825045,1168,0.0368654086469541,0.02882406947525628,-0.01962976752454821,0.09336058481845641,USD_CHF,14,0.5,range_expansion,short,3892
630,0.10129010236411205,0.03845909216841933,0.025910281714010178,0.17666992301421391,271,0.11979784097051635,0.05984661871633995,0.0024984682864900576,0.23709721365454264,USD_CHF,14,1.0,close_breakout,short,901
244,0.1512249027880353,0.061842805287709426,0.03001300442412483,0.2724368011519458,105,0.25424842811832865,0.09353594901265715,0.07091796805352066,0.4375788881831366,USD_CHF,14,1.5,close_breakout,short,349
807,0.07790581506758532,0.03399305394948918,0.01127942932658653,0.1445322008085841,346,0.090329688364043,0.05291192241292699,-0.013377679565293912,0.19403705629337992,USD_CHF,14,1.5,range_expansion,short,1153
2724,0.012869029910268514,0.01856320082120231,-0.023514843699288013,0.049252903519825045,1168,0.0368654086469541,0.02882406947525628,-0.01962976752454821,0.09336058481845641,USD_CHF,20,0.5,range_expansion,short,3892
629,0.10036917245527956,0.0384362745264716,0.02503407438339522,0.1757042705271639,270,0.10172301815929603,0.06007961930792881,-0.016033035684244426,0.2194790720028365,USD_CHF,20,1.0,close_breakout,short,899
248,0.14878579145274437,0.061389565461759284,0.028462243147696173,0.26910933975779255,107,0.23080453226564965,0.0932505639223167,0.04803342697790891,0.4135756375533904,USD_CHF,20,1.5,close_breakout,short,355
807,0.07790581506758532,0.03399305394948918,0.01127942932658653,0.1445322008085841,346,0.090329688364043,0.05291192241292699,-0.013377679565293912,0.19403705629337992,USD_CHF,20,1.5,range_expansion,short,1153
2814,0.029913365282879648,0.018418682217683866,-0.006187251863780732,0.06601398242954003,1206,0.07406104213448252,0.027068457358634532,0.021006865711558832,0.1271152185574062,CAD_CHF,14,0.5,range_expansion,short,4020
609,0.028838358589982162,0.03969706524118072,-0.04896788928273204,0.10664460646269636,262,0.13241758684278324,0.05796280095343533,0.01881049697404999,0.24602467671151648,CAD_CHF,14,1.0,close_breakout,short,871
1740,0.007016187371169484,0.02347138560730577,-0.038987728419149825,0.053020103161488794,747,0.06402660307945002,0.034562578020295845,-0.0037160498403298325,0.13176925599922987,CAD_CHF,14,1.0,range_expansion,short,2487
2814,0.029913365282879648,0.018418682217683866,-0.006187251863780732,0.06601398242954003,1206,0.07406104213448252,0.027068457358634532,0.021006865711558832,0.1271152185574062,CAD_CHF,20,0.5,range_expansion,short,4020
604,0.02916965157351468,0.039819484511070376,-0.04887653806818325,0.10721584121521262,259,0.10969860651298903,0.05837177449213509,-0.0047100714915957465,0.2241072845175738,CAD_CHF,20,1.0,close_breakout,short,863
1740,0.007016187371169484,0.02347138560730577,-0.038987728419149825,0.053020103161488794,747,0.06402660307945002,0.034562578020295845,-0.0037160498403298325,0.13176925599922987,CAD_CHF,20,1.0,range_expansion,short,2487
1666,0.04086819414824534,0.023450855632458998,-0.005095482891374292,0.08683187118786498,715,0.09764738608628457,0.0367723658087356,0.025573549101162787,0.16972122307140636,USD_JPY,14,0.5,close_breakout,long,2381
2795,0.06072113208234703,0.018041498858598525,0.025359794319493922,0.09608246984520014,1198,0.11271260575223767,0.028380849213594624,0.057086141293592206,0.16833907021088312,USD_JPY,14,0.5,range_expansion,long,3993
1780,0.046347876329640166,0.022647044904152237,0.0019596683175017796,0.09073608434177854,763,0.07455361647019976,0.03572432708649808,0.004533935380663517,0.144573297559736,USD_JPY,14,1.0,range_expansion,long,2543
1654,0.04402936659174704,0.02351632133194967,-0.002062623218874307,0.09012135640236839,710,0.09563515125889711,0.03687913274845014,0.023352051071934846,0.16791825144585937,USD_JPY,20,0.5,close_breakout,long,2364
2795,0.06072113208234703,0.018041498858598525,0.025359794319493922,0.09608246984520014,1198,0.11271260575223767,0.028380849213594624,0.057086141293592206,0.16833907021088312,USD_JPY,20,0.5,range_expansion,long,3993
1780,0.046347876329640166,0.022647044904152237,0.0019596683175017796,0.09073608434177854,763,0.07455361647019976,0.03572432708649808,0.004533935380663517,0.144573297559736,USD_JPY,20,1.0,range_expansion,long,2543
1675,0.015476332807564205,0.023415785231367642,-0.03041860624591637,0.06137127186104478,719,0.1327610887504354,0.03610130749244429,0.06200252606524459,0.20351965143562623,CHF_JPY,14,0.5,close_breakout,long,2394
2830,0.005941667851107545,0.01788558605950272,-0.029114080825517787,0.04099741652773287,1213,0.1742564924109737,0.027615807824146476,0.12012950907564662,0.2283834757463008,CHF_JPY,14,0.5,range_expansion,long,4043
2830,0.005941667851107545,0.01788558605950272,-0.029114080825517787,0.04099741652773287,1213,0.1742564924109737,0.027615807824146476,0.12012950907564662,0.2283834757463008,CHF_JPY,20,0.5,range_expansion,long,4043
1782,0.03444429280670529,0.023612052475953382,-0.011835330046163342,0.08072391565957392,765,0.043265184612951806,0.03594001510006091,-0.02717724498316757,0.11370761420907119,NZD_JPY,14,1.0,range_expansion,long,2547
1782,0.03444429280670529,0.023612052475953382,-0.011835330046163342,0.08072391565957392,765,0.043265184612951806,0.03594001510006091,-0.02717724498316757,0.11370761420907119,NZD_JPY,20,1.0,range_expansion,long,2547
1801,-0.055489927735759656,0.023429484353382997,-0.10141171706839033,-0.009568138403128985,772,0.017333141939110033,0.03588525742043102,-0.05300196260493477,0.08766824648315484,USD_NOK,14,1.0,range_expansion,long,2573
1801,-0.055489927735759656,0.023429484353382997,-0.10141171706839033,-0.009568138403128985,772,0.017333141939110033,0.03588525742043102,-0.05300196260493477,0.08766824648315484,USD_NOK,20,1.0,range_expansion,long,2573
