tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1805,0.03713930450544896,0.023022848592853973,-0.00798547873654483,0.08226408774744275,775,0.056710918440625556,0.03380428733423925,-0.009545484734483377,0.12296732161573448,CAD_CHF,14,0.5,range_expansion,short,2580
1805,0.03713930450544896,0.023022848592853973,-0.00798547873654483,0.08226408774744275,775,0.056710918440625556,0.03380428733423925,-0.009545484734483377,0.12296732161573448,CAD_CHF,20,0.5,range_expansion,short,2580
1880,0.0361886882451623,0.022095103605056253,-0.00711771482074796,0.07949509131107255,807,0.13627844769932418,0.03439304333013113,0.06886808277226716,0.2036888126263812,USD_JPY,14,0.5,range_expansion,long,2687
1880,0.0361886882451623,0.022095103605056253,-0.00711771482074796,0.07949509131107255,807,0.13627844769932418,0.03439304333013113,0.06886808277226716,0.2036888126263812,USD_JPY,20,0.5,range_expansion,long,2687
1868,0.014273306366856477,0.02306337686513342,-0.030930912288805026,0.05947752502251798,802,0.16076053587844857,0.0340959795204812,0.09393241601830543,0.22758865573859172,GBP_JPY,14,0.5,range_expansion,long,2670
1071,0.07006823611183756,0.030339163559255398,0.010603475535696981,0.12953299668797813,460,0.15749905990608917,0.04482568353806615,0.06964072017147951,0.24535739964069883,GBP_JPY,14,1.0,range_expansion,long,1531
1868,0.014273306366856477,0.02306337686513342,-0.030930912288805026,0.05947752502251798,802,0.16076053587844857,0.0340959795204812,0.09393241601830543,0.22758865573859172,GBP_JPY,20,0.5,range_expansion,long,2670
1071,0.07006823611183756,0.030339163559255398,0.010603475535696981,0.12953299668797813,460,0.15749905990608917,0.04482568353806615,0.06964072017147951,0.24535739964069883,GBP_JPY,20,1.0,range_expansion,long,1531
1216,0.04800451106217494,0.02744282503341151,-0.005783426003311623,0.1017924481276615,522,0.12423213337113075,0.042350781786978695,0.0412246010686525,0.207239665673609,CHF_JPY,14,0.5,close_breakout,long,1738
1908,0.017265024224366907,0.021767576642993697,-0.025399425995900737,0.05992947444463455,818,0.15821565113264324,0.03360848540224439,0.09234301974424423,0.22408828252104224,CHF_JPY,14,0.5,range_expansion,long,2726
1146,0.05290500586051094,0.028162026193195827,-0.0022925654781528818,0.10810257719917477,492,0.147794951255691,0.043357054117133864,0.06281512518610863,0.23277477732527338,CHF_JPY,14,1.0,range_expansion,long,1638
1208,0.04693341797289372,0.02754821303828996,-0.0070610795821546,0.10092791552794204,518,0.12097182188971287,0.04251285035475659,0.037646635194389946,0.2042970085850358,CHF_JPY,20,0.5,close_breakout,long,1726
1908,0.017265024224366907,0.021767576642993697,-0.025399425995900737,0.05992947444463455,818,0.15821565113264324,0.03360848540224439,0.09234301974424423,0.22408828252104224,CHF_JPY,20,0.5,range_expansion,long,2726
1146,0.05290500586051094,0.028162026193195827,-0.0022925654781528818,0.10810257719917477,492,0.147794951255691,0.043357054117133864,0.06281512518610863,0.23277477732527338,CHF_JPY,20,1.0,range_expansion,long,1638
1752,-0.06621004566210047,0.02384530659069014,-0.11294684657985314,-0.019473244744347792,751,0.025299600532623184,0.03650314927441905,-0.046246572045238146,0.09684577311048452,USD_ZAR,14,0.5,range_expansion,short,2503
1752,-0.06621004566210047,0.02384530659069014,-0.11294684657985314,-0.019473244744347792,751,0.025299600532623184,0.03650314927441905,-0.046246572045238146,0.09684577311048452,USD_ZAR,20,0.5,range_expansion,short,2503
