tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,atr_period,k,trigger,direction,total_n
1108,0.005799469859629938,0.0289504615566914,-0.050943434791485206,0.06254237451074508,475,-0.027729446483568593,0.04479138720193177,-0.11552056539935486,0.060061672432217675,EUR_USD,14,0.5,close_breakout,long,1583
1083,-0.017386169502395486,0.029448676950825713,-0.07510557632601389,0.04033323732122291,465,0.053637335213158256,0.04516682437710497,-0.034889640565967474,0.142164310992284,EUR_USD,14,0.5,close_breakout,short,1548
1809,0.0007169613474522072,0.022651451674374636,-0.043679883934322074,0.04511380662922649,776,-0.002322078608692565,0.03491707427600361,-0.07075954418965963,0.06611538697227451,EUR_USD,14,0.5,range_expansion,long,2585
1775,-0.01973732851070442,0.022904223214136415,-0.06462960601041179,0.025154948989002952,762,0.03672735856498617,0.03530991726859477,-0.03248007928145957,0.10593479641143191,EUR_USD,14,0.5,range_expansion,short,2537
413,0.029849360847787616,0.04706693785146753,-0.06240183734108875,0.12210055903666397,178,0.05012631042704222,0.07329527836813461,-0.09353243517450163,0.19378505602858606,EUR_USD,14,1.0,close_breakout,long,591
436,-0.025840811081649807,0.04674714433517437,-0.11746521397859157,0.06578359181529196,187,0.12141983363506692,0.07094812709979313,-0.01763849548052762,0.2604781627506615,EUR_USD,14,1.0,close_breakout,short,623
1019,-0.016219273984704827,0.030195021683959714,-0.07540151648526587,0.04296296851585621,438,-0.0331837174020634,0.04635270211963327,-0.1240350135565446,0.057667578752417806,EUR_USD,14,1.0,range_expansion,long,1457
1036,-0.0331818748973419,0.030146494203054163,-0.09226900353532806,0.025905253740644257,444,0.019087589229859266,0.046185060664702675,-0.07143512967295798,0.1096103081326765,EUR_USD,14,1.0,range_expansion,short,1480
179,-0.0360092275915725,0.07193403259810932,-0.17699993148386675,0.10498147630072177,77,0.010935499647714923,0.11269590126581219,-0.20994846683327698,0.23181946612870682,EUR_USD,14,1.5,close_breakout,long,256
179,-0.17915489251928537,0.07180950899799902,-0.3199015301553635,-0.03840825488320729,78,0.05706177500295458,0.11107300465647296,-0.16064131412373242,0.2747648641296416,EUR_USD,14,1.5,close_breakout,short,257
473,0.012035536360381035,0.04405888842353832,-0.07431988494975407,0.09839095767051613,204,-0.006161642729370174,0.06783126766041421,-0.13911092734378203,0.12678764188504169,EUR_USD,14,1.5,range_expansion,long,677
482,-0.0345909112982288,0.04420204154954533,-0.12122691273533764,0.05204509013888004,207,0.02937094511965042,0.06805742034342088,-0.1040215987534545,0.16276348899275533,EUR_USD,14,1.5,range_expansion,short,689
1096,0.0022133326683120274,0.02909671705134643,-0.05481623275232698,0.059242898088951036,471,-0.015226087218036264,0.04498459415633946,-0.10339589176446161,0.07294371732838907,EUR_USD,20,0.5,close_breakout,long,1567
1078,-0.006188921343579595,0.0294689292574395,-0.06394802268816102,0.051570180001001824,463,0.03659041225511577,0.04529602665332328,-0.05218979998539786,0.1253706244956294,EUR_USD,20,0.5,close_breakout,short,1541
1809,0.0007169613474522072,0.022651451674374636,-0.043679883934322074,0.04511380662922649,776,-0.002322078608692565,0.03491707427600361,-0.07075954418965963,0.06611538697227451,EUR_USD,20,0.5,range_expansion,long,2585
1775,-0.01973732851070442,0.022904223214136415,-0.06462960601041179,0.025154948989002952,762,0.03672735856498617,0.03530991726859477,-0.03248007928145957,0.10593479641143191,EUR_USD,20,0.5,range_expansion,short,2537
410,0.01820354121616416,0.047386855826608884,-0.07467469620398925,0.11108177863631757,176,0.046044253596655184,0.07390706623675364,-0.09881359622738195,0.1909021034206923,EUR_USD,20,1.0,close_breakout,long,586
