tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
546,0.01145958737196576,0.0410796290991785,-0.0690564856624241,0.09197566040635562,235,-0.08701987673306334,0.06291960771175907,-0.21034230784811112,0.03630255438198443,EUR_USD,hammer,False,long,781
168,0.07479376162942139,0.07290664265061116,-0.06810325796577646,0.21769078122461924,72,-0.13254521769694597,0.11305550926896467,-0.35413401586411675,0.08904358047022479,EUR_USD,hammer,True,long,240
527,-0.0277147429707089,0.04185992322995054,-0.10976019250141196,0.054330706559994155,227,-0.021660664737910302,0.0650559756366181,-0.14917037698568178,0.10584904750986117,EUR_USD,shooting_star,False,short,754
169,-0.0347879614424616,0.07556510414268089,-0.18289556556211614,0.11331964267719294,73,0.05791267039516128,0.11498405768662714,-0.16745608267062795,0.2832814234609505,EUR_USD,shooting_star,True,short,242
318,0.03340722748093165,0.05388538623187941,-0.07220812953355199,0.1390225844954153,137,-0.013913155031835833,0.08254845786253595,-0.1757081324424063,0.14788182237873465,EUR_USD,bull_engulf,False,long,455
121,-0.03398213064896243,0.08703804007798965,-0.20457668920182215,0.13661242790389727,53,-0.0583441975844862,0.13591623455880725,-0.32474001731974844,0.20805162215077602,EUR_USD,bull_engulf,True,long,174
322,-0.004334910278125489,0.05421333502609263,-0.11059304692926704,0.10192322637301605,138,-0.07459910755996974,0.08136017233618731,-0.23406504533889685,0.08486683021895738,EUR_USD,bear_engulf,False,short,460
125,0.07715191464923805,0.08716239219935434,-0.09368637406149645,0.24799020335997257,55,-0.28845164752095587,0.12477757013597629,-0.5330156849874694,-0.04388761005444233,EUR_USD,bear_engulf,True,short,180
538,-0.058928682681509206,0.0425800937961558,-0.14238566652197457,0.024528301158956156,231,-0.041289327785056076,0.06428159137902943,-0.16728124688795376,0.0847025913178416,GBP_USD,hammer,False,long,769
158,-0.038197780268244955,0.07880710749705318,-0.1926597109624692,0.11626415042597928,69,0.011882632530466754,0.11750839605289433,-0.21843382373320613,0.24219908879413965,GBP_USD,hammer,True,long,227
484,0.013653173121155803,0.04509341372298302,-0.07472991777589091,0.10203626401820251,208,-0.06039394553280579,0.0678044163657541,-0.1932906016096838,0.07250271054407224,GBP_USD,shooting_star,False,short,692
148,0.0945945945945946,0.08210876570709165,-0.06633858619130503,0.2555277753804942,64,-0.10847584197451364,0.12179079476754102,-0.347185799718894,0.13023411576986677,GBP_USD,shooting_star,True,short,212
312,0.017089602598523844,0.05588180328475741,-0.09243873183960069,0.12661793703664836,134,0.10217849039925919,0.08469239633944378,-0.06381860642605061,0.268175587224569,GBP_USD,bull_engulf,False,long,446
130,0.17048105688878717,0.08561384594746249,0.0026779188317606895,0.33828419494581363,56,0.171502819580653,0.13073958436019992,-0.08474676576533885,0.42775240492664485,GBP_USD,bull_engulf,True,long,186
336,0.06041616906700049,0.053979561334919705,-0.045383771149442136,0.1662161092834431,144,-0.016903653261570777,0.08128862813098832,-0.1762293643983079,0.14242205787516632,GBP_USD,bear_engulf,False,short,480
139,-0.006048353601740289,0.08438534681505797,-0.1714436333592539,0.15934692615577334,60,-0.1404081775590847,0.12544065004782548,-0.38627185165282263,0.10545549653465325,GBP_USD,bear_engulf,True,short,199
530,-0.016205333749185136,0.0433998857433425,-0.10126910980613643,0.06885844230776617,228,0.10142113941355668,0.06579552921325302,-0.02753809784441924,0.2303803766715326,AUD_USD,hammer,False,long,758
169,0.11759795561378476,0.07638979849047346,-0.03212604942754323,0.26732196065511277,73,-0.032172199383027254,0.1170784828547489,-0.26164602577833507,0.19730162701228057,AUD_USD,hammer,True,long,242
547,-0.022086582980867395,0.04260023381617968,-0.10558304126057956,0.06140987529884477,235,-0.01125865258624239,0.06510164861085245,-0.1388578838635132,0.1163405786910284,AUD_USD,shooting_star,False,short,782
189,-0.029903150295687627,0.07211335776769817,-0.17124533152037605,0.11143903092900079,82,0.07317073170731707,0.11081326992011314,-0.1440232773361047,0.2903647407507388,AUD_USD,shooting_star,True,short,271
321,-0.018782668454991106,0.055633920889568284,-0.12782515339854494,0.09025981648856272,138,0.010785426357360633,0.08485327946361648,-0.15552700139132766,0.17709785410604892,AUD_USD,bull_engulf,False,long,459
136,-0.0011087829609852792,0.08544079578223143,-0.16857274269415887,0.16635517677218833,59,-0.17501813497620822,0.12826572372944786,-0.426418953485926,0.07638268353350958,AUD_USD,bull_engulf,True,long,195
322,-0.0009233343309819967,0.0554548862442034,-0.10961491136962068,0.10776824270765667,138,-0.014492753623188406,0.08542679284030948,-0.18192926759019498,0.15294376034381815,AUD_USD,bear_engulf,False,short,460
144,-0.11817317205477854,0.08209278561439848,-0.2790750318589995,0.04272868774944247,63,0.1746031746031746,0.1250492632872556,-0.07049338143984638,0.4196997306461956,AUD_USD,bear_engulf,True,short,207
513,0.024100442741064477,0.04274665943247507,-0.05968300974658666,0.10788389522871561,220,0.09197839105006178,0.06244522349909406,-0.030414247008162573,0.21437102910828615,USD_CAD,hammer,False,long,733
172,-0.009364685984501674,0.0747182191920112,-0.15581239560084365,0.13708302363184027,75,0.3036485536743922,0.1023028446816575,0.10313497809834352,0.5041621292504409,USD_CAD,hammer,True,long,247
534,-0.06162841387355374,0.04139677050261767,-0.14276608405868438,0.019509256311576885,230,-0.11701300646553263,0.060433329679660454,-0.2354623326376671,0.0014363197066018518,USD_CAD,shooting_star,False,short,764
179,0.00564230807611876,0.07302920541540077,-0.13749493453806674,0.14877955069030427,78,-0.05649325033656174,0.10708476689467465,-0.26637939345012407,0.15339289277700058,USD_CAD,shooting_star,True,short,257
340,0.05696081782544946,0.05229436799808558,-0.04553614345079827,0.1594577791016972,147,0.09127134629517798,0.07534587545517855,-0.056406569596971975,0.23894926218732793,USD_CAD,bull_engulf,False,long,487
146,0.10548778730002081,0.0799845117015929,-0.051281855635101264,0.2622574302351429,63,0.14191100027485307,0.11382451439841364,-0.08118504794603765,0.3650070484957438,USD_CAD,bull_engulf,True,long,209
323,0.02914358178789962,0.053808723213858406,-0.07632151571126285,0.13460867928706208,139,-0.12643426641661937,0.07653008380563305,-0.27643323067566017,0.023564697842421406,USD_CAD,bear_engulf,False,short,462
146,0.20557943041796767,0.07787100612352882,0.05295225841585119,0.3582066024200842,63,-0.18455328450740718,0.1120527660674225,-0.40417670599955524,0.0350701369847409,USD_CAD,bear_engulf,True,short,209
550,-0.040977176352145935,0.04101393037545636,-0.12136447988804039,0.039410127183748526,237,-0.09285176746112711,0.06392080062413671,-0.21813653668443506,0.032433001762180835,USD_CHF,hammer,False,long,787
183,-0.06607426215936192,0.07030039363266552,-0.20386303367938635,0.0717145093606625,79,-0.03019070521038245,0.11256378247912412,-0.25081571886946574,0.19043430844870082,USD_CHF,hammer,True,long,262
496,0.06859643912002915,0.043985875562869425,-0.017615876983194917,0.1548087552232532,214,0.09846036852119344,0.0671960836481726,-0.03324395542922487,0.23016469247161175,USD_CHF,shooting_star,False,short,710
170,0.08416502629830669,0.07531205745616215,-0.06344660631577112,0.2317766589123845,74,-0.13513513513513514,0.11596754950286203,-0.36243153216074475,0.09216126189047444,USD_CHF,shooting_star,True,short,244
309,-0.07606337757948602,0.05534953154236026,-0.18454845940251213,0.0324217042435401,133,-0.010544167031336815,0.08585332784427206,-0.17881668960611005,0.15772835554343642,USD_CHF,bull_engulf,False,long,442
134,-0.007306550901597635,0.08447550856469119,-0.17287854768839234,0.1582654458851971,58,0.050777870691898756,0.1311375441708055,-0.20625171588288,0.3078074572666775,USD_CHF,bull_engulf,True,long,192
299,0.06264439790090208,0.05594026298573473,-0.046998517551137986,0.17228731335294215,129,0.011869675682149429,0.08643026471883977,-0.15753364316677654,0.18127299453107537,USD_CHF,bear_engulf,False,short,428
121,0.0603350383139529,0.08899433479100195,-0.11409385787641094,0.23476393450431673,52,0.03221076837707716,0.13442990075112446,-0.23127183709512678,0.29569337384928107,USD_CHF,bear_engulf,True,short,173
519,0.006384664963579553,0.04391418752953786,-0.07968714259431466,0.09245647252147375,223,-0.05829596412556054,0.0670014649754681,-0.18961883547747801,0.07302690722635694,NZD_USD,hammer,False,long,742
167,0.017964071856287425,0.07760252806566795,-0.13413688315242175,0.1700650268649966,72,-0.05555555555555555,0.11849487896742977,-0.2878055183317179,0.1766944072206068,NZD_USD,hammer,True,long,239
527,-0.05502846299810247,0.043536005558182565,-0.1403590338921403,0.030302107895935355,226,0.0,0.06666666666666668,-0.13066666666666668,0.13066666666666668,NZD_USD,shooting_star,False,short,753
177,0.005649717514124294,0.07537663313065726,-0.14208848342196392,0.15338791845021252,76,-0.02631578947368421,0.11543006420769106,-0.2525587153207587,0.19992713637339027,NZD_USD,shooting_star,True,short,253
303,0.11551155115511551,0.057158345225982926,0.0034811945121889787,0.22754190779804204,130,-0.2,0.08626621856275074,-0.36908178838299144,-0.030918211617008556,NZD_USD,bull_engulf,False,long,433
129,0.16279069767441862,0.08720930232558138,-0.008139534883720906,0.3337209302325581,56,-0.17857142857142858,0.1326726830071908,-0.4386098872655225,0.08146703012266535,NZD_USD,bull_engulf,True,long,185
320,0.01875,0.05597940836988192,-0.09096964040496855,0.12846964040496855,138,0.057971014492753624,0.08529208559302492,-0.10920147326957522,0.22514350225508248,NZD_USD,bear_engulf,False,short,458
134,0.14925373134328357,0.08573974099310491,-0.018796161003202055,0.31730362368976917,58,-0.034482758620689655,0.13237446481895077,-0.2939367096658332,0.22497119242445385,NZD_USD,bear_engulf,True,short,192
458,-0.004366812227074282,0.0467775809641277,-0.09605087091676458,0.087317246462616,197,0.03083403239401626,0.0712140043844365,-0.10874541619947926,0.1704134809875118,USD_SEK,hammer,False,long,655
130,-0.07692307692307693,0.08778421571653164,-0.24898013972747893,0.09513398588132507,57,0.15789473684210525,0.1319543516901071,-0.10073579247050468,0.4165252661547152,USD_SEK,hammer,True,long,187
450,-0.017296534966731718,0.04709187132681061,-0.1095966027672805,0.07500353283381708,193,0.07772020725388601,0.07195048823469152,-0.06330274968610938,0.2187431641938814,USD_SEK,shooting_star,False,short,643
128,-0.05145768038738155,0.08832986088639234,-0.22458420772471055,0.12166884694994745,56,0.21428571428571427,0.13170777796132696,-0.04386153051848654,0.4724329590899151,USD_SEK,shooting_star,True,short,184
276,0.1174757203723186,0.059674196751052136,0.0005142947402564102,0.2344371460043808,119,-0.07563025210084033,0.09179380287080623,-0.25554610572762054,0.10428560152593987,USD_SEK,bull_engulf,False,long,395
117,0.23438716942529852,0.08947810235094243,0.05901008881745137,0.40976425003314565,51,-0.058823529411764705,0.1411764705882353,-0.3355294117647059,0.21788235294117647,USD_SEK,bull_engulf,True,long,168
326,-0.014562721682270298,0.055098864088446574,-0.12255649529562558,0.09343105193108499,140,-0.0361587826792387,0.0844609375528059,-0.20170222028273824,0.12938465492426085,USD_SEK,bear_engulf,False,short,466
125,-0.08891744163737905,0.08852569439763137,-0.26242780265673654,0.08459291938197844,55,-0.001131446819880345,0.13484471941356993,-0.26542709687047744,0.2631642032307167,USD_SEK,bear_engulf,True,short,180
