tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
170,-0.0389159715117888,0.07413238369283812,-0.1842154435497515,0.1063835005261739,73,-0.10168727247621398,0.11510358156579535,-0.3272902923451729,0.12391574739274491,EUR_USD,hammer,False,long,243
46,-0.01959369522035745,0.14402762393264762,-0.30188783812834674,0.2627004476876319,21,-0.04185571563671101,0.21350907922718482,-0.46033351092199326,0.3766220796485712,EUR_USD,hammer,True,long,67
146,0.006222399161164415,0.0806506574897646,-0.1518528895187742,0.16429768784110302,63,0.04262640205385192,0.12271635286883915,-0.1978976495690728,0.28315045367677666,EUR_USD,shooting_star,False,short,209
46,0.16878416183402759,0.14624668604517838,-0.11785934281452201,0.45542766648257715,21,0.38855195463191466,0.1931898359843882,0.009899876102513805,0.7672040331613155,EUR_USD,shooting_star,True,short,67
56,0.032130362055219096,0.12866994055336772,-0.22006272142938163,0.2843234455398198,24,0.23710124576942446,0.20021494530609876,-0.15532004703052912,0.629522538569378,EUR_USD,bull_engulf,False,long,80
18,0.06554802658709585,0.22236061921592046,-0.37027878707610823,0.5013748402503,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,EUR_USD,bull_engulf,True,long,26
71,0.06595188018736851,0.11603822571582549,-0.16148304221564946,0.29338680259038646,31,-0.2963413604110316,0.16698693138087065,-0.6236357459175381,0.030953025095474873,EUR_USD,bear_engulf,False,short,102
18,0.3636677876545411,0.22011227826369917,-0.06775227774230924,0.7950878530513914,8,-0.05729719419506332,0.3300034991118459,-0.7041040524542812,0.5895096640641546,EUR_USD,bear_engulf,True,short,26
158,-0.0013793415215918078,0.0793097894086972,-0.15682652876263833,0.15406784571945473,69,-0.14914958512032608,0.11754436885328126,-0.3795365480727574,0.08123737783210519,GBP_USD,hammer,False,long,227
50,0.12,0.14182484166846693,-0.15797668967019518,0.39797668967019517,22,0.36363636363636365,0.20327890704543541,-0.03479029417268975,0.762063021445417,GBP_USD,hammer,True,long,72
148,-0.03633141885259547,0.08152016303902268,-0.19611093840907992,0.12344810070388898,64,-0.007990092370207272,0.12143936602155216,-0.24601124977244948,0.23003106503203496,GBP_USD,shooting_star,False,short,212
44,0.09090909090909091,0.1518671035608285,-0.20675043207013297,0.38856861388831476,19,0.3684210526315789,0.21912273678590868,-0.061059511468802063,0.7979016167319599,GBP_USD,shooting_star,True,short,63
64,0.06287153541560578,0.12393922918381756,-0.18004935378467662,0.3057924246158882,28,0.2776816891021307,0.18094812898937127,-0.076976643717037,0.6323400219212985,GBP_USD,bull_engulf,False,long,92
21,0.23922753650470333,0.20694164684085323,-0.16637809130336897,0.6448331643127756,10,0.4,0.3055050463303893,-0.19878989080756293,0.998789890807563,GBP_USD,bull_engulf,True,long,31
67,0.027502797795409952,0.12010950628206607,-0.20791183451743953,0.2629174301082594,29,-0.10344827586206896,0.18796831555013707,-0.4718661743403376,0.2649696226161997,GBP_USD,bear_engulf,False,short,96
25,-0.04,0.20396078054371142,-0.43976312986567434,0.3597631298656744,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,GBP_USD,bear_engulf,True,short,37
163,-0.11578886307482043,0.07766295399612061,-0.2680082529072168,0.03643052675757595,71,0.05608347355050212,0.1184889830691973,-0.1761549332651246,0.2883218803661288,AUD_USD,hammer,False,long,234
45,0.056343719472779656,0.14931471009496783,-0.23631311231335728,0.3490005512589166,20,0.3490963311042825,0.2087743788423271,-0.06010145142667861,0.7582941136352437,AUD_USD,hammer,True,long,65
159,0.0565977285587242,0.07893120964251936,-0.09810744234061375,0.21130289945806213,69,-0.18840579710144928,0.11909605957442673,-0.42183407386732563,0.0450224796644271,AUD_USD,shooting_star,False,short,228
51,-0.03713167204342378,0.1399453389488259,-0.31142453638312256,0.23716119229627503,23,-0.30434782608695654,0.2030866810856147,-0.7023977210147614,0.09370206884084825,AUD_USD,shooting_star,True,short,74
60,0.03333333333333333,0.13011656370600608,-0.22169513153043857,0.2883617981971052,26,-0.07692307692307693,0.19940740610485724,-0.46776159288859714,0.3139154390424433,AUD_USD,bull_engulf,False,long,86
19,0.05263157894736842,0.23537557657892524,-0.40870455114732507,0.5139677090420619,9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,AUD_USD,bull_engulf,True,long,28
56,0.023907246933482135,0.1337311489661697,-0.23820580504021047,0.28602029890717473,24,0.08333333333333333,0.20778914433245896,-0.3239333895582862,0.49060005622495284,AUD_USD,bear_engulf,False,short,80
17,-0.058823529411764705,0.2495670992423109,-0.547975043926694,0.43032798510316467,8,0.0,0.3779644730092272,-0.7408103670980853,0.7408103670980853,AUD_USD,bear_engulf,True,short,25
162,0.06687077163688056,0.07508197686802084,-0.08028990302444029,0.21403144629820142,70,0.12955643822558774,0.10344940162574902,-0.07320438896088033,0.3323172654120558,USD_CAD,hammer,False,long,232
51,-0.21159053362676103,0.13394656942889654,-0.47412580970739826,0.050944742453876174,23,0.3402157468847293,0.17322814620851384,0.0006885803160421311,0.6797429134534164,USD_CAD,hammer,True,long,74
151,0.002632285470073689,0.07783105848438966,-0.14991658915933004,0.1551811600994774,66,-0.05282894086702169,0.11546403818855276,-0.2791384557165851,0.1734805739825417,USD_CAD,shooting_star,False,short,217
51,0.11986536563472257,0.1363795427234215,-0.14743853810318358,0.3871692693726287,23,-0.1693645312293092,0.19453959071486382,-0.5506621290304423,0.2119330665718239,USD_CAD,shooting_star,True,short,74
59,-0.11295207760153773,0.12512584938841895,-0.3581987424028389,0.1322945871997634,26,0.1391836164570327,0.18172309495224984,-0.21699364964937695,0.49536088256344235,USD_CAD,bull_engulf,False,long,85
18,-0.21388417136817306,0.2228777090131472,-0.6507244810339416,0.22295613829759547,9,0.08825359340029326,0.34481851437992045,-0.5875906947843508,0.7640978815849373,USD_CAD,bull_engulf,True,long,27
65,-0.04730690954550875,0.11635295074344615,-0.2753586930026632,0.18074487391164568,29,0.06747146640048725,0.17616219439707967,-0.2778064346177889,0.4127493674187634,USD_CAD,bear_engulf,False,short,94
28,0.17720263547923412,0.17885816317669512,-0.1733593643470883,0.5277646353055565,13,0.2006195601572601,0.2601028070839299,-0.30918194172724245,0.7104210620417627,USD_CAD,bear_engulf,True,short,41
168,0.07001891786277183,0.07469170318443148,-0.07637682037871386,0.21641465610425753,73,-0.058933702448570637,0.11690920532948666,-0.2880757448943645,0.17020833999722323,USD_CHF,hammer,False,long,241
53,0.03964614239263599,0.13342708056940655,-0.22187093552340087,0.3011632203086728,24,0.16666666666666666,0.20559798491465375,-0.23630538376605467,0.569638717099388,USD_CHF,hammer,True,long,77
130,0.06855119516184188,0.0850508650455107,-0.09814850032735908,0.23525089065104285,57,0.22024328912707594,0.12951357826522156,-0.03360332427275828,0.4740899025269102,USD_CHF,shooting_star,False,short,187
41,0.057147935644081306,0.15444143007884087,-0.24555726731044678,0.3598531385986094,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,USD_CHF,shooting_star,True,short,59
54,-0.17005277754046141,0.1336732039691446,-0.43205225731998476,0.09194670223906196,24,-0.16666666666666666,0.20559798491465375,-0.569638717099388,0.23630538376605467,USD_CHF,bull_engulf,False,long,78
18,0.15650833404528303,0.2305178991216642,-0.2953067482331788,0.6083234163237449,8,-0.25,0.3659625273556999,-0.9672865536171718,0.46728655361717175,USD_CHF,bull_engulf,True,long,26
49,0.1371630060813775,0.13879070608580338,-0.13486677784679713,0.4091927900095521,22,0.24845026601466882,0.2073282030180256,-0.15791301190066134,0.654813543929999,USD_CHF,bear_engulf,False,short,71
13,-0.14969474290140863,0.27399702732441916,-0.6867289164572702,0.387339430654453,6,0.24431764205378562,0.40244757844619655,-0.5444796117007596,1.033114895808331,USD_CHF,bear_engulf,True,short,19
151,-0.059602649006622516,0.0815044998443396,-0.21935146870152814,0.1001461706882831,66,0.11117010181042315,0.12242503211868028,-0.12878296114219018,0.3511231647630365,NZD_USD,hammer,False,long,217
35,-0.08571428571428572,0.17086742893632048,-0.4206144464294739,0.24918587500090242,16,0.3335766699679955,0.23570238600462518,-0.12840000660106982,0.7955533465370608,NZD_USD,hammer,True,long,51
138,-0.014492753623188406,0.08542679284030948,-0.18192926759019498,0.15294376034381815,60,0.03333333333333333,0.13011656370600608,-0.22169513153043857,0.2883617981971052,NZD_USD,shooting_star,False,short,198
44,0.045454545454545456,0.15234094902916004,-0.2531337146426082,0.34404280555169914,20,0.1,0.22826577307580465,-0.3474009152285771,0.5474009152285771,NZD_USD,shooting_star,True,short,64
53,-0.05660377358490566,0.13845271428402695,-0.3279710935815985,0.2147635464117872,23,-0.043478260869565216,0.2129991080681025,-0.46095651268304605,0.37399999094391567,NZD_USD,bull_engulf,False,long,76
15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,NZD_USD,bull_engulf,True,long,22
48,-0.16666666666666666,0.14382482121044857,-0.4485633162391458,0.11522998290581252,21,0.23809523809523808,0.21717627144745486,-0.1875702539417734,0.6637607301322496,NZD_USD,bear_engulf,False,short,69
12,-0.16666666666666666,0.2972941950052816,-0.7493632888770185,0.41602995554368527,6,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,NZD_USD,bear_engulf,True,short,18
160,-0.013933617991023644,0.07919673219207841,-0.16915921308749732,0.14129197710545005,69,0.062154729065991975,0.1202235525091166,-0.17348343385187653,0.2977928919838605,USD_SEK,hammer,False,long,229
48,2.220446049250313e-16,0.1458649914978946,-0.2858953833358732,0.28589538333587367,21,0.23809523809523808,0.21717627144745486,-0.1875702539417734,0.6637607301322496,USD_SEK,hammer,True,long,69
132,-0.003385458664298385,0.08713990317188712,-0.17417966888119712,0.16740875155260038,57,0.08771929824561403,0.13311550601392982,-0.17318709354168843,0.3486256900329165,USD_SEK,shooting_star,False,short,189
38,0.05263157894736842,0.16417112997159045,-0.26914383579694884,0.3744069936916857,17,-0.29411764705882354,0.23894230601870473,-0.7624445668554848,0.1742092727378377,USD_SEK,shooting_star,True,short,55
44,0.045454545454545456,0.15234094902916004,-0.2531337146426082,0.34404280555169914,20,-0.5,0.19867985355975656,-0.8894125129771229,-0.11058748702287713,USD_SEK,bull_engulf,False,long,64
12,0.6666666666666666,0.22473328748774735,0.22618942319068186,1.1071439101426515,6,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,USD_SEK,bull_engulf,True,long,18
56,0.09456925069023127,0.13312760770678672,-0.1663608604150707,0.3554993617955332,24,0.16666666666666666,0.20559798491465375,-0.23630538376605467,0.569638717099388,USD_SEK,bear_engulf,False,short,80
16,-0.125,0.25617376914899,-0.6271005875320204,0.37710058753202036,7,0.42857142857142855,0.3688555567816587,-0.29438546272062255,1.1515283198634796,USD_SEK,bear_engulf,True,short,23
133,-0.11642157015205368,0.08555710618627976,-0.28411349827716204,0.05127035797305465,57,-0.05263157894736842,0.13344540864134474,-0.3141845798844041,0.2089214219896673,AUD_CHF,hammer,False,long,190
37,-0.09333200027143103,0.1643455408854861,-0.41544926040698377,0.22878525986412174,17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,AUD_CHF,hammer,True,long,54
131,0.08220497048681936,0.08664965622008453,-0.08762835570454632,0.25203829667818506,57,0.20941906662922136,0.12946798259215941,-0.044338179251411064,0.4631763125098538,AUD_CHF,shooting_star,False,short,188
36,0.2222222222222222,0.16480441082434807,-0.1007944229935,0.5452388674379445,16,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,AUD_CHF,shooting_star,True,short,52
42,-0.19097882642784558,0.14966898491961447,-0.48433003687028997,0.1023723840145988,18,0.17143124866988815,0.232057852038199,-0.28340214132498187,0.6262646386647582,AUD_CHF,bull_engulf,False,long,60
10,-0.2,0.3265986323710904,-0.840133319447337,0.4401333194473371,5,0.41715249521159736,0.396060234118075,-0.3591255636598296,1.1934305540830243,AUD_CHF,bull_engulf,True,long,15
44,0.13636363636363635,0.15107405843505764,-0.1597415181690766,0.4324687908963493,20,0.6,0.18353258709644943,0.2402761292909591,0.9597238707090409,AUD_CHF,bear_engulf,False,short,64
16,0.375,0.23935677693908453,-0.09413928280060568,0.8441392828006057,8,0.5,0.32732683535398854,-0.14156059729381754,1.1415605972938176,AUD_CHF,bear_engulf,True,short,24
140,-0.13550448865418815,0.0777010048339812,-0.2877984581287913,0.01678948082041498,61,0.06685274874544668,0.11524936757221119,-0.15903601169608722,0.2927415091869806,AUD_NZD,hammer,False,long,201
42,-0.006346528699685719,0.14611031377166922,-0.2927227436921574,0.28002968629278596,18,-0.023543616613690768,0.22214577596633261,-0.45894933750770267,0.41186210428032116,AUD_NZD,hammer,True,long,60
147,0.364571663783324,0.07020885694816531,0.22696230416492,0.502181023401728,64,-0.2798046443660973,0.10540216497038986,-0.48639288770806144,-0.07321640102413318,AUD_NZD,shooting_star,False,short,211
30,0.4576119889627412,0.15071921641754807,0.16220232478434699,0.7530216531411353,13,-0.1752070867119159,0.26499087268839294,-0.6945891971811661,0.34417502375733433,AUD_NZD,shooting_star,True,short,43
