tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,pattern,strict,direction,total_n
405,0.04247552497905437,0.047748971685776805,-0.05111245952506816,0.13606350948317691,174,-0.09623333806110448,0.07369653463621821,-0.24067854594809218,0.04821186982588321,EUR_USD,hammer,False,long,579
138,0.10973084502156927,0.07948461954079372,-0.04605900927838644,0.265520699321525,60,-0.16271331075491283,0.12488754689373432,-0.4074929026666321,0.08206628115680645,EUR_USD,hammer,True,long,198
389,0.0034353698724518098,0.04897986053000129,-0.09256515676635071,0.09943589651125434,168,-0.02656959874597209,0.0752153993075621,-0.17399178138879381,0.12085258389684964,EUR_USD,shooting_star,False,short,557
140,-0.03854227965628957,0.08249140286828952,-0.200225429278137,0.12314086996555787,60,-0.019308921092072717,0.12644945938076246,-0.26714986147836717,0.2285320192942217,EUR_USD,shooting_star,True,short,200
241,0.07587290079900112,0.061851165400562715,-0.0453553833861018,0.19710118498410406,104,-0.007577990660821317,0.09390301404447286,-0.19162789818798812,0.17647191686634547,EUR_USD,bull_engulf,False,long,345
91,0.01462086970541249,0.10101746437475978,-0.18337336046911668,0.21261509987994165,39,0.021775668800476183,0.15816575612953102,-0.28822921321340456,0.331780550814357,EUR_USD,bull_engulf,True,long,130
221,-0.04945385921739856,0.06619555659801626,-0.17919715014951043,0.08028943171471331,95,0.0298390239247214,0.09824777641483402,-0.16272661784835327,0.22240466569779607,EUR_USD,bear_engulf,False,short,316
89,0.07321663084345892,0.10477155623237874,-0.1321356193720034,0.27856888105892125,39,-0.20794987074105287,0.15231153343764192,-0.5064804762788311,0.09058073479672529,EUR_USD,bear_engulf,True,short,128
394,-0.024012432165400832,0.04992597138330903,-0.12186733607668652,0.07384247174588486,169,-0.06405391561634588,0.07554282164834815,-0.21211784604710826,0.0840100148144165,GBP_USD,hammer,False,long,563
121,-0.030810731832303095,0.09021909262364498,-0.20764015337464725,0.14601868971004106,53,0.07852822053015174,0.13364470025681127,-0.18341539197319834,0.3404718330335018,GBP_USD,hammer,True,long,174
350,0.08267951456549402,0.052786172092485165,-0.0207813827357769,0.18614041186676494,150,0.00415043453423424,0.07979138663304866,-0.1522406832665411,0.1605415523350096,GBP_USD,shooting_star,False,short,500
115,0.19556675185675534,0.09153406630379027,0.01615998190132642,0.37497352181218424,50,-0.019176282431734134,0.1379869302544073,-0.28963066573037244,0.25127810086690416,GBP_USD,shooting_star,True,short,165
229,-0.011049559282869383,0.06531453696587146,-0.13906605173597744,0.11696693317023868,99,0.04896317073878833,0.0978848377359075,-0.14289111122359036,0.24081745270116703,GBP_USD,bull_engulf,False,long,328
101,0.1728220332118034,0.09757753710724326,-0.01842993951839339,0.3640740059420002,44,0.08930078854235546,0.14678435531671197,-0.1983965478784,0.3769981249631109,GBP_USD,bull_engulf,True,long,145
231,0.0795870754567944,0.06498421422332289,-0.04778198442091845,0.20695613533450724,100,-0.01279807469182847,0.09844862234395561,-0.20575737448598147,0.18016122510232452,GBP_USD,bear_engulf,False,short,331
98,0.10790877733982654,0.100040545727984,-0.0881706922870221,0.30398824696667515,42,-0.09161687201052401,0.1549913183351318,-0.39539985594738236,0.2121661119263343,GBP_USD,bear_engulf,True,short,140
396,0.01205085419290013,0.05025153534916429,-0.08644215509146187,0.11054386347726212,170,0.06717818738659226,0.07633293934616382,-0.08243437373188883,0.21679074850507335,AUD_USD,hammer,False,long,566
143,0.0963086591635556,0.08324809006395313,-0.06685759736179253,0.25947491568890374,62,-0.08563489353020272,0.12662590269787796,-0.33382166281804354,0.16255187575763808,AUD_USD,hammer,True,long,205
429,-0.00016381046248031063,0.0480870594875322,-0.0944144470580434,0.0940868261330828,185,-0.057039348544597274,0.07322167172063936,-0.20055382511705042,0.08647512802785587,AUD_USD,shooting_star,False,short,614
156,-0.006860735182077276,0.07917342950442273,-0.16204065701074583,0.14831918664659127,67,0.04477611940298507,0.12296803595091035,-0.19624123106079921,0.28579346986676935,AUD_USD,shooting_star,True,short,223
237,-0.034897746859766696,0.0649273414216436,-0.16215533604618815,0.09235984232665474,103,-0.03649740431455048,0.09814992399091331,-0.22887125533674058,0.15587644670763962,AUD_USD,bull_engulf,False,long,340
107,-0.09598846734359538,0.09625661454669206,-0.2846514318551118,0.09267449716792105,47,-0.22445256630329433,0.1425515589855516,-0.5038536219149755,0.05494848930838683,AUD_USD,bull_engulf,True,long,154
235,0.02631239034133566,0.06512043856735718,-0.10132366925068441,0.1539484499333557,102,0.058823529411764705,0.09933141807957062,-0.13586605002419372,0.2535131088477231,AUD_USD,bear_engulf,False,short,337
109,-0.07613911484607136,0.09554180843957479,-0.2634010593876379,0.11112282969549522,47,0.19148936170212766,0.14471349688826027,-0.09214909219886247,0.4751278156031178,AUD_USD,bear_engulf,True,short,156
389,0.02628328472952373,0.04889275585691397,-0.06954651675002765,0.12211308620907513,167,0.14826213960505477,0.07044990621462006,0.010180323424399451,0.2863439557857101,USD_CAD,hammer,False,long,556
140,0.07146114716719172,0.08289652291526416,-0.09101603774672602,0.23393833208110948,60,0.3172729043141571,0.11226706124134611,0.09722946428111873,0.5373163443471956,USD_CAD,hammer,True,long,200
389,-0.061306232938726106,0.04849986732052763,-0.15636597288696025,0.03375350700950804,167,-0.09574174277288325,0.07074147493242006,-0.23439503364042655,0.04291154809466005,USD_CAD,shooting_star,False,short,556
146,0.040091019063231786,0.08083125052258235,-0.1183382319610296,0.19852027008749318,63,-0.11562364543864609,0.11912685241730481,-0.3491122761765635,0.11786498529927134,USD_CAD,shooting_star,True,short,209
