pair,entry_ts,exit_ts,r
AUD_JPY,2016-01-08 06:00:00,2016-01-08 14:00:00,-1.0
GBP_NZD,2016-01-14 06:00:00,2016-01-14 14:00:00,1.0
AUD_JPY,2016-01-21 02:00:00,2016-01-21 14:00:00,1.0
EUR_NZD,2016-01-28 10:00:00,2016-01-28 14:00:00,1.0
AUD_USD,2016-01-29 14:00:00,2016-02-02 22:00:00,1.0
AUD_JPY,2016-02-03 14:00:00,2016-02-03 22:00:00,1.0
EUR_NZD,2016-02-08 06:00:00,2016-02-08 22:00:00,-1.0
USD_JPY,2016-02-08 06:00:00,2016-02-08 14:00:00,-1.0
NZD_JPY,2016-02-08 06:00:00,2016-02-08 10:00:00,-1.0
AUD_JPY,2016-02-08 06:00:00,2016-02-08 10:00:00,-1.0
AUD_CHF,2016-02-11 18:00:00,2016-02-12 02:00:00,1.0
AUD_USD,2016-02-15 22:00:00,2016-02-19 14:00:00,1.0
CAD_JPY,2016-02-18 10:00:00,2016-02-18 14:00:00,1.0
AUD_JPY,2016-02-19 10:00:00,2016-02-21 22:00:00,1.0
CAD_JPY,2016-03-03 14:00:00,2016-03-08 14:00:00,1.0
CAD_JPY,2016-03-07 06:00:00,2016-03-08 14:00:00,1.0
NZD_JPY,2016-03-10 14:00:00,2016-03-11 14:00:00,1.0
CAD_JPY,2016-03-10 22:00:00,2016-03-11 06:00:00,-1.0
GBP_NZD,2016-03-17 17:00:00,2016-03-18 13:00:00,1.0
AUD_JPY,2016-03-21 13:00:00,2016-03-22 17:00:00,1.0
CAD_JPY,2016-03-23 09:00:00,2016-03-23 13:00:00,1.0
EUR_NZD,2016-03-24 17:00:00,2016-03-29 13:00:00,1.0
EUR_NZD,2016-03-28 13:00:00,2016-03-29 13:00:00,1.0
AUD_CHF,2016-03-29 21:00:00,2016-04-04 13:00:00,-1.0
AUD_USD,2016-03-31 21:00:00,2016-04-01 13:00:00,1.0
NZD_USD,2016-03-31 21:00:00,2016-04-01 13:00:00,1.0
AUD_CHF,2016-04-03 21:00:00,2016-04-04 21:00:00,-1.0
USD_JPY,2016-04-11 13:00:00,2016-04-13 05:00:00,1.0
CAD_JPY,2016-04-13 13:00:00,2016-04-15 09:00:00,1.0
NZD_USD,2016-04-13 13:00:00,2016-04-14 01:00:00,1.0
AUD_USD,2016-04-21 21:00:00,2016-04-27 01:00:00,1.0
NZD_JPY,2016-04-22 09:00:00,2016-04-22 13:00:00,1.0
CAD_JPY,2016-04-25 05:00:00,2016-04-27 21:00:00,-1.0
EUR_NZD,2016-04-25 13:00:00,2016-04-27 17:00:00,-1.0
EUR_NZD,2016-04-26 05:00:00,2016-04-27 17:00:00,-1.0
AUD_JPY,2016-05-02 05:00:00,2016-05-03 01:00:00,-1.0
USD_JPY,2016-05-02 05:00:00,2016-05-05 13:00:00,1.0
NZD_USD,2016-05-02 09:00:00,2016-05-03 13:00:00,1.0
GBP_NZD,2016-05-02 17:00:00,2016-05-04 01:00:00,1.0
NZD_USD,2016-05-02 21:00:00,2016-05-03 13:00:00,1.0
EUR_NZD,2016-05-04 13:00:00,2016-05-05 09:00:00,1.0
EUR_NZD,2016-05-10 09:00:00,2016-05-10 21:00:00,1.0
AUD_USD,2016-06-06 05:00:00,2016-06-07 01:00:00,-1.0
NZD_USD,2016-06-09 13:00:00,2016-06-10 17:00:00,1.0
AUD_JPY,2016-06-13 13:00:00,2016-06-16 01:00:00,-1.0
EUR_NZD,2016-06-15 09:00:00,2016-06-21 09:00:00,1.0
GBP_NZD,2016-06-26 21:00:00,2016-06-27 01:00:00,-1.0
AUD_JPY,2016-06-27 09:00:00,2016-06-28 13:00:00,1.0
CAD_JPY,2016-07-01 09:00:00,2016-07-05 09:00:00,1.0
EUR_NZD,2016-07-06 17:00:00,2016-07-07 05:00:00,1.0
USD_JPY,2016-07-06 21:00:00,2016-07-08 13:00:00,-1.0
USD_JPY,2016-07-08 13:00:00,2016-07-11 01:00:00,1.0
GBP_NZD,2016-07-11 09:00:00,2016-07-11 13:00:00,1.0
EUR_NZD,2016-07-15 09:00:00,2016-07-18 21:00:00,-1.0
CAD_JPY,2016-07-17 21:00:00,2016-07-18 13:00:00,1.0
NZD_JPY,2016-07-19 17:00:00,2016-07-21 09:00:00,-1.0
CAD_JPY,2016-07-21 13:00:00,2016-07-21 17:00:00,1.0
AUD_JPY,2016-07-22 13:00:00,2016-07-25 21:00:00,-1.0
AUD_CHF,2016-07-22 13:00:00,2016-07-26 09:00:00,1.0
NZD_JPY,2016-07-26 13:00:00,2016-07-27 01:00:00,1.0
GBP_NZD,2016-07-28 21:00:00,2016-07-29 13:00:00,-1.0
USD_JPY,2016-08-01 05:00:00,2016-08-02 13:00:00,-1.0
GBP_NZD,2016-08-01 09:00:00,2016-08-02 21:00:00,1.0
EUR_NZD,2016-08-08 13:00:00,2016-08-10 09:00:00,1.0
AUD_USD,2016-08-10 21:00:00,2016-08-12 17:00:00,1.0
NZD_USD,2016-08-11 21:00:00,2016-08-16 21:00:00,-1.0
EUR_NZD,2016-08-15 13:00:00,2016-08-26 09:00:00,1.0
AUD_USD,2016-08-16 21:00:00,2016-08-17 09:00:00,1.0
AUD_JPY,2016-08-16 21:00:00,2016-08-17 13:00:00,-1.0
NZD_JPY,2016-08-18 13:00:00,2016-08-24 21:00:00,1.0
NZD_USD,2016-08-19 05:00:00,2016-08-26 09:00:00,-1.0
USD_JPY,2016-08-19 05:00:00,2016-08-26 13:00:00,1.0
USD_JPY,2016-09-07 13:00:00,2016-09-08 13:00:00,1.0
NZD_JPY,2016-09-07 13:00:00,2016-09-11 21:00:00,-1.0
USD_JPY,2016-09-08 13:00:00,2016-09-08 17:00:00,1.0
NZD_USD,2016-09-20 21:00:00,2016-09-23 05:00:00,1.0
AUD_USD,2016-09-22 21:00:00,2016-10-06 09:00:00,1.0
NZD_JPY,2016-09-26 21:00:00,2016-09-27 05:00:00,1.0
AUD_JPY,2016-09-27 09:00:00,2016-09-28 21:00:00,1.0
NZD_USD,2016-10-20 09:00:00,2016-10-21 09:00:00,1.0
GBP_NZD,2016-10-21 05:00:00,2016-11-02 13:00:00,-1.0
AUD_JPY,2016-10-24 01:00:00,2016-10-25 05:00:00,1.0
AUD_CHF,2016-10-31 09:00:00,2016-11-02 01:00:00,-1.0
EUR_NZD,2016-11-01 05:00:00,2016-11-03 09:00:00,1.0
AUD_USD,2016-11-01 21:00:00,2016-11-08 14:00:00,-1.0
AUD_USD,2016-11-04 09:00:00,2016-11-08 18:00:00,-1.0
GBP_NZD,2016-11-17 22:00:00,2016-11-18 10:00:00,-1.0
NZD_USD,2016-12-05 06:00:00,2016-12-07 22:00:00,-1.0
NZD_JPY,2016-12-05 14:00:00,2016-12-07 22:00:00,1.0
CAD_JPY,2016-12-08 06:00:00,2016-12-09 06:00:00,-1.0
NZD_USD,2016-12-09 06:00:00,2016-12-14 18:00:00,1.0
AUD_USD,2016-12-15 02:00:00,2016-12-15 14:00:00,1.0
AUD_CHF,2016-12-15 06:00:00,2016-12-16 14:00:00,-1.0
NZD_USD,2017-01-03 14:00:00,2017-01-05 02:00:00,-1.0
AUD_CHF,2017-01-06 14:00:00,2017-01-10 14:00:00,1.0
USD_JPY,2017-01-10 14:00:00,2017-01-11 18:00:00,-1.0
NZD_USD,2017-01-10 14:00:00,2017-01-11 18:00:00,-1.0
EUR_NZD,2017-01-10 22:00:00,2017-01-11 14:00:00,1.0
NZD_USD,2017-01-16 06:00:00,2017-01-17 06:00:00,-1.0
AUD_USD,2017-01-24 10:00:00,2017-02-02 06:00:00,-1.0
CAD_JPY,2017-01-27 10:00:00,2017-01-30 10:00:00,1.0
USD_JPY,2017-02-02 22:00:00,2017-02-09 22:00:00,1.0
NZD_USD,2017-02-07 14:00:00,2017-02-08 22:00:00,1.0
EUR_NZD,2017-02-09 14:00:00,2017-02-15 06:00:00,1.0
AUD_USD,2017-02-13 06:00:00,2017-03-02 10:00:00,1.0
CAD_JPY,2017-02-15 22:00:00,2017-02-16 18:00:00,1.0
GBP_NZD,2017-02-16 14:00:00,2017-02-21 22:00:00,1.0
AUD_USD,2017-02-17 14:00:00,2017-03-02 10:00:00,1.0
EUR_NZD,2017-02-17 14:00:00,2017-02-22 06:00:00,1.0
GBP_NZD,2017-02-24 06:00:00,2017-02-28 14:00:00,-1.0
NZD_JPY,2017-02-27 10:00:00,2017-03-05 22:00:00,-1.0
GBP_NZD,2017-02-28 02:00:00,2017-03-03 06:00:00,1.0
NZD_JPY,2017-03-09 18:00:00,2017-03-10 10:00:00,1.0
NZD_JPY,2017-03-17 05:00:00,2017-03-22 01:00:00,-1.0
AUD_USD,2017-03-20 17:00:00,2017-03-22 01:00:00,1.0
NZD_USD,2017-03-27 21:00:00,2017-03-31 09:00:00,1.0
CAD_JPY,2017-04-02 21:00:00,2017-04-03 13:00:00,1.0
USD_JPY,2017-04-06 13:00:00,2017-04-11 17:00:00,-1.0
AUD_JPY,2017-04-09 21:00:00,2017-04-11 13:00:00,-1.0
GBP_NZD,2017-04-10 05:00:00,2017-04-12 05:00:00,1.0
NZD_USD,2017-04-13 21:00:00,2017-04-25 17:00:00,1.0
GBP_NZD,2017-04-17 21:00:00,2017-04-18 09:00:00,1.0
NZD_USD,2017-04-18 01:00:00,2017-04-25 13:00:00,1.0
AUD_JPY,2017-04-19 13:00:00,2017-04-23 21:00:00,1.0
NZD_USD,2017-04-20 13:00:00,2017-04-25 05:00:00,1.0
NZD_USD,2017-04-24 09:00:00,2017-04-25 05:00:00,1.0
AUD_CHF,2017-04-30 21:00:00,2017-05-01 21:00:00,1.0
GBP_NZD,2017-05-03 17:00:00,2017-05-04 13:00:00,1.0
GBP_NZD,2017-05-11 05:00:00,2017-05-15 09:00:00,-1.0
EUR_NZD,2017-05-11 13:00:00,2017-05-16 05:00:00,-1.0
CAD_JPY,2017-05-16 09:00:00,2017-05-17 05:00:00,1.0
EUR_NZD,2017-05-17 21:00:00,2017-05-23 09:00:00,1.0
AUD_CHF,2017-05-17 21:00:00,2017-05-31 13:00:00,-1.0
AUD_USD,2017-05-22 05:00:00,2017-06-01 13:00:00,1.0
AUD_CHF,2017-05-22 09:00:00,2017-06-01 01:00:00,-1.0
AUD_CHF,2017-05-22 21:00:00,2017-05-31 13:00:00,-1.0
AUD_USD,2017-05-25 13:00:00,2017-06-01 01:00:00,1.0
CAD_JPY,2017-05-25 13:00:00,2017-05-26 05:00:00,1.0
AUD_CHF,2017-05-26 17:00:00,2017-06-01 01:00:00,-1.0
NZD_JPY,2017-05-28 21:00:00,2017-06-08 09:00:00,1.0
USD_JPY,2017-05-30 13:00:00,2017-06-06 01:00:00,-1.0
USD_JPY,2017-05-31 05:00:00,2017-06-06 01:00:00,-1.0
EUR_NZD,2017-06-01 13:00:00,2017-06-06 01:00:00,1.0
AUD_JPY,2017-06-02 05:00:00,2017-06-08 13:00:00,1.0
GBP_NZD,2017-06-08 01:00:00,2017-06-08 21:00:00,-1.0
AUD_USD,2017-06-08 17:00:00,2017-06-14 09:00:00,-1.0
NZD_JPY,2017-06-15 21:00:00,2017-06-16 09:00:00,1.0
AUD_USD,2017-06-19 01:00:00,2017-06-21 05:00:00,1.0
AUD_JPY,2017-06-22 13:00:00,2017-06-26 09:00:00,1.0
AUD_CHF,2017-07-04 17:00:00,2017-07-12 17:00:00,1.0
CAD_JPY,2017-07-14 13:00:00,2017-08-01 01:00:00,1.0
EUR_NZD,2017-07-18 09:00:00,2017-07-27 05:00:00,1.0
AUD_JPY,2017-07-24 01:00:00,2017-07-25 09:00:00,1.0
NZD_JPY,2017-07-25 01:00:00,2017-07-26 13:00:00,1.0
AUD_JPY,2017-07-31 09:00:00,2017-08-08 17:00:00,-1.0
USD_JPY,2017-08-01 13:00:00,2017-08-10 13:00:00,-1.0
USD_JPY,2017-08-04 09:00:00,2017-08-11 01:00:00,-1.0
GBP_NZD,2017-08-07 13:00:00,2017-08-10 05:00:00,1.0
EUR_NZD,2017-08-08 13:00:00,2017-08-11 01:00:00,-1.0
USD_JPY,2017-08-11 09:00:00,2017-08-14 21:00:00,1.0
GBP_NZD,2017-08-16 05:00:00,2017-08-17 01:00:00,-1.0
NZD_JPY,2017-08-18 13:00:00,2017-08-23 05:00:00,-1.0
AUD_CHF,2017-08-28 05:00:00,2017-08-29 09:00:00,-1.0
AUD_USD,2017-08-29 05:00:00,2017-09-05 13:00:00,-1.0
NZD_JPY,2017-09-05 17:00:00,2017-09-12 05:00:00,1.0
USD_JPY,2017-09-06 09:00:00,2017-09-08 09:00:00,-1.0
NZD_JPY,2017-09-08 05:00:00,2017-09-11 21:00:00,1.0
AUD_JPY,2017-09-11 05:00:00,2017-09-12 05:00:00,1.0
NZD_USD,2017-09-11 21:00:00,2017-09-14 09:00:00,1.0
CAD_JPY,2017-09-14 09:00:00,2017-09-29 13:00:00,1.0
EUR_NZD,2017-09-25 13:00:00,2017-10-06 09:00:00,-1.0
AUD_CHF,2017-10-02 05:00:00,2017-10-04 13:00:00,1.0
AUD_CHF,2017-10-02 21:00:00,2017-10-18 17:00:00,1.0
AUD_CHF,2017-10-06 13:00:00,2017-10-13 13:00:00,1.0
NZD_JPY,2017-10-09 13:00:00,2017-10-13 13:00:00,1.0
NZD_USD,2017-10-16 21:00:00,2017-10-19 01:00:00,1.0
NZD_USD,2017-10-17 09:00:00,2017-10-19 01:00:00,1.0
AUD_JPY,2017-10-27 13:00:00,2017-11-02 01:00:00,1.0
AUD_JPY,2017-10-31 13:00:00,2017-11-01 05:00:00,1.0
NZD_USD,2017-11-02 13:00:00,2017-11-14 06:00:00,1.0
NZD_USD,2017-11-05 22:00:00,2017-11-14 06:00:00,1.0
USD_JPY,2017-11-12 22:00:00,2017-11-17 14:00:00,-1.0
EUR_NZD,2017-11-13 06:00:00,2017-11-14 02:00:00,-1.0
AUD_JPY,2017-11-15 14:00:00,2017-11-17 14:00:00,-1.0
NZD_JPY,2017-11-23 14:00:00,2017-12-01 14:00:00,1.0
NZD_USD,2017-11-28 14:00:00,2017-11-29 22:00:00,1.0
AUD_JPY,2017-11-28 18:00:00,2017-12-01 06:00:00,1.0
