pair,entry_ts,exit_ts,r
USD_JPY,2016-01-11 06:00:00,2016-01-13 02:00:00,1.0
CHF_JPY,2016-01-14 14:00:00,2016-01-20 14:00:00,-1.0
USD_JPY,2016-01-20 14:00:00,2016-01-21 14:00:00,1.0
USD_CAD,2016-01-22 02:00:00,2016-01-22 14:00:00,-1.0
USD_CAD,2016-01-22 14:00:00,2016-01-25 18:00:00,1.0
NZD_CHF,2016-01-26 22:00:00,2016-01-27 18:00:00,1.0
CAD_CHF,2016-01-29 14:00:00,2016-02-02 14:00:00,1.0
NZD_CHF,2016-01-29 14:00:00,2016-02-02 14:00:00,1.0
NZD_CHF,2016-02-03 14:00:00,2016-02-04 22:00:00,1.0
CAD_CHF,2016-02-04 10:00:00,2016-02-04 14:00:00,1.0
USD_JPY,2016-02-09 10:00:00,2016-02-10 18:00:00,-1.0
CHF_JPY,2016-02-11 22:00:00,2016-02-15 02:00:00,1.0
CAD_CHF,2016-02-15 06:00:00,2016-02-16 02:00:00,-1.0
EUR_GBP,2016-02-15 14:00:00,2016-02-16 14:00:00,1.0
CAD_CHF,2016-02-17 22:00:00,2016-02-19 10:00:00,1.0
NZD_CHF,2016-02-18 02:00:00,2016-02-19 10:00:00,1.0
USD_CAD,2016-02-18 02:00:00,2016-02-19 10:00:00,1.0
NZD_CHF,2016-02-18 10:00:00,2016-02-19 10:00:00,1.0
USD_JPY,2016-02-21 22:00:00,2016-02-24 14:00:00,-1.0
CHF_JPY,2016-02-21 22:00:00,2016-02-22 22:00:00,-1.0
USD_JPY,2016-02-23 06:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-24 10:00:00,2016-02-25 14:00:00,1.0
USD_CAD,2016-02-26 02:00:00,2016-03-01 18:00:00,-1.0
EUR_GBP,2016-02-28 22:00:00,2016-02-29 14:00:00,-1.0
EUR_GBP,2016-03-01 02:00:00,2016-03-02 14:00:00,-1.0
EUR_GBP,2016-03-03 02:00:00,2016-03-08 14:00:00,1.0
USD_CAD,2016-03-03 06:00:00,2016-03-07 14:00:00,-1.0
NZD_CHF,2016-03-03 10:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-03 22:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-04 10:00:00,2016-03-07 14:00:00,-1.0
CAD_CHF,2016-03-07 14:00:00,2016-03-08 14:00:00,1.0
NZD_CHF,2016-03-07 22:00:00,2016-03-08 06:00:00,1.0
EUR_GBP,2016-03-08 06:00:00,2016-03-10 14:00:00,1.0
USD_JPY,2016-03-08 14:00:00,2016-03-10 10:00:00,1.0
USD_JPY,2016-03-08 22:00:00,2016-03-09 22:00:00,1.0
CHF_JPY,2016-03-09 10:00:00,2016-03-09 14:00:00,1.0
EUR_GBP,2016-03-09 22:00:00,2016-03-10 10:00:00,-1.0
EUR_GBP,2016-03-10 22:00:00,2016-03-11 14:00:00,-1.0
USD_CAD,2016-03-11 14:00:00,2016-03-15 09:00:00,1.0
CHF_JPY,2016-03-16 05:00:00,2016-03-23 13:00:00,1.0
CAD_CHF,2016-03-17 05:00:00,2016-03-21 09:00:00,1.0
USD_CAD,2016-03-17 05:00:00,2016-03-18 09:00:00,-1.0
NZD_CHF,2016-03-18 01:00:00,2016-03-20 21:00:00,1.0
EUR_GBP,2016-03-18 05:00:00,2016-03-22 13:00:00,1.0
CAD_CHF,2016-03-23 05:00:00,2016-03-23 13:00:00,1.0
EUR_GBP,2016-03-28 21:00:00,2016-03-31 13:00:00,1.0
NZD_CHF,2016-03-29 09:00:00,2016-03-29 13:00:00,-1.0
NZD_CHF,2016-03-29 21:00:00,2016-04-01 09:00:00,1.0
CAD_CHF,2016-03-29 21:00:00,2016-04-01 09:00:00,1.0
USD_CAD,2016-03-30 05:00:00,2016-03-30 13:00:00,-1.0
USD_JPY,2016-03-31 01:00:00,2016-04-04 17:00:00,-1.0
USD_JPY,2016-04-04 21:00:00,2016-04-05 13:00:00,-1.0
