tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
813,0.037591781608324305,0.03372515048210568,-0.028509513336602822,0.10369307655325144,349,-0.05390956900076095,0.051904208637626355,-0.1556418179305086,0.0478226799289867,EUR_USD,14,100,1,long,1162
674,0.013879022433279263,0.03695958945465853,-0.058561772897851444,0.08631981776440997,290,-0.034313597793307324,0.057609395747005375,-0.14722801345743786,0.07860081787082321,EUR_USD,14,100,2,long,964
496,0.005821170146467035,0.043192020645700505,-0.07883519031910595,0.09047753061204002,213,-0.01878305107926323,0.06731491877954457,-0.1507202918871706,0.11315418972864413,EUR_USD,14,100,3,long,709
350,0.01036160499354301,0.051180696296449196,-0.08995255974749741,0.11067576973458343,150,-0.029586895009502026,0.08020987663162628,-0.18679825320748955,0.12762446318848547,EUR_USD,14,100,4,long,500
434,0.029461463316378268,0.04625003980776778,-0.061188614706846584,0.12011154133960311,187,-0.06251622617907839,0.07213898657925345,-0.20390863987441515,0.07887618751625837,EUR_USD,14,150,1,long,621
388,-0.019344587668471972,0.048813255536172995,-0.11501856851937103,0.0763293931824271,167,-0.075817506169173,0.07636955434089955,-0.22550183267733614,0.07386682033899013,EUR_USD,14,150,2,long,555
315,-0.026410421865392258,0.05438640421305489,-0.13300777412297984,0.08018693039219532,136,-0.12307972427224725,0.0844577543127045,-0.28861692272514805,0.04245747418065357,EUR_USD,14,150,3,long,451
234,-0.0211993999723109,0.06307702665743277,-0.14483037222087913,0.10243157227625732,101,-0.10379363518952707,0.09760227155811926,-0.29509408744344084,0.08750681706438669,EUR_USD,14,150,4,long,335
179,0.10037281411110163,0.0721624518740458,-0.04106559156202813,0.2418112197842314,77,-0.05033846725833183,0.11219289551966362,-0.2702365424768725,0.16955960796020886,EUR_USD,14,200,1,long,256
169,0.07524733125730151,0.07391171789581083,-0.06961963581848771,0.22011429833309074,73,-0.06390603754867717,0.11589390969704151,-0.2910581005548785,0.1632460254575242,EUR_USD,14,200,2,long,242
154,0.06506443808552162,0.0774960285324619,-0.08682777783810372,0.21695665400914696,67,-0.18670658338597823,0.11923879923094387,-0.4204146298786282,0.04700146310667175,EUR_USD,14,200,3,long,221
124,0.10611977059591088,0.08525876085412068,-0.06098740067816566,0.2732269418699874,54,-0.05933147453482554,0.134576223466254,-0.32310087252868336,0.2044379234590323,EUR_USD,14,200,4,long,178
59,-0.02909954584074547,0.1272840461467085,-0.2785762762882941,0.22037718460680317,26,-0.07692307692307693,0.19940740610485724,-0.46776159288859714,0.3139154390424433,EUR_USD,14,250,1,long,85
57,0.02818952327297349,0.12838753338516537,-0.2234500421619506,0.2798290887078976,25,0.04,0.20396078054371142,-0.3597631298656744,0.43976312986567434,EUR_USD,14,250,2,long,82
53,-0.059594393087246886,0.13249009271700035,-0.31927497481256756,0.20008618863807376,24,0.015514215310225973,0.2058394751872635,-0.3879311560568105,0.4189595866772624,EUR_USD,14,250,3,long,77
49,-0.001338600719607697,0.13872979371781466,-0.2732489964065244,0.27057179496730904,22,-0.07032276712104145,0.21416566672118034,-0.4900874738945549,0.349441939652472,EUR_USD,14,250,4,long,71
764,0.07667193599711174,0.03480989417987324,0.00844454340456019,0.14489932858966328,328,0.03353989920172006,0.05341300284939547,-0.07114958638309507,0.13822938478653518,EUR_USD,14,100,1,short,1092
630,0.0559135445951511,0.038434926294867916,-0.019418910942790017,0.1312460001330922,271,0.05023037932983625,0.05927376802469811,-0.06594620599857204,0.16640696465824453,EUR_USD,14,100,2,short,901
462,0.022948181918569264,0.045046839937578506,-0.06534362435908461,0.11123998819622313,199,0.08063338551748166,0.0689454262231256,-0.05449964987984453,0.21576642091480785,EUR_USD,14,100,3,short,661
344,0.009266647030828808,0.052356257027009245,-0.09335161674210932,0.11188491080376692,148,0.09968198543513167,0.07939489637342513,-0.055932011456781575,0.2552959823270449,EUR_USD,14,100,4,short,492
403,0.0504201085193643,0.04763855872205087,-0.042951466575855406,0.143791683614584,174,0.026019811114611584,0.07275903080819769,-0.11658788926945589,0.16862751149867905,EUR_USD,14,150,1,short,577
365,0.023347479678111887,0.05036287412596537,-0.07536375360878024,0.12205871296500402,157,0.06799766169235746,0.0772187863985359,-0.08335115964877288,0.2193464830334878,EUR_USD,14,150,2,short,522
298,-0.004027099160629364,0.05576867385329878,-0.11333369991309496,0.10527950159183623,129,0.041017216672461276,0.08519460528807808,-0.12596420969217176,0.2079986430370943,EUR_USD,14,150,3,short,427
232,0.006941600645701954,0.06363053040049338,-0.11777423893926506,0.13165744023066897,100,0.05191646029349457,0.09685445151252191,-0.13791826467104837,0.2417511852580375,EUR_USD,14,150,4,short,332
