tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
639,0.08432988103797392,0.03814235106808013,0.009570872944536873,0.15908888913141098,274,0.12263367567147693,0.058019564387410585,0.008915329472152178,0.23635202187080168,EUR_USD,30,100,1,short,913
244,0.10113780505743666,0.0634794713738032,-0.023281958835217623,0.22555756895009094,106,0.20034797758933243,0.09516682647849292,0.013820997691486314,0.38687495748717854,AUD_USD,40,150,2,short,350
356,0.09698999912150581,0.051269367466426505,-0.003497961112690129,0.19747795935570175,153,0.14854209279458472,0.07219282354811256,0.007044158640284098,0.2900400269488853,USD_CAD,20,150,1,long,509
651,0.07089911557937549,0.03790736753562754,-0.0033993247904544888,0.14519755594920547,279,0.10267751524111907,0.05536348056464195,-0.005834906665579162,0.2111899371478173,USD_CAD,30,100,1,long,930
278,0.10194606511018743,0.056974984589372696,-0.009724904684983049,0.2136170349053579,120,0.1848312466243982,0.08169371674259704,0.024711561808908017,0.3449509314398884,USD_CAD,30,150,2,long,398
633,0.06458766378702814,0.03830113844390336,-0.010482567563022432,0.1396578951370787,272,0.1644527995508998,0.055432153471864636,0.05580577874604513,0.2730998203557545,USD_CAD,40,100,1,long,905
310,0.1164627942216691,0.054260071247819425,0.010113054575943026,0.22281253386739516,133,0.20445410505196746,0.08023705693812486,0.04718947345324273,0.3617187366506922,USD_CAD,40,150,1,long,443
333,0.08150339946919574,0.053381381650296725,-0.02312410856538584,0.1861309075037773,144,0.17126631422261437,0.07718936805748654,0.01997515282994075,0.322557475615288,AUD_CAD,30,150,1,short,477
779,0.07006005662735758,0.035055645305919064,0.0013509918277562066,0.13876912142695896,335,0.11639071011199255,0.051921279795670836,0.014625001712477714,0.21815641851150738,CAD_CHF,14,100,1,short,1114
717,0.0338048756122054,0.036630647375197875,-0.03799119324318243,0.10560094446759324,308,0.17005790736894622,0.05392787802913943,0.06435926643183293,0.2757565483060595,CAD_CHF,20,100,1,short,1025
571,0.03807739900762872,0.041022711658610475,-0.04232711584324781,0.11848191385850526,246,0.14534939067840963,0.060570716804991896,0.02663078574062551,0.26406799561619376,CAD_CHF,20,100,2,short,817
741,0.06681597830293096,0.035278199099005106,-0.002329291931119054,0.13596124853698097,318,0.12068733549871734,0.0551854089956257,0.012523933867290976,0.2288507371301437,USD_JPY,14,100,1,long,1059
446,0.08554632304227354,0.045699648315884064,-0.0040249876568592274,0.17511763374140632,192,0.16530274452790922,0.07083263940997914,0.026470771284350103,0.30413471777146833,USD_JPY,14,100,3,long,638
385,0.09863120543008208,0.049344245662936576,0.0019164839307263953,0.19534592692943775,165,0.16204925423853672,0.07638994556337853,0.012324960934314816,0.31177354754275866,USD_JPY,20,100,3,long,550
332,0.10679706640652983,0.05322238151572367,0.0024811986357114457,0.21111293417734822,143,0.18294929423708994,0.08142598021018779,0.02335437302512186,0.342544215449058,USD_JPY,30,100,3,long,475
546,0.11923624285849367,0.04148580640000021,0.03792406231449327,0.20054842340249407,234,0.12335566191556574,0.06475333793730634,-0.00356088044155467,0.25027220427268615,USD_JPY,40,100,1,long,780
417,0.12921259043392325,0.04732464850933153,0.03645627935563345,0.22196890151221305,179,0.1588446536720987,0.07336144450550662,0.01505622244130575,0.30263308490289165,USD_JPY,40,100,2,long,596
313,0.16449621312995186,0.05432167230685956,0.058025735408507126,0.2709666908513966,135,0.22424611174498624,0.08327012880642233,0.06103665928439847,0.38745556420557403,USD_JPY,40,100,3,long,448
184,0.12801635794129382,0.07154469091711393,-0.01221123625624948,0.2682439521388371,79,0.2212113857157919,0.10907859951893963,0.007417330658670257,0.4350054407729136,USD_JPY,40,150,3,long,263
672,0.06950404543168402,0.036910868512053746,-0.0028412568519413234,0.14184934771530938,288,0.1006281329832816,0.04734316780643163,0.007835524082675613,0.19342074188388758,EUR_GBP,14,100,2,long,960
506,0.06096678677449934,0.042554955454864284,-0.02244092591703465,0.14437449946603334,218,0.12680399692303315,0.05669427068386859,0.01568322638265071,0.2379247674634156,EUR_GBP,14,100,3,long,724
409,0.027086538229370277,0.04745379531910577,-0.06592290059607703,0.12009597705481759,176,0.10563285367465593,0.0596100770619753,-0.01120289736681565,0.2224686047161275,EUR_GBP,14,150,1,long,585
729,0.06267988578720114,0.03534319914731229,-0.006592784541530949,0.13195255611593323,313,0.08371131969751883,0.04572538530241406,-0.005910435495212724,0.17333307489025038,EUR_GBP,20,100,1,long,1042
428,0.05877732266220687,0.04604923501911737,-0.031479177975263166,0.1490338232996769,184,0.11241360073485854,0.0612308156897055,-0.007598798016964239,0.2324259994866813,EUR_GBP,20,100,3,long,612
680,0.06113729699560387,0.03651688278780256,-0.010435793268489146,0.1327103872596969,292,0.10207299157438277,0.047219784601783873,0.009522213754886377,0.19462376939387915,EUR_GBP,30,100,1,long,972
387,0.03847571786727252,0.048268507195630854,-0.056130556236163955,0.133081991970709,167,0.11735369620997864,0.0627694716951131,-0.005674468312443032,0.2403818607324003,EUR_GBP,30,100,3,long,554
630,0.05127638072677156,0.03762243494357125,-0.022463591762628084,0.12501635321617122,270,0.14052292493502858,0.04758015278926337,0.04726582546807237,0.23378002440198478,EUR_GBP,40,100,1,long,900
525,0.040466325162500004,0.041279929698776,-0.040442337047100964,0.12137498737210098,225,0.21837945091376387,0.06352062451280481,0.09387902686866645,0.3428798749588613,CHF_JPY,20,100,2,long,750
298,0.0609226279254799,0.05463579116825978,-0.04616352276430926,0.16800877861526906,129,0.1906857037479713,0.08485953736146712,0.024361010519495768,0.3570103969764469,CHF_JPY,20,150,2,long,427
460,0.02832361113795775,0.04444739829094766,-0.05879328951229966,0.11544051178821517,198,0.28125424398091553,0.06679665243055749,0.15033280521702286,0.4121756827448082,CHF_JPY,30,100,2,long,658
338,0.0526690697928893,0.05188333834935928,-0.04902227337185488,0.15436041295763347,145,0.19391828299012176,0.08002350221478377,0.03707221864914556,0.35076434733109796,CHF_JPY,30,100,3,long,483
571,0.08433891127260795,0.03950387842251673,0.006911309564475165,0.16176651298074074,245,0.16520737275450736,0.062211517562005825,0.043272798332975954,0.2871419471760388,CHF_JPY,40,100,1,long,816
422,0.08297246783037143,0.04612289554419792,-0.007428407436256487,0.17337334309699937,181,0.21969522948034564,0.07147688353802199,0.07960053774582254,0.35978992121486875,CHF_JPY,40,100,2,long,603
293,0.1136671338406371,0.055146036223398476,0.005580902842776098,0.2217533648384981,126,0.26930245712132467,0.08385536558233862,0.10494594057994097,0.43365897366270834,CHF_JPY,40,100,3,long,419
272,0.060866381699153836,0.05739077462302551,-0.05161953656197616,0.17335229996028384,117,0.28753236415935096,0.08827685086705185,0.11450973645992935,0.4605549918587726,CHF_JPY,40,150,1,long,389
217,0.06604625736358638,0.06408742749134112,-0.05956510051944222,0.19165761524661498,93,0.2702650455906179,0.09894468103518385,0.07633347076165758,0.46419662041957827,CHF_JPY,40,150,2,long,310
390,0.02109666362054085,0.0502392591462222,-0.07737228430605467,0.11956561154713635,168,0.1359907942134719,0.07636042790812964,-0.01367564448646219,0.285657232913406,NZD_CHF,14,150,1,short,558
746,-0.012910352375343947,0.03620220711442008,-0.0838666783196073,0.0580459735689194,321,0.03831096363016997,0.0556037022726148,-0.07067229282415502,0.14729422008449497,NZD_CHF,20,100,1,short,1067
671,0.001309506341018873,0.038241375322447736,-0.0736435892909787,0.07626260197301643,288,0.058892019357443336,0.058407667899520475,-0.05558700972561679,0.17337104844050347,NZD_CHF,30,100,1,short,959
371,-0.01992336149048009,0.05022973844172603,-0.1183736488362631,0.07852692585530292,160,0.08979511662515964,0.07790504086246068,-0.06289876346526328,0.24248899671558255,EUR_NOK,14,150,2,long,531
