tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
244,0.13651356359849642,0.062220175546129894,0.014562019528081838,0.258465107668911,105,0.2581881996824276,0.08758502440475982,0.08652155184909838,0.42985484751575687,USD_CAD,30,100,1,long,349
112,0.17456835779123267,0.08960613187019544,-0.0010596606743503711,0.3501963762568157,49,0.22570065100946918,0.1279977002070239,-0.025174841396297665,0.476576143415236,USD_CAD,30,100,4,long,161
142,0.19194886504198633,0.08044434358673706,0.03427795161198169,0.349619778471991,61,0.3965838584633303,0.10869080330778369,0.18354988398007424,0.6096178329465863,USD_CAD,30,150,1,long,203
130,0.13751520112602633,0.08633461593540524,-0.03170064610736795,0.3067310483594206,56,0.3704517612144653,0.11783911801446413,0.13948708990611564,0.6014164325228151,EUR_AUD,20,100,4,long,186
279,0.1613575698098024,0.05813123231037795,0.04742035448146162,0.2752947851381432,120,0.251524410829506,0.08368411818403185,0.08750353918880358,0.4155452824702084,CAD_CHF,14,100,1,short,399
258,0.1622811769209053,0.060284018789108954,0.04412450009425174,0.28043785374755886,111,0.2034791581327572,0.08774606505408605,0.031496870626748524,0.3754614456387658,CAD_CHF,20,100,1,short,369
230,0.17721695355555023,0.06306444903961754,0.053610633437899846,0.3008232736732006,99,0.2760709720004034,0.09265179469967602,0.09447345438903842,0.4576684896117684,CAD_CHF,30,100,1,short,329
121,0.22395196895571648,0.0875122839216656,0.05242789246925189,0.39547604544218107,52,0.375817622669403,0.1228827296974115,0.13496747246247645,0.6166677728763296,CAD_CHF,30,150,1,short,173
221,0.1500164133535873,0.06533824338400868,0.02195345632093032,0.2780793703862443,96,0.20750767734314435,0.09647463755165724,0.018417387741896163,0.39659796694439253,CAD_CHF,40,100,1,short,317
198,0.20923715206784266,0.06717363578329395,0.07757682593258652,0.3408974782030988,86,0.22219582018036024,0.10489772963839147,0.016596270089112963,0.4277953702716075,USD_JPY,30,100,1,long,284
323,0.14297529756586388,0.052854831909643886,0.039379827022961875,0.24657076810876588,139,0.20606493753262173,0.066398997510927,0.0759229024112048,0.33620697265403865,EUR_GBP,14,100,2,long,462
141,0.17417628202660035,0.07907440447404779,0.019190449257466685,0.329162114795734,61,0.24480732949734632,0.11035563986567286,0.02851027536062753,0.46110438363406514,EUR_GBP,20,100,4,long,202
237,0.18684735595741844,0.06035522889120621,0.06855110733065427,0.3051436045841826,102,0.2068727942598121,0.07667942956029315,0.05658111232163751,0.35716447619798664,EUR_GBP,40,100,1,long,339
118,0.24831740484168954,0.08471851861084513,0.0822691083644331,0.414365701318946,51,0.18770721431775547,0.11272360086184038,-0.03323104337145166,0.4086454720069626,EUR_GBP,40,150,1,long,169
161,0.19076126186463746,0.07442801775958734,0.04488234705584629,0.3366401766734286,69,0.31514950345719756,0.11054759991173622,0.09847620763019455,0.5318227992842006,CHF_JPY,20,100,3,long,230
71,0.2573732868165702,0.10458156565638697,0.05239341813005172,0.46235315550308864,31,0.395290969959188,0.16467832024123166,0.07252146228637396,0.7180604776320021,CHF_JPY,30,150,4,long,102
91,0.22732423860825762,0.09515470995112954,0.04082100710404374,0.4138274701124715,40,0.37502002739747986,0.14626635302785188,0.08833797546289018,0.6617020793320696,CHF_JPY,40,100,4,long,131
238,0.04067102694919182,0.06465316741680864,-0.08604918118775311,0.16739123508613674,103,0.26213592233009725,0.0955523036231348,0.07485340722875305,0.44941843743144144,USD_PLN,40,100,1,short,341
112,0.12455430402858265,0.0874848413406687,-0.04691598499912798,0.2960245930562933,48,0.18945046870844406,0.09712367587574511,-0.0009119360080163397,0.37981287342490444,EUR_PLN,30,100,4,short,160
303,0.17207484188575972,0.05615258893150339,0.06201576758001308,0.28213391619150635,131,0.24796844556724,0.08419270803708519,0.08295073781455303,0.41298615331992694,NZD_CHF,20,100,1,short,434
173,0.15429799317649828,0.07470711177289788,0.007872054101618453,0.3007239322513781,75,0.3888284065353456,0.10561226497255477,0.18182836718913828,0.5958284458815529,NZD_CHF,20,100,3,short,248
248,0.15329833936366516,0.06261905028022438,0.03056500081442537,0.27603167791290495,107,0.28577727700515343,0.09225779981978992,0.1049519893583652,0.46660256465194166,NZD_CHF,30,100,1,short,355
