tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
623,-0.03684140583064307,0.038678734064535265,-0.11265172459713219,0.038968912935846055,267,-0.01674210644107825,0.05895186548367901,-0.1322877627890891,0.09880354990693262,EUR_USD,10,1,long,890
632,-0.03929990737382159,0.03846572190345709,-0.11469272230459748,0.0360929075569543,272,-0.02895982766700129,0.05910836729886596,-0.14481222757277856,0.08689257223877599,EUR_USD,10,1,short,904
207,-0.04573688395056903,0.06686579922633493,-0.1767938504341855,0.08532008253304742,90,0.06215336222329613,0.10030654174346558,-0.13444745959389642,0.25875418404048867,EUR_USD,10,2,long,297
216,0.028189573544085206,0.0657984126203468,-0.10077531519179452,0.15715446227996493,93,-0.053448496444393305,0.09924305774667339,-0.24796488962787314,0.1410678967390865,EUR_USD,10,2,short,309
65,-0.019229497410440048,0.11727093562235917,-0.24908053123026402,0.2106215364093839,29,-0.10727834086206031,0.1759502793579509,-0.4521408884036441,0.23758420667952349,EUR_USD,10,3,long,94
54,-0.03057851407490802,0.13313214171266957,-0.2915175118317404,0.23036048368192436,24,0.16361427499797346,0.1962107676304374,-0.22095882955768384,0.5481873795536307,EUR_USD,10,3,short,78
425,-0.12455788741002145,0.04684622268634799,-0.21637648387526354,-0.032739290944779384,183,-0.03842210524209528,0.07065142793324185,-0.1768989039912493,0.10005469350705876,EUR_USD,20,1,long,608
439,-0.004807412188375563,0.04603727139047421,-0.09504046411370502,0.0854256397369539,189,-0.0986049758939771,0.07032123112639575,-0.23643458890171276,0.039224637113758565,EUR_USD,20,1,short,628
139,-0.03742501151836963,0.0814123487637011,-0.19699321509522377,0.1221431920584845,60,-0.005456083919356027,0.12004174379290168,-0.24073790175344334,0.22982573391473127,EUR_USD,20,2,long,199
144,0.009847126331778915,0.0807123011409026,-0.14834898390439016,0.168043236567948,63,0.0008370032986857985,0.12096385039346058,-0.23625214347249693,0.23792615006986853,EUR_USD,20,2,short,207
49,0.005505954750377322,0.14000641509430017,-0.26890661883445105,0.27991852833520564,21,-0.21991729275274868,0.20236208930526953,-0.616546987791077,0.1767124022855796,EUR_USD,20,3,long,70
34,0.04532605136657658,0.16800766690930605,-0.28396897577566327,0.37462107850881643,15,0.22453226138023236,0.24712925190011623,-0.25984107234399545,0.7089055951044602,EUR_USD,20,3,short,49
245,-0.13837839873930138,0.06127650072155499,-0.25848034015354915,-0.018276457325053605,106,-0.044377598693722875,0.09237349025214463,-0.22542963958792633,0.13667444220048058,EUR_USD,55,1,long,351
259,-0.010037991424386345,0.06001023540164279,-0.12765805281160622,0.10758206996283352,112,-0.1331777536934555,0.091185180990073,-0.3119007084339986,0.04554520104708759,EUR_USD,55,1,short,371
81,0.01850547600287369,0.10843366297801231,-0.19402450343403044,0.23103545543977783,35,-0.22905733165294576,0.15368789551923245,-0.5302856068706414,0.07217094356474987,EUR_USD,55,2,long,116
83,-0.0011157537347909012,0.10643862501271158,-0.2097354587597056,0.2075039512901238,36,-0.09404036887747963,0.15715755214670774,-0.40206917108502677,0.2139884333300675,EUR_USD,55,2,short,119
26,0.11792428223523616,0.19471004317171536,-0.26370740238132595,0.49955596685179826,12,-0.2310614410844635,0.2764231965874104,-0.7728509063957878,0.31072802422686085,EUR_USD,55,3,long,38
18,0.028359089258695527,0.23378566634120226,-0.42986081677006094,0.48657899528745197,9,0.3333333333333346,0.33333333333333365,-0.3199999999999994,0.9866666666666686,EUR_USD,55,3,short,27
183,-0.11754022390013233,0.07097835729300483,-0.2566578041944218,0.021577356394157143,79,-0.03597696552822603,0.10586360229437165,-0.24346962602519445,0.17151569496874242,EUR_USD,100,1,long,262
186,-0.055452821485360085,0.0713300197813661,-0.19525966025683766,0.08435401728611748,80,-0.11005622467640355,0.10885117286611937,-0.3234045234939975,0.1032920741411904,EUR_USD,100,1,short,266
59,-0.04239078718249544,0.1257504009677448,-0.2888615730792753,0.2040799987142844,26,-0.34680794645588847,0.16556173833000953,-0.6713089535827071,-0.022306939329069797,EUR_USD,100,2,long,85
60,-0.09225306405890234,0.12626287401839434,-0.3397282971349552,0.15522216901715058,26,-0.19453886432202722,0.18584224259632792,-0.55878965981083,0.16971193116677552,EUR_USD,100,2,short,86
18,0.17033507433978556,0.23208424392898622,-0.28455004376102744,0.6252201924405986,9,-0.19697081033484026,0.3201038592370398,-0.8243743744394383,0.4304327537697578,EUR_USD,100,3,long,27
14,-0.10639545666739147,0.2629153139560174,-0.6217094720211856,0.4089185586864027,6,0.3333333333333352,0.4216370213557845,-0.4930752285240025,1.1597418951906728,EUR_USD,100,3,short,20
633,0.02600863801442379,0.0393522814411735,-0.05112183361027627,0.10313910963912384,272,0.01774842579747304,0.059114042923481526,-0.09811509833255075,0.13361194992749684,GBP_USD,10,1,long,905
612,0.07992437976952715,0.03989743309031967,0.0017254109125005995,0.1581233486265537,263,-0.047947652713071325,0.060033017444704816,-0.16561236690469275,0.06971706147855011,GBP_USD,10,1,short,875
221,0.0011468350288857758,0.06638088794944003,-0.12895970535201667,0.1312533754097882,95,0.15727846921915095,0.09745569364858857,-0.03373469033208265,0.34829162877038455,GBP_USD,10,2,long,316
191,0.019821223671983267,0.07197293051067896,-0.12124572012894749,0.16088816747291404,83,-0.2782242562012994,0.10492743796376675,-0.48388203461028223,-0.07256647779231662,GBP_USD,10,2,short,274
60,0.040909776597710314,0.12913027002833127,-0.212185552657819,0.29400510585323963,27,0.15637062866818813,0.1901756917929641,-0.2163737272460215,0.5291149845823977,GBP_USD,10,3,long,87
58,0.034482758620689655,0.13237446481895077,-0.22497119242445385,0.2939367096658332,26,-0.031053272226457204,0.19616330935690773,-0.4155333585659964,0.35342681411308197,GBP_USD,10,3,short,84
448,-0.00819431481040855,0.04687305251207643,-0.10006549773407836,0.08367686811326125,193,0.00019643220598851725,0.07018651403896083,-0.1373691353103747,0.13776199972235176,GBP_USD,20,1,long,641
414,0.08854589964558819,0.04849534436396519,-0.006504975307783573,0.18359677459895996,178,-0.08601798680722275,0.07280645684592477,-0.2287186422252353,0.0566826686107898,GBP_USD,20,1,short,592
154,0.005180899257611908,0.07970159725488216,-0.1510342313619571,0.16139602987718094,67,0.15257043526497513,0.11617690942346669,-0.07513630720501957,0.38027717773496983,GBP_USD,20,2,long,221
