tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
84,0.05115495308289733,0.105933453176396,-0.15647461514283884,0.2587845213086335,36,-0.02330637203424457,0.16668180122963658,-0.35000270244433224,0.3033899583758431,EUR_USD,10,1,long,120
93,-0.11283121724522249,0.10037571185185527,-0.3095676124748588,0.08390517798441383,41,-0.010055211199887238,0.15649712832737017,-0.31678958272153274,0.2966791603217583,EUR_USD,10,1,short,134
42,0.024414490481573525,0.1505727616315916,-0.27070812231634606,0.3195371032794931,18,-0.13531300490675371,0.23028988654268,-0.5866811825304066,0.3160551727168991,EUR_USD,10,2,long,60
50,0.020185146386641525,0.13875103472171157,-0.25176688166791317,0.29213717444119625,22,0.03957111151771458,0.2100567507025188,-0.3721401198592223,0.45128234289465147,EUR_USD,10,2,short,72
12,-0.11431152441551103,0.2598631074823682,-0.6236432150809527,0.3950201662499306,6,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,EUR_USD,10,3,long,18
4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,3,0.6533454799637847,0.3466545200362154,-0.026097379307197466,1.3327883392347668,EUR_USD,10,3,short,7
63,0.000659337927769947,0.12405467529417553,-0.24248782564881408,0.24380650150435398,28,-0.07142857142857142,0.19195851781663212,-0.4476672663491704,0.3048101234920275,EUR_USD,20,1,long,91
65,-0.05968113407378703,0.12010372656828962,-0.2950844381476347,0.17572217000006063,29,-0.25593196249671296,0.1804295605654709,-0.609573901205036,0.09770997621161004,EUR_USD,20,1,short,94
29,-0.1734566325259154,0.17262482643391389,-0.5118012923363866,0.16488802728455584,13,0.04341276243680259,0.2719033391161061,-0.48951778223076536,0.5763433071043705,EUR_USD,20,2,long,42
33,0.18209870664642655,0.1659828556260088,-0.1432276903805507,0.5074251036734038,15,-0.1138272422803729,0.25719420206621446,-0.6179278783301532,0.3902733937694074,EUR_USD,20,2,short,48
10,-0.18829883537968645,0.29216558855222524,-0.7609433889420478,0.384345718182675,5,1.0,0.0,1.0,1.0,EUR_USD,20,3,long,15
