tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
427,-0.01808293956245359,0.046570003630815836,-0.10936014667885263,0.07319426755394545,183,-0.0035343957851385233,0.07167297324915584,-0.14401342335348397,0.1369446317832069,EUR_USD,10,1,long,610
421,-0.0348229501543177,0.04728067358576657,-0.1274930703824202,0.05784717007378477,181,-0.0011107227063034768,0.07211683208097278,-0.1424597135850101,0.14023826817240317,EUR_USD,10,1,short,602
124,0.027168091174335152,0.08564206829061857,-0.14069036267527724,0.19502654502394756,54,0.09169782952776886,0.1305600294021297,-0.16419982810040537,0.34759548715594313,EUR_USD,10,2,long,178
130,-0.030346605355494067,0.08389287908951536,-0.19477664837094416,0.134083437659956,56,0.03882007585143489,0.13254917083792547,-0.22097629899089904,0.2986164506937688,EUR_USD,10,2,short,186
36,-0.06002539902266901,0.15286189443028927,-0.359634712106036,0.23958391406069796,16,-0.17834003477515195,0.24405650394993259,-0.6566907825170198,0.3000107129667159,EUR_USD,10,3,long,52
33,-0.04585353169565678,0.1715109923604262,-0.38201507672209206,0.29030801333077855,15,0.25946170396955104,0.24290559415923907,-0.21663326058255755,0.7355566685216597,EUR_USD,10,3,short,48
292,-0.1309014578696585,0.056254451397783255,-0.24116018260931368,-0.020642733130003338,126,-0.0014255921302986697,0.08558510622354151,-0.16917240032844003,0.1663212160678427,EUR_USD,20,1,long,418
289,-0.022787749658821504,0.057100962088495875,-0.13470563535227342,0.08913013603463041,124,0.002130610432411401,0.087329032395915,-0.169034293063582,0.17329551392840478,EUR_USD,20,1,short,413
84,0.09327999847832855,0.10375797405101421,-0.1100856306616593,0.29664562761831637,37,0.011572150595979842,0.15730573205194143,-0.29674708422582535,0.319891385417785,EUR_USD,20,2,long,121
90,0.04155963955902491,0.10016762551948515,-0.15476890645916597,0.2378881855772158,39,0.17677219525496943,0.15505578564446307,-0.12713714460817818,0.48068153511811706,EUR_USD,20,2,short,129
23,-0.025426035288892587,0.20070242295014862,-0.4188027842711839,0.3679507136933987,11,-0.3503127778547665,0.2772303232022283,-0.8936842113311338,0.1930586556216009,EUR_USD,20,3,long,34
19,0.09056337376378992,0.22891923439909073,-0.3581183256584279,0.5392450731860077,9,0.045471321461851205,0.3364204990582442,-0.6139128566923074,0.7048554996160098,EUR_USD,20,3,short,28
165,-0.11458648235989415,0.074508245983945,-0.2606226444884263,0.031449679768638036,72,-0.12360736451575202,0.11241826437547596,-0.3439471626916849,0.09673243366018086,EUR_USD,55,1,long,237
179,-0.05515785291645936,0.07246412225268216,-0.1971875325317164,0.08687182669879767,78,0.012064318907789128,0.1090522053772867,-0.2016780036316928,0.22580664144727108,EUR_USD,55,1,short,257
44,0.13613673547248772,0.14762856929231385,-0.1532152603404474,0.42548873128542286,20,0.0006925528448249535,0.21576241072762314,-0.42220177218131644,0.4235868778709663,EUR_USD,55,2,long,64
50,0.1426519942594249,0.13582636811422133,-0.12356768724444891,0.40887167576329875,22,-0.05107711999452579,0.20976295708847797,-0.4622125158879426,0.360058275898891,EUR_USD,55,2,short,72
12,0.3333333333333333,0.2842676218074806,-0.22383120540932872,0.8904978720759953,6,-0.47557342606707187,0.33897495951932466,-1.1399643467249483,0.18881749459080444,EUR_USD,55,3,long,18
9,-0.2532550998320003,0.32276502651554884,-0.885874551802476,0.37936435213847547,4,0.5000000000000028,0.5000000000000009,-0.479999999999999,1.4800000000000044,EUR_USD,55,3,short,13
122,-0.0977057780460283,0.08671282021977378,-0.2676629056767849,0.0722513495847283,53,-0.11131566500253105,0.1292606412165282,-0.36466652178692627,0.1420351917818642,EUR_USD,100,1,long,175
127,-0.1417272846459807,0.08639485755366413,-0.3110612054511624,0.027606636159201003,55,-0.009573279609374197,0.13057751662086015,-0.2655052121862601,0.2463586529675117,EUR_USD,100,1,short,182
31,0.16096826970288577,0.17427836747259953,-0.1806173305434093,0.5025538699491808,14,-0.14186778165025007,0.25036827647610604,-0.6325896035434179,0.3488540402429178,EUR_USD,100,2,long,45
