pair,entry_ts,exit_ts,r
GBP_NZD,2016-01-19 14:00:00,2016-01-19 22:00:00,1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-21 18:00:00,1.0
GBP_NZD,2016-01-21 14:00:00,2016-01-22 10:00:00,1.0
EUR_CAD,2016-01-22 18:00:00,2016-01-25 14:00:00,1.0
EUR_CAD,2016-01-31 22:00:00,2016-02-01 10:00:00,1.0
AUD_NZD,2016-02-03 10:00:00,2016-02-11 06:00:00,-1.0
GBP_NZD,2016-02-03 18:00:00,2016-02-05 06:00:00,-1.0
GBP_NZD,2016-02-08 14:00:00,2016-02-09 10:00:00,1.0
EUR_JPY,2016-02-08 14:00:00,2016-02-10 18:00:00,-1.0
EUR_JPY,2016-02-09 02:00:00,2016-02-09 14:00:00,1.0
AUD_NZD,2016-02-09 14:00:00,2016-02-12 14:00:00,1.0
EUR_JPY,2016-02-10 14:00:00,2016-02-10 22:00:00,-1.0
AUD_NZD,2016-02-10 22:00:00,2016-02-12 14:00:00,1.0
GBP_NZD,2016-02-10 22:00:00,2016-02-11 22:00:00,-1.0
CHF_JPY,2016-02-11 10:00:00,2016-02-12 02:00:00,1.0
AUD_NZD,2016-02-11 22:00:00,2016-02-12 10:00:00,1.0
EUR_CAD,2016-02-17 18:00:00,2016-02-19 14:00:00,1.0
GBP_NZD,2016-02-17 18:00:00,2016-02-22 06:00:00,-1.0
GBP_CAD,2016-02-18 06:00:00,2016-02-18 14:00:00,1.0
CHF_JPY,2016-02-18 22:00:00,2016-02-22 22:00:00,-1.0
GBP_NZD,2016-02-18 22:00:00,2016-02-22 06:00:00,-1.0
CHF_JPY,2016-02-19 10:00:00,2016-03-02 06:00:00,1.0
GBP_NZD,2016-02-19 10:00:00,2016-02-22 06:00:00,-1.0
GBP_NZD,2016-02-22 02:00:00,2016-02-22 10:00:00,-1.0
EUR_CAD,2016-02-22 14:00:00,2016-02-23 14:00:00,1.0
CHF_JPY,2016-02-22 14:00:00,2016-02-25 22:00:00,1.0
EUR_CAD,2016-02-25 14:00:00,2016-02-26 10:00:00,-1.0
GBP_NZD,2016-02-29 10:00:00,2016-03-01 06:00:00,1.0
AUD_CAD,2016-03-03 10:00:00,2016-03-04 10:00:00,-1.0
GBP_NZD,2016-03-04 06:00:00,2016-03-09 18:00:00,1.0
EUR_JPY,2016-03-07 10:00:00,2016-03-10 14:00:00,1.0
EUR_JPY,2016-03-08 10:00:00,2016-03-09 10:00:00,-1.0
AUD_CAD,2016-03-08 18:00:00,2016-03-09 22:00:00,1.0
EUR_JPY,2016-03-08 18:00:00,2016-03-10 14:00:00,1.0
AUD_CAD,2016-03-09 10:00:00,2016-03-09 18:00:00,1.000000000000011
EUR_CAD,2016-03-09 22:00:00,2016-03-10 10:00:00,-1.0
EUR_JPY,2016-03-10 10:00:00,2016-03-10 14:00:00,1.0
GBP_NZD,2016-03-22 13:00:00,2016-03-30 05:00:00,-1.0
GBP_NZD,2016-03-23 17:00:00,2016-03-30 05:00:00,-1.0
