tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
548,0.09010335451060608,0.041048682471625304,0.00964793686622048,0.17055877215499168,236,-0.002067406064860843,0.0637369814719168,-0.12699188974981776,0.12285707762009607,EUR_USD,20,1.0,14,long,784
431,0.0933384624875766,0.04616284186081822,0.0028592924403728903,0.1838176325347803,185,-0.008028271140959456,0.07116487183446965,-0.14751141993651995,0.13145487765460107,EUR_USD,20,1.5,14,long,616
274,-0.0003485794173881068,0.05885907148019243,-0.11571235951856527,0.11501520068378905,118,0.10547166132738837,0.08899875033362738,-0.06896588932652127,0.27990921198129803,EUR_USD,20,2.0,14,long,392
122,-0.1724213040213945,0.08606313593730659,-0.3411050504585154,-0.0037375575842735764,53,0.026422463996738876,0.1355505843092736,-0.2392566812494374,0.2921016092429151,EUR_USD,20,2.5,14,long,175
549,0.056108736913490435,0.04124215326061446,-0.024725883477313894,0.13694335730429477,236,-0.032797303137570386,0.06354233892709268,-0.15734028743467204,0.09174568115953127,EUR_USD,20,1.0,14,short,785
400,0.09990177615296543,0.04804237583796698,0.005738719510550147,0.19406483279538073,172,0.011024160841425264,0.07290677591951338,-0.13187311996082093,0.15392144164367147,EUR_USD,20,1.5,14,short,572
259,0.09772372260981574,0.05957859167250443,-0.019050317068292938,0.21449776228792442,112,0.003043542559028211,0.09068369602988777,-0.1746965016595518,0.18078358677760825,EUR_USD,20,2.0,14,short,371
152,0.015745598060461514,0.07808045172765296,-0.13729208732573828,0.16878328344666133,66,0.110783583772687,0.1171893280406407,-0.11890749918696876,0.3404746667323428,EUR_USD,20,2.5,14,short,218
408,0.015575692888092735,0.04772409556285316,-0.07796353441509946,0.10911492019128494,175,-0.008065857661951005,0.07489601067410012,-0.15486203858318723,0.13873032325928522,EUR_USD,50,1.0,14,long,583
363,0.05701028991297747,0.050961814024506606,-0.04287486557505548,0.1568954454010104,156,0.04164993235660365,0.07941521656325286,-0.11400389210737195,0.19730375682057927,EUR_USD,50,1.5,14,long,519
302,0.020826492480213704,0.0559873599317149,-0.0889087329859475,0.1305617179463749,130,-2.490117136106234e-05,0.08492610917645532,-0.1664800751572135,0.16643027281449138,EUR_USD,50,2.0,14,long,432
263,0.04593397857548331,0.05969576335145182,-0.07106971759336225,0.16293767474432888,114,0.01667748969475634,0.09163738922396188,-0.16293179318420892,0.19628677257372162,EUR_USD,50,2.5,14,long,377
439,0.08888133863961946,0.046422626991721706,-0.002107010264155079,0.179869687543394,189,-0.138726527244718,0.07039053156433187,-0.27669196911080846,-0.0007610853786275684,EUR_USD,50,1.0,14,short,628
380,0.08408634748053191,0.04963334044447994,-0.013194999790648768,0.1813676947517126,163,-0.11967706203845299,0.07571204767487036,-0.2680726754811989,0.028718551404292914,EUR_USD,50,1.5,14,short,543
331,0.05178318437210758,0.053061200133724284,-0.05221676788999202,0.15578313663420718,143,0.024752240564105837,0.08106505971047738,-0.13413527646842985,0.1836397575966415,EUR_USD,50,2.0,14,short,474
248,-0.018895472189383356,0.06199584659475914,-0.14040733151511126,0.10261638713634455,107,-0.055290631160994315,0.09347896326132132,-0.2385093991531841,0.12792813683119547,EUR_USD,50,2.5,14,short,355
291,-0.055909933783612205,0.05593668672855506,-0.16554583977158013,0.05372597220435572,126,0.03600477721084009,0.0878230479299112,-0.13612839673178587,0.20813795115346603,EUR_USD,100,1.0,14,long,417
302,-0.037704179398345666,0.05488773494803147,-0.14528413989648736,0.06987578109979602,130,0.0767136915460464,0.08549115540322748,-0.09084897304427944,0.24427635613637225,EUR_USD,100,1.5,14,long,432
274,-0.010772835757134317,0.05805134552841495,-0.12455347299282762,0.10300780147855898,118,-0.11463444603411219,0.09020175733048395,-0.29142989040186074,0.062160998333636364,EUR_USD,100,2.0,14,long,392
247,-0.005270916294352532,0.06140034492673934,-0.12561559235076164,0.11507375976205658,106,-0.11480955761916826,0.09294561557274122,-0.2969829641417411,0.06736384890340454,EUR_USD,100,2.5,14,long,353
317,0.09081603538981464,0.054656047585899786,-0.016309817878548932,0.19794188865817822,136,-0.19782573042448234,0.08109244495264098,-0.35676692253165865,-0.03888453831730604,EUR_USD,100,1.0,14,short,453
303,0.006189069124060978,0.056196075204136636,-0.10395523827604683,0.11633337652416878,130,-0.10503543872297,0.08465355758293559,-0.27095641158552375,0.06088553413958375,EUR_USD,100,1.5,14,short,433
283,0.06065605005278691,0.05786148217529111,-0.05275245501078366,0.1740645551163575,122,0.00332272360139216,0.08898550438915007,-0.17108886500134196,0.17773431220412628,EUR_USD,100,2.0,14,short,405
242,-0.07277243971823186,0.0617825388050144,-0.19386621577606009,0.04832133633959637,104,0.07950602895926134,0.09641805922515141,-0.10947336712203543,0.2684854250405581,EUR_USD,100,2.5,14,short,346
225,-0.12297882809923683,0.06394520090744925,-0.24831142187783736,0.002353765679363712,97,-0.13983980998726042,0.099077066653706,-0.33403086062852416,0.05435124065400332,EUR_USD,200,1.0,14,long,322
221,-0.07581116913107094,0.06474541815457512,-0.20271218871403818,0.05108985045189629,95,-0.010148237893919356,0.10092594684554664,-0.20796309371119076,0.18766661792335204,EUR_USD,200,1.5,14,long,316
207,-0.035184388894670605,0.066924067336117,-0.1663555608734599,0.0959867830841187,89,-0.07608319633787482,0.10203071514196767,-0.27606339801613144,0.1238970053403818,EUR_USD,200,2.0,14,long,296
228,0.0005404509045315883,0.0634268122606591,-0.12377610112636026,0.12485700293542343,98,-0.00393307231309476,0.09678169658462248,-0.1936251976189548,0.1857590529927653,EUR_USD,200,2.5,14,long,326
213,0.17731558000284234,0.06557041750892592,0.048797561685347546,0.30583359832033713,92,-0.1378878928415607,0.10036228795923832,-0.33459797724166784,0.05882219155854643,EUR_USD,200,1.0,14,short,305
