tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
113,0.19450867428948818,0.09036675140700072,0.01738984153176676,0.3716275070472096,49,0.22563577829888085,0.12642805880978328,-0.022163216968294375,0.47343477356605607,EUR_CAD,20,2.5,14,long,162
222,0.1647766957496195,0.06354907129981878,0.040220516001974696,0.28933287549726433,96,0.3052405324491332,0.08844248303335218,0.13189326570376292,0.47858779919450345,EUR_CAD,50,2.5,14,long,318
275,0.17137718276355476,0.057730000591058574,0.058226381605079966,0.28452798392202955,119,0.24212563483570254,0.0797232530013245,0.08586805895310651,0.3983832107182986,EUR_CAD,100,2.0,14,long,394
234,0.11936521762698131,0.061470110636145554,-0.0011161992198639725,0.2398466344738266,101,0.32738676597358324,0.07774818239471952,0.175000328479933,0.4797732034672335,EUR_CAD,200,2.0,14,long,335
217,0.10535254227789118,0.05474205574709407,-0.001941886986413205,0.21264697154219556,94,0.2711209899322078,0.0858075298081853,0.10293823150816458,0.43930374835625097,EUR_CHF,200,1.5,14,short,311
368,0.08792537950512516,0.0508389798360306,-0.01171902097349481,0.18756977998374513,159,0.18264947938422524,0.07464904904791832,0.036337343250305326,0.3289616155181452,CAD_CHF,100,1.0,14,short,527
329,0.05726106354576121,0.052089391687171055,-0.044834144161094054,0.15935627125261648,141,0.11102617359521638,0.0635027131447429,-0.013439144168479703,0.23549149135891245,EUR_GBP,50,2.0,14,long,470
305,0.10942821285350701,0.0542934968127952,0.003012959100428411,0.2158434666065856,131,0.11973008820052666,0.07087229455095796,-0.019179609119350932,0.25863978552040423,EUR_GBP,100,1.5,14,long,436
240,0.1511116519501524,0.060887896631267716,0.03177137455286767,0.2704519293474371,104,0.19935907889126378,0.07648511314999175,0.04944825711727996,0.3492699006652476,EUR_GBP,200,1.5,14,short,344
201,0.12321681772634381,0.06816288162904222,-0.010382430266578938,0.2568160657192666,87,0.29436920546331247,0.08400855274766442,0.1297124420778902,0.4590259688487347,EUR_GBP,200,2.5,14,short,288
247,0.1126374578919678,0.06224927852650626,-0.009371128019984465,0.23464604380392007,107,0.33112980523379787,0.08497995018099257,0.16456910287905244,0.4976905075885433,GBP_CAD,200,1.0,14,long,354
213,0.10905605522410913,0.066964454352319,-0.022194275306436112,0.24030638575465438,92,0.4146633191605731,0.08914229372627443,0.2399444234570752,0.5893822148640709,GBP_CAD,200,1.5,14,long,305
198,0.1548367280799151,0.06926652364172532,0.019074341742133488,0.2905991144176967,85,0.3954680704056918,0.09340964027139415,0.2123851754737593,0.5785509653376244,GBP_CAD,200,2.0,14,long,283
177,0.2813089576124355,0.07062498555734083,0.1428839859200475,0.41973392930482356,76,0.45124040747284677,0.0966259685690164,0.26185350907757465,0.6406273058681189,GBP_CAD,200,2.5,14,long,253
541,0.07617978612100824,0.04264437930140988,-0.007403197309755111,0.1597627695517716,232,0.1889978037715991,0.06090338464088399,0.0696271698754665,0.3083684376677317,GBP_NZD,20,1.0,14,long,773
419,0.04569680258331744,0.04866111880135096,-0.04967899026733045,0.14107259543396533,180,0.13548557958841104,0.06934451495183296,-0.0004296697171815578,0.27140082889400363,GBP_NZD,50,1.0,14,long,599
179,0.14025307907202433,0.07067684895834925,0.0017264551136598194,0.27877970303038885,77,0.23408692744536508,0.1105568289791118,0.01739554264630594,0.4507783122444242,CHF_JPY,20,2.0,14,long,256
157,0.013009698487670442,0.073506263503704,-0.1310625779795894,0.1570819749549303,68,-0.010281795383382116,0.1129295871829611,-0.23162378626198588,0.21106019549522165,EUR_HUF,20,2.0,14,long,225
343,0.009585322513882213,0.053325326149627886,-0.09493231673938844,0.11410296176715286,147,0.13853632584930953,0.08133741358788087,-0.020885004782936978,0.29795765648155603,NZD_CHF,20,1.5,14,short,490
324,0.043209876543209846,0.05558952021001747,-0.0657455830684244,0.1521653361548441,140,0.14285714285714285,0.0839489326070386,-0.02168276505265282,0.3073970507669385,USD_NOK,100,1.0,14,long,464
216,0.10185185185185185,0.06784476810643231,-0.03112389363675548,0.23482759734045916,93,0.11827956989247312,0.10352535623795851,-0.08463012833392555,0.32118926811887183,USD_NOK,200,1.5,14,long,309
