tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
235,0.11295285291963829,0.05980808769559867,-0.004270998963735104,0.23017670480301167,102,0.28110107868938883,0.08228450556892326,0.11982344777429924,0.44237870960447845,AUD_NZD,50,2.0,14,long,337
181,0.13980538708235554,0.06843992022565473,0.005663143440072266,0.2739476307246388,78,0.32111152512775126,0.09446519974638824,0.1359597336248303,0.5062633166306723,AUD_NZD,50,2.5,14,long,259
142,0.21707319565151556,0.0808275250814875,0.05865124649180006,0.37549514481123103,61,0.25052482172858376,0.11749813911344172,0.020228469066237986,0.48082117439092953,AUD_CAD,20,2.0,14,short,203
151,0.22009932999083612,0.07673980482987205,0.0696893125242869,0.37050934745738534,66,0.2723224248703151,0.1082656330575549,0.060121784077507484,0.48452306566312275,EUR_CAD,50,2.5,14,long,217
205,0.15255675653546438,0.06759336291734912,0.020073765217460127,0.28503974785346864,88,0.22393288197035843,0.10276754328531706,0.02250849713113698,0.42535726680957986,EUR_JPY,100,1.0,14,long,293
165,0.2592408099769304,0.07424163295115761,0.11372720939266145,0.4047544105611993,72,0.3562265896052678,0.10340868116499766,0.15354557452187242,0.5589076046886632,GBP_CAD,200,1.0,14,long,237
135,0.23686625528768995,0.08270679772034244,0.07476093175581877,0.39897157881956113,59,0.40290028602948896,0.11242847334928424,0.18254047826489186,0.6232600937940861,GBP_CAD,200,1.5,14,long,194
138,0.25293917896929335,0.08076842727894577,0.09463306150255965,0.41124529643602703,60,0.4345393530544891,0.10802582851539344,0.22280872916431796,0.6462699769446603,GBP_CAD,200,2.0,14,long,198
125,0.31757259000379234,0.08172822928506629,0.15738526060506242,0.47775991940252227,54,0.43762180886671614,0.11864688212628517,0.2050739198991972,0.6701696978342351,GBP_CAD,200,2.5,14,long,179
302,0.12509796281263322,0.05680212221666448,0.013765803267970833,0.2364301223572956,130,0.24537465621947657,0.08020914545642235,0.08816473112488876,0.4025845813140644,GBP_NZD,50,1.0,14,long,432
131,0.17069053338867482,0.0822906368852997,0.00940088509348741,0.33198018168386223,57,0.31002220799947183,0.12485408401543617,0.06530820332921694,0.5547362126697267,CHF_JPY,20,2.0,14,long,188
