tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
253,0.03514421789084397,0.06088836691320531,-0.08419698125903843,0.15448541704072638,109,0.11482663010184392,0.09304418436401161,-0.06753997125161883,0.2971932314553067,EUR_USD,9,26,52,26,tk_cross,long,362
259,0.01402750572976025,0.06059683525299113,-0.10474229136610236,0.13279730282562285,112,0.0001919919423694627,0.09258468415373931,-0.18127398899895958,0.1816579728836985,EUR_USD,9,26,52,26,tk_cross,short,371
274,-0.05140346354804539,0.05778858712873166,-0.16466909432035945,0.06186216722426866,118,0.09656247866372428,0.09049634196989464,-0.08081035159726924,0.2739353089247178,EUR_USD,9,26,52,26,cloud_break,long,392
281,-0.05357232397475719,0.0568601994720115,-0.1650183149398997,0.05787366699038534,121,0.021387032845617906,0.0895899376924824,-0.1542092450316476,0.19698331072288341,EUR_USD,9,26,52,26,cloud_break,short,402
102,-0.04383410715948577,0.09662107705062088,-0.2332114181787027,0.14554320385973116,45,0.29542375415162914,0.14057074584345866,0.019905092298450167,0.5709424160048081,EUR_USD,9,26,52,26,tk_cross_above_cloud,long,147
114,-0.09835636464896312,0.09158371877442961,-0.2778604534468452,0.08114772414891892,50,0.023344543748489918,0.14142239026329864,-0.2538433411675754,0.30053242866455526,EUR_USD,9,26,52,26,tk_cross_above_cloud,short,164
299,0.035369690133962274,0.055816523136030194,-0.0740306952126569,0.14477007548058146,129,-0.0017632014278133783,0.0861398457936049,-0.17059729918327898,0.1670708963276522,EUR_USD,7,22,44,22,tk_cross,long,428
307,-0.05023343750797208,0.055320944740798635,-0.1586624891999374,0.05819561418399324,132,0.032348967374114156,0.08534192289723821,-0.13492120150447273,0.19961913625270106,EUR_USD,7,22,44,22,tk_cross,short,439
301,-0.04173449556136628,0.05552752755982644,-0.1505684495786261,0.06709945845589355,129,0.07297190743055419,0.08683318160195172,-0.09722112850927118,0.24316494337037958,EUR_USD,7,22,44,22,cloud_break,long,430
317,-0.009499637001184282,0.053491333210578404,-0.11434265009391795,0.09534337609154939,136,0.05913907935400043,0.08512114039175424,-0.10769835581383788,0.22597651452183873,EUR_USD,7,22,44,22,cloud_break,short,453
124,-0.05617237694665113,0.08618704209840422,-0.2250989794595234,0.11275422556622115,54,0.07846242715737571,0.1337390549083895,-0.18366612046306768,0.34059097477781913,EUR_USD,7,22,44,22,tk_cross_above_cloud,long,178
122,-0.14317730503787607,0.08803935515315549,-0.3157344411380608,0.02937983106230868,53,0.053420699054918766,0.1363634300839243,-0.21385162390957285,0.32069302201941036,EUR_USD,7,22,44,22,tk_cross_above_cloud,short,175
214,-0.017585681650976858,0.0659358122258619,-0.14681987361366616,0.11164851031171245,93,0.05390353955205252,0.10166030499425839,-0.14535065823669394,0.253157737340799,EUR_USD,12,30,60,30,tk_cross,long,307
222,0.00907731505536565,0.06458197621879783,-0.1175033583334781,0.1356579884442094,96,-0.0016892944583374546,0.09985983777289847,-0.19741457649321847,0.19403598757654356,EUR_USD,12,30,60,30,tk_cross,short,318
240,-0.03891138892674808,0.061826065106836865,-0.16009047653614833,0.08226769868265218,103,0.16051027377118612,0.09481047463466001,-0.025318256512747495,0.34633880405511974,EUR_USD,12,30,60,30,cloud_break,long,343
273,-0.010815069257149378,0.05749936349953089,-0.12351382171622992,0.10188368320193116,118,-0.012929074928706843,0.09025728187329596,-0.18983334740036692,0.16397519754295323,EUR_USD,12,30,60,30,cloud_break,short,391
95,0.05336167814178642,0.09982794737736718,-0.14230109871785326,0.2490244550014261,42,0.1806071668116667,0.14904216449359486,-0.11151547559577926,0.4727298092191127,EUR_USD,12,30,60,30,tk_cross_above_cloud,long,137
95,0.058574561756001335,0.09954211977438461,-0.1365279930017925,0.25367711651379515,41,-0.04310750430271575,0.1561306337322052,-0.34912354641783794,0.2629085378124064,EUR_USD,12,30,60,30,tk_cross_above_cloud,short,136
266,0.008715257448614058,0.061096932111002505,-0.11103472948895085,0.12846524438617896,114,-0.019784553791259436,0.09192587291139484,-0.19995926469759331,0.16039015711507446,GBP_USD,9,26,52,26,tk_cross,long,380
261,0.08282123814077344,0.06124795330397296,-0.03722475033501356,0.20286722661656043,113,-0.016731622111199107,0.0926467928635046,-0.19831933612366814,0.16485609190126993,GBP_USD,9,26,52,26,tk_cross,short,374
286,0.013877869948331241,0.05864139370966953,-0.10105926172262103,0.12881500161928353,123,-0.11055348042074375,0.08789705831009924,-0.2828317147085383,0.06172475386705076,GBP_USD,9,26,52,26,cloud_break,long,409
279,0.08776658042013223,0.059434553466726346,-0.0287251443746514,0.20425830521491586,120,0.14441322282711808,0.08881391118386014,-0.029662043093247797,0.3184884887474839,GBP_USD,9,26,52,26,cloud_break,short,399
106,0.08769893031230487,0.09656324275927751,-0.10156502549587905,0.2769628861204888,46,-0.08393362499477512,0.14432731441155547,-0.3668151612414238,0.19894791125187355,GBP_USD,9,26,52,26,tk_cross_above_cloud,long,152
121,0.07771036683716323,0.0907672212821774,-0.10019338687590448,0.2556141205502309,53,-0.10083365686786275,0.13465228707306462,-0.36475213953106944,0.16308482579534392,GBP_USD,9,26,52,26,tk_cross_above_cloud,short,174
299,0.03727919006807203,0.057301558601304176,-0.07503186479048415,0.1495902449266282,129,-0.036583309770667816,0.08568800759859443,-0.2045318046639129,0.13136518512257728,GBP_USD,7,22,44,22,tk_cross,long,428
298,0.10940999987118039,0.05714536419098426,-0.002594913943148758,0.22141491368550953,129,-0.035616816786434864,0.08688867515469512,-0.2059186200896373,0.13468498651676758,GBP_USD,7,22,44,22,tk_cross,short,427
296,-0.03964523473786278,0.0576248488945335,-0.15258993857114844,0.07329946909542287,127,0.043514684805262126,0.08725024027106146,-0.12749578612601833,0.2145251557365426,GBP_USD,7,22,44,22,cloud_break,long,423
311,0.11282404519355782,0.05625862865803486,0.002557133023809499,0.22309095736330614,134,-0.07111837791163614,0.08480840628898689,-0.23734285423805043,0.09510609841477816,GBP_USD,7,22,44,22,cloud_break,short,445
114,0.07967210431683483,0.09263300178205722,-0.10188857917599731,0.26123278780966697,49,-0.04966221878749073,0.1401218136600176,-0.32430097356112525,0.2249765359861438,GBP_USD,7,22,44,22,tk_cross_above_cloud,long,163
131,0.13317373088985815,0.0866243148267832,-0.036609926170636936,0.3029573879503532,57,0.07747399784004382,0.13225315626333312,-0.18174218843608908,0.33669018411617674,GBP_USD,7,22,44,22,tk_cross_above_cloud,short,188
222,0.002447315232110061,0.06679212491215435,-0.12846524959571246,0.13335988005993257,96,0.0539434014832863,0.09977375417557789,-0.14161315670084637,0.24949995966741897,GBP_USD,12,30,60,30,tk_cross,long,318
