tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
107,0.07170076649419345,0.09187380023684738,-0.10837188197002741,0.2517734149584143,46,0.20075322054724665,0.14399762609190025,-0.08148212659287785,0.48298856768737114,EUR_USD,9,26,52,26,tk_cross,long,153
121,-0.022034957318001643,0.08984213920688708,-0.1981255501635003,0.15405563552749701,53,-0.030032522519915818,0.1326233968449252,-0.28997438033596923,0.22990933529613758,EUR_USD,9,26,52,26,tk_cross,short,174
54,-0.019288302549986532,0.12941220261421033,-0.27293621967383874,0.23435961457386567,24,0.16666666666666666,0.20559798491465375,-0.23630538376605467,0.569638717099388,EUR_USD,9,26,52,26,cloud_break,long,78
58,0.04228073527241894,0.12157080378494406,-0.19599804014607142,0.2805595106909093,26,0.11379806794025571,0.18707013094361993,-0.25285938870923935,0.48045552458975077,EUR_USD,9,26,52,26,cloud_break,short,84
39,-0.1577078970876543,0.15001468876150953,-0.45173668706021297,0.13632089288490437,17,0.29411764705882354,0.23894230601870473,-0.1742092727378377,0.7624445668554848,EUR_USD,9,26,52,26,tk_cross_above_cloud,long,56
52,-0.13763523257114094,0.13713851631437143,-0.406426724547309,0.1311562594050271,23,-0.08156627928925476,0.2078610702573538,-0.48897397699366824,0.32584141841515873,EUR_USD,9,26,52,26,tk_cross_above_cloud,short,75
115,0.03379807127889056,0.09010739829890012,-0.14281242938695365,0.21040857194473478,50,0.0,0.14285714285714285,-0.27999999999999997,0.27999999999999997,EUR_USD,7,22,44,22,tk_cross,long,165
128,-0.04308390941402368,0.08615719791367764,-0.21195201732483185,0.1257841984967845,55,-0.1198016809785726,0.1322187307385086,-0.3789503932260494,0.13934703126890421,EUR_USD,7,22,44,22,tk_cross,short,183
61,-0.0282896735663179,0.12169686480841208,-0.2668155285908056,0.21023618145816977,27,0.25925925925925924,0.18941048590991066,-0.11198529312416566,0.6305038116426842,EUR_USD,7,22,44,22,cloud_break,long,88
63,-0.016109643090017736,0.11833579270404303,-0.24804779678994204,0.2158285106099066,28,-0.16635445363099624,0.18459291230798147,-0.5281565617546399,0.19544765449264742,EUR_USD,7,22,44,22,cloud_break,short,91
39,0.0799862560764813,0.1576002293434762,-0.22891019343673202,0.3888827055896946,17,0.058823529411764705,0.2495670992423109,-0.43032798510316467,0.547975043926694,EUR_USD,7,22,44,22,tk_cross_above_cloud,long,56
37,-0.1891891891891892,0.16365677589716174,-0.5099564699476262,0.13157809156924782,17,-0.058673233695584574,0.23718430085726022,-0.5235544633758146,0.40620799598464546,EUR_USD,7,22,44,22,tk_cross_above_cloud,short,54
72,-0.02430167012708408,0.11357099267204408,-0.2469008157642905,0.1982974755101223,32,-0.08552240499762302,0.17630637780242583,-0.43108290549037764,0.26003809549513157,EUR_USD,12,30,60,30,tk_cross,long,104
86,-0.1452136704699022,0.10369156045317549,-0.34844912895812613,0.05802178801832175,37,0.029980267383843365,0.16267861424330723,-0.28886981653303884,0.34883035130072554,EUR_USD,12,30,60,30,tk_cross,short,123
40,-0.014033710972941288,0.1528739791967609,-0.3136667101985927,0.2855992882527101,18,0.2626453956019594,0.221573600641492,-0.17163886165536496,0.6969296528592837,EUR_USD,12,30,60,30,cloud_break,long,58
57,0.03778933981828589,0.12643092713292536,-0.21001527736224782,0.2855939569988196,25,-0.18247477550347407,0.19282041432451996,-0.5604027875795332,0.19545323657258507,EUR_USD,12,30,60,30,cloud_break,short,82
25,0.0008226553385644663,0.19448098523575427,-0.3803600757235139,0.3820053864006428,11,-0.45454545454545453,0.2816715160878121,-1.0066216260775662,0.09753071698665722,EUR_USD,12,30,60,30,tk_cross_above_cloud,long,36
35,-0.20095804045664864,0.15842859060475442,-0.5114780780419673,0.10956199712867001,15,0.02848744348958204,0.2597656657513437,-0.4806532613830516,0.5376281483622156,EUR_USD,12,30,60,30,tk_cross_above_cloud,short,50
111,0.027002913471097442,0.09425088057320939,-0.15772881245239295,0.21173463939458786,48,0.07033832144617573,0.14419020186790904,-0.21227447421492596,0.35295111710727745,GBP_USD,9,26,52,26,tk_cross,long,159
119,0.07666110721827044,0.09027228536227602,-0.10027257209179055,0.25359478652833145,52,0.11191071950849653,0.13575052549918093,-0.1541603104698981,0.3779817494868911,GBP_USD,9,26,52,26,tk_cross,short,171
46,-0.043478260869565216,0.14893023279611745,-0.33538151714995545,0.248424995410825,20,0.07497096629712278,0.2244115506653739,-0.36487567300701007,0.5148176056012557,GBP_USD,9,26,52,26,cloud_break,long,66
54,0.2222222222222222,0.13392600632020496,-0.04027275016537951,0.48471719460982393,24,0.1983834687702957,0.20014704680914913,-0.19390474297563662,0.590671680516228,GBP_USD,9,26,52,26,cloud_break,short,78
35,0.16157049900151235,0.16704392703366572,-0.16583559798447242,0.4889765959874971,16,0.0,0.2581988897471611,-0.5060698239044358,0.5060698239044358,GBP_USD,9,26,52,26,tk_cross_above_cloud,long,51
52,0.06956678157081674,0.13885115859666605,-0.20258148927864872,0.3417150524202822,23,0.12258075714964431,0.19968972784769784,-0.2688111094318435,0.5139726237311321,GBP_USD,9,26,52,26,tk_cross_above_cloud,short,75
124,-0.1543599683048663,0.08872484130389889,-0.3282606572605081,0.0195407206507755,54,0.08654465070284818,0.1319254312508915,-0.1720291945488992,0.34511849595459554,GBP_USD,7,22,44,22,tk_cross,long,178
118,0.0715276083918638,0.09069104771456857,-0.10622684512869059,0.2492820619124182,52,0.14990156629366275,0.1335263927205316,-0.11181016343857919,0.4116132960259047,GBP_USD,7,22,44,22,tk_cross,short,170
53,0.16981132075471697,0.1366610148776005,-0.09804426840537997,0.43766690991481394,24,-0.02085752808573101,0.20518186872382488,-0.42301399078442775,0.38129893461296577,GBP_USD,7,22,44,22,cloud_break,long,77
73,0.24612534864294158,0.11339082271755248,0.023879336116538724,0.4683713611693444,32,-0.045338733767005535,0.1771682412224412,-0.3925884865629903,0.3019110190289792,GBP_USD,7,22,44,22,cloud_break,short,105
40,0.021484098254914413,0.15811655033675417,-0.28842434040512377,0.33139253691495263,18,0.058219194266474955,0.23529489374033555,-0.40295879746458274,0.5193971859975326,GBP_USD,7,22,44,22,tk_cross_above_cloud,long,58
46,0.33019539535490294,0.13904502203366007,0.0576671521689292,0.6027236385408767,20,0.21177701506428673,0.21206265836464933,-0.20386579533042595,0.6274198254589994,GBP_USD,7,22,44,22,tk_cross_above_cloud,short,66
87,-0.12621616699658963,0.10694665505297445,-0.3358316109004196,0.08339927690724028,38,0.05304339791967646,0.1604475403146028,-0.26143378109694504,0.3675205769362979,GBP_USD,12,30,60,30,tk_cross,long,125
70,0.0,0.1203858530857692,-0.23595627204810762,0.23595627204810762,31,0.034043531788155716,0.17692618562233764,-0.31273179203162604,0.3808188556079375,GBP_USD,12,30,60,30,tk_cross,short,101
59,-0.029704208897330636,0.1301992070238008,-0.28489465466398023,0.22548623686931893,26,-0.06497881666709919,0.19285431960543972,-0.44297328309376105,0.31301564975956264,GBP_USD,12,30,60,30,cloud_break,long,85
48,0.08060711636238184,0.1426343752265067,-0.19895625908157133,0.360170491806335,21,0.14285714285714285,0.22131333406899525,-0.29091699191808784,0.5766312776323735,GBP_USD,12,30,60,30,cloud_break,short,69
32,-0.1875,0.176419930663981,-0.5332830641014028,0.1582830641014028,14,0.2868320800676933,0.247518884145508,-0.1983049328575024,0.771969092992889,GBP_USD,12,30,60,30,tk_cross_above_cloud,long,46
22,-0.2727272727272727,0.20994555243259116,-0.6842205554951514,0.13876601004060596,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,GBP_USD,12,30,60,30,tk_cross_above_cloud,short,32
105,-0.10476190476190476,0.09751848657634582,-0.29589813845154256,0.08637432892773304,45,-0.15555555555555556,0.1489205454059161,-0.4474398245511511,0.13632871344004,AUD_USD,9,26,52,26,tk_cross,long,150
94,0.10436318762907913,0.10293813891102714,-0.09739556463653405,0.30612193989469233,41,-0.17073170731707318,0.15579238461142741,-0.4760847811554709,0.13462136652132453,AUD_USD,9,26,52,26,tk_cross,short,135
52,-0.038461538461538464,0.1399243990594229,-0.31271336061800736,0.2357902836949304,23,0.30434782608695654,0.2030866810856147,-0.09370206884084825,0.7023977210147614,AUD_USD,9,26,52,26,cloud_break,long,75
49,-0.14285714285714285,0.14285714285714285,-0.4228571428571428,0.13714285714285712,21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,AUD_USD,9,26,52,26,cloud_break,short,70
42,-0.19047619047619047,0.1533145038611392,-0.4909726180440233,0.11002023709164238,18,0.1111111111111111,0.24103384202072908,-0.36131521924951787,0.58353744147174,AUD_USD,9,26,52,26,tk_cross_above_cloud,long,60
30,0.3333333333333333,0.1750752438129634,-0.009814144540074954,0.6764808112067415,14,-0.42857142857142855,0.25058800551629407,-0.9197239193833648,0.0625810622405078,AUD_USD,9,26,52,26,tk_cross_above_cloud,short,44
127,0.0010841338032599268,0.08874227343343682,-0.17285072212627625,0.1750189897327961,55,0.01818181818181818,0.13606026860996148,-0.24849630829370634,0.2848599446573427,AUD_USD,7,22,44,22,tk_cross,long,182
140,-0.081311332916224,0.08427842690633676,-0.24649704965264405,0.08387438382019605,60,0.0,0.13018891098082386,-0.25517026552241473,0.25517026552241473,AUD_USD,7,22,44,22,tk_cross,short,200
57,0.19298245614035087,0.13111866024589802,-0.06401011794160927,0.449975030222311,25,-0.04,0.20396078054371142,-0.43976312986567434,0.3597631298656744,AUD_USD,7,22,44,22,cloud_break,long,82
65,0.11988851891843018,0.12316800724245731,-0.12152077527678616,0.3612978131136465,28,-0.19338985311740955,0.18589468133025086,-0.5577434285247013,0.17096372228988213,AUD_USD,7,22,44,22,cloud_break,short,93
44,-0.09090909090909091,0.1518671035608285,-0.38856861388831476,0.20675043207013297,19,0.2631578947368421,0.22739441047045122,-0.18253514978524232,0.7088509392589265,AUD_USD,7,22,44,22,tk_cross_above_cloud,long,63
49,-0.08946095118921142,0.14249206156795097,-0.3687453918623953,0.18982348948397243,22,-0.2727272727272727,0.20994555243259116,-0.6842205554951514,0.13876601004060596,AUD_USD,7,22,44,22,tk_cross_above_cloud,short,71
96,-0.04255412164545563,0.10151012027911473,-0.2415139573925205,0.15640571410160922,42,0.09523809523809523,0.15546387747761883,-0.2094711046180377,0.39994729509422816,AUD_USD,12,30,60,30,tk_cross,long,138
88,-0.022727272727272728,0.10718356105054372,-0.23280705238633842,0.18735250693179295,38,-0.2631578947368421,0.15860437968439664,-0.5740224789182595,0.047706689444575345,AUD_USD,12,30,60,30,tk_cross,short,126
51,0.09803921568627451,0.14074006623471658,-0.17781131413377,0.373889745506319,22,0.18181818181818182,0.2145806706734845,-0.23875993270184775,0.6023962963382115,AUD_USD,12,30,60,30,cloud_break,long,73
46,-0.34782608695652173,0.13976305450714427,-0.6217616737905245,-0.07389050012251897,20,-0.1,0.22826577307580465,-0.5474009152285771,0.3474009152285771,AUD_USD,12,30,60,30,cloud_break,short,66
39,0.1794871794871795,0.15958699594164086,-0.1333033325584366,0.49227769153279555,18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,AUD_USD,12,30,60,30,tk_cross_above_cloud,long,57
35,0.2571428571428571,0.1657316710671738,-0.06769121814880352,0.5819769324345178,15,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,AUD_USD,12,30,60,30,tk_cross_above_cloud,short,50
130,0.07583743297579368,0.08437822279739114,-0.08954388370709296,0.24121874965868031,57,0.14802822392142448,0.11843059073967292,-0.08409573392833444,0.3801521817711834,USD_CAD,9,26,52,26,tk_cross,long,187
123,-0.0127654114110016,0.08738967172694664,-0.18404916799581703,0.15851834517381383,53,-0.2422613026359131,0.12559973929188153,-0.4884367916480009,0.003914186376174689,USD_CAD,9,26,52,26,tk_cross,short,176
64,0.12520505555665684,0.12245348769603646,-0.11480378032757463,0.36521389144088834,28,0.26364057302967525,0.16291080344614808,-0.055664601724775,0.5829457477841256,USD_CAD,9,26,52,26,cloud_break,long,92
48,-0.0800936591705068,0.13977028568016628,-0.35404341910363274,0.1938561007626191,21,-0.03354033629443161,0.17895595445492835,-0.3842940070260911,0.31721333443722793,USD_CAD,9,26,52,26,cloud_break,short,69
53,0.08708805871474837,0.13158792982310522,-0.17082428373853784,0.34500040116803454,24,-0.014301902033008898,0.18415452008546487,-0.37524476140052004,0.34664095733450223,USD_CAD,9,26,52,26,tk_cross_above_cloud,long,77
47,0.10022203833093656,0.14312599210251478,-0.1803049061899924,0.38074898285186554,21,-0.24080281368791084,0.19536546943511407,-0.6237191337807344,0.14211350640491272,USD_CAD,9,26,52,26,tk_cross_above_cloud,short,68
118,0.030079388252014505,0.08922197519253393,-0.144795683125352,0.204954459629381,51,0.21405640919283447,0.12703301565131786,-0.034928301483748536,0.4630411198694175,USD_CAD,7,22,44,22,tk_cross,long,169
121,0.06190253526815512,0.0876660505554168,-0.10992292382046182,0.23372799435677205,52,-0.1768006794562309,0.12544406585911966,-0.4226710485401054,0.06906968962764362,USD_CAD,7,22,44,22,tk_cross,short,173
69,-0.0985772757168042,0.11634708609393962,-0.3266175644609259,0.12946301302731744,30,0.06820550962758233,0.16575375815276003,-0.2566718563518273,0.39308287560699195,USD_CAD,7,22,44,22,cloud_break,long,99
54,-0.027892314925451918,0.13287357208320905,-0.28832451620854166,0.23253988635763784,24,-0.19082466109313234,0.15235367331888863,-0.48943786079815405,0.10778853861188936,USD_CAD,7,22,44,22,cloud_break,short,78
47,-0.17758151690496443,0.13786041669429938,-0.4477879336257912,0.09262489981586236,21,-0.2464005878348981,0.19356830864852723,-0.6257944727860114,0.13299329711621527,USD_CAD,7,22,44,22,tk_cross_above_cloud,long,68
39,-0.2122665488423305,0.15179947403983018,-0.5097935179603976,0.08526042027573663,18,-0.17965045736383212,0.232024919603481,-0.6344192997866549,0.27511838505899067,USD_CAD,7,22,44,22,tk_cross_above_cloud,short,57
89,0.025413933349294076,0.10253039529539479,-0.1755456414296797,0.22637350812826784,39,-0.1646750643097279,0.1465744385864315,-0.4519609639391336,0.12261083531967781,USD_CAD,12,30,60,30,tk_cross,long,128
86,0.06166061218940101,0.10356073017865702,-0.14131841896076675,0.2646396433395688,37,-0.1866834371368682,0.14582089571127257,-0.47249239273096244,0.09912551845722606,USD_CAD,12,30,60,30,tk_cross,short,123
47,0.03793474314840438,0.1412776084513015,-0.23896936941614655,0.31483885571295533,21,0.25364680779779725,0.1925578354460681,-0.12376654967649625,0.6310601652720907,USD_CAD,12,30,60,30,cloud_break,long,68
48,0.26206251672270425,0.13577724869607677,-0.004060890721606203,0.5281859241670147,21,-0.2799347555732833,0.1809629288258257,-0.6346220960719017,0.0747525849253351,USD_CAD,12,30,60,30,cloud_break,short,69
40,0.23694369576797705,0.14789177229727254,-0.0529241779346771,0.5268115694706312,18,-0.3918522359938927,0.2004220693675435,-0.7846794919542779,0.000975019966492574,USD_CAD,12,30,60,30,tk_cross_above_cloud,long,58
31,0.08075133233915897,0.17155000546204371,-0.2554866783664467,0.41698934304476465,14,-0.18691148134426627,0.23086799035437158,-0.6394127424388345,0.265589779750302,USD_CAD,12,30,60,30,tk_cross_above_cloud,short,45
105,-0.12646591710949034,0.09439560190343949,-0.31148129684023174,0.05854946262125105,45,-0.12820409091739712,0.14790394607181917,-0.4180958252181627,0.16168764338336847,USD_CHF,9,26,52,26,tk_cross,long,150
107,-0.005431274598409165,0.09475085875699574,-0.1911429577621208,0.18028040856530247,47,0.02127659574468085,0.14740857936756402,-0.26764421981574466,0.3101974113051063,USD_CHF,9,26,52,26,tk_cross,short,154
56,-0.08689480952069971,0.13313781438484634,-0.34784492571499853,0.1740553066735991,25,0.28,0.19595917942265426,-0.10407999166840232,0.6640799916684024,USD_CHF,9,26,52,26,cloud_break,long,81
62,0.31422302380899636,0.11781489030678684,0.08330583880769415,0.5451402088102986,27,0.18518518518518517,0.1927240401742195,-0.19255393355628508,0.5629243039266554,USD_CHF,9,26,52,26,cloud_break,short,89
38,0.016995864939130974,0.16055836407403437,-0.2976985286459764,0.33169025852423834,17,-0.058823529411764705,0.2495670992423109,-0.547975043926694,0.43032798510316467,USD_CHF,9,26,52,26,tk_cross_above_cloud,long,55
39,0.06537664434133568,0.15744218465108897,-0.2432100375747987,0.37396332625747003,17,0.5294117647058824,0.21209125149788172,0.11371291177003418,0.9451106176417305,USD_CHF,9,26,52,26,tk_cross_above_cloud,short,56
128,-0.07491174708949114,0.08488299373115875,-0.2412824148025623,0.09145892062358002,55,0.09147899987076652,0.13266800910663978,-0.16855029797824744,0.3515082977197805,USD_CHF,7,22,44,22,tk_cross,long,183
118,0.12820478490178788,0.08874454632966158,-0.045734525904348816,0.30214409570792455,52,-0.01419233975504064,0.1387541109360097,-0.28615039718961965,0.2577657176795384,USD_CHF,7,22,44,22,tk_cross,short,170
74,-0.19253971630140387,0.11325344147817318,-0.4145164615986233,0.029437028995815545,33,0.08202916667227753,0.16967820440767964,-0.25054011396677456,0.41459844731132967,USD_CHF,7,22,44,22,cloud_break,long,107
62,0.30054801891774047,0.11935099091824164,0.06662007671798686,0.5344759611174941,28,-0.04164850619670356,0.1889088684322806,-0.41190988832397357,0.32861287593056643,USD_CHF,7,22,44,22,cloud_break,short,90
49,-0.06332001557254538,0.13847787935104558,-0.3347366591005947,0.20809662795550396,21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,USD_CHF,7,22,44,22,tk_cross_above_cloud,long,70
35,0.04567587330300358,0.1640897100197222,-0.2759399583356519,0.3672917049416591,16,0.5,0.22360679774997896,0.06173067641004126,0.9382693235899587,USD_CHF,7,22,44,22,tk_cross_above_cloud,short,51
100,0.07497010203185253,0.09706954263868968,-0.11528620153997923,0.26522640560368427,43,-0.20930232558139536,0.15088568177409611,-0.5050382618586238,0.08643361069583302,USD_CHF,12,30,60,30,tk_cross,long,143
