tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,tenkan,kijun,senkou_b,displacement,trigger,direction,total_n
143,-0.10799370760247189,0.08004041145969559,-0.26487291406347524,0.04888549885853148,62,0.007817358806451975,0.12483755628775865,-0.23686425151755497,0.25249896913045894,EUR_USD,9,26,52,26,tk_cross,long,205
130,0.1406015162739039,0.08511481928190491,-0.026223529518629718,0.30742656206643754,57,0.022450005260537396,0.13232314859692632,-0.2369033659894382,0.281803376510513,EUR_USD,9,26,52,26,tk_cross,short,187
186,-0.0023077549003959114,0.06999672097453491,-0.13950132801048434,0.1348858182096925,80,0.050321683418749895,0.11075512523838764,-0.16675836204848987,0.2674017288859897,EUR_USD,9,26,52,26,cloud_break,long,266
189,-0.1537515587611428,0.06884945657184288,-0.2886964936419548,-0.018806623880330747,81,0.15941432127301822,0.10847419625600413,-0.05319510338874989,0.3720237459347863,EUR_USD,9,26,52,26,cloud_break,short,270
58,-0.04636460743470586,0.1294583438801582,-0.30010296143981596,0.20737374657040422,26,0.25414157009275723,0.181852183445722,-0.10228870946085789,0.6105718496463723,EUR_USD,9,26,52,26,tk_cross_above_cloud,long,84
60,0.013049986345758224,0.1274327097058084,-0.23671812467762623,0.2628180973691427,27,0.1111111111111111,0.19490178206822872,-0.2708963817426172,0.4931186039648394,EUR_USD,9,26,52,26,tk_cross_above_cloud,short,87
142,0.04108956026661641,0.08097856526003953,-0.11762842764306107,0.19980754817629387,61,-0.0061256829218933,0.12272541096877113,-0.2466674884206847,0.2344161225768981,EUR_USD,7,22,44,22,tk_cross,long,203
147,-0.053874948082035516,0.08031787698237436,-0.21129798696748928,0.10354809080341823,64,0.12940288122972318,0.12240821375059302,-0.11051721772143913,0.3693229801808855,EUR_USD,7,22,44,22,tk_cross,short,211
198,0.010232232382655443,0.06858681064975115,-0.12419791649085682,0.1446623812561677,86,0.08516693978281811,0.1062178859603913,-0.12302011669954885,0.2933539962651851,EUR_USD,7,22,44,22,cloud_break,long,284
203,-0.04844047395995804,0.06740156410400462,-0.1805475396038071,0.08366659168389101,88,0.12276086897078864,0.10537375502457264,-0.08377169087737371,0.32929342881895096,EUR_USD,7,22,44,22,cloud_break,short,291
67,0.017217957098144318,0.11764852764580024,-0.21337315708762417,0.24780907128391277,29,-0.028128001305426156,0.18065581432911523,-0.382213397390492,0.3259573947796397,EUR_USD,7,22,44,22,tk_cross_above_cloud,long,96
67,-0.17106843189987472,0.11784429346258186,-0.40204324708653516,0.059906383286785714,29,-0.016494163202277135,0.1864264360020676,-0.3818899777663296,0.3489016513617753,EUR_USD,7,22,44,22,tk_cross_above_cloud,short,96
93,0.08987598388722305,0.09888242333485388,-0.10393356584909054,0.28368553362353666,41,0.20583789965603952,0.15312973329414326,-0.09429637760048123,0.5059721769125602,EUR_USD,12,30,60,30,tk_cross,long,134
99,0.03456238366529794,0.09771255143105335,-0.15695421713956664,0.2260789844701625,43,0.06502475448167182,0.15025007799109533,-0.22946539838087499,0.35951490734421865,EUR_USD,12,30,60,30,tk_cross,short,142
165,0.018818688545551143,0.07519441846896131,-0.12856237165361303,0.1661997487447153,72,0.13845137601571192,0.11401275430584222,-0.08501362242373883,0.36191637445516267,EUR_USD,12,30,60,30,cloud_break,long,237
175,-0.048414262490057154,0.07222081798979156,-0.1899670657500486,0.0931385407699343,75,0.02459996824804925,0.11494520410553438,-0.20069263179879815,0.24989256829489664,EUR_USD,12,30,60,30,cloud_break,short,250
46,0.28111153221116364,0.1404443204343909,0.00584066415975748,0.5563824002625698,20,0.22192223995603677,0.2128011367930039,-0.19516798815825082,0.6390124680703244,EUR_USD,12,30,60,30,tk_cross_above_cloud,long,66
46,0.22914315596651846,0.14115134979265678,-0.047513489627088845,0.5057998015601257,20,-0.2,0.22478059477960655,-0.6405699657680288,0.2405699657680288,EUR_USD,12,30,60,30,tk_cross_above_cloud,short,66
136,-0.00263280504645243,0.08542987022083995,-0.17007535067929874,0.16480974058639386,59,-0.1582738690001105,0.1270286705284431,-0.407250063235859,0.09070232523563798,GBP_USD,9,26,52,26,tk_cross,long,195
