pair,entry_ts,exit_ts,r
AUD_JPY,2016-01-07 18:00:00,2016-01-07 22:00:00,1.0
USD_JPY,2016-01-07 18:00:00,2016-01-15 14:00:00,-1.0
NZD_JPY,2016-01-07 18:00:00,2016-01-07 22:00:00,1.0
AUD_NZD,2016-01-08 06:00:00,2016-01-11 10:00:00,1.0
EUR_CHF,2016-01-11 06:00:00,2016-01-14 06:00:00,-1.0
NZD_JPY,2016-01-11 14:00:00,2016-01-13 02:00:00,1.0
USD_SEK,2016-01-11 18:00:00,2016-01-15 18:00:00,1.0
USD_NOK,2016-01-12 06:00:00,2016-01-13 10:00:00,-1.0
CHF_JPY,2016-01-12 14:00:00,2016-01-20 06:00:00,-1.0
CHF_JPY,2016-01-13 06:00:00,2016-01-20 06:00:00,-1.0
GBP_NZD,2016-01-14 06:00:00,2016-01-14 14:00:00,1.0
EUR_AUD,2016-01-14 22:00:00,2016-01-15 06:00:00,-1.0
USD_SEK,2016-01-14 22:00:00,2016-01-21 10:00:00,1.0
EUR_AUD,2016-01-18 06:00:00,2016-01-19 06:00:00,1.0
AUD_USD,2016-01-18 06:00:00,2016-01-19 10:00:00,1.0
AUD_JPY,2016-01-18 06:00:00,2016-01-19 06:00:00,1.0
CHF_JPY,2016-01-18 22:00:00,2016-01-21 10:00:00,-1.0
USD_ZAR,2016-01-20 14:00:00,2016-01-21 10:00:00,1.0
AUD_JPY,2016-01-21 02:00:00,2016-01-21 14:00:00,1.0
NZD_JPY,2016-01-21 02:00:00,2016-01-21 14:00:00,1.0
GBP_NZD,2016-01-22 18:00:00,2016-01-28 14:00:00,1.0
EUR_SEK,2016-01-26 06:00:00,2016-02-03 14:00:00,1.0
AUD_NZD,2016-01-26 18:00:00,2016-01-27 18:00:00,1.0
EUR_AUD,2016-01-26 18:00:00,2016-01-27 14:00:00,1.0
CAD_CHF,2016-01-27 10:00:00,2016-01-29 06:00:00,-1.0
GBP_NZD,2016-02-01 18:00:00,2016-02-02 10:00:00,1.0
NZD_JPY,2016-02-03 14:00:00,2016-02-05 14:00:00,-1.0
USD_ZAR,2016-02-03 14:00:00,2016-02-03 18:00:00,1.0
EUR_AUD,2016-02-11 18:00:00,2016-02-11 22:00:00,1.0
NZD_USD,2016-02-15 22:00:00,2016-02-16 02:00:00,1.0
EUR_GBP,2016-02-16 22:00:00,2016-02-18 14:00:00,-1.0
EUR_CHF,2016-02-17 06:00:00,2016-02-24 06:00:00,1.0
CAD_CHF,2016-02-18 22:00:00,2016-02-19 10:00:00,1.0
GBP_NZD,2016-02-19 06:00:00,2016-02-22 06:00:00,-1.0
NZD_USD,2016-02-19 06:00:00,2016-02-22 10:00:00,-1.0
AUD_NZD,2016-02-21 22:00:00,2016-02-24 02:00:00,1.0
NZD_JPY,2016-03-01 14:00:00,2016-03-01 18:00:00,1.0
NZD_JPY,2016-03-10 14:00:00,2016-03-11 14:00:00,1.0
USD_ZAR,2016-03-11 14:00:00,2016-03-14 09:00:00,-1.0
EUR_CHF,2016-03-11 14:00:00,2016-03-31 13:00:00,0.528584578089263
CAD_CHF,2016-03-15 05:00:00,2016-03-17 05:00:00,-1.0
CHF_JPY,2016-03-16 05:00:00,2016-03-23 13:00:00,1.0
AUD_JPY,2016-03-16 09:00:00,2016-03-16 21:00:00,1.0
NZD_JPY,2016-03-16 09:00:00,2016-03-16 17:00:00,1.0
EUR_AUD,2016-03-16 09:00:00,2016-03-17 01:00:00,1.0
AUD_USD,2016-03-16 09:00:00,2016-03-16 17:00:00,1.0
AUD_JPY,2016-03-18 05:00:00,2016-03-23 01:00:00,1.0
CHF_JPY,2016-03-18 05:00:00,2016-03-23 13:00:00,1.0
AUD_NZD,2016-03-18 13:00:00,2016-03-22 13:00:00,1.0
USD_NOK,2016-03-21 09:00:00,2016-03-22 05:00:00,1.0
AUD_JPY,2016-03-21 13:00:00,2016-03-22 17:00:00,1.0
EUR_SEK,2016-03-23 21:00:00,2016-04-12 21:00:00,-0.3742803550465149
USD_JPY,2016-03-24 09:00:00,2016-04-01 17:00:00,-1.0
CHF_JPY,2016-03-24 09:00:00,2016-03-29 01:00:00,1.0
NZD_JPY,2016-03-24 21:00:00,2016-03-28 09:00:00,1.0
AUD_NZD,2016-03-25 05:00:00,2016-03-30 05:00:00,-1.0
EUR_CHF,2016-03-28 21:00:00,2016-04-17 21:00:00,-0.09713720171548483
USD_JPY,2016-03-31 13:00:00,2016-04-04 21:00:00,-1.0
EUR_CHF,2016-03-31 17:00:00,2016-04-20 17:00:00,-0.4425304696857431
EUR_CHF,2016-04-01 05:00:00,2016-04-21 05:00:00,-0.2650846899880138
USD_NOK,2016-04-03 21:00:00,2016-04-05 13:00:00,1.0
AUD_NZD,2016-04-06 13:00:00,2016-04-14 09:00:00,1.0
NZD_USD,2016-04-13 13:00:00,2016-04-14 01:00:00,1.0
AUD_USD,2016-04-17 21:00:00,2016-04-19 05:00:00,1.0
USD_SEK,2016-04-20 21:00:00,2016-04-29 13:00:00,-1.0
EUR_SEK,2016-04-25 21:00:00,2016-05-03 17:00:00,1.0
EUR_GBP,2016-04-27 09:00:00,2016-04-29 13:00:00,1.0
AUD_USD,2016-04-28 09:00:00,2016-05-03 01:00:00,1.0
USD_JPY,2016-05-02 05:00:00,2016-05-05 13:00:00,1.0
NZD_JPY,2016-05-02 05:00:00,2016-05-03 13:00:00,-1.0
AUD_JPY,2016-05-02 05:00:00,2016-05-03 01:00:00,-1.0
NZD_USD,2016-05-02 13:00:00,2016-05-03 13:00:00,1.0
GBP_NZD,2016-05-03 09:00:00,2016-05-06 05:00:00,1.0
AUD_NZD,2016-05-03 21:00:00,2016-05-13 05:00:00,-1.0
AUD_USD,2016-05-09 05:00:00,2016-05-13 01:00:00,-1.0
EUR_AUD,2016-05-09 05:00:00,2016-05-24 05:00:00,-1.0
AUD_NZD,2016-05-09 05:00:00,2016-05-10 05:00:00,1.0
AUD_NZD,2016-05-13 17:00:00,2016-06-02 01:00:00,-1.0
USD_NOK,2016-05-13 17:00:00,2016-05-18 17:00:00,1.0
CHF_JPY,2016-05-16 21:00:00,2016-05-23 13:00:00,-1.0
GBP_NZD,2016-05-17 01:00:00,2016-05-18 09:00:00,1.0
USD_NOK,2016-05-17 13:00:00,2016-05-18 05:00:00,1.0
CAD_CHF,2016-05-17 17:00:00,2016-05-26 09:00:00,-1.0
USD_SEK,2016-05-18 13:00:00,2016-05-19 05:00:00,1.0
EUR_CHF,2016-05-18 21:00:00,2016-06-07 09:00:00,1.0
NZD_JPY,2016-05-19 09:00:00,2016-05-20 09:00:00,1.0
AUD_USD,2016-05-25 01:00:00,2016-05-31 09:00:00,1.0
USD_ZAR,2016-05-26 05:00:00,2016-05-26 09:00:00,1.0
AUD_JPY,2016-05-26 13:00:00,2016-05-31 01:00:00,1.0
CHF_JPY,2016-05-27 05:00:00,2016-05-30 05:00:00,1.0
AUD_USD,2016-05-30 21:00:00,2016-05-31 09:00:00,1.0
USD_ZAR,2016-05-31 05:00:00,2016-06-01 05:00:00,1.0
AUD_USD,2016-06-03 09:00:00,2016-06-03 13:00:00,1.0
EUR_AUD,2016-06-06 13:00:00,2016-06-07 05:00:00,1.0
USD_ZAR,2016-06-08 17:00:00,2016-06-10 05:00:00,-1.0
CHF_JPY,2016-06-08 21:00:00,2016-06-12 21:00:00,-1.0
EUR_GBP,2016-06-09 05:00:00,2016-06-12 21:00:00,1.0
AUD_JPY,2016-06-13 21:00:00,2016-06-14 05:00:00,-1.0
CHF_JPY,2016-06-14 01:00:00,2016-06-16 01:00:00,-1.0
