pair,entry_ts,exit_ts,r
AUD_JPY,2016-01-19 02:00:00,2016-01-19 10:00:00,1.0
AUD_JPY,2016-01-20 22:00:00,2016-01-21 06:00:00,-1.0
AUD_JPY,2016-02-12 18:00:00,2016-02-15 02:00:00,1.0
AUD_JPY,2016-02-22 06:00:00,2016-02-22 14:00:00,1.0
AUD_JPY,2016-02-25 14:00:00,2016-02-29 06:00:00,-1.0
AUD_JPY,2016-03-01 18:00:00,2016-03-02 06:00:00,1.0
AUD_JPY,2016-03-11 10:00:00,2016-03-13 21:00:00,1.0
AUD_JPY,2016-03-22 21:00:00,2016-03-23 13:00:00,-1.0
AUD_JPY,2016-03-28 05:00:00,2016-03-30 09:00:00,1.0
AUD_JPY,2016-04-22 13:00:00,2016-04-27 01:00:00,-1.0
AUD_JPY,2016-04-26 17:00:00,2016-04-27 01:00:00,-1.0
AUD_JPY,2016-05-05 05:00:00,2016-05-06 01:00:00,-1.0
AUD_JPY,2016-05-09 05:00:00,2016-05-10 05:00:00,1.0
AUD_JPY,2016-05-16 09:00:00,2016-05-17 01:00:00,1.0
AUD_JPY,2016-05-20 01:00:00,2016-05-23 09:00:00,-1.0
AUD_JPY,2016-05-25 05:00:00,2016-05-26 01:00:00,-1.0
AUD_JPY,2016-06-29 09:00:00,2016-06-30 17:00:00,1.0
AUD_JPY,2016-08-22 21:00:00,2016-08-29 13:00:00,1.0
AUD_JPY,2016-09-27 05:00:00,2016-09-29 01:00:00,1.0
AUD_JPY,2016-09-30 17:00:00,2016-10-04 01:00:00,1.0
AUD_JPY,2016-10-12 17:00:00,2016-10-13 01:00:00,-1.0
AUD_JPY,2016-10-14 05:00:00,2016-10-18 05:00:00,1.0
AUD_JPY,2016-10-19 21:00:00,2016-10-21 09:00:00,-1.0
AUD_JPY,2016-10-25 09:00:00,2016-11-02 01:00:00,-1.0
AUD_JPY,2016-11-07 02:00:00,2016-11-08 14:00:00,1.0
AUD_JPY,2016-11-14 10:00:00,2016-11-15 18:00:00,1.0
AUD_JPY,2016-11-22 10:00:00,2016-11-23 14:00:00,1.0
AUD_JPY,2016-12-09 10:00:00,2016-12-12 06:00:00,1.0
AUD_JPY,2016-12-28 02:00:00,2016-12-28 22:00:00,-1.0
AUD_JPY,2016-12-30 02:00:00,2017-01-03 06:00:00,1.0
AUD_JPY,2017-01-06 10:00:00,2017-01-11 14:00:00,1.0
