tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
800,0.01887026646067397,0.03399357381476829,-0.047757138216271866,0.0854976711376198,343,0.0683846376608628,0.05241515170280417,-0.034349059676633376,0.17111833499835896,EUR_USD,6,13,5,signal_cross,long,1143
799,-0.01672880371774592,0.034128935449837465,-0.08362151719942734,0.050163909763935505,343,-0.03074904015449667,0.05273367590631471,-0.1341070449308735,0.07260896462188016,EUR_USD,6,13,5,signal_cross,short,1142
370,0.05406021820033455,0.049948671148074,-0.04383917724989049,0.1519596136505596,159,0.1354134419878206,0.07718838663853894,-0.015875795823715733,0.28670267979935693,EUR_USD,6,13,5,zero_cross,long,529
370,-0.00771846639267497,0.050206889165913114,-0.10612396915786466,0.09068703637251473,159,-0.04416110025636199,0.07828367933176557,-0.1975971117466225,0.10927491123389851,EUR_USD,6,13,5,zero_cross,short,529
651,0.015928845949958546,0.03780820799158553,-0.05817524171354909,0.09003293361346618,279,0.006424417476828219,0.058473528571616654,-0.10818369852354043,0.12103253347719686,EUR_USD,6,13,9,signal_cross,long,930
650,0.028678922842169732,0.03786130987684038,-0.04552924451643742,0.10288709020077688,279,0.014171675024259981,0.058639094488816094,-0.10076095017381957,0.12910430022233954,EUR_USD,6,13,9,signal_cross,short,929
370,0.05406021820033455,0.049948671148074,-0.04383917724989049,0.1519596136505596,159,0.1354134419878206,0.07718838663853894,-0.015875795823715733,0.28670267979935693,EUR_USD,6,13,9,zero_cross,long,529
370,-0.00771846639267497,0.050206889165913114,-0.10612396915786466,0.09068703637251473,159,-0.04416110025636199,0.07828367933176557,-0.1975971117466225,0.10927491123389851,EUR_USD,6,13,9,zero_cross,short,529
568,0.05032232945455473,0.04045901138537192,-0.02897733286077423,0.1296219917698837,244,-0.001137302716601276,0.06314860137084098,-0.1249085614034496,0.12263395597024705,EUR_USD,6,13,13,signal_cross,long,812
567,0.0140230259933551,0.04064124195564269,-0.06563380823970458,0.09367986022641478,244,0.02379284679582707,0.0627054398477348,-0.09910981530573312,0.14669550889738728,EUR_USD,6,13,13,signal_cross,short,811
370,0.05406021820033455,0.049948671148074,-0.04383917724989049,0.1519596136505596,159,0.1354134419878206,0.07718838663853894,-0.015875795823715733,0.28670267979935693,EUR_USD,6,13,13,zero_cross,long,529
370,-0.00771846639267497,0.050206889165913114,-0.10612396915786466,0.09068703637251473,159,-0.04416110025636199,0.07828367933176557,-0.1975971117466225,0.10927491123389851,EUR_USD,6,13,13,zero_cross,short,529
693,0.03108856371153844,0.036570860171942936,-0.04059032222546971,0.10276744964854659,297,-0.015430916288800051,0.05672702586266234,-0.12661588697961823,0.09575405440201812,EUR_USD,8,17,5,signal_cross,long,990
692,0.0007042391793200035,0.0366834892285157,-0.07119539970857076,0.07260387806721076,297,0.015031685067107904,0.056839791317943575,-0.0963743059160615,0.1264376760502773,EUR_USD,8,17,5,signal_cross,short,989
286,0.04075047674362286,0.05690830709174121,-0.0707898051561899,0.15229075864343564,123,0.05463862068280465,0.08805669344895313,-0.11795249847714348,0.22722973984275277,EUR_USD,8,17,5,zero_cross,long,409
286,-0.036575574768285005,0.05730026445588696,-0.14888409310182343,0.07573294356525342,123,0.0355728767544202,0.08820170750911362,-0.1373024699634425,0.2084482234722829,EUR_USD,8,17,5,zero_cross,short,409
533,0.0616115894911727,0.04176775791703501,-0.02025321602621593,0.14347639500856132,229,0.010239245930327448,0.0651272121579499,-0.11741008989925437,0.13788858175990926,EUR_USD,8,17,9,signal_cross,long,762
532,0.004817577658500128,0.04191129142156174,-0.07732855352776087,0.08696370884476114,229,0.02224450545727286,0.0646821018094845,-0.10453241408931677,0.14902142500386248,EUR_USD,8,17,9,signal_cross,short,761
286,0.04075047674362286,0.05690830709174121,-0.0707898051561899,0.15229075864343564,123,0.05463862068280465,0.08805669344895313,-0.11795249847714348,0.22722973984275277,EUR_USD,8,17,9,zero_cross,long,409
286,-0.036575574768285005,0.05730026445588696,-0.14888409310182343,0.07573294356525342,123,0.0355728767544202,0.08820170750911362,-0.1373024699634425,0.2084482234722829,EUR_USD,8,17,9,zero_cross,short,409
471,0.04390354100357946,0.04438643432037162,-0.04309387026434891,0.13090095227150783,203,-0.02798121255050971,0.06893671787108416,-0.16309717957783465,0.10713475447681524,EUR_USD,8,17,13,signal_cross,long,674
471,0.024386725825523543,0.04479831195125901,-0.06341796559894411,0.11219141724999121,202,0.05231185586053702,0.06833460149854749,-0.08162396307661607,0.1862476747976901,EUR_USD,8,17,13,signal_cross,short,673
286,0.04075047674362286,0.05690830709174121,-0.0707898051561899,0.15229075864343564,123,0.05463862068280465,0.08805669344895313,-0.11795249847714348,0.22722973984275277,EUR_USD,8,17,13,zero_cross,long,409
286,-0.036575574768285005,0.05730026445588696,-0.14888409310182343,0.07573294356525342,123,0.0355728767544202,0.08820170750911362,-0.1373024699634425,0.2084482234722829,EUR_USD,8,17,13,zero_cross,short,409
534,0.0641352954850815,0.041592920098900844,-0.017386827908764155,0.14565741887892714,229,-0.06904699192191624,0.06458096776899833,-0.19562568874915295,0.057531704905320474,EUR_USD,12,26,5,signal_cross,long,763
533,0.007756440537294846,0.04199802948418409,-0.07455969725170596,0.09007257832629566,229,0.0473062286239319,0.06442936696028445,-0.07897533061822563,0.17358778786608942,EUR_USD,12,26,5,signal_cross,short,762
186,-0.03174798314808761,0.07015994374955621,-0.16926147289721777,0.10576550660104256,80,0.037134115436475844,0.11056048988727664,-0.17956444474258637,0.2538326756155381,EUR_USD,12,26,5,zero_cross,long,266
185,-0.009971554726439099,0.0706299400031239,-0.14840623713256196,0.12846312767968376,80,0.043623482717346285,0.10956066590683265,-0.1711154224600457,0.2583623878947383,EUR_USD,12,26,5,zero_cross,short,265
427,0.03818493169764201,0.046309225978293976,-0.05258115121981418,0.1289510146150982,184,0.024838811795479258,0.07263303193768936,-0.11752193080239187,0.16719955439335038,EUR_USD,12,26,9,signal_cross,long,611
427,0.02117484479450587,0.04691401645963116,-0.0707766274663712,0.11312631705538295,183,0.035099224653665224,0.07194260418826434,-0.10590827955533288,0.17610672886266332,EUR_USD,12,26,9,signal_cross,short,610
186,-0.03174798314808761,0.07015994374955621,-0.16926147289721777,0.10576550660104256,80,0.037134115436475844,0.11056048988727664,-0.17956444474258637,0.2538326756155381,EUR_USD,12,26,9,zero_cross,long,266
185,-0.009971554726439099,0.0706299400031239,-0.14840623713256196,0.12846312767968376,80,0.043623482717346285,0.10956066590683265,-0.1711154224600457,0.2583623878947383,EUR_USD,12,26,9,zero_cross,short,265
388,0.029796424611231793,0.048671153600141674,-0.06559903644504589,0.12519188566750947,167,-0.06584150202263556,0.07592939460603465,-0.21466311545046346,0.08298011140519235,EUR_USD,12,26,13,signal_cross,long,555
388,-0.021616031374604293,0.04917212101887106,-0.11799338857159156,0.07476132582238298,167,0.04537418686418223,0.07451948358464411,-0.10068400096172023,0.1914323746900847,EUR_USD,12,26,13,signal_cross,short,555
186,-0.03174798314808761,0.07015994374955621,-0.16926147289721777,0.10576550660104256,80,0.037134115436475844,0.11056048988727664,-0.17956444474258637,0.2538326756155381,EUR_USD,12,26,13,zero_cross,long,266
185,-0.009971554726439099,0.0706299400031239,-0.14840623713256196,0.12846312767968376,80,0.043623482717346285,0.10956066590683265,-0.1711154224600457,0.2583623878947383,EUR_USD,12,26,13,zero_cross,short,265
441,0.03346116352815403,0.04579487430531375,-0.05629679011026092,0.12321911716656897,190,-0.09886633890159115,0.07107873866006476,-0.23818066667531806,0.040447988872135784,EUR_USD,18,39,5,signal_cross,long,631
441,0.01688773810732913,0.046188519561065365,-0.07364176023235898,0.10741723644701724,190,0.10928161869784206,0.07029280350721408,-0.028492276176297543,0.24705551357198166,EUR_USD,18,39,5,signal_cross,short,631
