tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
207,0.052279862979167896,0.06707879901532844,-0.07919458309087585,0.18375430904921164,90,0.09378765507722277,0.10370324329000251,-0.10947070177118214,0.2970460119256277,EUR_USD,6,13,5,signal_cross,long,297
191,-0.06436721843201437,0.07039810643524107,-0.20234750704508686,0.07361307018105812,82,-0.03584001400937639,0.10925468700924802,-0.2499792005475025,0.17829917252874972,EUR_USD,6,13,5,signal_cross,short,273
93,0.00494526671554083,0.09915681351326922,-0.18940208777046683,0.19929262120154848,41,0.21951219512195122,0.1542574468374819,-0.08283240067951333,0.5218567909234157,EUR_USD,6,13,5,zero_cross,long,134
100,-0.03922371073722242,0.09632779244387656,-0.22802618392722046,0.14957876245277563,43,0.20534604527428976,0.14897307260747952,-0.08664117703637012,0.49733326758494967,EUR_USD,6,13,5,zero_cross,short,143
167,-0.08838850828019001,0.07379944510582942,-0.23303542068761568,0.05625840412723565,72,-0.2061610446178038,0.1138637282106255,-0.4293339519106298,0.017011862675022194,EUR_USD,6,13,9,signal_cross,long,239
179,0.0368208607499071,0.07306313948663905,-0.10638289264390544,0.18002461414371962,77,0.0564220654906367,0.11090326209064921,-0.16094832820703575,0.27379245918830913,EUR_USD,6,13,9,signal_cross,short,256
93,0.00494526671554083,0.09915681351326922,-0.18940208777046683,0.19929262120154848,41,0.21951219512195122,0.1542574468374819,-0.08283240067951333,0.5218567909234157,EUR_USD,6,13,9,zero_cross,long,134
100,-0.03922371073722242,0.09632779244387656,-0.22802618392722046,0.14957876245277563,43,0.20534604527428976,0.14897307260747952,-0.08664117703637012,0.49733326758494967,EUR_USD,6,13,9,zero_cross,short,143
141,0.04535459363156768,0.08017185277432506,-0.11178223780610944,0.2024914250692448,61,-0.3114754098360656,0.12267729136963743,-0.551922900920555,-0.07102791875157624,EUR_USD,6,13,13,signal_cross,long,202
141,0.051464744031310974,0.08203410893524507,-0.10932210948176936,0.21225159754439132,61,0.03925554207079717,0.12666483341527593,-0.20900753142314363,0.28751861556473796,EUR_USD,6,13,13,signal_cross,short,202
93,0.00494526671554083,0.09915681351326922,-0.18940208777046683,0.19929262120154848,41,0.21951219512195122,0.1542574468374819,-0.08283240067951333,0.5218567909234157,EUR_USD,6,13,13,zero_cross,long,134
100,-0.03922371073722242,0.09632779244387656,-0.22802618392722046,0.14957876245277563,43,0.20534604527428976,0.14897307260747952,-0.08664117703637012,0.49733326758494967,EUR_USD,6,13,13,zero_cross,short,143
173,0.012068966393295848,0.07345660119067778,-0.13190597194043258,0.15604390472702429,75,-0.16910166140952904,0.11167701739803763,-0.3879886155096828,0.04978529269062473,EUR_USD,8,17,5,signal_cross,long,248
184,-0.007062497074155921,0.07207047491651875,-0.14832062791053266,0.1341956337622208,80,0.07017487981655475,0.10908286312538995,-0.14362753190920957,0.28397729154231904,EUR_USD,8,17,5,signal_cross,short,264
75,-0.034264292273491474,0.11321458932824634,-0.2561648873568543,0.18763630280987134,33,0.21212121212121213,0.17275385228774817,-0.1264763383627743,0.5507187626051986,EUR_USD,8,17,5,zero_cross,long,108
81,-0.04343994801971538,0.10971195469390638,-0.2584753792197719,0.17159548318034112,35,0.18754760026615264,0.16374467161309816,-0.13339195609551974,0.5084871566278251,EUR_USD,8,17,5,zero_cross,short,116
143,0.06713059772389804,0.07893227748260029,-0.08757666614199852,0.2218378615897946,62,-0.21152087989341786,0.12409281181610105,-0.4547427910529759,0.031701031266140184,EUR_USD,8,17,9,signal_cross,long,205
139,-0.020434581527267928,0.08249214141999524,-0.1821191787104586,0.14125001565592274,60,0.0014174080609291298,0.1267334596564947,-0.2469801728658005,0.24981498898765878,EUR_USD,8,17,9,signal_cross,short,199
75,-0.034264292273491474,0.11321458932824634,-0.2561648873568543,0.18763630280987134,33,0.21212121212121213,0.17275385228774817,-0.1264763383627743,0.5507187626051986,EUR_USD,8,17,9,zero_cross,long,108
81,-0.04343994801971538,0.10971195469390638,-0.2584753792197719,0.17159548318034112,35,0.18754760026615264,0.16374467161309816,-0.13339195609551974,0.5084871566278251,EUR_USD,8,17,9,zero_cross,short,116
123,0.047665768343231725,0.08700251575696939,-0.12285916254042828,0.21819069922689172,53,-0.07762819912060201,0.136955383982446,-0.3460607517261962,0.19080435348499217,EUR_USD,8,17,13,signal_cross,long,176
117,-0.0595976360323433,0.0891120668984117,-0.23425728715323021,0.1150620150885436,51,-0.1078017546566902,0.1359893561050922,-0.3743408926226709,0.15873738330929046,EUR_USD,8,17,13,signal_cross,short,168
75,-0.034264292273491474,0.11321458932824634,-0.2561648873568543,0.18763630280987134,33,0.21212121212121213,0.17275385228774817,-0.1264763383627743,0.5507187626051986,EUR_USD,8,17,13,zero_cross,long,108
