tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
833,0.03966896421887016,0.03388710003657568,-0.02674975185281818,0.1060876802905585,358,0.0959520579600907,0.04888333182632755,0.00014072758048869205,0.1917633883396927,CAD_CHF,6,13,5,signal_cross,short,1191
673,0.05025596151278303,0.03770573171947324,-0.023647272657384512,0.12415919568295058,289,0.09083603608453689,0.05486193175598779,-0.01669335015719918,0.19836542232627297,CAD_CHF,6,13,9,signal_cross,short,962
597,0.056792110723174215,0.039827872185040136,-0.021270518759504455,0.1348547402058529,256,0.09483932198471298,0.05744163611487795,-0.017746284800447806,0.20742492876987378,CAD_CHF,6,13,13,signal_cross,short,853
699,0.05863758865154819,0.03693959887189849,-0.013764025137372841,0.1310392024404692,300,0.06017309358672875,0.05375536798926906,-0.04518742767223861,0.16553361484569612,CAD_CHF,8,17,5,signal_cross,short,999
549,0.04329629534579609,0.041502236090630945,-0.03804808739184056,0.12464067808343274,236,0.10082896812270081,0.06037652644747364,-0.017509023714347524,0.21916695995974916,CAD_CHF,12,26,5,signal_cross,short,785
797,0.046993089633368554,0.03415377793762078,-0.019948315124368177,0.11393449439110528,342,0.11286346960867473,0.05316807115683387,0.008654050141280345,0.21707288907606911,USD_JPY,6,13,5,signal_cross,long,1139
420,0.08029962230940156,0.04656452970726654,-0.01096685591684085,0.17156610053564397,180,0.15887125609544617,0.07219490825207397,0.017369235921381176,0.30037327626951116,USD_JPY,18,39,5,signal_cross,long,600
844,0.02437057360755738,0.03262512651823093,-0.03957467436817524,0.08831582158328999,363,0.16571786172334915,0.050591881331395874,0.06655777431381324,0.2648779491328851,CHF_JPY,6,13,5,signal_cross,long,1207
373,0.08246984054137617,0.0513430491080331,-0.018162535710368702,0.18310221679312105,161,0.18909319815917539,0.07742968812642712,0.03733100943137824,0.34085538688697253,AUD_JPY,24,52,5,signal_cross,long,534
85,0.08235294117647071,0.1087383268546004,-0.13077417945854608,0.2954800618114875,37,0.24324324324324326,0.16166088689122848,-0.07361209506356459,0.5600985815500511,USD_ZAR,24,52,5,zero_cross,short,122
85,0.08235294117647071,0.1087383268546004,-0.13077417945854608,0.2954800618114875,37,0.24324324324324326,0.16166088689122848,-0.07361209506356459,0.5600985815500511,USD_ZAR,24,52,9,zero_cross,short,122
85,0.08235294117647071,0.1087383268546004,-0.13077417945854608,0.2954800618114875,37,0.24324324324324326,0.16166088689122848,-0.07361209506356459,0.5600985815500511,USD_ZAR,24,52,13,zero_cross,short,122
