tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
166,0.2289156626506024,0.07578268849223098,0.08038159320582969,0.37744973209537513,72,0.25,0.11490963994423042,0.024777105709308384,0.47522289429069164,NZD_USD,6,13,9,signal_cross,short,238
184,0.22826086956521738,0.07197058352573359,0.08719852585477955,0.3693232132756552,79,0.21518987341772153,0.1105750307036291,-0.0015371867613915013,0.4319169335968346,NZD_USD,8,17,5,signal_cross,short,263
196,0.12642867648967568,0.06613739730448093,-0.0032006222271069307,0.2560579752064583,84,0.2683129478015261,0.08723863989984963,0.09732521359782081,0.43930068200523137,AUD_NZD,8,17,5,signal_cross,long,280
93,0.23452707497394817,0.09656511516752117,0.04525944924560668,0.42379470070228964,41,0.2358106933112145,0.13716517570824213,-0.03303305107694007,0.504654437699369,EUR_CAD,6,13,5,zero_cross,long,134
93,0.23452707497394817,0.09656511516752117,0.04525944924560668,0.42379470070228964,41,0.2358106933112145,0.13716517570824213,-0.03303305107694007,0.504654437699369,EUR_CAD,6,13,9,zero_cross,long,134
93,0.23452707497394817,0.09656511516752117,0.04525944924560668,0.42379470070228964,41,0.2358106933112145,0.13716517570824213,-0.03303305107694007,0.504654437699369,EUR_CAD,6,13,13,zero_cross,long,134
196,0.16839696155982925,0.05980321917607761,0.051182651974717136,0.28561127114494134,84,0.19326965700973203,0.09058236673519801,0.015728218208743927,0.37081109581072014,EUR_CHF,6,13,9,signal_cross,short,280
228,0.1259977689008821,0.06419149070219106,0.00018244712458762025,0.2518130906771766,98,0.3306957510876683,0.09085818329706775,0.1526137118254155,0.5087777903499211,CAD_CHF,6,13,5,signal_cross,short,326
113,0.19767131739527863,0.09009611553918549,0.021082930938475075,0.3742597038520822,49,0.2914088821131355,0.13231172342263525,0.03207790420477041,0.5507398600215005,CAD_CHF,6,13,5,zero_cross,short,162
113,0.19767131739527863,0.09009611553918549,0.021082930938475075,0.3742597038520822,49,0.2914088821131355,0.13231172342263525,0.03207790420477041,0.5507398600215005,CAD_CHF,6,13,9,zero_cross,short,162
166,0.22718631736537348,0.07425661710614084,0.08164334783733743,0.37272928689340956,72,0.34221245535816036,0.10765222757484968,0.13121408931145498,0.5532108214048658,CAD_CHF,6,13,13,signal_cross,short,238
113,0.19767131739527863,0.09009611553918549,0.021082930938475075,0.3742597038520822,49,0.2914088821131355,0.13231172342263525,0.03207790420477041,0.5507398600215005,CAD_CHF,6,13,13,zero_cross,short,162
93,0.22580645161290333,0.10156447119344558,0.02674008807375,0.42487281515205666,41,0.4634146341463415,0.14011128406190315,0.1887965173850113,0.7380327509076716,NZD_JPY,6,13,5,zero_cross,long,134
93,0.22580645161290333,0.10156447119344558,0.02674008807375,0.42487281515205666,41,0.4634146341463415,0.14011128406190315,0.1887965173850113,0.7380327509076716,NZD_JPY,6,13,9,zero_cross,long,134
93,0.22580645161290333,0.10156447119344558,0.02674008807375,0.42487281515205666,41,0.4634146341463415,0.14011128406190315,0.1887965173850113,0.7380327509076716,NZD_JPY,6,13,13,zero_cross,long,134
140,0.17641258277146782,0.08320851115255963,0.013323900912450948,0.3395012646304847,61,0.3442622950819672,0.12120804925037615,0.10669451855122997,0.5818300716127045,AUD_JPY,18,39,5,signal_cross,long,201
79,0.14651102859986675,0.10165771007153646,-0.0527380831403447,0.3457601403400782,35,0.2169212667581788,0.13142183099991775,-0.04066552200165996,0.47450805551801756,EUR_PLN,12,26,5,zero_cross,short,114
79,0.14651102859986675,0.10165771007153646,-0.0527380831403447,0.3457601403400782,35,0.2169212667581788,0.13142183099991775,-0.04066552200165996,0.47450805551801756,EUR_PLN,12,26,9,zero_cross,short,114
79,0.14651102859986675,0.10165771007153646,-0.0527380831403447,0.3457601403400782,35,0.2169212667581788,0.13142183099991775,-0.04066552200165996,0.47450805551801756,EUR_PLN,12,26,13,zero_cross,short,114
