tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
520,0.0313528128714521,0.042132848217374064,-0.05122756963460107,0.11393319537750526,223,0.060231341528384934,0.06424156080679265,-0.06568211765292864,0.18614480070969852,EUR_USD,6,13,5,signal_cross,long,743
516,0.01449590620943304,0.042648857211588884,-0.06909585392528117,0.09808766634414726,222,0.032104038224001534,0.06576578960601961,-0.0967969094037969,0.16100498585179998,EUR_USD,6,13,5,signal_cross,short,738
241,0.06728081225242624,0.06204589218438129,-0.05432913642896109,0.18889076093381357,104,0.16061853877635027,0.09611191362798863,-0.02776081193450744,0.348997889487208,EUR_USD,6,13,5,zero_cross,long,345
212,-0.045165475340622666,0.0668209744648218,-0.17613458529167336,0.08580363461042805,92,-0.009575705846294018,0.10390382655193561,-0.21322720588808783,0.19407579419549978,EUR_USD,6,13,5,zero_cross,short,304
411,0.06802889082833896,0.04779718478952312,-0.025653591359126357,0.1617113730158043,177,0.03446711223310075,0.07297135447969803,-0.1085567425471074,0.1774909670133089,EUR_USD,6,13,9,signal_cross,long,588
415,0.06288986979241275,0.04757275893725931,-0.030352737724615497,0.156132477309441,178,0.10704562596277432,0.07274428894427892,-0.035533180368012354,0.24962443229356102,EUR_USD,6,13,9,signal_cross,short,593
241,0.06728081225242624,0.06204589218438129,-0.05432913642896109,0.18889076093381357,104,0.16061853877635027,0.09611191362798863,-0.02776081193450744,0.348997889487208,EUR_USD,6,13,9,zero_cross,long,345
212,-0.045165475340622666,0.0668209744648218,-0.17613458529167336,0.08580363461042805,92,-0.009575705846294018,0.10390382655193561,-0.21322720588808783,0.19407579419549978,EUR_USD,6,13,9,zero_cross,short,304
363,0.10780067983378451,0.05064886679082215,0.008528900923773092,0.20707245874379593,156,0.04210054331853247,0.0788951676403702,-0.11253398525659314,0.19673507189365808,EUR_USD,6,13,13,signal_cross,long,519
354,0.0077128747646270975,0.05171474501839029,-0.09364802547141787,0.10907377500067206,152,0.06853122415322269,0.07918843552014336,-0.08667810946625829,0.22374055777270366,EUR_USD,6,13,13,signal_cross,short,506
241,0.06728081225242624,0.06204589218438129,-0.05432913642896109,0.18889076093381357,104,0.16061853877635027,0.09611191362798863,-0.02776081193450744,0.348997889487208,EUR_USD,6,13,13,zero_cross,long,345
212,-0.045165475340622666,0.0668209744648218,-0.17613458529167336,0.08580363461042805,92,-0.009575705846294018,0.10390382655193561,-0.21322720588808783,0.19407579419549978,EUR_USD,6,13,13,zero_cross,short,304
451,0.04923626864690352,0.04544878292744656,-0.03984334589089174,0.13831588318469878,194,0.00574984004856948,0.06992716304998632,-0.1313073995294037,0.14280707962654268,EUR_USD,8,17,5,signal_cross,long,645
438,0.03692649771344819,0.04644182892832404,-0.054099486986066925,0.1279524824129633,189,0.09694432050821296,0.07072601751810606,-0.04167867382727493,0.23556731484370086,EUR_USD,8,17,5,signal_cross,short,627
174,0.022420103157501897,0.07296807725847822,-0.1205973282691154,0.1654375345841192,75,0.2043071733410675,0.10915832754030765,-0.0096431486379355,0.4182574953200705,EUR_USD,8,17,5,zero_cross,long,249
163,-0.007996572059870892,0.07550965364030282,-0.15599549319486442,0.14000234907512263,70,0.0962788538019607,0.11788099936600312,-0.13476790495540542,0.3273256125593268,EUR_USD,8,17,5,zero_cross,short,233
338,0.09407481435566194,0.05228955874059751,-0.008412720775909169,0.19656234948723306,146,0.06764915186960832,0.08139701275440749,-0.09188899312903034,0.22718729686824699,EUR_USD,8,17,9,signal_cross,long,484
335,0.005184971582171335,0.05291924655255056,-0.09853675166082776,0.10890669482517043,144,0.10361749850627028,0.08087773613419359,-0.05490286431674915,0.26213786132928973,EUR_USD,8,17,9,signal_cross,short,479
174,0.022420103157501897,0.07296807725847822,-0.1205973282691154,0.1654375345841192,75,0.2043071733410675,0.10915832754030765,-0.0096431486379355,0.4182574953200705,EUR_USD,8,17,9,zero_cross,long,249
163,-0.007996572059870892,0.07550965364030282,-0.15599549319486442,0.14000234907512263,70,0.0962788538019607,0.11788099936600312,-0.13476790495540542,0.3273256125593268,EUR_USD,8,17,9,zero_cross,short,233
303,0.042921607475408824,0.055171138256315075,-0.06521382350696872,0.15105703845778637,131,0.03925732249328972,0.08533102400945966,-0.1279914845652512,0.20650612955183065,EUR_USD,8,17,13,signal_cross,long,434
290,0.03603490851589487,0.05717931634081356,-0.0760365515120997,0.14810636854388945,125,0.1432522447013667,0.08543648005000075,-0.02420325619663477,0.31070774559936815,EUR_USD,8,17,13,signal_cross,short,415
174,0.022420103157501897,0.07296807725847822,-0.1205973282691154,0.1654375345841192,75,0.2043071733410675,0.10915832754030765,-0.0096431486379355,0.4182574953200705,EUR_USD,8,17,13,zero_cross,long,249
163,-0.007996572059870892,0.07550965364030282,-0.15599549319486442,0.14000234907512263,70,0.0962788538019607,0.11788099936600312,-0.13476790495540542,0.3273256125593268,EUR_USD,8,17,13,zero_cross,short,233
350,0.07993992495377492,0.051192202714663876,-0.020396792366966274,0.18027664227451612,150,-0.0457294559562225,0.0797107239257321,-0.2019624748506574,0.11050356293821242,EUR_USD,12,26,5,signal_cross,long,500
343,0.02829822782629219,0.05249110819644911,-0.07458434423874807,0.13118079989133244,147,0.08547745917071364,0.08038682437583693,-0.07208071660592674,0.24303563494735403,EUR_USD,12,26,5,signal_cross,short,490
111,0.021148203469636803,0.09219204492178756,-0.1595482045770668,0.20184461151634042,48,0.033891854657386096,0.14332408094267882,-0.24702334399026438,0.31480705330503655,EUR_USD,12,26,5,zero_cross,long,159
102,0.0878767553301458,0.09569651354834562,-0.09968841122461161,0.27544192188490324,45,-0.08491738491727371,0.14576635216913228,-0.37061943516877294,0.20078466533422554,EUR_USD,12,26,5,zero_cross,short,147
270,0.04065141428856922,0.058774956430170416,-0.0745475003145648,0.15585032889170325,116,0.09712390807038405,0.09094706219489936,-0.08113233383161868,0.2753801499723868,EUR_USD,12,26,9,signal_cross,long,386
268,0.05111442218873608,0.05924806328076067,-0.06501178184155482,0.167240626219027,115,0.04547696807087015,0.09040010271209876,-0.13170723324484343,0.22266116938658373,EUR_USD,12,26,9,signal_cross,short,383
111,0.021148203469636803,0.09219204492178756,-0.1595482045770668,0.20184461151634042,48,0.033891854657386096,0.14332408094267882,-0.24702334399026438,0.31480705330503655,EUR_USD,12,26,9,zero_cross,long,159
102,0.0878767553301458,0.09569651354834562,-0.09968841122461161,0.27544192188490324,45,-0.08491738491727371,0.14576635216913228,-0.37061943516877294,0.20078466533422554,EUR_USD,12,26,9,zero_cross,short,147
235,0.0449396955488096,0.06322637442497131,-0.07898399832413416,0.16886338942175336,101,0.040234109380985934,0.09842157785158136,-0.15267218320811352,0.23314040197008537,EUR_USD,12,26,13,signal_cross,long,336
229,0.05508969111548708,0.06429477758001916,-0.07092807294135045,0.18110745517232463,99,0.07779917129378593,0.09648266994260636,-0.11130686179372253,0.2669052043812944,EUR_USD,12,26,13,signal_cross,short,328
111,0.021148203469636803,0.09219204492178756,-0.1595482045770668,0.20184461151634042,48,0.033891854657386096,0.14332408094267882,-0.24702334399026438,0.31480705330503655,EUR_USD,12,26,13,zero_cross,long,159
102,0.0878767553301458,0.09569651354834562,-0.09968841122461161,0.27544192188490324,45,-0.08491738491727371,0.14576635216913228,-0.37061943516877294,0.20078466533422554,EUR_USD,12,26,13,zero_cross,short,147
284,0.04667782405988082,0.057657704982745,-0.06633127770629937,0.15968692582606103,122,-0.0039176449970117315,0.08938562675747422,-0.17911347344166118,0.17127818344763773,EUR_USD,18,39,5,signal_cross,long,406
275,0.05785977973604454,0.05857975892795249,-0.05695654776274233,0.1726761072348314,118,0.07177759442622536,0.08930170960922179,-0.10325375640784934,0.24680894526030006,EUR_USD,18,39,5,signal_cross,short,393
70,-0.0761938905492234,0.11559201274201912,-0.3027542355235809,0.15036645442513408,30,0.1057902966667094,0.18160974699105464,-0.2501648074357577,0.46174540076917653,EUR_USD,18,39,5,zero_cross,long,100
77,0.060007412950212335,0.11220184488868454,-0.15990820303160935,0.279923028932034,33,-0.15151515151515152,0.17473579688895144,-0.4939973134174963,0.1909670103871933,EUR_USD,18,39,5,zero_cross,short,110
221,0.13394300074724827,0.06481420231672903,0.006907164206459371,0.26097883728803717,96,-0.009749886173022868,0.10097706870966791,-0.20766494084397197,0.18816516849792625,EUR_USD,18,39,9,signal_cross,long,317
210,-0.047611598809426274,0.06761131033079876,-0.18012976705779185,0.08490656943893929,91,0.012782142338353897,0.10186696887664033,-0.18687711665986115,0.21244140133656894,EUR_USD,18,39,9,signal_cross,short,301
70,-0.0761938905492234,0.11559201274201912,-0.3027542355235809,0.15036645442513408,30,0.1057902966667094,0.18160974699105464,-0.2501648074357577,0.46174540076917653,EUR_USD,18,39,9,zero_cross,long,100
77,0.060007412950212335,0.11220184488868454,-0.15990820303160935,0.279923028932034,33,-0.15151515151515152,0.17473579688895144,-0.4939973134174963,0.1909670103871933,EUR_USD,18,39,9,zero_cross,short,110
185,0.10214772693807943,0.07030204725674691,-0.03564428568514451,0.23993973956130338,80,-0.022423028547786206,0.10952653004383436,-0.23709502743370156,0.19224897033812913,EUR_USD,18,39,13,signal_cross,long,265
180,-0.07935766100200163,0.0726212246753632,-0.2216952613657135,0.06297993936171022,78,0.017748449148599663,0.10913050228390693,-0.1961473353278579,0.23164423362505723,EUR_USD,18,39,13,signal_cross,short,258
