indicator,entry,n_cells,wf_baseline,wf_filtered,prod_baseline,prod_filtered,uniq_pairs_filtered,test_mean_r
stoch,mid,5120,103,1194,4,747,34,0.2588597028667275
stoch,limit,5120,103,261,4,221,32,0.4585831585222194
sma,mid,1280,19,92,3,67,28,0.42366746295308816
sma,limit,1280,9,1,3,1,1,0.5644066330868085
ema,mid,1280,21,103,4,76,30,0.4444368581237617
ema,limit,1280,11,2,4,1,1,0.3686759718493006
rsi,mid,5120,25,162,3,101,28,0.3169359501983381
rsi,limit,5120,14,0,3,0,0,
cci,mid,5120,40,374,5,219,28,0.31402265361419546
cci,limit,5120,22,27,5,18,9,0.44635654941204994
macd,limit,2400,19,56,5,41,16,0.39817702329438065
atr,mid,960,27,278,2,156,28,0.16040861103464032
atr,limit,960,6,144,3,129,33,0.35260220080211513
ichimoku,limit,720,1,0,1,0,0,
