tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
812,0.042265552642005516,0.03369813737126888,-0.023782796605681486,0.10831390188969252,349,-0.03452685298418856,0.05232069549808602,-0.13707541616043717,0.06802171019206003,EUR_USD,s1,False,long,1161
406,0.05842440414379655,0.04762556707869336,-0.03492170733044243,0.15177051561803553,174,-0.16117951707756759,0.0732944359388746,-0.30483661151776176,-0.017522422637373386,EUR_USD,s1,True,long,580
357,-0.008032000680571147,0.05080015133095375,-0.1076002972892405,0.0915362959280982,153,0.037947839290645116,0.07894043533083002,-0.11677541395778172,0.19267109253907194,EUR_USD,s2,False,long,510
186,-0.045723895646686157,0.07005384793870452,-0.18302943760654702,0.0915816463131747,80,0.04305532764490512,0.10877921458039355,-0.17015193293266623,0.2562625882224765,EUR_USD,s2,True,long,266
135,0.01109385334558884,0.08251703745693216,-0.1506395400699982,0.1728272467611759,58,0.13708439235199757,0.12954620212305407,-0.1168261638091884,0.3909949485131835,EUR_USD,s3,False,long,193
74,0.1093886143617103,0.11147081273797263,-0.10909417860471604,0.32787140732813663,32,0.04717666986449176,0.17731341341066806,-0.30035762042041764,0.39471096014940116,EUR_USD,s3,True,long,106
840,-0.01881698392907589,0.033537359159309096,-0.08455020788132173,0.046916240023169936,360,-0.03147075531773229,0.05115051459936781,-0.1317257639324932,0.06878425329702863,EUR_USD,r1,False,short,1200
436,-0.049125848934132015,0.046692322788504104,-0.14064280159960005,0.042391103731336026,188,-0.03956182227013588,0.07125676979113738,-0.17922509106076515,0.10010144652049338,EUR_USD,r1,True,short,624
354,0.03447942047657942,0.051156984323155304,-0.06578826879680497,0.13474710974996382,153,-0.020328135045369157,0.07813074889940516,-0.17346440288820325,0.13280813279746495,EUR_USD,r2,False,short,507
182,0.01276467278813343,0.07201724911969369,-0.12838913548646622,0.15391848106273306,78,0.02664337851920032,0.1098670521439063,-0.18869604368285603,0.24198280072125666,EUR_USD,r2,True,short,260
137,0.012163292073841621,0.08328206930206915,-0.1510695637582139,0.17539614790589714,60,-0.036596529878561095,0.1255150863879907,-0.28260609919902285,0.20941303944190065,EUR_USD,r3,False,short,197
72,-0.10365100684747902,0.11340993666670347,-0.3259344827142178,0.11863246901925978,31,-0.00498303694212385,0.17806388984441443,-0.3539882610371762,0.3440221871529284,EUR_USD,r3,True,short,103
809,-0.052005879181614374,0.034811504101676584,-0.12023642722090047,0.01622466885767173,347,0.005630957674833686,0.05236522336870204,-0.09700488012782231,0.10826679547748967,GBP_USD,s1,False,long,1156
409,-0.019837191173114947,0.04896084866282292,-0.11580045455224787,0.07612607220601798,176,0.008146333394856719,0.0742942082442426,-0.1374703147638588,0.1537629815535722,GBP_USD,s1,True,long,585
347,-0.0322176622459637,0.053342121748945065,-0.136768220873896,0.07233289638196862,150,-0.013617229718755237,0.07997071552918407,-0.17035983215595601,0.14312537271844555,GBP_USD,s2,False,long,497
167,0.031861349139862015,0.07645601193588056,-0.11799243425446387,0.18171513253418792,72,-0.03726905600097986,0.11504650332234305,-0.2627602025127722,0.1882220905108125,GBP_USD,s2,True,long,239
149,-0.03705746493015273,0.08112119910386037,-0.19605501517371904,0.12194008531341359,65,-0.1022719387796701,0.12378215735325503,-0.34488496719205,0.14034108963270975,GBP_USD,s3,False,long,214
81,-0.09285879351349081,0.10874043339243333,-0.30599004296266014,0.12027245593567852,35,-0.13279074344795874,0.16853874170903932,-0.46312667719767575,0.1975451903017583,GBP_USD,s3,True,long,116
825,-0.012859506748892392,0.03439227610336292,-0.08026836791148373,0.05454935441369894,354,-0.016295017723436514,0.051326369771422804,-0.1168947024754252,0.08430466702855217,GBP_USD,r1,False,short,1179
411,-0.04406477426670322,0.04851963316462601,-0.1391632552693702,0.05103370673596375,177,-0.019379299567388146,0.07328347218926423,-0.16301490505834604,0.12425630592356973,GBP_USD,r1,True,short,588
343,-0.015582841363288455,0.05348417504281585,-0.12041182444720752,0.08924614172063061,147,0.0025774478961784696,0.08020410943903013,-0.15462260660432056,0.1597775023966775,GBP_USD,r2,False,short,490
187,0.020086184273965864,0.07238702602410609,-0.12179238673328208,0.1619647552812138,81,-0.10691857841175502,0.10724703747338521,-0.31712277185959004,0.10328561503607998,GBP_USD,r2,True,short,268
112,0.012868696437377758,0.09414563246130142,-0.17165674318677301,0.19739413606152853,48,-0.1003231663105737,0.14147425011639517,-0.3776126965387082,0.17696636391756082,GBP_USD,r3,False,short,160
60,-0.05735005308371648,0.1290963181061069,-0.31037883657168597,0.195678730404253,26,-0.14403460577902155,0.1937208300201709,-0.5237274326185566,0.23565822106051343,GBP_USD,r3,True,short,86
870,0.019492541347059928,0.03375041580652315,-0.04665827363372545,0.0856433563278453,373,-0.06666591088956424,0.051484034553894734,-0.1675746186151979,0.03424279683606944,AUD_USD,s1,False,long,1243
428,-0.011460905805116103,0.04821735568396796,-0.1059669229456933,0.0830451113354611,184,-0.019119130674608208,0.07356544535373208,-0.1633074035679231,0.12506914221870666,AUD_USD,s1,True,long,612
373,0.027634520804123104,0.05151247504424446,-0.07332993028259602,0.12859897189084224,160,0.021592983408576055,0.07887392172888912,-0.13299990318004662,0.1761858699971987,AUD_USD,s2,False,long,533
184,0.04274188970323243,0.07380376288594875,-0.10191348555322713,0.18739726495969197,79,-0.08330813685481601,0.11235700281662701,-0.30352786237540497,0.1369115886657729,AUD_USD,s2,True,long,263
