tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
454,0.0055302037588276926,0.045052077635622995,-0.08277186840699338,0.09383227592464877,195,0.0437667141140014,0.06992573589466607,-0.0932877282395441,0.1808211564675469,EUR_USD,s1,False,long,649
176,0.0010114541244705879,0.07202692874335953,-0.1401613262125141,0.14218423446145528,76,-0.06115493997731165,0.11250505948570833,-0.28166485656929996,0.15935497661467668,EUR_USD,s1,True,long,252
180,-0.012293947300065642,0.07137226809681674,-0.15218359276982643,0.12759569816969515,78,0.013455898307390949,0.11201863611160236,-0.2061006284713497,0.23301242508613157,EUR_USD,s2,False,long,258
64,-0.020626559454175353,0.11957851015610932,-0.2550004393601496,0.2137473204517989,28,0.01900870479868209,0.18593165971062658,-0.345417348234146,0.3834347578315102,EUR_USD,s2,True,long,92
70,0.049395396693487185,0.11403926028736895,-0.17412155346975594,0.2729123468567303,30,-0.1827561222128868,0.18013720669625874,-0.535825047337554,0.17031280291178033,EUR_USD,s3,False,long,100
25,0.20449864773018075,0.1823755413280269,-0.152957413272752,0.5619547087331135,12,-0.5,0.2611164839335468,-1.0117883085097517,0.011788308509751766,EUR_USD,s3,True,long,37
461,-0.06369968408924956,0.0449253479815862,-0.1517533661331585,0.024353997954659395,199,0.03868033703813937,0.06865576639188585,-0.09588496508995689,0.17324563916623562,EUR_USD,r1,False,short,660
172,-0.134559703224097,0.07296098066656535,-0.2775632253305651,0.008443818882371085,74,-0.02519115859070443,0.11202918952488702,-0.244768370059483,0.19438605287807414,EUR_USD,r1,True,short,246
187,0.012431027284335969,0.07086005906344556,-0.12645468848001734,0.15131674304868925,81,0.006374981590102624,0.1085560083874486,-0.2063947948492966,0.21914475802950187,EUR_USD,r2,False,short,268
68,0.032965817082935216,0.11908057149536667,-0.20043210304798345,0.26636373721385387,30,0.07448942066919256,0.17654140164740978,-0.2715317265597306,0.42051056789811575,EUR_USD,r2,True,short,98
62,0.01960561646616136,0.12346385456502755,-0.22238353848129264,0.26159477141361537,27,-0.1675375267573431,0.19065118533069403,-0.5412138500055034,0.2061387964908172,EUR_USD,r3,False,short,89
