tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,level,reject,direction,total_n
196,0.06503951676919137,0.06879606069186747,-0.06980076218686887,0.1998797957252516,85,-0.06185063544963503,0.10683432179782382,-0.2712459061733697,0.14754463527409964,EUR_USD,s1,False,long,281
148,0.05083659066783869,0.07914842001010375,-0.10429431255196467,0.20596749388764204,64,-0.07881927799464805,0.12411391232562118,-0.3220825461528656,0.16444399016356945,EUR_USD,s1,True,long,212
77,0.028501320411525616,0.1112406226658784,-0.18953030001359605,0.24653294083664729,34,-0.044919236451574675,0.16901160144158164,-0.3761819752770747,0.2863435023739253,EUR_USD,s2,False,long,111
67,0.09245674136846974,0.11831896831537261,-0.13944843652966057,0.3243619192666001,30,-0.0509084679784513,0.17952906068112665,-0.4027854269134595,0.3009684909565569,EUR_USD,s2,True,long,97
32,0.05170616029742246,0.17130169690332586,-0.28404516563309623,0.3874574862279412,14,-0.00819284513723449,0.27519041030003016,-0.5475660493252936,0.5311803590508246,EUR_USD,s3,False,long,46
28,0.13052132605419708,0.1808199548556053,-0.2238857854627893,0.4849284375711835,13,-0.08574614091702176,0.28519196390137597,-0.6447223901637187,0.4732301083296751,EUR_USD,s3,True,long,41
206,-0.05365890338788702,0.06817029314937899,-0.18727267796066982,0.07995487118489579,89,-0.033973588124021,0.10540976811129718,-0.24057673362216347,0.17262955737412145,EUR_USD,r1,False,short,295
158,-0.03152213216737636,0.07799700156513426,-0.1843962552350395,0.12135199090028677,68,-0.04060752570019299,0.12121788519065325,-0.27819458067387337,0.19697952927348739,EUR_USD,r1,True,short,226
74,-0.0072415093997513225,0.114513203907899,-0.23168738905923336,0.21720437025973072,33,-0.19216609240629606,0.16677696955220686,-0.5190489527286215,0.13471676791602938,EUR_USD,r2,False,short,107
58,-0.02874989050109336,0.12988957262916004,-0.28333345285424705,0.2258336718520603,26,-0.07993069266660413,0.1935711384433444,-0.4593301240155591,0.29946873868235085,EUR_USD,r2,True,short,84
29,-0.0656885612058406,0.1853099400898517,-0.4288960437819499,0.2975189213702687,13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,EUR_USD,r3,False,short,42
19,-0.10026148815628301,0.22825319425154428,-0.5476377488893098,0.3471147725767438,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,EUR_USD,r3,True,short,28
211,0.06884284548423977,0.06789710911244876,-0.06423548837615978,0.20192117934463932,91,-0.024277421124589943,0.10200624675075193,-0.22420966475606371,0.17565482250688383,GBP_USD,s1,False,long,302
163,0.11739753205622923,0.07683015170686139,-0.03318956528921908,0.26798462940167755,71,0.013781252824654977,0.1159430929419676,-0.21346720934160152,0.24102971499091147,GBP_USD,s1,True,long,234
67,0.16417910447761194,0.12142120662793539,-0.07380646051314141,0.40216466946836527,29,0.014266665489639124,0.17920246444621538,-0.336970164824943,0.36550349580422126,GBP_USD,s2,False,long,96
49,0.1836734693877551,0.14188199737832796,-0.0944152454737677,0.46176218424927795,22,-0.11755757730911208,0.20160636412106384,-0.5127060509863972,0.277590896368173,GBP_USD,s2,True,long,71
30,-0.13333333333333333,0.1840373108931074,-0.4940464626838238,0.22737979601715716,14,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,0.39517345392794984,GBP_USD,s3,False,long,44
24,-0.25,0.2018932132718121,-0.6457106980127516,0.14571069801275166,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,GBP_USD,s3,True,long,35
206,0.05756346803725865,0.06926472631849594,-0.0781953955469934,0.1933223316215107,89,-0.04673370372216835,0.10093232658940283,-0.2445610638373979,0.15109365639306122,GBP_USD,r1,False,short,295
157,0.018204295641243835,0.07935548709533863,-0.13733245906561986,0.17374105034810755,68,-0.05145747788723223,0.11616182273433302,-0.27913465044652497,0.1762196946720605,GBP_USD,r1,True,short,225
79,-0.07902111774384042,0.11165331412021665,-0.29786161341946504,0.13981937793178417,34,-0.033316755176131176,0.17087995662414407,-0.3682414701594536,0.3016079598071912,GBP_USD,r2,False,short,113
65,-0.06527182002712913,0.12309580208563578,-0.3065395921149753,0.175995952060717,29,0.06438725255212206,0.1846307359293424,-0.29748898986938904,0.4262634949736332,GBP_USD,r2,True,short,94
16,-0.375,0.23935677693908453,-0.8441392828006057,0.09413928280060568,8,-0.5,0.32732683535398854,-1.1415605972938176,0.14156059729381754,GBP_USD,r3,False,short,24
13,-0.23076923076923078,0.2808833628231621,-0.7813006219026286,0.319762160364167,6,-0.6666666666666666,0.33333333333333337,-1.32,-0.013333333333333197,GBP_USD,r3,True,short,19
208,0.02829821373466215,0.06944103189338421,-0.1078062087763709,0.1644026362456952,90,-0.04176421832781762,0.10491037737289508,-0.24738855797869197,0.16386012132305672,AUD_USD,s1,False,long,298
161,0.017925642588880294,0.07899143766783502,-0.13689757524007634,0.17274886041783694,69,-0.07971419846668111,0.12021867507734972,-0.31534280161828654,0.15591440468492435,AUD_USD,s1,True,long,230
81,0.07490790548979147,0.11000398019181135,-0.14069989568615876,0.2905157066657417,36,-0.2222222222222222,0.16480441082434807,-0.5452388674379445,0.1007944229935,AUD_USD,s2,False,long,117
65,0.08753239708256137,0.12304547971348265,-0.15363674315586462,0.32870153732098734,29,-0.1724137931034483,0.1861521539674008,-0.5372720148795539,0.19244442867265732,AUD_USD,s2,True,long,94
27,-0.1111111111111111,0.19490178206822872,-0.4931186039648394,0.2708963817426172,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,AUD_USD,s3,False,long,39
21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,10,-0.2,0.3265986323710904,-0.840133319447337,0.4401333194473371,AUD_USD,s3,True,long,31
227,0.027550774646272272,0.06625720595198059,-0.10231334901960969,0.15741489831215422,98,0.0,0.1015346165133619,-0.19900784836618932,0.19900784836618932,AUD_USD,r1,False,short,325
173,0.08012898847968779,0.07578690203030387,-0.0684133394997078,0.2286713164590834,75,-0.04,0.11615460340379062,-0.2676630226714296,0.18766302267142962,AUD_USD,r1,True,short,248
88,-0.010303997223745491,0.10659996122397852,-0.2192399212227434,0.1986319267752524,39,0.02564102564102564,0.16216808513683997,-0.29220842122718066,0.343490472509232,AUD_USD,r2,False,short,127
71,0.057651383722681644,0.11848533839449996,-0.17457987953053827,0.28988264697590155,31,0.03225806451612903,0.1824791693384639,-0.32540110738726025,0.38991723641951825,AUD_USD,r2,True,short,102
21,-0.3333333333333333,0.21081851067789195,-0.7465376142620015,0.07987094759533492,9,0.1111111111111111,0.35136418446315326,-0.5775626904366693,0.7997849126588914,AUD_USD,r3,False,short,30
15,-0.3333333333333333,0.25197631533948484,-0.8272069113987236,0.16054024473205697,7,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,AUD_USD,r3,True,short,22
224,0.04887742679958259,0.06418441671457512,-0.07692402996098463,0.17467888356014982,97,0.021260774426716682,0.09460183442754114,-0.16415882105126395,0.2066803699046973,USD_CAD,s1,False,long,321
