pair,entry_ts,exit_ts,r
EUR_USD,2016-01-05 06:00:00,2016-01-07 18:00:00,-1.0
USD_HUF,2016-01-05 06:00:00,2016-01-07 14:00:00,-1.0
CHF_JPY,2016-01-06 10:00:00,2016-01-07 22:00:00,1.0
EUR_JPY,2016-01-06 10:00:00,2016-01-07 22:00:00,1.0
CHF_JPY,2016-01-06 18:00:00,2016-01-17 22:00:00,-1.0
CHF_JPY,2016-01-07 02:00:00,2016-01-13 22:00:00,-1.0
EUR_JPY,2016-01-07 02:00:00,2016-01-21 10:00:00,-1.0
CHF_JPY,2016-01-07 10:00:00,2016-01-17 22:00:00,-1.0
USD_ZAR,2016-01-07 10:00:00,2016-01-08 14:00:00,-1.0
GBP_JPY,2016-01-07 10:00:00,2016-01-07 22:00:00,1.0
USD_JPY,2016-01-07 10:00:00,2016-01-10 22:00:00,-1.0
AUD_USD,2016-01-07 14:00:00,2016-01-08 18:00:00,-1.0
AUD_JPY,2016-01-07 14:00:00,2016-01-07 22:00:00,1.0
NZD_USD,2016-01-07 14:00:00,2016-01-08 10:00:00,-1.0
AUD_CAD,2016-01-07 14:00:00,2016-01-12 14:00:00,1.0
GBP_JPY,2016-01-07 22:00:00,2016-01-08 14:00:00,-1.0
USD_JPY,2016-01-07 22:00:00,2016-01-10 22:00:00,-1.0
USD_ZAR,2016-01-07 22:00:00,2016-01-08 10:00:00,-1.0
AUD_JPY,2016-01-07 22:00:00,2016-01-08 14:00:00,-1.0
AUD_USD,2016-01-07 22:00:00,2016-01-08 14:00:00,-1.0
GBP_JPY,2016-01-10 22:00:00,2016-01-11 10:00:00,1.0
GBP_USD,2016-01-10 22:00:00,2016-01-12 14:00:00,-1.0
USD_NOK,2016-01-10 22:00:00,2016-01-13 14:00:00,-1.0
USD_SGD,2016-01-10 22:00:00,2016-01-26 14:00:00,1.0
AUD_JPY,2016-01-10 22:00:00,2016-01-11 06:00:00,1.0
EUR_USD,2016-01-11 02:00:00,2016-01-13 06:00:00,1.0
USD_JPY,2016-01-11 02:00:00,2016-01-20 06:00:00,-1.0
USD_ZAR,2016-01-12 06:00:00,2016-01-12 14:00:00,1.0
GBP_JPY,2016-01-12 18:00:00,2016-01-15 06:00:00,-1.0
NZD_USD,2016-01-12 18:00:00,2016-01-13 22:00:00,-1.0
EUR_JPY,2016-01-12 18:00:00,2016-01-21 10:00:00,-1.0
CHF_JPY,2016-01-12 18:00:00,2016-01-20 06:00:00,-1.0
GBP_NZD,2016-01-13 06:00:00,2016-01-13 22:00:00,1.0
GBP_NZD,2016-01-13 14:00:00,2016-01-14 06:00:00,1.0
EUR_USD,2016-01-14 10:00:00,2016-01-21 10:00:00,1.0
GBP_USD,2016-01-14 10:00:00,2016-01-15 18:00:00,-1.0
EUR_AUD,2016-01-14 10:00:00,2016-01-14 22:00:00,1.0
AUD_USD,2016-01-14 10:00:00,2016-01-15 06:00:00,-1.0
NZD_USD,2016-01-15 10:00:00,2016-01-18 02:00:00,1.0
USD_SGD,2016-01-15 18:00:00,2016-01-26 18:00:00,1.0
AUD_NZD,2016-01-15 18:00:00,2016-01-19 06:00:00,-1.0
GBP_USD,2016-01-17 22:00:00,2016-01-19 14:00:00,-1.0
GBP_NZD,2016-01-18 06:00:00,2016-01-19 10:00:00,-1.0
CHF_JPY,2016-01-18 06:00:00,2016-01-21 10:00:00,-1.0
NZD_CAD,2016-01-18 06:00:00,2016-01-20 14:00:00,1.0
GBP_JPY,2016-01-18 06:00:00,2016-01-19 22:00:00,-1.0
EUR_JPY,2016-01-18 06:00:00,2016-01-21 10:00:00,-1.0
USD_ZAR,2016-01-18 14:00:00,2016-01-19 06:00:00,1.0
AUD_USD,2016-01-18 18:00:00,2016-01-19 10:00:00,1.0
GBP_JPY,2016-01-18 22:00:00,2016-01-19 22:00:00,-1.0
USD_ZAR,2016-01-18 22:00:00,2016-01-19 06:00:00,1.0
NZD_CAD,2016-01-18 22:00:00,2016-01-19 18:00:00,-1.0
USD_CHF,2016-01-19 10:00:00,2016-01-22 10:00:00,-1.0
NZD_JPY,2016-01-19 14:00:00,2016-01-19 18:00:00,1.0
NZD_CAD,2016-01-19 18:00:00,2016-01-21 14:00:00,1.0
GBP_NZD,2016-01-19 18:00:00,2016-01-21 10:00:00,-1.0
EUR_NZD,2016-01-20 06:00:00,2016-01-20 18:00:00,1.0
USD_SEK,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
AUD_CHF,2016-01-20 06:00:00,2016-01-20 18:00:00,1.0
AUD_USD,2016-01-20 06:00:00,2016-01-20 22:00:00,1.0
USD_HUF,2016-01-20 06:00:00,2016-01-28 18:00:00,-1.0
EUR_AUD,2016-01-20 06:00:00,2016-01-20 18:00:00,1.0
USD_ZAR,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
GBP_USD,2016-01-20 06:00:00,2016-01-22 10:00:00,1.0
EUR_USD,2016-01-20 06:00:00,2016-01-21 10:00:00,1.0
GBP_JPY,2016-01-20 06:00:00,2016-01-21 14:00:00,1.0
AUD_JPY,2016-01-20 10:00:00,2016-01-20 14:00:00,-1.0
NZD_USD,2016-01-20 10:00:00,2016-01-20 22:00:00,1.0
AUD_CHF,2016-01-20 18:00:00,2016-01-21 10:00:00,1.0
AUD_JPY,2016-01-20 18:00:00,2016-01-20 22:00:00,1.0
GBP_JPY,2016-01-20 18:00:00,2016-01-21 18:00:00,1.0
EUR_JPY,2016-01-21 06:00:00,2016-01-26 18:00:00,1.0
GBP_JPY,2016-01-21 14:00:00,2016-01-22 06:00:00,1.0
CHF_JPY,2016-01-21 14:00:00,2016-01-29 02:00:00,1.0
GBP_USD,2016-01-21 14:00:00,2016-01-22 14:00:00,1.0
EUR_JPY,2016-01-21 14:00:00,2016-01-27 10:00:00,1.0
NZD_JPY,2016-01-22 06:00:00,2016-01-25 02:00:00,-1.0
NZD_CHF,2016-01-22 06:00:00,2016-01-22 14:00:00,-1.0
GBP_NZD,2016-01-22 06:00:00,2016-01-28 14:00:00,1.0
USD_CHF,2016-01-24 22:00:00,2016-01-29 14:00:00,-1.0
EUR_CAD,2016-01-24 22:00:00,2016-01-25 14:00:00,1.0
CAD_CHF,2016-01-24 22:00:00,2016-01-25 18:00:00,1.0
AUD_CAD,2016-01-24 22:00:00,2016-02-05 14:00:00,-1.0
EUR_GBP,2016-01-25 02:00:00,2016-01-26 06:00:00,1.0
CAD_CHF,2016-01-25 06:00:00,2016-01-26 06:00:00,1.0
AUD_NZD,2016-01-25 06:00:00,2016-01-27 06:00:00,-1.0
USD_NOK,2016-01-25 06:00:00,2016-01-26 14:00:00,-1.0
CAD_JPY,2016-01-25 06:00:00,2016-01-26 02:00:00,1.0
NZD_JPY,2016-01-25 06:00:00,2016-01-25 22:00:00,1.0
CAD_CHF,2016-01-27 06:00:00,2016-01-27 18:00:00,-1.0
CAD_CHF,2016-01-27 18:00:00,2016-01-29 02:00:00,-1.0
NZD_JPY,2016-01-27 18:00:00,2016-01-28 10:00:00,-1.0
EUR_GBP,2016-01-29 06:00:00,2016-02-03 10:00:00,-1.0
NZD_JPY,2016-01-29 06:00:00,2016-02-01 18:00:00,-1.0
USD_NOK,2016-01-29 06:00:00,2016-02-03 18:00:00,-1.0
NZD_JPY,2016-01-29 14:00:00,2016-02-01 18:00:00,-1.0
EUR_CAD,2016-01-31 22:00:00,2016-02-01 14:00:00,1.0
NZD_JPY,2016-01-31 22:00:00,2016-02-01 18:00:00,-1.0
USD_CHF,2016-01-31 22:00:00,2016-02-03 14:00:00,1.0
CAD_JPY,2016-01-31 22:00:00,2016-02-02 10:00:00,1.0
CAD_CHF,2016-01-31 22:00:00,2016-02-02 14:00:00,1.0
AUD_CAD,2016-02-01 02:00:00,2016-02-05 14:00:00,-1.0
NZD_JPY,2016-02-01 06:00:00,2016-02-01 18:00:00,-1.0
CAD_JPY,2016-02-01 06:00:00,2016-02-02 18:00:00,1.0
CAD_JPY,2016-02-01 14:00:00,2016-02-02 14:00:00,1.0
CAD_CHF,2016-02-01 22:00:00,2016-02-02 14:00:00,1.0
NZD_JPY,2016-02-01 22:00:00,2016-02-02 06:00:00,1.0
CAD_JPY,2016-02-01 22:00:00,2016-02-02 10:00:00,1.0
USD_HUF,2016-02-02 06:00:00,2016-02-03 14:00:00,-1.0
EUR_NZD,2016-02-02 14:00:00,2016-02-03 06:00:00,1.0
USD_HUF,2016-02-02 14:00:00,2016-02-03 10:00:00,-1.0
EUR_JPY,2016-02-03 06:00:00,2016-02-08 10:00:00,-1.0
USD_SGD,2016-02-03 06:00:00,2016-02-03 18:00:00,1.0
NZD_CAD,2016-02-03 10:00:00,2016-02-04 22:00:00,-1.0
EUR_GBP,2016-02-03 14:00:00,2016-02-04 10:00:00,1.0
EUR_JPY,2016-02-03 18:00:00,2016-02-08 10:00:00,-1.0
USD_JPY,2016-02-05 06:00:00,2016-02-08 14:00:00,-1.0
GBP_NZD,2016-02-05 10:00:00,2016-02-11 22:00:00,-1.0
USD_SEK,2016-02-05 10:00:00,2016-02-10 22:00:00,-1.0
EUR_USD,2016-02-05 10:00:00,2016-02-09 10:00:00,-1.0
USD_JPY,2016-02-07 22:00:00,2016-02-08 14:00:00,-1.0
AUD_USD,2016-02-07 22:00:00,2016-02-09 02:00:00,-1.0
AUD_JPY,2016-02-07 22:00:00,2016-02-08 10:00:00,-1.0
EUR_AUD,2016-02-07 22:00:00,2016-02-08 22:00:00,-1.0
AUD_CHF,2016-02-07 22:00:00,2016-02-08 18:00:00,-1.0
EUR_NZD,2016-02-07 22:00:00,2016-02-08 22:00:00,-1.0
NZD_USD,2016-02-09 06:00:00,2016-02-09 14:00:00,1.0
EUR_JPY,2016-02-09 06:00:00,2016-02-09 14:00:00,1.0
GBP_USD,2016-02-09 06:00:00,2016-02-16 14:00:00,-1.0
GBP_JPY,2016-02-09 06:00:00,2016-02-09 10:00:00,-1.0
CHF_JPY,2016-02-09 06:00:00,2016-02-09 14:00:00,1.0
USD_ZAR,2016-02-09 06:00:00,2016-02-10 06:00:00,1.0
AUD_USD,2016-02-09 14:00:00,2016-02-10 22:00:00,1.0
AUD_CAD,2016-02-09 14:00:00,2016-02-10 14:00:00,1.0
GBP_USD,2016-02-09 14:00:00,2016-02-16 10:00:00,-1.0
GBP_JPY,2016-02-09 14:00:00,2016-02-10 14:00:00,-1.0
EUR_NZD,2016-02-10 06:00:00,2016-02-11 06:00:00,-1.0
NZD_CAD,2016-02-11 06:00:00,2016-02-11 22:00:00,-1.0
EUR_AUD,2016-02-11 10:00:00,2016-02-12 10:00:00,1.0
AUD_CHF,2016-02-11 10:00:00,2016-02-14 22:00:00,1.0
NZD_CAD,2016-02-11 14:00:00,2016-02-12 14:00:00,1.0
NZD_CAD,2016-02-11 22:00:00,2016-02-12 14:00:00,1.0
CHF_JPY,2016-02-12 10:00:00,2016-02-18 10:00:00,-1.0
NZD_USD,2016-02-14 22:00:00,2016-02-16 10:00:00,-1.0
EUR_GBP,2016-02-15 06:00:00,2016-02-17 06:00:00,1.0
EUR_GBP,2016-02-15 18:00:00,2016-02-16 14:00:00,1.0
NZD_JPY,2016-02-15 18:00:00,2016-02-16 06:00:00,1.0
NZD_JPY,2016-02-16 02:00:00,2016-02-16 14:00:00,1.0
CAD_CHF,2016-02-16 06:00:00,2016-02-17 14:00:00,-1.0
CAD_JPY,2016-02-16 06:00:00,2016-02-16 14:00:00,1.0
USD_CHF,2016-02-16 06:00:00,2016-02-18 14:00:00,-1.0
EUR_CAD,2016-02-16 06:00:00,2016-02-17 14:00:00,-1.0
USD_CHF,2016-02-17 02:00:00,2016-02-18 14:00:00,-1.0
GBP_JPY,2016-02-17 06:00:00,2016-02-18 22:00:00,-1.0
GBP_USD,2016-02-17 14:00:00,2016-02-22 06:00:00,-1.0
USD_SGD,2016-02-17 14:00:00,2016-03-03 14:00:00,1.0
GBP_JPY,2016-02-18 02:00:00,2016-02-19 06:00:00,-1.0
GBP_USD,2016-02-18 02:00:00,2016-02-22 06:00:00,-1.0
AUD_CAD,2016-02-18 06:00:00,2016-02-22 14:00:00,1.0
EUR_CAD,2016-02-18 06:00:00,2016-02-22 10:00:00,-1.0
CAD_JPY,2016-02-18 06:00:00,2016-02-18 22:00:00,1.0
USD_NOK,2016-02-18 06:00:00,2016-02-24 06:00:00,1.0
CAD_CHF,2016-02-18 06:00:00,2016-02-19 10:00:00,1.0
GBP_USD,2016-02-18 10:00:00,2016-02-22 06:00:00,-1.0
AUD_CAD,2016-02-18 14:00:00,2016-02-22 14:00:00,1.0
USD_CHF,2016-02-18 14:00:00,2016-02-29 10:00:00,-1.0
EUR_CAD,2016-02-18 14:00:00,2016-02-22 10:00:00,-1.0
CAD_CHF,2016-02-18 14:00:00,2016-02-19 14:00:00,1.0
USD_CHF,2016-02-19 10:00:00,2016-02-29 10:00:00,-1.0
GBP_JPY,2016-02-19 14:00:00,2016-02-22 06:00:00,-1.0
AUD_JPY,2016-02-19 14:00:00,2016-02-21 22:00:00,1.0
AUD_USD,2016-02-19 14:00:00,2016-02-22 10:00:00,1.0
NZD_USD,2016-02-19 14:00:00,2016-02-22 10:00:00,1.0
GBP_NZD,2016-02-23 06:00:00,2016-02-24 18:00:00,-1.0
EUR_CAD,2016-02-23 10:00:00,2016-02-25 14:00:00,-1.0
NZD_CAD,2016-02-23 10:00:00,2016-02-25 18:00:00,1.0
GBP_NZD,2016-02-23 18:00:00,2016-02-24 18:00:00,-1.0
USD_JPY,2016-02-24 06:00:00,2016-02-25 22:00:00,1.0
CHF_JPY,2016-02-24 06:00:00,2016-02-25 02:00:00,1.0
AUD_JPY,2016-02-24 06:00:00,2016-02-25 10:00:00,1.0
NZD_USD,2016-02-24 10:00:00,2016-02-25 10:00:00,1.0
EUR_JPY,2016-02-24 10:00:00,2016-02-25 02:00:00,1.0
USD_SGD,2016-02-24 14:00:00,2016-03-03 02:00:00,1.0
AUD_USD,2016-02-24 14:00:00,2016-02-25 22:00:00,1.0
EUR_JPY,2016-02-24 18:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-24 18:00:00,2016-02-26 10:00:00,1.0
AUD_JPY,2016-02-24 18:00:00,2016-02-25 18:00:00,1.0
GBP_JPY,2016-02-24 18:00:00,2016-02-25 18:00:00,1.0
AUD_NZD,2016-02-24 22:00:00,2016-03-01 22:00:00,-1.0
GBP_JPY,2016-02-25 02:00:00,2016-02-26 06:00:00,1.0
GBP_USD,2016-02-25 10:00:00,2016-03-03 06:00:00,1.0
USD_ZAR,2016-02-25 10:00:00,2016-02-25 14:00:00,-1.0
GBP_NZD,2016-02-26 06:00:00,2016-02-28 22:00:00,1.0
USD_NOK,2016-02-26 06:00:00,2016-02-29 10:00:00,1.0
NZD_JPY,2016-02-26 14:00:00,2016-02-28 22:00:00,1.0
NZD_CHF,2016-02-26 14:00:00,2016-02-28 22:00:00,1.0
GBP_NZD,2016-02-26 14:00:00,2016-02-29 14:00:00,1.0
EUR_CAD,2016-02-28 22:00:00,2016-03-01 14:00:00,-1.0
CAD_JPY,2016-02-28 22:00:00,2016-02-29 22:00:00,1.0
GBP_USD,2016-02-29 02:00:00,2016-03-01 10:00:00,1.0
AUD_CAD,2016-02-29 02:00:00,2016-03-02 14:00:00,1.0
