pair,entry_ts,exit_ts,r
USD_JPY,2016-01-05 22:00:00,2016-01-06 22:00:00,-1.0
USD_JPY,2016-01-07 06:00:00,2016-01-15 10:00:00,-1.0
USD_JPY,2016-01-11 06:00:00,2016-01-13 02:00:00,1.0
USD_JPY,2016-01-20 14:00:00,2016-01-21 14:00:00,1.0
NZD_CHF,2016-01-22 02:00:00,2016-01-25 18:00:00,1.0
EUR_GBP,2016-01-25 06:00:00,2016-01-25 22:00:00,1.0
NZD_CHF,2016-01-26 22:00:00,2016-01-27 18:00:00,1.0
NZD_CHF,2016-02-02 02:00:00,2016-02-02 06:00:00,1.0
CHF_JPY,2016-02-04 02:00:00,2016-02-09 14:00:00,1.0
NZD_CHF,2016-02-04 06:00:00,2016-02-05 02:00:00,1.0
USD_JPY,2016-02-05 02:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-05 10:00:00,2016-02-08 14:00:00,-1.0
USD_JPY,2016-02-08 22:00:00,2016-02-10 14:00:00,-1.0
USD_JPY,2016-02-09 10:00:00,2016-02-10 18:00:00,-1.0
CHF_JPY,2016-02-17 18:00:00,2016-02-18 22:00:00,-1.0
NZD_CHF,2016-02-18 18:00:00,2016-02-19 10:00:00,1.0
USD_JPY,2016-02-21 22:00:00,2016-02-24 14:00:00,-1.0
USD_JPY,2016-02-23 06:00:00,2016-02-25 22:00:00,1.0
USD_JPY,2016-02-24 10:00:00,2016-02-25 14:00:00,1.0
NZD_CHF,2016-02-25 18:00:00,2016-02-28 22:00:00,1.0
NZD_CHF,2016-02-26 06:00:00,2016-02-26 14:00:00,1.0
EUR_GBP,2016-03-01 02:00:00,2016-03-02 14:00:00,-1.0
EUR_GBP,2016-03-02 10:00:00,2016-03-10 10:00:00,-1.0
NZD_CHF,2016-03-03 02:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-03 14:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-03 22:00:00,2016-03-04 10:00:00,-1.0
NZD_CHF,2016-03-04 10:00:00,2016-03-07 14:00:00,-1.0
NZD_CHF,2016-03-07 22:00:00,2016-03-08 06:00:00,1.0
USD_JPY,2016-03-08 22:00:00,2016-03-09 22:00:00,1.0
USD_JPY,2016-03-09 06:00:00,2016-03-09 22:00:00,1.0
USD_JPY,2016-03-17 01:00:00,2016-03-17 09:00:00,-1.0
USD_JPY,2016-03-17 21:00:00,2016-03-21 21:00:00,1.0
NZD_CHF,2016-03-18 01:00:00,2016-03-20 21:00:00,1.0
NZD_CHF,2016-03-29 09:00:00,2016-03-29 13:00:00,-1.0
NZD_CHF,2016-03-29 21:00:00,2016-04-01 09:00:00,1.0
NZD_CHF,2016-03-30 05:00:00,2016-04-04 13:00:00,1.0
NZD_CHF,2016-03-30 17:00:00,2016-04-01 09:00:00,1.0
USD_JPY,2016-04-04 21:00:00,2016-04-05 13:00:00,-1.0
USD_JPY,2016-04-05 13:00:00,2016-04-07 01:00:00,-1.0
USD_JPY,2016-04-06 05:00:00,2016-04-07 01:00:00,-1.0
USD_JPY,2016-04-07 21:00:00,2016-04-13 05:00:00,1.0
NZD_CHF,2016-04-12 09:00:00,2016-04-13 01:00:00,-1.0
EUR_GBP,2016-04-13 09:00:00,2016-04-19 09:00:00,-1.0
CHF_JPY,2016-04-14 05:00:00,2016-04-17 21:00:00,-1.0
EUR_GBP,2016-04-19 09:00:00,2016-04-22 09:00:00,-1.0
NZD_CHF,2016-04-19 17:00:00,2016-04-22 09:00:00,1.0
EUR_GBP,2016-04-19 17:00:00,2016-04-22 13:00:00,-1.0
EUR_GBP,2016-04-25 05:00:00,2016-05-01 21:00:00,1.0
USD_JPY,2016-04-29 13:00:00,2016-05-03 01:00:00,-1.0
CHF_JPY,2016-05-02 05:00:00,2016-05-03 21:00:00,1.0
EUR_GBP,2016-05-12 21:00:00,2016-05-18 09:00:00,-1.0
NZD_CHF,2016-05-17 09:00:00,2016-05-23 05:00:00,-1.0
NZD_CHF,2016-05-20 09:00:00,2016-05-24 05:00:00,1.0
NZD_CHF,2016-05-31 09:00:00,2016-05-31 21:00:00,-1.0
NZD_CHF,2016-06-02 21:00:00,2016-06-08 21:00:00,-1.0
CHF_JPY,2016-06-03 01:00:00,2016-06-06 17:00:00,1.0
USD_JPY,2016-06-03 09:00:00,2016-06-03 13:00:00,-1.0
USD_JPY,2016-06-08 21:00:00,2016-06-14 05:00:00,-1.0
NZD_CHF,2016-06-09 13:00:00,2016-06-13 21:00:00,1.0
USD_JPY,2016-06-16 13:00:00,2016-06-23 09:00:00,1.0
USD_JPY,2016-06-17 01:00:00,2016-06-23 09:00:00,1.0
EUR_GBP,2016-06-20 05:00:00,2016-06-20 13:00:00,-1.0
EUR_GBP,2016-06-20 13:00:00,2016-06-22 21:00:00,-1.0
NZD_CHF,2016-06-20 13:00:00,2016-06-23 09:00:00,-1.0
NZD_CHF,2016-06-21 05:00:00,2016-06-23 09:00:00,-1.0
NZD_CHF,2016-06-22 09:00:00,2016-06-23 17:00:00,-1.0
NZD_CHF,2016-06-23 09:00:00,2016-06-23 21:00:00,-1.0
CHF_JPY,2016-06-27 21:00:00,2016-06-29 17:00:00,1.0
NZD_CHF,2016-07-01 13:00:00,2016-07-06 01:00:00,1.0
NZD_CHF,2016-07-04 05:00:00,2016-07-06 01:00:00,1.0
NZD_CHF,2016-07-04 21:00:00,2016-07-05 21:00:00,1.0
USD_JPY,2016-07-05 21:00:00,2016-07-06 09:00:00,-1.0
NZD_CHF,2016-07-07 13:00:00,2016-07-08 09:00:00,-1.0
EUR_GBP,2016-07-21 05:00:00,2016-07-22 09:00:00,1.0
NZD_CHF,2016-07-27 13:00:00,2016-07-28 13:00:00,1.0
NZD_CHF,2016-07-27 21:00:00,2016-07-28 13:00:00,1.0
USD_JPY,2016-07-29 09:00:00,2016-07-29 17:00:00,-1.0
CHF_JPY,2016-08-01 05:00:00,2016-08-02 13:00:00,-1.0
USD_JPY,2016-08-01 13:00:00,2016-08-02 13:00:00,-1.0
CHF_JPY,2016-08-03 01:00:00,2016-08-05 09:00:00,-1.0
EUR_GBP,2016-08-03 13:00:00,2016-08-04 09:00:00,1.0
NZD_CHF,2016-08-09 21:00:00,2016-08-10 21:00:00,-1.0
USD_JPY,2016-08-10 09:00:00,2016-08-11 21:00:00,1.0
CHF_JPY,2016-08-10 21:00:00,2016-08-12 05:00:00,1.0
NZD_CHF,2016-08-23 09:00:00,2016-08-26 09:00:00,-1.0
EUR_GBP,2016-08-23 13:00:00,2016-08-24 13:00:00,-1.0
NZD_CHF,2016-09-01 01:00:00,2016-09-06 13:00:00,-1.0
EUR_GBP,2016-09-04 21:00:00,2016-09-08 09:00:00,1.0
EUR_GBP,2016-09-06 09:00:00,2016-09-08 05:00:00,1.0
NZD_CHF,2016-09-06 13:00:00,2016-09-12 05:00:00,1.0
NZD_CHF,2016-09-08 05:00:00,2016-09-09 05:00:00,1.0
USD_JPY,2016-09-08 13:00:00,2016-09-08 17:00:00,1.0
CHF_JPY,2016-09-12 21:00:00,2016-09-14 05:00:00,1.0
USD_JPY,2016-09-16 05:00:00,2016-09-21 09:00:00,-1.0
USD_JPY,2016-09-21 17:00:00,2016-09-29 05:00:00,1.0
NZD_CHF,2016-10-04 05:00:00,2016-10-04 17:00:00,1.0
