tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
203.0,-0.08154914927414454,0.06809587841410131,-0.2150170709657831,0.05191877241749403,87.0,-0.11536011758424038,0.10468561265244032,-0.32054391838302343,0.08982368321454266,EUR_USD,7,20,1,long,290
91.0,-0.08166481096448051,0.10328666287336924,-0.2841066701962842,0.1207770482673232,40.0,-0.14353347332685934,0.1560229135665687,-0.449338383917334,0.16227143726361531,EUR_USD,7,20,2,long,131
41.0,0.23044772701248137,0.15247342403683023,-0.06840018409970586,0.5292956381246686,18.0,0.10049443190639436,0.2389556149455896,-0.36785857338696126,0.56884743719975,EUR_USD,7,20,3,long,59
17.0,0.24894951177124877,0.22757237552846749,-0.1970923442645475,0.6949913678070451,8.0,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,EUR_USD,7,20,4,long,25
413.0,0.0009473595116524447,0.04728928194085518,-0.0917396330924237,0.0936343521157286,178.0,-0.01664356661197912,0.07350321504639001,-0.16070986810290355,0.1274227348789453,EUR_USD,7,25,1,long,591
200.0,-0.02959089064053305,0.06861832468860443,-0.16408280703019773,0.10490102574913163,86.0,0.016374211774034662,0.10706805583890568,-0.19347917767022046,0.2262276012182898,EUR_USD,7,25,2,long,286
100.0,0.06630289022361734,0.09765758753538518,-0.12510598134573764,0.2577117617929723,43.0,0.08628255888193312,0.1513028489950521,-0.210271025148369,0.3828361429122352,EUR_USD,7,25,3,long,143
51.0,0.058750847044696464,0.13462002997309727,-0.2051044117025742,0.32260610579196713,23.0,0.043478260869565216,0.21299910806810243,-0.37399999094391556,0.46095651268304594,EUR_USD,7,25,4,long,74
676.0,0.08155185856412189,0.03668673231042881,0.009645863235681437,0.15345785389256233,291.0,0.05095556821760768,0.057498025365655875,-0.06174056149907783,0.16365169793429318,EUR_USD,7,30,1,long,967
330.0,0.05379196392813139,0.052815306728202824,-0.04972603725914615,0.15730996511540893,142.0,0.013905333568505754,0.08229455385341526,-0.14739199198418815,0.17520265912119967,EUR_USD,7,30,2,long,472
171.0,0.09075989419032773,0.0733082651184236,-0.05292430544178253,0.234444093822438,74.0,0.03159260477584587,0.11438219314565973,-0.19259649378964722,0.25578170334133893,EUR_USD,7,30,3,long,245
84.0,0.08814972320045655,0.10383444428484451,-0.11536578759783866,0.29166523399875177,37.0,-0.020418613090781416,0.16023044730190722,-0.3344702898025196,0.29363306362095676,EUR_USD,7,30,4,long,121
960.0,0.07723638223375097,0.03077226023059037,0.01692275218179385,0.1375500122857081,412.0,0.004837933719303726,0.04807648533354499,-0.08939197753444446,0.09906784497305192,EUR_USD,7,35,1,long,1372
