tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
67.0,-0.029212930135917525,0.11775217239932358,-0.26000718803859174,0.2015813277667567,29.0,-0.013875942020057673,0.1862130510668725,-0.3788535221111277,0.3511016380710124,EUR_USD,7,20,1,long,96
32.0,-0.14952925128434957,0.17485813547871823,-0.4922511968226373,0.19319269425393815,14.0,-0.42857142857142855,0.25058800551629407,-0.9197239193833648,0.0625810622405078,EUR_USD,7,20,2,long,46
14.0,0.14285714285714285,0.2745054065230065,-0.39517345392794984,0.6808877396422355,7.0,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,EUR_USD,7,20,3,long,21
6.0,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,7,20,4,long,9
128.0,0.05916286526798752,0.08423557863988129,-0.10593886886617979,0.22426459940215485,55.0,0.04786728577874487,0.1336324165942777,-0.2140522507460394,0.30978682230352916,EUR_USD,7,25,1,long,183
63.0,-0.02003965759746009,0.12288547722081287,-0.2608951929502533,0.22081587775533312,28.0,-0.35714285714285715,0.17975796274454164,-0.7094684641221587,-0.004817250163555553,EUR_USD,7,25,2,long,91
28.0,0.1391960173669324,0.18591291989122224,-0.2251933056198632,0.503585340353728,13.0,0.2989004189698533,0.26374550985302314,-0.21804078034207208,0.8158416182817787,EUR_USD,7,25,3,long,41
21.0,0.13198453893602352,0.21443037001939105,-0.2882989863019829,0.55226806417403,10.0,0.4,0.30550504633038933,-0.19878989080756304,0.9987898908075631,EUR_USD,7,25,4,long,31
200.0,0.12464800475681778,0.06674203896676906,-0.006166391618049577,0.25546240113168517,86.0,0.1098875931104466,0.10572353427608361,-0.09733053407067727,0.31710572029157047,EUR_USD,7,30,1,long,286
100.0,0.06554904607106782,0.09694768051412556,-0.12446840773661827,0.2555664998787539,43.0,-0.1809377346873828,0.1489786892190339,-0.47293596555668926,0.11106049618192362,EUR_USD,7,30,2,long,143
54.0,0.19368451488329191,0.1292923216654985,-0.05972843558108515,0.447097465347669,24.0,0.20357106027533722,0.1997211598186443,-0.1878824129692056,0.59502453351988,EUR_USD,7,30,3,long,78
32.0,0.2828971172189625,0.1655744329321746,-0.04162877132809972,0.6074230057660247,14.0,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,EUR_USD,7,30,4,long,46
287.0,0.07394440148654893,0.056140972781213605,-0.036091905164629734,0.1839807081377276,124.0,0.08989471855415644,0.08745551496327178,-0.08151809077385623,0.2613075278821691,EUR_USD,7,35,1,long,411
148.0,0.10394980542947023,0.07936205295666002,-0.0515998183655834,0.25949942922452385,64.0,-0.19969254049308532,0.12192564217668192,-0.4386667991593819,0.039281718173211244,EUR_USD,7,35,2,long,212
77.0,0.17479173771036055,0.10977191553445652,-0.040361216737174216,0.3899446921578953,34.0,0.026050160194355687,0.17147257378847844,-0.31003608443106206,0.36213640481977344,EUR_USD,7,35,3,long,111
42.0,0.22730347466390546,0.1462710073246986,-0.05938769969250382,0.5139946490203148,18.0,0.4444444444444444,0.2172649691319564,0.018605104945809914,0.8702837839430789,EUR_USD,7,35,4,long,60
71.0,-0.2545229243816783,0.1067201161411294,-0.4636943520182919,-0.04535149674506467,31.0,0.02684099970106254,0.17140212663038723,-0.30910716849449643,0.36278916789662147,EUR_USD,7,20,1,short,102
45.0,-0.007611867170418551,0.14287804993699532,-0.2876528450469294,0.27242911070609227,20.0,-0.012769145866576426,0.21610985603766908,-0.4363444637004078,0.410806171967255,EUR_USD,7,20,2,short,65
13.0,-0.38461538461538464,0.2664693550105965,-0.9068953204361538,0.1376645512053845,6.0,0.4979143074696035,0.3324075737972522,-0.1536045371730108,1.1494331521122179,EUR_USD,7,20,3,short,19
5.0,-0.12438462705296915,0.4641891160368867,-1.034195294485267,0.7854260403793287,3.0,-0.3333333333333333,0.6666666666666667,-1.6400000000000001,0.9733333333333336,EUR_USD,7,20,4,short,8
122.0,0.021245000071189044,0.08592614926473738,-0.14717025248769622,0.1896602526300743,53.0,0.05188755222324591,0.132486036845399,-0.20778507999373613,0.311560184440228,EUR_USD,7,25,1,short,175
77.0,0.06395632508063281,0.10966313151778546,-0.1509834126942267,0.2788960628554923,33.0,0.022564154020256404,0.17059881700621668,-0.3118095273119283,0.3569378353524411,EUR_USD,7,25,2,short,110
24.0,-0.25,0.2018932132718121,-0.6457106980127516,0.14571069801275166,11.0,0.5443168949834202,0.24389390568297542,0.06628483984478833,1.022348950122052,EUR_USD,7,25,3,short,35
13.0,-0.20168639502037275,0.27570401912248604,-0.7420662725004454,0.3386934824596999,6.0,-0.6666666666666666,0.33333333333333337,-1.32,-0.013333333333333197,EUR_USD,7,25,4,short,19
186.0,0.005743809573569211,0.06971335645011852,-0.13089436906866309,0.1423819882158015,81.0,-0.015001472551219011,0.10860423743015192,-0.22786577791431675,0.19786283281187875,EUR_USD,7,30,1,short,267
108.0,0.05485775028896949,0.09365751607929698,-0.12871098122645258,0.23842648180439158,47.0,-0.04421572645174685,0.14215551623072742,-0.32284053826397263,0.2344090853604789,EUR_USD,7,30,2,short,155
46.0,-0.1313852992164609,0.1459924471560715,-0.417530495642361,0.1547598972094392,21.0,0.18988027832464865,0.21294539249144712,-0.2274926909585877,0.607253247607885,EUR_USD,7,30,3,short,67
21.0,-0.1248534826316593,0.2185418786909716,-0.5531955648659637,0.30348859960264507,10.0,-0.4,0.30550504633038933,-0.9987898908075631,0.19878989080756304,EUR_USD,7,30,4,short,31
272.0,0.03454117998207566,0.05794518754698554,-0.079031387610016,0.14811374757416734,117.0,-0.025554628953765576,0.08906582623956456,-0.2001236483833121,0.14901439047578097,EUR_USD,7,35,1,short,389
152.0,0.04671882215724169,0.07896302829195172,-0.10804871329498367,0.20148635760946704,66.0,-0.013598107165099106,0.11961383445559542,-0.24804122269806614,0.22084500836786794,EUR_USD,7,35,2,short,218
65.0,-0.11665059054669331,0.1214096553225495,-0.3546135149788903,0.1213123338855037,29.0,0.029734423917758265,0.1816467766077113,-0.32629325823335587,0.3857621060688724,EUR_USD,7,35,3,short,94
32.0,0.08413747579591367,0.17571974839588056,-0.2602732310600122,0.4285481826518396,15.0,-0.4211047105021897,0.23340420001835546,-0.8785769425381664,0.03636752153378697,EUR_USD,7,35,4,short,47
5.0,0.6,0.4,-0.18400000000000005,1.384,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,14,20,1,long,8
0.0,,,,,1.0,1.0,,,,EUR_USD,14,20,2,long,1
1.0,-1.0,,,,1.0,1.0,,,,EUR_USD,14,20,3,long,2
,,,,,,,,,,EUR_USD,14,20,4,long,0
25.0,0.12661654892809182,0.19333052421295865,-0.2523112785293071,0.5055443763854908,11.0,-0.40021839259833386,0.27633979818144794,-0.9418443970339718,0.14140761183730405,EUR_USD,14,25,1,long,36
10.0,-0.07849360410991865,0.3159578039259962,-0.6977708998048713,0.5407836915850339,5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,14,25,2,long,15
6.0,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,14,25,3,long,9
2.0,0.0,1.0,-1.96,1.96,1.0,1.0,,,,EUR_USD,14,25,4,long,3
77.0,0.13353179994725703,0.10669048208355143,-0.07558154493650376,0.3426451448310178,33.0,0.10901811155813114,0.1734501836629578,-0.23094424842126615,0.4489804715375284,EUR_USD,14,30,1,long,110
43.0,0.0002573652013391421,0.1506080818813471,-0.2949344752861012,0.29544920568877947,19.0,-0.3684210526315789,0.21912273678590868,-0.7979016167319599,0.061059511468802063,EUR_USD,14,30,2,long,62
16.0,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,8.0,0.36071318082601167,0.32656631503204514,-0.2793567966367968,1.00078315828882,EUR_USD,14,30,3,long,24
10.0,0.1281032433350306,0.31472871597024726,-0.48876503996665405,0.7449715266367152,5.0,0.6,0.4,-0.18400000000000005,1.384,EUR_USD,14,30,4,long,15
175.0,0.19067028292414281,0.07043982331958401,0.05260822921775815,0.3287323366305275,75.0,0.027921630279405002,0.1141366706371319,-0.1957862441693735,0.2516295047281835,EUR_USD,14,35,1,long,250
81.0,0.015408333769108449,0.1085089119120451,-0.19726913357849996,0.22808580111671684,36.0,-0.1111111111111111,0.16798421022632326,-0.44036016315470466,0.21813794093248245,EUR_USD,14,35,2,long,117
40.0,0.2233143088623372,0.14892029330599302,-0.06856946601740913,0.5151980837420835,18.0,0.1603169692560052,0.2325648106559873,-0.2955100596297299,0.6161439981417403,EUR_USD,14,35,3,long,58
25.0,0.242108310040272,0.18837528048687976,-0.12710723971401233,0.6113238597945563,11.0,0.6363636363636364,0.2439346884545225,0.15825164699277222,1.1144756257345005,EUR_USD,14,35,4,long,36
10.0,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,14,20,1,short,15
7.0,0.7142857142857143,0.28571428571428575,0.15428571428571425,1.2742857142857145,4.0,0.4527515804513741,0.4862951161249388,-0.500386847153506,1.4058900080562542,EUR_USD,14,20,2,short,11
1.0,0.09701149425287643,,,,1.0,0.8904743505647449,,,,EUR_USD,14,20,3,short,2
1.0,-1.0,,,,1.0,1.0,,,,EUR_USD,14,20,4,short,2
32.0,-0.33439586127631826,0.1659675068861926,-0.6596921747732558,-0.009099547779380768,14.0,0.0,0.2773500981126146,-0.5436061923007246,0.5436061923007246,EUR_USD,14,25,1,short,46
24.0,0.029933919799395636,0.20438040727121654,-0.37065167845218877,0.43051951805098004,11.0,0.07372784743686331,0.31039472675411917,-0.5346458170012102,0.6821015118749368,EUR_USD,14,25,2,short,35
7.0,-0.14285714285714285,0.40406101782088427,-0.9348167377860761,0.6491024520717903,4.0,0.24687146120440534,0.461751531815009,-0.6581615411530122,1.151904463561823,EUR_USD,14,25,3,short,11
2.0,-0.8109615676324229,0.18903843236757711,-1.181476895072874,-0.44044624019197176,2.0,0.0,1.0,-1.96,1.96,EUR_USD,14,25,4,short,4
77.0,-0.18123169199287856,0.10924787028147899,-0.3953575177445774,0.03289413375882025,33.0,0.1633000851422439,0.16648126451646666,-0.16300319331003074,0.4896033635945185,EUR_USD,14,30,1,short,110
53.0,-0.021933592856721754,0.1337879164709622,-0.28415790913980765,0.24029072342636415,23.0,0.03526114442632593,0.21147484289110952,-0.3792295476402487,0.44975183649290057,EUR_USD,14,30,2,short,76
19.0,-0.2631578947368421,0.22739441047045122,-0.7088509392589265,0.18253514978524232,9.0,0.4430539827575135,0.2895322932069166,-0.12442931192804296,1.01053727744307,EUR_USD,14,30,3,short,28
7.0,-0.37456044789497794,0.3587252457790028,-1.0776619296218233,0.32854103383186745,4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,14,30,4,short,11
