tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
230,0.18463694578960516,0.06251895517430418,0.06209979364796896,0.30717409793124134,100,0.13882958323704833,0.09449605626617744,-0.04638268704465945,0.32404185351875614,AUD_CAD,21,35,1,short,330
830,0.06778586825415965,0.03354354728966241,0.0020405155664213193,0.13353122094189798,357,0.134034523009034,0.05207550689719711,0.03196652949052768,0.23610251652754033,USD_JPY,7,35,1,long,1187
468,0.0773603528730729,0.04484343223106412,-0.01053277429981278,0.16525348004595858,201,0.14833540425851877,0.06957641923548462,0.011965622556968925,0.2847051859600686,USD_JPY,14,35,1,long,669
660,0.05508120697808265,0.03730061997381114,-0.018028008170587195,0.1281904221267525,283,0.09538922946884751,0.047605162965526145,0.0020831100564162736,0.18869534888127876,EUR_GBP,7,30,1,long,943
976,0.07497279038818742,0.03048345238895685,0.015225223705832,0.13472035707054286,419,0.07523591649808799,0.03960083663555054,-0.00238172330759108,0.15285355630376707,EUR_GBP,7,35,1,long,1395
87,0.16720040279862594,0.10332492524182481,-0.03531645067535069,0.36971725627260255,38,0.2548047217553428,0.1153438791176364,0.028730718684775475,0.4808787248259101,EUR_GBP,14,25,1,long,125
231,0.11988072322298622,0.06276082270165001,-0.003130489272247794,0.24289193571822024,100,0.16257236188972143,0.07272068710561413,0.020039815162717745,0.3051049086167251,EUR_GBP,14,30,1,long,331
497,0.07401980614259294,0.04257474206660127,-0.009426688307945547,0.15746630059313144,214,0.15344114677755133,0.05313728477948998,0.049292068609750966,0.25759022494535166,EUR_GBP,14,35,1,long,711
84,0.2807828934872293,0.10208208417470899,0.08070200850479967,0.4808637784696589,36,0.33707301489794117,0.11615601898322298,0.10940721769082415,0.5647388121050582,EUR_GBP,21,30,1,long,120
275,0.12228277048942705,0.05734391037498874,0.009888706154449131,0.234676834824405,118,0.22574321593605587,0.06640973696603857,0.09558013148262029,0.35590630038949145,EUR_GBP,21,35,1,long,393
133,0.11751253447582974,0.08207569461572826,-0.04335582697099766,0.27838089592265713,58,0.1943517883509432,0.09557547543152461,0.007023856505154941,0.38167972019673146,EUR_GBP,21,35,2,long,191
147,0.24471173104193403,0.07754884150615246,0.0927160016898752,0.39670746039399285,64,0.3261480207830322,0.08643490606789754,0.156735604889953,0.4955604366761114,EUR_GBP,28,35,1,long,211
79,0.23156594719297482,0.10552480627157132,0.02473732690069505,0.4383945674852546,34,0.31327398722327815,0.12092164979773691,0.0762675536197138,0.5502804208268425,EUR_GBP,28,35,2,long,113
312,0.1548259010141218,0.05295738385291547,0.05102942866240748,0.25862237336583616,134,0.15462749445232157,0.08419182586388417,-0.010388484240891394,0.31964347314553454,CHF_JPY,7,25,1,long,446
154,0.1696596267957882,0.07564379673440327,0.021397785196357766,0.3179214683952186,66,0.28079948620668677,0.11487847472503586,0.05563767574561648,0.505961296667757,CHF_JPY,7,25,2,long,220
562,0.07446050844644703,0.04012800924888699,-0.004190389681371462,0.15311140657426553,242,0.2196576888908563,0.061679008171378225,0.09876683287495498,0.3405485449067576,CHF_JPY,7,30,1,long,804
266,0.13344153219299332,0.058177268824020995,0.019414085297912165,0.24746897908807447,115,0.34620446539140787,0.08497673102901701,0.17965007257453453,0.5127588582082812,CHF_JPY,7,30,2,long,381
406,0.06177399333034341,0.047351503854807304,-0.031034954225078897,0.1545829408857657,174,0.2903976878623592,0.07013600730617103,0.15293111354226396,0.42786426218245444,CHF_JPY,7,35,2,long,580
395,0.09759986629942344,0.048046177130666105,0.0034293591233178766,0.191770373475529,170,0.22634496691344733,0.07381992953596395,0.081657905022958,0.37103202880393665,CHF_JPY,14,35,1,long,565
192,0.15618328707020535,0.0684496013042928,0.02202206851379146,0.29034450562661923,83,0.3380323967708623,0.10111974156598842,0.13983770330152498,0.5362270902401995,CHF_JPY,14,35,2,long,275
193,0.1558000872056126,0.06815931370149496,0.022207832350682466,0.2893923420605427,83,0.20481927710843373,0.10809035649573623,-0.007037821623209289,0.4166763758400768,CHF_JPY,21,35,1,long,276
95,0.2592027239438991,0.09530117996387805,0.07241241121469813,0.4459930366731001,42,0.3144158352781161,0.14577633607728022,0.02869421656664689,0.6001374539895854,CHF_JPY,21,35,2,long,137
418,-0.01070817890655041,0.04718764825838964,-0.10319596949299412,0.08177961167989328,180,0.059997290686679555,0.07396111185464209,-0.08496648854841893,0.20496106992177804,EUR_NOK,7,25,1,long,598
324,0.011317634329787125,0.053770373795582554,-0.09407229830955469,0.11670756696912893,140,0.06323964419849715,0.08332771837957008,-0.1000826838254602,0.2265619722224545,EUR_NOK,7,30,2,long,464
464,-0.04066210483893141,0.04500158164863651,-0.12886520487025896,0.04754099519239615,199,0.05180410901588609,0.07006762884557037,-0.08552844352143185,0.18913666155320402,EUR_NOK,7,35,2,long,663
