tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
191,0.16234144974568482,0.06917017050073632,0.02676791556424163,0.297914983927128,82,0.24390243902439013,0.10775553036352868,0.0327015995118739,0.45510327853690635,USD_JPY,7,30,1,long,273
216,0.17001101889059914,0.06489904272396123,0.042808895151635135,0.2972131426295631,93,0.24142799400823448,0.08150587816169835,0.08167647281130572,0.40117951520516326,EUR_GBP,7,30,1,long,309
311,0.1895802700114586,0.05369365591737173,0.08434070441341002,0.2948198356095072,134,0.11695195147385112,0.06924519048384924,-0.01876862187449338,0.2526725248221956,EUR_GBP,7,35,1,long,445
75,0.2913212351543872,0.10878045902130518,0.07811153547262903,0.5045309348361453,33,0.1722445536575603,0.1254595795721175,-0.07365622230379001,0.4181453296189106,EUR_GBP,14,30,1,long,108
166,0.23788506207191543,0.07280350410571444,0.09519019402471512,0.38057993011911573,72,0.250115552788388,0.09152083148922412,0.07073472306950873,0.42949638250726724,EUR_GBP,14,35,1,long,238
94,0.3414277563827866,0.0946828128524309,0.15584944319202207,0.5270060695735511,41,0.3490769797588947,0.10605601994354942,0.14120718066953783,0.5569467788482515,EUR_GBP,21,35,1,long,135
81,0.2987164777457548,0.10228154730818206,0.09824464502171798,0.4991883104697917,35,0.5428571428571428,0.144028808642881,0.26056067791709603,0.8251536077971896,CHF_JPY,7,30,2,long,116
120,0.2113136716102268,0.08642973431656584,0.04191139234975777,0.3807159508706958,52,0.4358439284162401,0.12469428289341403,0.1914431339451486,0.6802447228873316,CHF_JPY,7,35,2,long,172
102,0.0882276776016074,0.09042035687767473,-0.08899622187863508,0.26545157708184985,45,0.2566594083356012,0.12982814505416188,0.0021962440294439056,0.5111225726417585,EUR_HUF,7,20,1,long,147
117,0.13131272274080383,0.08406450756117873,-0.03345371207910647,0.2960791575607141,51,0.24154961076645592,0.11920359453811814,0.007910565471744374,0.47518865606116745,EUR_HUF,14,30,1,long,168
72,0.16912311037245106,0.11314361503426296,-0.052638375094704315,0.39088459583960644,32,0.4585791603686184,0.15675802443806205,0.1513334324700168,0.7658248882672201,NZD_CAD,21,35,1,short,104
187,0.19748092669911238,0.07127025533538665,0.057791226241754534,0.3371706271564702,81,0.35740291705557137,0.10164890027087746,0.15817107252465154,0.5566347615864912,NZD_CHF,7,30,1,short,268
294,0.16610190141134104,0.057202123908743074,0.05398573855020462,0.27821806427247747,126,0.3170606054087403,0.08343225429042593,0.1535333869995055,0.48058782381797516,NZD_CHF,7,35,1,short,420
122,0.23899676699705,0.08789961529502177,0.06671352101880734,0.41128001297529265,53,0.43859302452597,0.12399683362850969,0.195559230614091,0.681626818437849,NZD_CHF,14,35,1,short,175
