indicator,entry,n_cells,wf_baseline,wf_filtered,prod_baseline,prod_filtered,uniq_pairs_filtered,test_mean_r
stoch,mid,5120,103,77,4,15,4,0.17335570164310468
stoch,limit,5120,103,65,4,58,9,0.24235576668117267
sma,mid,1280,19,13,3,1,1,0.2661669189102715
sma,limit,1280,9,12,3,6,5,0.31764782416551196
ema,mid,1280,21,15,4,7,5,0.2833615316128354
ema,limit,1280,11,11,4,9,6,0.3379056693983753
rsi,mid,5120,25,18,3,5,3,0.2331908711121026
rsi,limit,5120,14,12,3,10,4,0.3254171805518685
cci,mid,5120,40,18,5,4,3,0.18403175434994562
cci,limit,5120,22,23,5,18,7,0.29362648684423986
macd,limit,2400,19,10,5,6,4,0.4380946023072512
atr,mid,960,27,17,2,8,1,0.147221530090096
atr,limit,960,6,6,3,6,3,0.17952041149464318
ichimoku,limit,720,1,0,1,0,0,
