pair,entry_ts,exit_ts,r
GBP_NZD,2016-02-04 14:00:00,2016-02-05 14:00:00,1.0
GBP_NZD,2016-02-05 10:00:00,2016-02-05 14:00:00,1.0
GBP_NZD,2016-02-11 22:00:00,2016-02-12 06:00:00,1.0
GBP_NZD,2016-02-18 02:00:00,2016-02-18 10:00:00,1.0
GBP_CAD,2016-02-18 06:00:00,2016-02-18 14:00:00,1.0
CAD_CHF,2016-02-21 22:00:00,2016-02-22 10:00:00,-1.0
GBP_NZD,2016-02-22 02:00:00,2016-02-22 10:00:00,-1.0
AUD_CHF,2016-02-22 14:00:00,2016-02-23 14:00:00,1.0
AUD_CHF,2016-03-02 22:00:00,2016-03-04 10:00:00,-1.0
AUD_CHF,2016-03-04 18:00:00,2016-03-09 06:00:00,-1.0
CAD_CHF,2016-03-10 22:00:00,2016-03-11 10:00:00,-1.0
GBP_NZD,2016-03-23 17:00:00,2016-03-30 05:00:00,-1.0
CAD_CHF,2016-03-25 01:00:00,2016-04-01 09:00:00,1.0
CAD_CHF,2016-03-28 05:00:00,2016-03-30 17:00:00,-1.0
CAD_CHF,2016-03-30 13:00:00,2016-04-01 09:00:00,1.0
GBP_NZD,2016-04-06 13:00:00,2016-04-18 09:00:00,-1.0
GBP_NZD,2016-04-07 09:00:00,2016-04-07 13:00:00,1.0
CAD_CHF,2016-04-12 17:00:00,2016-04-13 13:00:00,-1.0
AUD_CHF,2016-04-12 17:00:00,2016-04-13 17:00:00,-1.0
GBP_NZD,2016-04-13 05:00:00,2016-04-21 13:00:00,1.0
GBP_NZD,2016-04-13 21:00:00,2016-04-21 13:00:00,1.0
AUD_CHF,2016-04-15 05:00:00,2016-04-17 21:00:00,1.0
CAD_CHF,2016-04-18 13:00:00,2016-04-19 09:00:00,-1.0
AUD_CHF,2016-04-21 05:00:00,2016-04-25 01:00:00,1.0
EUR_GBP,2016-04-22 13:00:00,2016-04-26 05:00:00,-1.0
CAD_CHF,2016-05-10 21:00:00,2016-05-26 05:00:00,-1.0
EUR_GBP,2016-05-16 17:00:00,2016-05-18 09:00:00,-1.0
CAD_CHF,2016-05-16 17:00:00,2016-05-26 09:00:00,-1.0
CAD_CHF,2016-05-17 21:00:00,2016-05-19 13:00:00,1.0
CAD_CHF,2016-05-18 17:00:00,2016-05-19 13:00:00,1.0
CAD_CHF,2016-05-26 05:00:00,2016-06-01 13:00:00,1.0
GBP_NZD,2016-05-31 21:00:00,2016-06-01 09:00:00,-1.0
GBP_CAD,2016-06-06 17:00:00,2016-06-07 01:00:00,1.0
GBP_CAD,2016-06-07 13:00:00,2016-06-08 17:00:00,-1.0
EUR_GBP,2016-06-21 09:00:00,2016-06-23 21:00:00,-1.0
AUD_CHF,2016-06-23 17:00:00,2016-06-23 21:00:00,-1.0
AUD_CHF,2016-07-08 13:00:00,2016-07-12 09:00:00,-1.0
AUD_CHF,2016-07-12 09:00:00,2016-07-19 01:00:00,1.0
CAD_CHF,2016-07-14 05:00:00,2016-07-21 17:00:00,1.0
CAD_CHF,2016-07-18 05:00:00,2016-07-22 01:00:00,1.0
AUD_CHF,2016-07-26 13:00:00,2016-07-27 17:00:00,1.0
GBP_NZD,2016-07-29 13:00:00,2016-08-03 09:00:00,1.0
GBP_CAD,2016-08-04 13:00:00,2016-08-10 13:00:00,-1.0
GBP_NZD,2016-08-04 13:00:00,2016-08-08 01:00:00,1.0
GBP_NZD,2016-08-08 17:00:00,2016-08-10 05:00:00,-1.0
GBP_NZD,2016-08-09 01:00:00,2016-08-10 13:00:00,-1.0
AUD_CHF,2016-08-26 13:00:00,2016-09-06 05:00:00,-1.0
GBP_CAD,2016-08-29 05:00:00,2016-08-31 13:00:00,1.0
GBP_CAD,2016-08-30 05:00:00,2016-08-31 05:00:00,1.0
EUR_GBP,2016-09-01 09:00:00,2016-09-08 09:00:00,1.0
EUR_GBP,2016-09-02 05:00:00,2016-09-06 13:00:00,-1.0
CAD_CHF,2016-09-02 17:00:00,2016-09-11 21:00:00,1.0
GBP_NZD,2016-09-07 09:00:00,2016-09-12 01:00:00,1.0
CAD_CHF,2016-09-08 17:00:00,2016-09-11 21:00:00,1.0
GBP_NZD,2016-09-08 21:00:00,2016-09-12 05:00:00,1.0
EUR_GBP,2016-09-09 13:00:00,2016-09-13 13:00:00,1.0
EUR_GBP,2016-09-12 13:00:00,2016-09-13 13:00:00,1.0
AUD_CHF,2016-09-19 05:00:00,2016-09-27 05:00:00,-1.0
GBP_CAD,2016-09-23 09:00:00,2016-09-26 17:00:00,1.0
GBP_CAD,2016-09-28 21:00:00,2016-10-03 05:00:00,-1.0
GBP_NZD,2016-10-03 17:00:00,2016-10-06 21:00:00,-1.0
AUD_CHF,2016-10-04 09:00:00,2016-10-05 09:00:00,1.0
GBP_NZD,2016-10-04 21:00:00,2016-10-05 13:00:00,1.0
GBP_NZD,2016-10-06 21:00:00,2016-10-07 01:00:00,-1.0
GBP_NZD,2016-10-09 21:00:00,2016-10-11 17:00:00,-1.0
GBP_NZD,2016-10-11 17:00:00,2016-10-11 21:00:00,1.0
GBP_NZD,2016-10-13 05:00:00,2016-10-17 05:00:00,-1.0
GBP_NZD,2016-10-13 13:00:00,2016-10-17 09:00:00,-1.0
GBP_NZD,2016-10-14 01:00:00,2016-10-17 09:00:00,-1.0
