tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
360,0.03879520392537718,0.0509049577249905,-0.0609785132156042,0.13856892106635854,155,-0.0005781062803645195,0.07890151011341907,-0.15522506610266593,0.15406885354193686,EUR_USD,20,1.0,14,long,515
296,0.06621913083556615,0.05551035893862957,-0.04258117268414781,0.1750194343552801,127,-0.039706788754704424,0.087328835656463,-0.2108713066413719,0.13145772913196305,EUR_USD,20,1.5,14,long,423
207,0.024279462925822764,0.0676922727321454,-0.1083973916291822,0.15695631748082772,89,-0.10543613460175068,0.10279554766013549,-0.30691540801561623,0.09604313881211489,EUR_USD,20,2.0,14,long,296
144,0.026015905583784405,0.08081199753536787,-0.1323756095855366,0.18440742075310543,63,-0.09411192730283549,0.12296440062643685,-0.3351221525306517,0.14689829792498071,EUR_USD,20,2.5,14,long,207
371,0.021217316896144558,0.05000736145392627,-0.07679711155355093,0.11923174534584005,160,0.0287521631257456,0.07659035899550574,-0.12136494050544566,0.17886926675693687,EUR_USD,20,1.0,14,short,531
291,0.109433345152891,0.05637132407195901,-0.0010544500281486485,0.21992114033393068,126,0.005326888570399449,0.0861266314063726,-0.16348130898609084,0.17413508612688974,EUR_USD,20,1.5,14,short,417
224,0.09342470023293566,0.06414322305947279,-0.032296016963631005,0.21914541742950233,96,0.03952693403912353,0.09950260333242555,-0.15549816849243056,0.2345520365706776,EUR_USD,20,2.0,14,short,320
147,0.10047362047910541,0.07921078238377093,-0.054779512993085616,0.2557267539512964,63,-0.03635351138253308,0.12142864671352749,-0.27435365894104696,0.20164663617598078,EUR_USD,20,2.5,14,short,210
247,0.08525498243320533,0.061758950861020435,-0.03579256125439473,0.20630252612080538,106,-0.2616665146192811,0.09287840759558147,-0.4437081935066208,-0.0796248357319414,EUR_USD,50,1.0,14,long,353
220,-0.030616746125818047,0.06595449881812285,-0.15988756380933883,0.09865407155770273,95,-0.20451771334325633,0.09884635161857944,-0.398256562515672,-0.010778864170840646,EUR_USD,50,1.5,14,long,315
205,0.03093183666522772,0.06723847016578965,-0.10085556485972,0.16271923819017545,88,-0.10503664558804691,0.10361529772243754,-0.3081226291240245,0.09804933794793065,EUR_USD,50,2.0,14,long,293
166,-0.0005634080455283115,0.07436093516933547,-0.14631084097742583,0.1451840248863692,72,-0.036920295102172845,0.1175456202337606,-0.2673097107603436,0.1934691205559979,EUR_USD,50,2.5,14,long,238
275,0.01779866593782183,0.058413760625016214,-0.09669230488720995,0.1322896367628536,119,-0.17331907398991384,0.08943089399787019,-0.34860362622573937,0.001965478245911728,EUR_USD,50,1.0,14,short,394
