tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
154,0.15128511283988078,0.07949968222226568,-0.004534264315759956,0.30710448999552153,66,0.24242424242424243,0.12033482050480472,0.006567994234825181,0.4782804906136597,AUD_CHF,20,2.5,14,short,220
280,0.14791264507199667,0.05678718266516193,0.036609767048279285,0.25921552309571405,120,0.29786088425050383,0.0711124343374108,0.15848051294917867,0.437241255551829,EUR_CAD,100,1.5,14,long,400
155,0.08378803557848373,0.0605091653818232,-0.034809928569889736,0.2023859997268572,67,0.20328039378708082,0.10182247632293928,0.0037083401941198357,0.4028524473800418,EUR_CHF,200,2.5,14,short,222
179,0.15083798882681565,0.07409559195999924,0.005610628585217159,0.29606534906841414,78,0.28205128205128205,0.10933370069518483,0.06775722868871978,0.4963453354138443,CAD_JPY,200,2.5,14,long,257
216,0.09835506655982218,0.06652530630095353,-0.032034533790046754,0.2287446669096911,93,0.1959009604215248,0.09892624557774023,0.002005519089153973,0.3897964017538956,CAD_CHF,200,1.0,14,short,309
183,0.18078281473777755,0.0709714332362732,0.041678805594682095,0.319886823880873,79,0.20276121226965815,0.10619853732449018,-0.005387920886342601,0.4109103454256589,CAD_CHF,200,2.5,14,short,262
341,0.08057719419329204,0.050937560335287214,-0.019260424063870893,0.180414812450455,147,0.14516940582276108,0.06814145484569827,0.011612154325192497,0.27872665732032964,EUR_GBP,50,1.5,14,long,488
224,0.07572852587403964,0.06302089378647907,-0.04779242594745933,0.1992494776955386,97,0.15993649845855928,0.07728313630983334,0.008461551291285924,0.3114114456258327,EUR_GBP,100,2.5,14,long,321
188,0.13951151324564165,0.06704158638904247,0.00811000392311842,0.27091302256816485,81,0.18174499544357967,0.08562867985514948,0.013912782927486683,0.3495772079596726,EUR_GBP,200,2.5,14,long,269
196,0.08370226529616062,0.06961963875692083,-0.0527522266674042,0.22015675725972544,85,0.2538339081537005,0.08573088790567944,0.08580136785856879,0.4218664484488322,EUR_GBP,200,2.0,14,short,281
219,0.12066909512052604,0.0661292868209794,-0.008944307048593586,0.2502824972896457,94,0.263760145987527,0.09833822912882889,0.07101721689502238,0.45650307508003163,EUR_JPY,100,2.0,14,long,313
207,0.12713231167872474,0.06792773062871844,-0.006006040353563419,0.26027066371101293,89,0.3677175895761181,0.0915973566096608,0.18818677062118294,0.5472484085310533,GBP_CAD,200,1.0,14,long,296
527,0.07248501689076248,0.04312251548191574,-0.012035113453792365,0.15700514723531733,226,0.10497941388882773,0.06267856532098241,-0.0178705741402978,0.22782940191795326,GBP_NZD,20,1.0,14,long,753
279,0.10160691188230121,0.059133288647127455,-0.014294333866068598,0.21750815763067102,120,0.18398377050372508,0.08338690967786559,0.020545427535108518,0.34742211347234164,GBP_NZD,50,2.0,14,long,399
280,0.09267451242194004,0.05935431375007536,-0.02365994252820766,0.20900896737208774,120,0.16280763546605467,0.08328465062551652,-0.00043027975995768575,0.32604555069206703,GBP_NZD,100,1.0,14,long,400
381,0.0006303151421455319,0.050925347177208306,-0.09918336532518274,0.10044399560947381,164,0.07692283575000874,0.07733536573956948,-0.07465448109954742,0.2285001525995649,NZD_CHF,20,1.5,14,short,545
362,0.05549527471514362,0.051940141690693796,-0.046307402998616215,0.15729795242890346,156,0.17044373186188794,0.07817406966328183,0.017222555321855543,0.3236649084019203,NZD_CHF,50,1.5,14,short,518
242,0.07779004422236636,0.06161303620222881,-0.0429715067340021,0.19855159517873483,105,0.09219358732696407,0.09572262868591043,-0.09542276489742037,0.27980993955134853,EUR_NOK,20,2.0,14,long,347
272,0.06984447294525103,0.05948389156617252,-0.0467439545244471,0.18643290041494917,117,0.0908978503186989,0.08870044562375982,-0.08295502310387035,0.2647507237412682,EUR_NOK,100,1.0,14,long,389
