tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,k_period,d_period,threshold,recovery,direction,total_n
420,0.04017802101580565,0.047267767352521514,-0.052466802995136515,0.13282284502674782,180,0.07364268762542323,0.07192496364824265,-0.06733024112513236,0.2146156163759788,EUR_USD,5,3,15,1,long,600
226,-0.015550939553343109,0.06449942270129291,-0.1419698080478772,0.11086792894119099,98,-0.17880700875364153,0.0972412031238444,-0.36939976687637655,0.01178574936909349,EUR_USD,5,3,15,2,long,324
129,0.1816727605087208,0.08387746928135274,0.017272920717269435,0.3460726003001722,56,-0.08990044733411653,0.12992187981481368,-0.3445473317711514,0.16474643710291828,EUR_USD,5,3,15,3,long,185
76,-0.02365151480008652,0.11191062160747434,-0.2429963331507362,0.1956933035505632,33,0.15151515151515152,0.17473579688895147,-0.19096701038719335,0.4939973134174964,EUR_USD,5,3,15,4,long,109
499,0.05760016466050698,0.04348707960086696,-0.027634511357192262,0.14283484067820623,215,0.021652330449488746,0.0660630006319956,-0.10783115078922265,0.15113581168820014,EUR_USD,5,3,20,1,long,714
254,0.01684407253541956,0.060729817949873276,-0.10218637064633206,0.13587451571717118,110,-0.17748260779869882,0.09203272414711211,-0.3578667471270386,0.002901531529640927,EUR_USD,5,3,20,2,long,364
151,0.18872396586990214,0.07750306436690596,0.03681795971076646,0.34062997202903783,65,-0.1236065392417004,0.1205445873272661,-0.359873930403142,0.11266085191974115,EUR_USD,5,3,20,3,long,216
83,0.037989297327212714,0.10620889876646086,-0.17018014425505057,0.24615873890947598,36,0.16666666666666666,0.16666666666666666,-0.16,0.4933333333333333,EUR_USD,5,3,20,4,long,119
560,0.035157936746624464,0.04108167469748209,-0.04536214566044044,0.11567801915368936,241,0.011017639197676688,0.06262938309969888,-0.11173595167773312,0.1337712300730865,EUR_USD,5,3,25,1,long,801
291,0.031097794201214033,0.05670138649879411,-0.08003692333642243,0.1422325117388505,125,-0.17345439399066426,0.08621806416042067,-0.3424417997450888,-0.004466988236239727,EUR_USD,5,3,25,2,long,416
169,0.18726269888552383,0.07329507498616906,0.043604351912632455,0.3309210458584152,73,-0.15438703693586955,0.11269975610113504,-0.3752785588940942,0.06650448502235512,EUR_USD,5,3,25,3,long,242
87,0.08221967446159374,0.10360101817182475,-0.12083832115518277,0.28527767007837024,38,0.15789473684210525,0.16233675809601256,-0.16028530902607935,0.47607478271028986,EUR_USD,5,3,25,4,long,125
613,0.032575006730480464,0.03925865547804267,-0.04437195800648317,0.10952197146744411,264,0.042343297475164444,0.05984961044788011,-0.07496193900268058,0.15964853395300946,EUR_USD,5,3,30,1,long,877
316,0.03113856088870406,0.05436293925686382,-0.07541280005474903,0.13768992183215714,136,-0.17220192392211975,0.0825178544477079,-0.33393691863962727,-0.010466929204612258,EUR_USD,5,3,30,2,long,452
184,0.16339746219588244,0.0705750799640156,0.02507030546641187,0.301724618925353,79,-0.15895891889769379,0.1075989769243352,-0.36985291366939077,0.0519350758740032,EUR_USD,5,3,30,3,long,263
91,0.0786056228369083,0.1014735371436779,-0.12028250996470038,0.27749375563851697,39,0.1794871794871795,0.15958699594164086,-0.1333033325584366,0.49227769153279555,EUR_USD,5,3,30,4,long,130
424,-0.028974791977412845,0.046800799906532,-0.12070435979421557,0.06275477583938988,183,-0.060472706713439815,0.07158748621036909,-0.20078417968576323,0.07983876625888359,EUR_USD,5,3,15,1,short,607
235,0.04744422530629454,0.0629515896293536,-0.07594089036723851,0.1708293409798276,101,-0.09206568837339554,0.09755703086659727,-0.2832774688719262,0.09914609212513509,EUR_USD,5,3,15,2,short,336
131,-0.09893812724700876,0.08463156773397233,-0.2648160000055945,0.066939745511577,57,0.12281929196190146,0.12784529379594842,-0.12775748387815744,0.37339606780196033,EUR_USD,5,3,15,3,short,188
63,-0.2404754675202761,0.11793281376969703,-0.47162378250888226,-0.009327152531669936,28,-0.02791797912378034,0.18284372852455583,-0.38629168703190975,0.33045572878434903,EUR_USD,5,3,15,4,short,91
501,-0.00408109258778563,0.043105521430356744,-0.08856791459128485,0.08040572941571358,216,-0.03350326717584982,0.06612927334028225,-0.163116642922803,0.09611010857110339,EUR_USD,5,3,20,1,short,717
277,0.0342066795981862,0.05793588295544291,-0.0793476509944819,0.1477610101908543,119,-0.09657114822484979,0.089913822703972,-0.2728022407246349,0.07965994427493532,EUR_USD,5,3,20,2,short,396
151,-0.06556114297912224,0.07907144423642355,-0.22054117368251241,0.08941888772426793,66,0.0303136309367937,0.12018881650186938,-0.20525644940687027,0.2658837112804577,EUR_USD,5,3,20,3,short,217
77,-0.19076578939115618,0.10815737638885196,-0.40275424711330604,0.021222668330993677,33,0.06722110862224695,0.1689628847813078,-0.26394614554911633,0.39838836279361023,EUR_USD,5,3,20,4,short,110
545,0.03741884225516665,0.04127904563548337,-0.04348808719038074,0.11832577170071404,234,-0.021367473519727304,0.06341803897226056,-0.145666829905358,0.10293188286590339,EUR_USD,5,3,25,1,short,779
304,0.029528081087210705,0.05504024962287697,-0.07835080817362815,0.13740697034804955,131,-0.08772493617371853,0.08588735688252903,-0.25606415566347546,0.08061428331603838,EUR_USD,5,3,25,2,short,435
163,-0.03151799331458086,0.07596838851838655,-0.1804160348106185,0.11738004818145678,70,0.035840084579192084,0.1161701209373289,-0.19185335245797255,0.26353352161635674,EUR_USD,5,3,25,3,short,233
80,-0.14611207228898782,0.10714288258893362,-0.3561121221632977,0.06388797758532208,35,0.006237045272404274,0.16473795036051175,-0.31664933743419876,0.3291234279790073,EUR_USD,5,3,25,4,short,115
596,0.04541280909612899,0.03943968545529365,-0.031888974396246564,0.12271459258850455,256,-0.008911100388859367,0.060690066464350746,-0.12786363065898682,0.1100414298812681,EUR_USD,5,3,30,1,short,852
322,0.009042391148107516,0.053460211048325094,-0.09573962250660967,0.11382440480282469,139,-0.06828752977523113,0.08357563422570183,-0.23209577285760669,0.09552071330714444,EUR_USD,5,3,30,2,short,461
175,-0.03688469071347151,0.07325838287212906,-0.18047112114284447,0.10670173971590147,75,0.029435094865894924,0.11174205344504536,-0.18957932988639395,0.24844951961818382,EUR_USD,5,3,30,3,short,250
84,-0.13915435456094077,0.10484011225927113,-0.3446409745891122,0.06633226546723064,37,0.059953961744166215,0.16015029230969058,-0.2539406111828273,0.37384853467115975,EUR_USD,5,3,30,4,short,121
364,0.08518000925640123,0.050217320798761886,-0.013245939509172064,0.18360595802197455,157,0.04072226824448936,0.07705550008500618,-0.11030651192212276,0.19175104841110147,EUR_USD,9,3,15,1,long,521
208,-0.0667130510060849,0.0668513059171967,-0.19774161060379042,0.06431550859162061,90,-0.12791252621259522,0.10171328899219866,-0.3272705726373046,0.07144552021211414,EUR_USD,9,3,15,2,long,298
118,0.05931863499552565,0.08764680909204964,-0.11246911082489164,0.23110638081594292,52,-0.15584887516722928,0.1349157427572387,-0.42028373097141714,0.10858598063695857,EUR_USD,9,3,15,3,long,170
65,0.04502511865203689,0.11987296347639578,-0.18992588976169883,0.27997612706577263,29,0.31905711892841554,0.17224164750445306,-0.018536510180312438,0.6566507480371435,EUR_USD,9,3,15,4,long,94
