tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
362,0.029346757035973035,0.05070244678097659,-0.07003003865474108,0.12872355272668715,156,0.09943015312434825,0.07861365936359811,-0.054652619228304056,0.25351292547700055,EUR_USD,7,1.5,long,518
361,-0.036362464379662736,0.0511333810203347,-0.13658389117951875,0.06385896242019326,156,-0.023361647382419894,0.07848649937438208,-0.17719518615620877,0.130471891391369,EUR_USD,7,1.5,short,517
264,0.06412857509942128,0.05903726813065274,-0.05158447043665809,0.17984162063550066,114,0.08067883985857081,0.09099745208033919,-0.09767616621889398,0.2590338459360356,EUR_USD,7,2.0,long,378
263,-0.026406672419239285,0.060204500115043275,-0.1444074926447241,0.09159414780624553,114,-0.02967243636964006,0.09153393480623498,-0.20907894858986062,0.1497340758505805,EUR_USD,7,2.0,short,377
202,0.027534866918723942,0.06735880669470429,-0.10448839420289646,0.15955812804034436,87,0.040005692634255643,0.10499375833161709,-0.16578207369571385,0.2457934589642251,EUR_USD,7,2.5,long,289
201,-0.0052764459086443215,0.06881049456660321,-0.1401450152591866,0.12959212344189797,87,0.030764438722748314,0.10509160167247443,-0.17521510055530157,0.2367439780007982,EUR_USD,7,2.5,short,288
158,-0.02823981216959309,0.07640911005495846,-0.17800166787731167,0.12152204353812548,69,0.028668780715796413,0.11840895979328134,-0.203412780479035,0.26075034191062785,EUR_USD,7,3.0,long,227
158,-0.03854561109437816,0.07711294117582668,-0.18968697579899843,0.11259575361024213,68,0.011313998941565843,0.11813793260915623,-0.22023634897238034,0.24286434685551203,EUR_USD,7,3.0,short,226
359,0.03926346782647328,0.05066448545674789,-0.06003892366875258,0.13856585932169915,155,0.06781357346708598,0.07907733371907083,-0.08717800062229285,0.2228051475564648,EUR_USD,10,1.5,long,514
359,-0.04709960529727962,0.05136178710888811,-0.1477687080307003,0.053569497436141075,154,0.0137834442492238,0.07923266218200294,-0.14151257362750197,0.16907946212594954,EUR_USD,10,1.5,short,513
263,0.04315045986304801,0.05911152850617909,-0.072708136009063,0.15900905573515903,114,0.038016102452704786,0.09098405089075691,-0.14031263729317875,0.21634484219858832,EUR_USD,10,2.0,long,377
263,-0.034989674574062074,0.06016188014308949,-0.15290695965451748,0.08292761050639333,113,-0.011212539799990165,0.09237872165572256,-0.19227483424520636,0.16984975464522606,EUR_USD,10,2.0,short,376
200,-0.03099949554689142,0.06810529071163447,-0.16448586534169496,0.10248687424791213,87,0.08014907223388346,0.10587515854435006,-0.12736623851304266,0.28766438298080954,EUR_USD,10,2.5,long,287
200,0.020345430283125382,0.0690489914437676,-0.11499059294665911,0.15568145351290988,86,0.019494257777664004,0.10570763317248558,-0.1876927032404077,0.22668121879573572,EUR_USD,10,2.5,short,286
158,-0.08149168658042444,0.07599126929441442,-0.2304345743974767,0.06745120123662782,69,0.02866878071579642,0.11840895979328134,-0.203412780479035,0.26075034191062785,EUR_USD,10,3.0,long,227
158,-0.01968987868696673,0.0773639661561801,-0.1713232523530797,0.13194349497914626,68,-0.014766100981413288,0.11858573733949518,-0.24719414616682384,0.21766194420399726,EUR_USD,10,3.0,short,226
357,0.04872275089653166,0.05072161060409447,-0.0506916058874935,0.14813710768055682,154,0.061760414853235905,0.079358972489473,-0.09378317122613117,0.217304000932603,EUR_USD,14,1.5,long,511
357,-0.051511593072853225,0.05137183465177989,-0.1522003889903418,0.04917720284463536,153,0.012894813106001362,0.07974188439816601,-0.14339928031440402,0.16918890652640672,EUR_USD,14,1.5,short,510
265,0.03792939532107103,0.05881018491071988,-0.07733856710393994,0.153197357746082,114,0.0682444833900813,0.09122410659404277,-0.11055476553424254,0.24704373231440513,EUR_USD,14,2.0,long,379
264,-0.068235476062614,0.05987595911357089,-0.18559235592521295,0.04912140379998493,114,-0.02013531825679874,0.09199121520396654,-0.20043810005657314,0.16016746354297567,EUR_USD,14,2.0,short,378
197,-0.02541657784309409,0.06858767166951564,-0.15984841431534474,0.10901525862915656,85,0.08458245868454801,0.1071464620880753,-0.12542460700807956,0.2945895243771756,EUR_USD,14,2.5,long,282
196,0.022630559837103666,0.0696602267941549,-0.11390348467943995,0.15916460435364727,85,0.00795889610446005,0.10631989948420013,-0.20042810688457222,0.2163458990934923,EUR_USD,14,2.5,short,281
156,-0.06393297960602129,0.07627269703407913,-0.21342746579281638,0.0855615065807738,68,0.07320802749102871,0.1189629146709199,-0.1599592852639743,0.30637534024603175,EUR_USD,14,3.0,long,224
156,0.009331569060574817,0.07805909643081206,-0.14366425994381682,0.16232739806496643,67,-0.02402295792282251,0.11894031664255718,-0.2571459785422346,0.20910006269658954,EUR_USD,14,3.0,short,223
359,0.034152421994527137,0.050817492136442835,-0.06544986259290081,0.1337547065819551,154,0.07579163700572396,0.07920025056125346,-0.07944085409433281,0.2310241281057807,EUR_USD,21,1.5,long,513
