tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n
48,0.055007247593440466,0.14294428433452458,-0.2251635497022277,0.33517804488910863,21,0.23809523809523808,0.21717627144745486,-0.1875702539417734,0.6637607301322496,EUR_USD,7,1.5,long,69
53,-0.04437662890166475,0.13364917034345078,-0.3063290027748283,0.21757574497149876,24,0.015248536798722206,0.1938180203097327,-0.36463478300835384,0.3951318566057983,EUR_USD,7,1.5,short,77
36,0.1111111111111111,0.16798421022632323,-0.2181379409324824,0.4403601631547046,16,0.25,0.25,-0.24,0.74,EUR_USD,7,2.0,long,52
37,-0.33765840937788866,0.1550571839896985,-0.6415704899976977,-0.03374632875807959,17,0.17647058823529413,0.24607647839237515,-0.30583930941376114,0.6587804858843495,EUR_USD,7,2.0,short,54
29,-0.03445089447961928,0.18087315238707816,-0.38896227315829246,0.32006048419905386,13,0.07692307692307693,0.2878197989826109,-0.48720372908284043,0.6410498829289943,EUR_USD,7,2.5,long,42
23,-0.09864552901287196,0.20779506460477465,-0.5059238556382303,0.3086327976124863,10,0.1577973087595314,0.31771848096960426,-0.464930913940893,0.7805255314599557,EUR_USD,7,2.5,short,33
23,0.34611757766776446,0.19502814466490803,-0.03613758587545529,0.7283727412109842,11,0.09090909090909091,0.3149183286488867,-0.526330833242727,0.7081490150609089,EUR_USD,7,3.0,long,34
20,-0.06344235836480276,0.22355842367597728,-0.5016168687697182,0.3747321520401127,9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,EUR_USD,7,3.0,short,29
46,0.05739886705402483,0.1459446782504959,-0.2286527023169471,0.34345043642499673,21,0.3333333333333333,0.21081851067789195,-0.07987094759533492,0.7465376142620015,EUR_USD,10,1.5,long,67
50,-0.015116675613634011,0.13873743088892063,-0.28704204015591844,0.25680868892865044,22,0.05392132763063032,0.2062100769750453,-0.3502504232404584,0.4580930785017191,EUR_USD,10,1.5,short,72
37,0.24324324324324326,0.16166088689122848,-0.07361209506356459,0.5600985815500511,16,0.25,0.25,-0.24,0.74,EUR_USD,10,2.0,long,53
37,-0.22955030126978057,0.16045578758093962,-0.5440436449284222,0.08494304238886105,16,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,EUR_USD,10,2.0,short,53
27,-0.11107688666329478,0.18592170491671792,-0.4754834283000619,0.2533296549734723,12,0.0,0.30151134457776363,-0.5909622353724167,0.5909622353724167,EUR_USD,10,2.5,long,39
23,-0.33299076101419045,0.19210723900045856,-0.7095209494550891,0.0435394274267083,10,0.3577973087595314,0.29914440489927685,-0.22852572484305123,0.9441203423621141,EUR_USD,10,2.5,short,33
23,-0.0017085092887572674,0.20852141346527214,-0.41041047968069067,0.40699346110317614,10,0.0,0.3333333333333333,-0.6533333333333333,0.6533333333333333,EUR_USD,10,3.0,long,33
21,-0.2032784365379074,0.21383412697794246,-0.6223933254146746,0.21583645233885984,9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,EUR_USD,10,3.0,short,30
