tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
1118,0.030760879119561844,0.02891163405795321,-0.025905923634026447,0.08742768187315014,480,-0.0013636876287849652,0.04418871592820646,-0.08797357084806963,0.08524619559049969,EUR_USD,5,15,1,long,1598
667,-0.01151372088273305,0.03755274328135326,-0.08511709771418544,0.06208965594871934,287,0.023177557300370202,0.057697790293154784,-0.08991011167421317,0.13626522627495358,EUR_USD,5,15,2,long,954
375,0.008044315554969664,0.05024452286109705,-0.09043494925278055,0.10652358036271987,161,0.00553790450511543,0.07644263002500835,-0.14428965034390093,0.1553654593541318,EUR_USD,5,15,3,long,536
200,-0.008204405377998736,0.06831373863618509,-0.1420993331049215,0.12569052234892403,86,0.1445611601200082,0.10559172937875728,-0.06239862946235608,0.35152094970237246,EUR_USD,5,15,4,long,286
1353,0.046658828947854336,0.026238070203984696,-0.004767788651955665,0.09808544654766434,581,0.004577360881902404,0.04026890625798006,-0.07434969538373852,0.08350441714754332,EUR_USD,5,20,1,long,1934
790,0.02575625693024124,0.03437451147183998,-0.04161778555456512,0.0931302994150476,339,0.02991852771193153,0.05311311057097554,-0.07418316900718053,0.13402022443104358,EUR_USD,5,20,2,long,1129
434,0.02028558447637427,0.04650945185660872,-0.07087294116257882,0.11144411011532736,186,-0.000582781584281817,0.07142279046761776,-0.14057145090081263,0.139405887732249,EUR_USD,5,20,3,long,620
223,0.034444765903728976,0.06433399799601407,-0.0916498701684586,0.16053940197591654,96,0.19200270594084068,0.09920840828464096,-0.002445774297055614,0.38645118617873697,EUR_USD,5,20,4,long,319
1542,0.044301128276823164,0.024563314106048104,-0.0038429673710311182,0.09244522392467744,662,-0.0019557472689821394,0.03774958486962781,-0.07594493361345264,0.07203343907548837,EUR_USD,5,25,1,long,2204
890,0.03087247288772795,0.03244320957465811,-0.032716217878601954,0.09446116365405785,382,0.026056921860793624,0.05003169490057302,-0.07200520014432948,0.12411904386591674,EUR_USD,5,25,2,long,1272
479,0.03500660930260903,0.04422802844815631,-0.051680326455777345,0.1216935450609954,206,-0.013281025078391889,0.0676832231748268,-0.14594014250105242,0.11937809234426865,EUR_USD,5,25,3,long,685
240,0.057391533246023925,0.06198444867985858,-0.0640979861664989,0.17888105265854673,103,0.18866271621670588,0.0959064842050422,0.0006860071748231722,0.3766394252585886,EUR_USD,5,25,4,long,343
1712,0.043281628991308954,0.02327970126115882,-0.0023465854805623312,0.08890984346318023,735,0.03528629146792552,0.035728628334737306,-0.0347418200681596,0.10531440300401065,EUR_USD,5,30,1,long,2447
