tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,recovery,direction,total_n
847,0.035357055229460255,0.03283464027798419,-0.02899883971538876,0.09971295017430927,364,0.06702229580356148,0.04757583985583668,-0.02622635031387842,0.1602709419210014,EUR_CAD,21,15,1,long,1211
1122,0.0615372304608899,0.029313926019419952,0.004081935462826793,0.118992525458953,482,0.13195550101548514,0.04310296603616,0.047473687584611554,0.21643731444635872,CAD_CHF,5,15,1,short,1604
686,0.03734970424708976,0.037389835971157456,-0.035934374256378854,0.11063378275055838,295,0.0506788124695124,0.05570319417985144,-0.05849944812299642,0.1598570730620212,CAD_CHF,5,15,2,short,981
1360,0.04993683301671174,0.02663551506567777,-0.002268776512016686,0.10214244254544017,583,0.1229233938868037,0.0393000322925827,0.04589533059334161,0.1999514571802658,CAD_CHF,5,20,1,short,1943
808,0.028841015008783843,0.03447535160938899,-0.03873067414561858,0.09641270416318627,347,0.07744067879187799,0.05130985351216156,-0.023126634091958656,0.17800799167571463,CAD_CHF,5,20,2,short,1155
1534,0.03550936649671022,0.02507334999652239,-0.01363439949647366,0.0846531324898941,658,0.09481220691235753,0.037038976333395535,0.022215813298902293,0.16740860052581277,CAD_CHF,5,25,1,short,2192
891,0.021916266051158737,0.0328257414646118,-0.04242218721948039,0.08625471932179786,383,0.07538643139475862,0.04864497034587544,-0.01995771048315724,0.1707305732726745,CAD_CHF,5,25,2,short,1274
1696,0.024179290636494682,0.023860076430586106,-0.02258645916745408,0.07094504044044345,727,0.08750889299260158,0.0351533126689369,0.018608400161485253,0.15640938582371788,CAD_CHF,5,30,1,short,2423
970,0.019158328371991763,0.031449288008624586,-0.04248227612491243,0.08079893286889595,416,0.05940246144303956,0.04649065996479846,-0.03171923208796542,0.15052415497404453,CAD_CHF,5,30,2,short,1386
993,0.08043546202831076,0.031037817570738545,0.01960133958966321,0.1412695844669583,427,0.10687888027426767,0.0456883921582309,0.017329631644135104,0.19642812890440026,CAD_CHF,9,15,1,short,1420
592,0.042791437990983186,0.040295591471941145,-0.03618792129402146,0.12177079727598783,254,0.06168030958070336,0.05979974300321514,-0.05552718670559831,0.17888780586700503,CAD_CHF,9,15,2,short,846
1175,0.05624995687073948,0.02857496519221759,0.00024302509399300176,0.11225688864748595,504,0.10922273138704634,0.04211450619487238,0.026678299245096487,0.1917671635289962,CAD_CHF,9,20,1,short,1679
687,0.037803681220404645,0.037364271438042024,-0.035430290798157724,0.11103765323896701,295,0.05495380615603517,0.0555230495426617,-0.05387137094758176,0.1637789832596521,CAD_CHF,9,20,2,short,982
1341,0.04504053650371089,0.026798374084622364,-0.007484276702148941,0.09756534970957073,576,0.12498618632585906,0.039050708208699526,0.04844679823680799,0.20152557441491015,CAD_CHF,9,25,1,short,1917
771,0.043771176008981685,0.035279963252065526,-0.025377551965066747,0.11291990398303012,331,0.07758496332975018,0.05194042865163064,-0.024218276827445873,0.17938820348694623,CAD_CHF,9,25,2,short,1102
1500,0.028931416247863367,0.025347730432842865,-0.020750135400508646,0.07861296789623538,644,0.11630151524855113,0.037071544201822244,0.04364128861297953,0.18896174188412274,CAD_CHF,9,30,1,short,2144
852,0.02973881395294813,0.03351982811238607,-0.03596004914732856,0.09543767705322481,366,0.0887938074904998,0.049396616513081276,-0.008023560875139502,0.1856111758561391,CAD_CHF,9,30,2,short,1218
905,0.035457088588660854,0.03259133220562226,-0.02842192253435878,0.09933609971168049,389,0.1656068501310632,0.04812925877771119,0.07127350292674926,0.2599401973353771,CAD_CHF,14,15,1,short,1294
1087,0.045584182932900966,0.029740553471194434,-0.01270730187064012,0.10387566773644205,467,0.1604952765190446,0.043968003621174034,0.0743179894215435,0.24667256361654571,CAD_CHF,14,20,1,short,1554
1244,0.033080668982586846,0.027811119612226695,-0.021429125457377476,0.08759046342255117,534,0.18491449648381997,0.040689153202583754,0.10516375620675582,0.2646652367608841,CAD_CHF,14,25,1,short,1778
1378,0.02864111467741097,0.026435828742011416,-0.023173109656931402,0.08045533901175334,591,0.18645244576362843,0.03853284816995163,0.11092806335052324,0.2619768281767336,CAD_CHF,14,30,1,short,1969
835,0.04362755950207663,0.03401770909720826,-0.02304715032845156,0.11030226933260481,359,0.1545216701762893,0.050455120959911774,0.05562963309486221,0.2534137072577164,CAD_CHF,21,15,1,short,1194
1012,0.033016721678316305,0.030930465511581618,-0.02760699072438367,0.09364043408101627,434,0.17065995473089643,0.04556604623747546,0.08135050410544453,0.2599694053563483,CAD_CHF,21,20,1,short,1446
1157,0.024011530983658148,0.028934066770338173,-0.03269923988620467,0.08072230185352097,496,0.19633983075551895,0.042392318537695234,0.11325088642163629,0.2794287750894016,CAD_CHF,21,25,1,short,1653
