cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
bb,long,pair,AUD_CAD,ATR_high_67_100,high,full,140,0.17987698477757236,0.07338976011580631,0.036033054950592
bb,long,pair,AUD_CAD,ATR_low_0_33,low,full,106,-0.05286773569127429,0.07418533780267311,-0.1982709977845136
bb,long,pair,AUD_CAD,ATR_mid_33_67,mid,full,93,0.08646086140608898,0.05854360044399494,-0.028284595464141096
bb,long,pair,AUD_CAD,ATR_high_67_100,high,h1,66,0.09251661728980479,0.056587319146458,-0.01839452823725289
bb,long,pair,AUD_CAD,ATR_low_0_33,low,h1,53,-0.02983372592164511,0.10359822368866325,-0.23288624435142508
bb,long,pair,AUD_CAD,ATR_mid_33_67,mid,h1,44,0.11837014050071469,0.13973018299467657,-0.15550101816885137
bb,long,pair,AUD_CAD,ATR_high_67_100,high,h2,74,0.25779298821260827,0.07709940816863249,0.1066781482020886
bb,long,pair,AUD_CAD,ATR_low_0_33,low,h2,53,-0.07590174546090347,0.13095014744902275,-0.33256403446098803
bb,long,pair,AUD_CAD,ATR_mid_33_67,mid,h2,49,0.057807631198669954,0.12464827168643106,-0.18650298130673493
bb,long,pair,AUD_JPY,ATR_high_67_100,high,full,149,-0.12571600529091148,0.06319101743927306,-0.2495703994718867
bb,long,pair,AUD_JPY,ATR_low_0_33,low,full,67,-0.14753002696834647,0.08446342233096207,-0.3130783347370321
bb,long,pair,AUD_JPY,ATR_mid_33_67,mid,full,82,-0.03270677254310217,0.08629430830760282,-0.20184361682600369
bb,long,pair,AUD_JPY,ATR_high_67_100,high,h1,78,-0.20168826651725397,0.07457259386334039,-0.34785055048940117
bb,long,pair,AUD_JPY,ATR_low_0_33,low,h1,38,-0.05263157894736842,0.09270471208133804,-0.23433281462679098
bb,long,pair,AUD_JPY,ATR_mid_33_67,mid,h1,40,-0.21704888371335943,0.10183359885073946,-0.41664273746080877
bb,long,pair,AUD_JPY,ATR_high_67_100,high,h2,71,-0.04225352112676056,0.06714754373510017,-0.1738627068475569
bb,long,pair,AUD_JPY,ATR_low_0_33,low,h2,29,-0.2718797174785935,0.25833896942866824,-0.7782240975587833
bb,long,pair,AUD_JPY,ATR_mid_33_67,mid,h2,42,0.14285714285714285,0.05269365096880858,0.03957758695827804
bb,long,pair,CAD_CHF,ATR_high_67_100,high,full,131,-0.13506156832867078,0.12789323522186688,-0.38573230936352987
bb,long,pair,CAD_CHF,ATR_low_0_33,low,full,103,0.052741818837255684,0.04738811196117092,-0.04013888060663932
bb,long,pair,CAD_CHF,ATR_mid_33_67,mid,full,109,-0.15572296291649357,0.09609290646616217,-0.3440650595901714
bb,long,pair,CAD_CHF,ATR_high_67_100,high,h1,72,-0.035811844215951974,0.17880451155429308,-0.3862686868623664
bb,long,pair,CAD_CHF,ATR_low_0_33,low,h1,42,0.029943432338890682,0.13039551951551784,-0.22563178591152427
bb,long,pair,CAD_CHF,ATR_mid_33_67,mid,h1,59,-0.3729673810107256,0.07535941397207788,-0.5206718323959982
bb,long,pair,CAD_CHF,ATR_high_67_100,high,h2,59,-0.2561798757204632,0.05378354471165437,-0.36159562335530576
bb,long,pair,CAD_CHF,ATR_low_0_33,low,h2,61,0.06843906855744139,0.052344622738013095,-0.03415639200906427
bb,long,pair,CAD_CHF,ATR_mid_33_67,mid,h2,50,0.10062545043470018,0.10531503529989177,-0.10579201875308768
bb,long,pair,CAD_JPY,ATR_high_67_100,high,full,149,0.026735741618634987,0.0500796191496318,-0.07142031191464333
bb,long,pair,CAD_JPY,ATR_low_0_33,low,full,90,0.07407201908296347,0.08923966864818086,-0.100837731467471
bb,long,pair,CAD_JPY,ATR_mid_33_67,mid,full,88,-0.022727272727272728,0.04726125421465874,-0.11535933098800386
bb,long,pair,CAD_JPY,ATR_high_67_100,high,h1,62,0.12903225806451613,0.056453411116624025,0.01838357227593304
bb,long,pair,CAD_JPY,ATR_low_0_33,low,h1,48,0.09721836911388983,0.07217749009191962,-0.04424951146627264
bb,long,pair,CAD_JPY,ATR_mid_33_67,mid,h1,51,-0.09803921568627451,0.05957799347228826,-0.2148120828919595
bb,long,pair,CAD_JPY,ATR_high_67_100,high,h2,87,-0.04616522412440675,0.09986744868057133,-0.24190542353832656
bb,long,pair,CAD_JPY,ATR_low_0_33,low,h2,42,0.047619047619047616,0.2738824786338823,-0.4891906105033617
bb,long,pair,CAD_JPY,ATR_mid_33_67,mid,h2,37,0.08108108108108109,0.05566854312127877,-0.028029263436625304
bb,long,pair,CHF_JPY,ATR_high_67_100,high,full,129,0.1940189876699963,0.04517113874444587,0.1054835557308824
bb,long,pair,CHF_JPY,ATR_low_0_33,low,full,77,0.19933394100082386,0.04733982544883846,0.10654788312110047
bb,long,pair,CHF_JPY,ATR_mid_33_67,mid,full,86,0.3278046009811543,0.041743678577079224,0.24598699097007903
