row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
curve,all_bars_long,atr_percentile,all_bars_long,long,bucket_mean,ATR_low_0_33,low,22,106721,0.01706792206892488,0.010593091003429483,-0.003694536297796907,,,,,,,,,,,
curve,all_bars_long,atr_percentile,all_bars_long,long,bucket_mean,ATR_mid_33_67,mid,22,78304,0.017674722658664935,0.01092571317032956,-0.0037396751551810013,,,,,,,,,,,
curve,all_bars_long,atr_percentile,all_bars_long,long,bucket_mean,ATR_high_67_100,high,22,85356,0.008244004162340746,0.010661733183457752,-0.012652992877236447,,,,,,,,,,,
curve,all_bars_long,atr_percentile,all_bars_long,long,low_mid_mean,low_mid_mean,low_mid_mean,22,185025,0.017324724735478077,0.008261682444340718,0.0011318271445702709,,,,,,,,,,,
curve,all_bars_long,atr_percentile,all_bars_long,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,270381,0.009080720573137331,0.013488066995917977,-0.0173558907388619,0.004844343122711072,-0.0004141919473763696,0.018575633093651032,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_strong4,long,bucket_mean,ATR_low_0_33,low,22,13850,0.056972523407805224,0.016303031055365715,0.025018582539288424,,,,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_strong4,long,bucket_mean,ATR_mid_33_67,mid,22,11823,0.04467139083085121,0.017398151747884456,0.010571013404997678,,,,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_strong4,long,bucket_mean,ATR_high_67_100,high,22,14480,-0.011076104400314174,0.016908371293229373,-0.044216512135043747,,,,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_strong4,long,low_mid_mean,low_mid_mean,low_mid_mean,22,25673,0.05130757227403327,0.012197810743768875,0.027399863216246278,,,,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,40153,0.062383676674347445,0.020848971359050464,0.02151969281060854,0.011929338375677537,0.03900217345801947,0.08576517989067542,,,,,,,,
