row_type,sample,book,horizon_days,challenge_window,start_ts,end_ts,outcome,breach_type,target_hit_at,days_to_target,trading_days,final_equity,max_drawdown_pct,opened_trades,skipped_slot,skipped_daily_risk,skipped_engine,skipped_regime,low_opened,mid_opened,high_opened,slot_block_low_mid,slot_block_high,daily_risk_block_low_mid,daily_risk_block_high,windows,pass_rate,fail_rate,push_rate,median_days_to_target,daily_loss_breaches,max_loss_breaches,median_final_equity,median_max_drawdown_pct
window,long_mr_strong4,unconditioned,180,2016-03-05__2016-09-01,2016-03-05,2016-09-01,pass,,2016-08-29T01:00:00,178.0,81.0,11025.202582668682,0.06365884794914127,121,1765,1,0.0,0,46,29,46,1290,475,0,1,,,,,,,,,
window,long_mr_strong4,size_down_high_0_5,180,2016-03-05__2016-09-01,2016-03-05,2016-09-01,push,,,,82.0,10635.308189998432,0.05352474648585376,124,1781,0,0.0,0,48,29,47,1306,475,0,0,,,,,,,,,
window,long_mr_strong4,hard_gate_skip_high,180,2016-03-05__2016-09-01,2016-03-05,2016-09-01,push,,,,68.0,10215.349187479262,0.06905617949379557,102,1281,0,0.0,522,47,55,0,1281,0,0,0,,,,,,,,,
window,long_mr_strong4,unconditioned,180,2016-04-04__2016-10-01,2016-04-04,2016-10-01,push,,,,83.0,10682.156918708082,0.09118912625018093,126,1876,1,0.0,0,43,36,47,1325,551,0,1,,,,,,,,,
window,long_mr_strong4,size_down_high_0_5,180,2016-04-04__2016-10-01,2016-04-04,2016-10-01,push,,,,83.0,10253.354665274705,0.08424103670334807,127,1876,0,0.0,0,43,36,48,1325,551,0,0,,,,,,,,,
window,long_mr_strong4,hard_gate_skip_high,180,2016-04-04__2016-10-01,2016-04-04,2016-10-01,fail,max_loss,,,25.0,8995.871341839136,0.10041286581608638,43,460,0,0.0,102,21,22,0,460,0,0,0,,,,,,,,,
window,long_mr_strong4,unconditioned,180,2016-05-04__2016-10-31,2016-05-04,2016-10-31,pass,,2016-07-28T05:00:00,86.0,42.0,11028.266113041409,0.025,63,815,1,0.0,0,11,16,36,475,340,0,1,,,,,,,,,
window,long_mr_strong4,size_down_high_0_5,180,2016-05-04__2016-10-31,2016-05-04,2016-10-31,pass,,2016-09-01T05:00:00,121.0,56.0,11016.193400453623,0.021449097372497818,80,1154,0,0.0,0,22,21,37,780,374,0,0,,,,,,,,,
window,long_mr_strong4,hard_gate_skip_high,180,2016-05-04__2016-10-31,2016-05-04,2016-10-31,pass,,2016-09-13T09:00:00,133.0,49.0,11052.228676853885,0.0201501225,64,886,0,0.0,420,22,42,0,886,0,0,0,,,,,,,,,
window,long_mr_strong4,unconditioned,180,2016-06-03__2016-11-30,2016-06-03,2016-11-30,pass,,2016-08-04T13:00:00,63.0,35.0,11015.979662200587,0.030195248921437268,62,628,1,0.0,0,7,20,35,301,327,0,1,,,,,,,,,
