pair,tf,period,std,depth,direction,variant,n,w,l,t,mean_r,se_r,ci_low_r,ci_high_r
EUR_USD,H4,10,1.5,0.0,long,A,1061,490,483,88,0.007962657161024535,0.02969822494395005,-0.05024586372911756,0.06617117805116662
EUR_USD,H4,10,1.5,0.0,long,B,1041,374,667,0,-0.09969264228904616,0.04394046097807007,-0.18581594580606348,-0.01356933877202883
EUR_USD,H4,10,1.5,0.0,long,C,724,333,326,65,0.015429788305624203,0.03584335442063225,-0.054823186358815,0.08568276297006341
EUR_USD,H4,10,1.5,0.0,long,D,724,359,365,0,-0.06790107182954483,0.03596059617878863,-0.13838384033997053,0.002581696680880874
EUR_USD,H4,10,1.5,0.1,long,A,751,359,331,61,0.03866793085318538,0.035310590725972126,-0.030540826969719985,0.10787668867609074
EUR_USD,H4,10,1.5,0.1,long,B,722,221,501,0,-0.07526197168730814,0.06046629889827496,-0.19377591752792706,0.04325197415331079
EUR_USD,H4,10,1.5,0.1,long,C,386,173,176,37,-4.026135289258474e-05,0.04894274760988462,-0.09596804666826644,0.09588752396248126
EUR_USD,H4,10,1.5,0.1,long,D,386,199,187,0,-0.042992762117157704,0.04848132914299474,-0.13801616723742738,0.052030643003111984
EUR_USD,H4,10,1.5,0.25,long,A,309,159,122,28,0.12199190155584465,0.05452205078881278,0.015128682009771605,0.2288551211019177
EUR_USD,H4,10,1.5,0.25,long,B,271,58,213,0,-0.11357273093398335,0.12825017814090026,-0.36494308009014786,0.13779761822218117
EUR_USD,H4,10,1.5,0.25,long,C,102,46,46,10,0.0038527936339831604,0.09559466710979603,-0.18351275390121705,0.19121834116918338
EUR_USD,H4,10,1.5,0.25,long,D,102,52,50,0,-0.0741475863502745,0.0920913873005148,-0.25464670545928353,0.1063515327587345
EUR_USD,H4,10,1.5,0.5,long,A,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.5,long,B,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.5,long,C,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.5,long,D,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.75,long,A,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.75,long,B,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.75,long,C,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.75,long,D,0,0,0,0,,,,
EUR_USD,H4,10,1.5,0.0,short,A,1069,503,481,85,0.027899567707935904,0.0295850330089386,-0.03008709698958375,0.08588623240545556
EUR_USD,H4,10,1.5,0.0,short,B,1037,389,648,0,-0.0411600107398021,0.04448841587009556,-0.1283573058451894,0.046037284365585206
EUR_USD,H4,10,1.5,0.0,short,C,707,354,305,48,0.07622159039666201,0.03643341601625878,0.004812095004794806,0.14763108578852924
EUR_USD,H4,10,1.5,0.0,short,D,707,365,342,0,0.012348350790421606,0.038722026229291946,-0.0635468206189906,0.08824352219983382
EUR_USD,H4,10,1.5,0.1,short,A,770,354,352,64,0.005257748210182479,0.034860723918800546,-0.06306927067066659,0.07358476709103154
EUR_USD,H4,10,1.5,0.1,short,B,732,205,527,0,-0.0974703807126231,0.06805807118781947,-0.23086420024074925,0.035923438815503056
EUR_USD,H4,10,1.5,0.1,short,C,386,184,174,28,0.025342789922552535,0.049322726237944925,-0.07132975350381951,0.12201533334892459
EUR_USD,H4,10,1.5,0.1,short,D,386,191,195,0,-0.04305308589563567,0.05105773775975268,-0.14312625190475092,0.05702008011347959
EUR_USD,H4,10,1.5,0.25,short,A,333,149,157,27,-0.020378260590929356,0.053243995052869884,-0.12473649089455432,0.08397996971269561
EUR_USD,H4,10,1.5,0.25,short,B,277,50,227,0,-0.09056580610436434,0.15015727496941095,-0.3848740650444098,0.20374245283568115
